Open,Close,High,Low,Value,Volume,Date
234.95,233.0,234.95,232.5,457885.0,1950,2017-12-14 10:10:00
232.55,232.55,232.55,232.55,9302.0,40,2017-12-14 10:30:00
232.65,232.65,232.65,232.65,107019.0,460,2017-12-14 10:40:00
233.0,233.0,233.0,233.0,233000.0,1000,2017-12-14 10:50:00
232.75,233.0,234.0,232.75,232907.0,1000,2017-12-14 11:00:00
234.0,234.0,234.0,234.0,25740.0,110,2017-12-14 11:10:00
234.0,234.0,234.0,234.0,2340.0,10,2017-12-14 11:20:00
233.0,233.0,233.0,233.0,102520.0,440,2017-12-14 11:30:00
233.0,232.75,233.0,232.75,323662.5,1390,2017-12-14 11:40:00
233.0,233.0,233.0,232.7,1839320.5,7900,2017-12-14 12:10:00
233.0,233.0,233.0,233.0,1097430.0,4710,2017-12-14 12:20:00
232.1,232.1,232.1,232.1,23210.0,100,2017-12-14 13:20:00
232.1,232.1,232.1,232.1,23210.0,100,2017-12-14 13:30:00
232.5,232.5,232.5,232.5,2325.0,10,2017-12-14 14:20:00
232.6,232.6,232.6,232.6,2326.0,10,2017-12-14 15:00:00
232.5,232.5,232.5,232.5,9300.0,40,2017-12-14 16:00:00
232.4,232.4,232.4,232.4,2324.0,10,2017-12-14 16:10:00
232.4,232.4,232.4,232.4,253316.0,1090,2017-12-15 10:00:00
232.4,232.4,232.4,232.4,6972.0,30,2017-12-15 10:20:00
232.4,232.4,232.4,232.4,1835960.0,7900,2017-12-15 10:30:00
232.5,232.5,232.5,232.5,2325.0,10,2017-12-15 11:00:00
232.5,232.5,232.5,232.5,2325.0,10,2017-12-15 11:30:00
232.5,232.5,232.5,232.5,23250.0,100,2017-12-15 12:30:00
232.5,232.5,232.5,232.5,11625.0,50,2017-12-15 13:10:00
232.5,232.5,232.5,232.5,99975.0,430,2017-12-15 13:20:00
232.95,232.95,232.95,232.95,2329.5,10,2017-12-15 15:10:00
232.95,232.95,232.95,232.95,16306.5,70,2017-12-15 15:30:00
232.95,232.95,232.95,232.95,11647.5,50,2017-12-15 15:40:00
233.0,233.5,233.5,233.0,16340.0,70,2017-12-15 16:30:00
233.5,233.1,233.5,233.1,116610.0,500,2017-12-15 16:50:00
233.1,233.5,233.5,233.1,39647.0,170,2017-12-15 17:00:00
233.6,233.6,233.6,233.6,9344.0,40,2017-12-15 17:10:00
233.59,233.59,233.59,233.59,2335.9,10,2017-12-15 18:30:00
233.6,233.6,233.6,233.6,2336.0,10,2017-12-18 10:00:00
233.65,233.65,233.65,233.65,7009.5,30,2017-12-18 10:10:00
233.64,233.6,233.64,233.6,130823.9,560,2017-12-18 10:40:00
233.65,233.7,233.7,233.65,189292.0,810,2017-12-18 11:20:00
233.62,233.62,233.62,233.62,11681.0,50,2017-12-18 12:20:00
233.63,233.63,233.63,233.63,2336.3,10,2017-12-18 12:30:00
233.62,233.62,233.62,233.62,2336.2,10,2017-12-18 13:30:00
233.62,233.6,233.62,233.6,1086248.8,4650,2017-12-18 14:40:00
233.85,233.85,233.85,233.85,2338.5,10,2017-12-18 15:40:00
233.8,233.8,233.8,233.8,126252.0,540,2017-12-18 15:50:00
233.85,233.85,233.85,233.85,280620.0,1200,2017-12-18 16:00:00
233.89,233.89,233.89,233.89,243245.6,1040,2017-12-18 18:00:00
233.99,233.59,233.99,233.59,21043.1,90,2017-12-19 10:20:00
233.59,233.88,233.88,233.59,291993.3,1250,2017-12-19 11:00:00
233.88,233.89,233.89,233.88,250252.5,1070,2017-12-19 13:00:00
233.59,233.59,233.59,233.59,324690.1,1390,2017-12-19 15:20:00
233.59,233.1,233.59,233.1,2171207.1999999997,9300,2017-12-19 16:20:00
233.1,233.1,233.1,233.1,198135.0,850,2017-12-19 17:10:00
233.0,232.75,233.0,232.75,27935.0,120,2017-12-19 18:30:00
232.75,232.75,232.75,232.75,107065.0,460,2017-12-20 10:00:00
232.75,232.75,232.75,232.75,16292.5,70,2017-12-20 11:20:00
232.75,232.75,232.75,232.75,23275.0,100,2017-12-20 11:30:00
232.75,232.6,232.75,232.6,267614.5,1150,2017-12-20 11:40:00
232.6,232.6,232.6,232.6,44194.0,190,2017-12-20 12:10:00
232.55,232.55,232.55,232.55,376731.0,1620,2017-12-20 12:50:00
233.0,233.0,233.0,233.0,4660.0,20,2017-12-20 15:10:00
233.0,233.47,233.47,233.0,20974.7,90,2017-12-20 15:40:00
233.47,233.49,233.49,233.47,280168.1,1200,2017-12-20 16:00:00
232.55,232.55,232.55,232.55,9302.0,40,2017-12-20 16:10:00
232.55,232.55,232.55,232.55,216271.5,930,2017-12-20 18:30:00
232.55,232.55,232.55,232.55,106973.0,460,2017-12-21 11:30:00
232.55,232.55,232.55,232.55,23255.0,100,2017-12-21 11:50:00
232.55,232.55,232.55,232.55,216271.5,930,2017-12-21 12:20:00
232.55,232.55,232.55,232.55,113949.5,490,2017-12-21 13:00:00
