Open,Close,High,Low,Value,Volume,Date
15.508,15.508,15.508,15.508,1550.8,100,2014-06-09 10:40:00
15.001,14.801,15.001,14.801,13400.6,900,2014-06-09 11:30:00
15.446,15.446,15.446,15.446,1544.6,100,2014-06-09 12:00:00
14.818,14.818,14.818,14.818,1481.8,100,2014-06-09 17:30:00
15.0,15.0,15.0,15.0,1500.0,100,2014-06-09 18:20:00
14.871,14.871,14.871,14.871,1487.1,100,2014-06-10 12:30:00
15.153,15.153,15.153,15.153,4545.9,300,2014-06-10 12:40:00
15.014,15.014,15.014,15.014,9008.400000000001,600,2014-06-10 14:40:00
14.999,14.999,14.999,14.999,1499.9,100,2014-06-10 16:40:00
14.881,14.881,14.881,14.881,8928.6,600,2014-06-10 17:50:00
15.0,15.0,15.0,15.0,1500.0,100,2014-06-11 10:00:00
14.999,14.999,14.999,14.999,1499.9,100,2014-06-11 18:00:00
15.169,15.17,15.17,15.169,3033.9,200,2014-06-16 12:50:00
15.102,15.102,15.102,15.102,3020.4,200,2014-06-16 13:30:00
15.0,15.0,15.0,15.0,1500.0,100,2014-06-16 16:30:00
15.0,15.0,15.0,15.0,1500.0,100,2014-06-16 17:30:00
15.1,15.1,15.1,15.1,247640.0,16400,2014-06-17 13:10:00
15.1,15.1,15.1,15.1,151000.0,10000,2014-06-17 13:20:00
15.1,15.1,15.1,15.1,332200.0,22000,2014-06-17 16:00:00
15.1,15.1,15.1,15.1,6040.0,400,2014-06-17 16:20:00
15.12,15.12,15.12,15.12,1512.0,100,2014-06-17 16:40:00
14.693,14.508,14.693,14.505,47949.200000000004,3300,2014-06-18 16:50:00
14.507,14.503,14.508,14.503,39162.8,2700,2014-06-18 17:00:00
14.95,14.95,14.95,14.95,1495.0,100,2014-06-18 17:30:00
14.999,14.999,14.999,14.999,1499.9,100,2014-06-18 18:10:00
14.999,15.12,15.12,14.999,15011.400000000001,1000,2014-06-18 18:20:00
14.999,14.999,14.999,14.999,1499.9,100,2014-06-19 14:10:00
14.901,14.901,14.901,14.901,1490.1,100,2014-06-19 14:50:00
14.97,14.97,14.97,14.97,1497.0,100,2014-06-19 15:40:00
14.955,14.9,14.955,14.9,13415.5,900,2014-06-19 17:20:00
14.95,14.951,14.951,14.95,7475.1,500,2014-06-19 17:30:00
14.801,14.801,14.801,14.801,1480.1,100,2014-06-20 13:40:00
14.804,14.8,14.804,14.8,7401.5,500,2014-06-20 14:00:00
14.7,14.7,14.7,14.7,391020.0,26600,2014-06-20 14:50:00
14.7,14.7,14.7,14.7,14700.0,1000,2014-06-20 15:00:00
14.7,14.7,14.7,14.7,2940.0,200,2014-06-20 15:30:00
14.69,14.69,14.69,14.69,4407.0,300,2014-06-20 16:20:00
