Open,Close,High,Low,Value,Volume,Date
132.7,132.91,132.91,132.7,53122,400,2014-06-09 11:00:00
132.95,133.21,133.21,132.95,66529,500,2014-06-09 11:10:00
133.16,133.23,133.23,133.08,39947,300,2014-06-09 11:20:00
133.39,133.39,133.39,133.39,26678,200,2014-06-09 11:30:00
133.33,133.25,133.33,133.25,39991,300,2014-06-09 11:40:00
133.52,133.57,133.57,133.36,53386,400,2014-06-09 12:00:00
133.5,133.42,133.5,133.42,40034,300,2014-06-09 12:10:00
133.56,133.56,133.56,133.56,13356,100,2014-06-09 12:20:00
133.61,133.53,133.61,133.53,40075,300,2014-06-09 12:30:00
133.51,133.51,133.51,133.51,13351,100,2014-06-09 12:40:00
133.33,133.42,133.42,133.33,26675,200,2014-06-09 12:50:00
133.29,134.05,134.05,133.22,120262,900,2014-06-09 13:00:00
133.26,133.3,133.3,133.26,26656,200,2014-06-09 13:10:00
133.9,133.9,133.9,133.9,40170,300,2014-06-10 11:20:00
132.13,132.11,132.13,132.11,66058,500,2014-06-10 16:50:00
130.91,131.02,132.07,130.91,39400,300,2014-06-10 17:00:00
132.5,132.5,132.5,132.5,53000,400,2014-06-11 11:20:00
131.6,131.57,131.6,131.57,118437,900,2014-06-11 12:40:00
131.5,131.58,131.58,130.5,144182,1100,2014-06-11 12:50:00
132.1,132.1,132.1,132.1,26420,200,2014-06-11 13:00:00
132.07,131.99,132.07,131.99,52812,400,2014-06-11 13:10:00
132.16,132.16,132.16,132.16,26432,200,2014-06-11 13:20:00
132.28,132.2,132.28,132.2,26448,200,2014-06-11 13:30:00
132.31,132.31,132.31,132.31,26462,200,2014-06-11 13:40:00
132.42,132.42,132.42,132.42,13242,100,2014-06-11 13:50:00
132.27,132.19,132.27,132.19,52892,400,2014-06-11 14:00:00
132.01,131.93,132.01,131.93,39595,300,2014-06-11 14:20:00
132.6,132.52,132.6,132.52,39764,300,2014-06-11 14:40:00
132.69,132.69,132.69,132.69,13269,100,2014-06-11 14:50:00
132.72,132.64,132.72,132.64,39800,300,2014-06-11 15:00:00
132.37,132.37,132.37,132.37,13237,100,2014-06-11 15:10:00
132.01,131.93,132.01,131.93,39595,300,2014-06-11 15:20:00
132.14,132.14,132.14,132.14,13214,100,2014-06-11 15:30:00
132.34,132.34,132.34,132.34,26468,200,2014-06-11 15:40:00
133.66,132.26,133.66,132.26,39818,300,2014-06-11 15:50:00
132.26,132.51,132.51,132.18,52921,400,2014-06-11 16:10:00
132.46,133.89,133.89,132.46,79902,600,2014-06-11 16:50:00
133.7,133.7,133.7,133.7,106960,800,2014-06-16 10:40:00
133.85,133.78,133.86,133.78,53527,400,2014-06-16 10:50:00
133.71,133.71,133.71,133.71,13371,100,2014-06-16 11:00:00
133.54,133.46,133.54,133.46,40046,300,2014-06-16 11:10:00
133.44,133.44,133.44,133.44,26688,200,2014-06-16 11:20:00
133.33,133.33,133.33,133.33,13333,100,2014-06-16 11:30:00
133.25,133.26,133.26,133.25,39976,300,2014-06-16 11:40:00
133.18,133.1,133.18,133.1,53256,400,2014-06-16 12:00:00
132.75,132.75,132.75,132.75,13275,100,2014-06-16 12:10:00
133.01,133.06,133.71,132.93,66572,500,2014-06-16 12:20:00
133.16,133.08,133.16,133.08,39940,300,2014-06-16 12:40:00
133.27,133.27,133.27,133.27,13327,100,2014-06-16 12:50:00
133.39,133.39,133.39,133.39,13339,100,2014-06-16 13:00:00
133.31,133.31,133.31,133.31,13331,100,2014-06-16 13:10:00
133.36,133.31,133.36,133.31,39998,300,2014-06-16 13:20:00
133.23,133.15,133.23,133.15,39961,300,2014-06-16 13:30:00
132.82,132.82,132.82,132.82,13282,100,2014-06-16 13:40:00
132.66,132.58,132.7,132.58,53052,400,2014-06-16 13:50:00
132.5,132.59,132.59,132.5,39768,300,2014-06-16 14:00:00
132.68,132.6,132.68,132.6,39796,300,2014-06-16 14:20:00
132.17,132.17,132.17,132.17,26434,200,2014-06-16 17:20:00
132.17,132.17,132.17,132.17,13217,100,2014-06-16 17:30:00
131.88,131.8,131.88,131.8,39548,300,2014-06-17 11:50:00
131.54,131.6,131.6,131.54,39468,300,2014-06-17 12:10:00
131.48,131.4,131.48,131.4,39436,300,2014-06-17 12:20:00
131.34,131.34,131.34,131.34,13134,100,2014-06-17 12:30:00
131.26,131.27,131.27,131.26,26253,200,2014-06-17 12:40:00
131.28,131.28,131.28,131.28,13128,100,2014-06-17 12:50:00
