Open,Close,High,Low,Value,Volume,Date
2.625,2.625,2.625,2.625,2745750.0,1046000,2017-07-11 12:40:00
2.625,2.625,2.625,2.625,5250.0,2000,2017-07-11 12:50:00
2.625,2.625,2.625,2.625,1737750.0,662000,2017-07-11 13:00:00
2.625,2.625,2.625,2.625,2625.0,1000,2017-07-11 13:10:00
2.625,2.625,2.625,2.625,2562000.0,976000,2017-07-11 14:10:00
2.7,2.7,2.7,2.7,27000.0,10000,2017-07-11 15:00:00
2.7,2.7,2.7,2.7,37800.0,14000,2017-07-11 15:30:00
2.9,2.9,2.9,2.9,2900.0,1000,2017-07-12 10:50:00
2.9,2.9,2.9,2.9,2900.0,1000,2017-07-12 11:00:00
2.8,2.8,2.8,2.8,2800.0,1000,2017-07-12 11:30:00
2.7,2.7,2.7,2.7,2700.0,1000,2017-07-12 12:10:00
2.7,2.9,2.9,2.7,217700.0,76000,2017-07-12 14:00:00
2.9,2.63,2.9,2.63,1038000.0,394000,2017-07-12 14:50:00
3.2,3.2,3.2,3.2,6400.0,2000,2017-07-12 15:30:00
3.2,3.2,3.2,3.2,16000.0,5000,2017-07-12 16:20:00
3.2,3.2,3.2,3.2,6400.0,2000,2017-07-12 16:30:00
3.2,3.5,3.5,3.2,13100.0,4000,2017-07-12 16:50:00
3.5,3.5,3.5,3.5,3500.0,1000,2017-07-12 17:00:00
3.65,3.65,3.65,3.65,3650.0,1000,2017-07-12 17:40:00
3.65,3.65,3.65,3.65,3650.0,1000,2017-07-13 09:50:00
5.037,5.037,5.037,5.037,5037.0,1000,2017-07-13 10:30:00
5.037,5.037,5.037,5.037,70518.0,14000,2017-07-13 11:10:00
5.037,5.037,5.037,5.037,10074.0,2000,2017-07-13 11:20:00
5.037,5.037,5.037,5.037,20148.0,4000,2017-07-13 11:30:00
5.0,5.0,5.0,5.0,5000.0,1000,2017-07-13 11:40:00
5.0,5.0,5.0,5.0,15000.0,3000,2017-07-13 11:50:00
4.9,5.0,5.0,4.9,9900.0,2000,2017-07-13 12:30:00
4.15,4.15,4.15,4.15,4150.0,1000,2017-07-13 13:30:00
4.037,4.037,4.037,4.037,4037.0,1000,2017-07-13 13:40:00
4.037,4.037,4.037,4.037,4037.0,1000,2017-07-13 13:50:00
4.77,4.77,4.77,4.77,4770.0,1000,2017-07-13 14:40:00
4.999,4.999,4.999,4.999,4999.0,1000,2017-07-13 15:40:00
4.999,4.999,4.999,4.999,4999.0,1000,2017-07-13 16:00:00
5.0,5.0,5.0,5.0,35000.0,7000,2017-07-13 16:10:00
4.3,6.0,6.0,4.011,26557.0,6000,2017-07-14 10:20:00
6.9,6.8,6.9005,5.0,138166.5,22000,2017-07-14 10:30:00
6.0005,6.989,6.993,5.5,305427.0,48000,2017-07-14 10:40:00
6.9,6.0,6.9,6.0,99021.0,15000,2017-07-14 10:50:00
6.2,6.8995,6.8995,6.2,13099.5,2000,2017-07-14 11:00:00
6.7,6.88,6.88,6.3,266885.0,41000,2017-07-14 11:10:00
6.8,6.8,6.8,6.8,13600.0,2000,2017-07-14 11:30:00
6.8,6.2,6.8,6.2,19300.0,3000,2017-07-14 12:10:00
6.401,6.0245,6.401,6.0245,81025.5,13000,2017-07-14 12:30:00
6.0245,6.374,6.374,6.001,18399.5,3000,2017-07-14 13:00:00
6.0015,6.001,6.0015,6.001,30005.5,5000,2017-07-14 13:10:00
6.7,6.7,6.7,6.7,6700.0,1000,2017-07-14 13:20:00
6.78,6.79,6.79,6.78,13570.0,2000,2017-07-14 13:30:00
6.1,5.997,6.6985,3.6,646980.0,132000,2017-07-14 14:00:00
5.995,3.9995,6.87,3.56,1112004.0,223000,2017-07-14 14:10:00
4.0,4.8,6.89,3.1645,1326930.5,261000,2017-07-14 14:20:00
5.6,5.9005,6.993,5.5005,1564216.5,249000,2017-07-14 14:30:00
6.6995,6.6995,6.6995,6.6995,6699.5,1000,2017-07-14 14:40:00
6.0,6.65,6.65,6.0,18650.0,3000,2017-07-14 14:50:00
6.65,6.99,6.99,6.65,47708.5,7000,2017-07-14 15:10:00
6.7895,5.9005,6.7895,5.9005,12690.0,2000,2017-07-14 15:20:00
5.91,5.91,5.91,5.91,5910.0,1000,2017-07-14 15:50:00
5.91,5.91,5.91,5.91,5910.0,1000,2017-07-14 16:10:00
5.91,5.91,5.91,5.91,5910.0,1000,2017-07-14 16:20:00
6.0,6.0,6.0,6.0,12000.0,2000,2017-07-14 17:00:00
5.99,6.5,6.5,5.99,25190.0,4000,2017-07-14 17:10:00
6.2,6.2,6.2,6.2,6200.0,1000,2017-07-14 17:40:00
6.5,6.5,6.5,6.5,26000.0,4000,2017-07-14 17:50:00
6.2,5.9215,6.2,5.9215,30443.0,5000,2017-07-14 18:30:00
6.1285,6.1285,6.1285,6.1285,12257.0,2000,2017-07-14 18:40:00
7.56,5.6995,7.56,4.414,1419013.0,278000,2017-07-17 10:00:00
5.64,5.749,5.749,5.6385,28307.5,5000,2017-07-17 10:10:00
5.5,5.5,5.5,5.5,5500.0,1000,2017-07-17 10:20:00
5.2,5.5995,5.5995,5.2,21199.5,4000,2017-07-17 10:40:00
5.5995,5.999,6.054,5.5995,88140.5,15000,2017-07-17 10:50:00
5.999,6.1995,6.1995,5.999,36376.0,6000,2017-07-17 11:00:00
6.1365,6.15,6.15,6.1365,36866.0,6000,2017-07-17 11:10:00
5.984,5.984,5.984,5.984,5984.0,1000,2017-07-17 11:30:00
5.9695,5.98,5.98,5.9695,11949.5,2000,2017-07-17 12:10:00
6.15,6.249,6.249,6.15,12399.0,2000,2017-07-17 12:20:00
5.4,5.4,5.4,5.4,27000.0,5000,2017-07-17 12:30:00
5.5,5.0,5.5,5.0,179945.5,35000,2017-07-17 12:40:00
5.447,5.447,5.447,5.447,5447.0,1000,2017-07-17 13:10:00
5.5885,6.006,6.006,5.5885,165335.5,28000,2017-07-17 13:20:00
6.0,5.998,6.0,5.998,35990.0,6000,2017-07-17 13:30:00
5.4,5.4,5.4,5.4,5400.0,1000,2017-07-17 13:40:00
5.4,5.4,5.4,5.4,10800.0,2000,2017-07-17 13:50:00
5.878,5.88,5.88,5.878,11758.0,2000,2017-07-17 14:20:00
5.88,6.182,6.182,5.88,163483.5,27000,2017-07-17 14:30:00
6.09,6.185,6.185,6.09,30737.0,5000,2017-07-17 15:40:00
5.5,5.5,5.5,5.5,11000.0,2000,2017-07-17 17:00:00
5.5,5.0555,5.5,5.05,207999.0,40000,2017-07-17 17:10:00
5.105,5.037,5.105,5.037,35446.0,7000,2017-07-17 17:20:00
5.4,5.4,5.4,5.4,5400.0,1000,2017-07-17 17:30:00
5.4,5.0525,5.4,5.05,84352.0,16000,2017-07-17 17:40:00
5.052,4.81,5.052,4.81,150395.5,30000,2017-07-17 17:50:00
4.811,5.1995,5.278,4.811,25138.0,5000,2017-07-17 18:00:00
4.9495,4.8,5.1495,4.8,136730.5,28000,2017-07-17 18:30:00
4.968,4.968,4.968,4.968,69552.0,14000,2017-07-17 18:40:00
5.265,5.15,5.265,5.15,20715.0,4000,2017-07-18 10:10:00
4.565,4.5915,4.592,4.565,22931.5,5000,2017-07-18 10:20:00
4.7495,4.7495,4.7495,4.7495,4749.5,1000,2017-07-18 10:40:00
4.56,4.56,4.56,4.56,31920.0,7000,2017-07-18 11:20:00
4.6,4.56,4.6,4.56,18280.0,4000,2017-07-18 11:30:00
4.4715,4.0,4.4715,3.9995,695553.0,173000,2017-07-18 11:40:00
4.0,3.246,4.0,3.246,996527.0,284000,2017-07-18 11:50:00
3.4885,4.56,4.56,3.063,13911070.0,4074000,2017-07-18 12:00:00
4.56,6.716,6.7165,4.56,19934527.5,3482000,2017-07-18 12:10:00
6.702,6.7015,6.702,6.7015,549523.5,82000,2017-07-18 12:20:00
6.716,6.699,6.7165,6.699,750392.0,112000,2017-07-18 12:30:00
6.7,6.15,6.7,6.15,273537.0,44000,2017-07-18 12:40:00
6.28,6.15,6.299,6.15,18729.0,3000,2017-07-18 12:50:00
6.15,6.7165,6.7165,6.15,1676873.5,252000,2017-07-18 13:00:00
6.4,6.15,6.7165,6.11,1869956.5,285000,2017-07-18 13:10:00
6.15,6.01,6.15,5.752,6663739.5,1102000,2017-07-18 13:20:00
6.01,5.99,6.5545,5.949,14165902.5,2347000,2017-07-18 13:30:00
5.99,6.0,6.0,5.985,1522304.0,254000,2017-07-18 13:40:00
5.985,5.9985,6.0,5.985,293779.0,49000,2017-07-18 13:50:00
6.0,6.7165,6.7165,6.0,7051588.0,1095000,2017-07-18 14:00:00
6.7165,6.7165,6.7165,6.7165,577619.0,86000,2017-07-18 14:10:00
6.7165,6.7165,6.7165,6.7165,26866.0,4000,2017-07-18 14:20:00
6.7165,6.7165,6.7165,6.7165,87314.5,13000,2017-07-18 14:30:00
6.7165,5.9505,6.7165,5.57,15592886.5,2650000,2017-07-18 14:40:00
5.8995,5.7,5.924,5.7,154720.0,27000,2017-07-18 14:50:00
5.87,5.5055,5.9745,5.5055,11161560.0,2015000,2017-07-18 15:00:00
5.5095,6.7165,6.7165,5.5,29157494.5,5219000,2017-07-18 15:10:00
6.7165,6.716,6.7165,6.716,47014.5,7000,2017-07-18 15:20:00
6.7165,6.7165,6.7165,6.7165,6716.5,1000,2017-07-18 15:30:00
6.7165,6.7165,6.7165,6.7165,342541.5,51000,2017-07-18 15:40:00
6.7165,6.7165,6.7165,6.7165,510454.0,76000,2017-07-18 15:50:00
6.7165,6.716,6.7165,6.716,3163340.0,471000,2017-07-18 16:00:00
6.716,6.716,6.7165,6.716,80593.5,12000,2017-07-18 16:10:00
6.7165,6.7165,6.7165,6.7165,6716.5,1000,2017-07-18 16:30:00
6.7165,6.7165,6.7165,6.7165,26866.0,4000,2017-07-18 16:40:00
6.7165,6.7165,6.7165,6.7165,2035099.5,303000,2017-07-18 17:40:00
6.7165,6.7165,6.7165,6.7165,329108.5,49000,2017-07-18 18:00:00
6.7165,6.7165,6.7165,6.7165,6716.5,1000,2017-07-18 18:10:00
7.01,7.01,7.01,7.01,21030.0,3000,2017-07-19 09:50:00
7.2495,7.8995,8.4895,7.2495,754151.0,97000,2017-07-19 10:00:00
