Open,Close,High,Low,Value,Volume,Date
108.0,109.78,109.78,108.0,152446,1400,2014-06-10 14:10:00
109.0,107.2,109.0,107.2,172960,1600,2014-06-10 17:40:00
109.5,111.96,111.96,109.5,265752,2400,2014-06-11 16:10:00
110.5,108.5,110.5,108.5,329500,3000,2014-06-16 12:20:00
107.5,108.2,108.2,107.5,280060,2600,2014-06-17 12:30:00
108.0,110.0,110.0,108.0,152400,1400,2014-06-18 16:10:00
110.0,110.0,110.0,110.0,66000,600,2014-06-18 17:50:00
110.2,112.0,112.0,110.2,267000,2400,2014-06-19 16:30:00
110.98,109.0,110.98,109.0,308368,2800,2014-06-20 14:30:00
108.2,110.0,110.0,108.2,261480,2400,2014-06-23 15:20:00
109.0,110.58,110.58,109.0,285612,2600,2014-06-24 16:00:00
107.3,109.0,109.0,107.3,237420,2200,2014-06-25 14:10:00
110.9,109.0,110.9,109.0,307480,2800,2014-06-26 15:40:00
108.2,109.1,109.1,108.2,217480,2000,2014-06-27 17:20:00
108.0,109.0,109.0,108.0,282200,2600,2014-06-30 10:20:00
108.2,110.0,110.0,108.2,239480,2200,2014-07-01 17:00:00
109.3,111.3,111.3,109.3,242460,2200,2014-07-02 16:20:00
110.97,109.0,110.97,109.0,285764,2600,2014-07-03 16:50:00
109.0,110.88,110.88,109.0,286032,2600,2014-07-04 16:00:00
109.0,110.0,110.0,109.0,240600,2200,2014-07-07 15:40:00
112.0,112.0,112.0,112.0,11200,100,2014-07-08 13:50:00
111.97,110.0,111.97,110.0,243970,2200,2014-07-08 14:20:00
109.0,110.8,110.8,109.0,264120,2400,2014-07-09 15:50:00
108.5,110.8,110.8,108.5,263160,2400,2014-07-10 17:10:00
110.99,109.0,110.99,109.0,307986,2800,2014-07-11 14:40:00
109.2,110.8,110.8,109.2,286160,2600,2014-07-14 16:50:00
109.0,110.0,110.0,109.0,262800,2400,2014-07-15 16:00:00
109.0,110.5,110.5,109.0,263400,2400,2014-07-16 15:00:00
108.2,110.5,110.5,108.2,306180,2800,2014-07-17 16:10:00
109.0,110.3,110.3,109.0,307020,2800,2014-07-18 15:50:00
109.0,110.9,111.0,109.0,274980,2500,2014-07-21 17:10:00
109.0,110.99,110.99,109.0,286186,2600,2014-07-22 14:40:00
109.0,110.5,110.5,109.0,307300,2800,2014-07-29 13:00:00
108.01,108.01,108.01,108.01,10801,100,2014-07-29 15:20:00
109.0,110.23,110.23,109.0,285122,2600,2014-07-30 15:50:00
110.4,109.0,110.4,109.0,307160,2800,2014-07-31 14:40:00
110.0,112.0,112.0,110.0,431435,3900,2014-08-01 15:10:00
109.02,111.9,111.9,109.02,374700,3400,2014-08-04 14:20:00
112.0,112.0,112.0,112.0,11200,100,2014-08-04 17:30:00
111.99,110.0,111.99,110.0,577174,5200,2014-08-05 14:10:00
109.1,111.5,111.5,109.1,418900,3800,2014-08-06 18:10:00
109.2,111.5,111.5,109.2,441400,4000,2014-08-07 15:50:00
109.3,111.8,111.8,109.3,396980,3600,2014-08-08 12:40:00
110.1,111.3,111.3,110.1,421020,3800,2014-08-11 14:30:00
111.99,109.1,111.99,109.1,397384,3600,2014-08-12 15:30:00
