Open,Close,High,Low,Value,Volume,Date
21.09,21.1,21.1,21.09,158225,7500,2014-07-28 18:10:00
21.43,21.5,21.5,21.43,161005,7500,2014-09-23 18:00:00
20.9,21.0,21.0,20.9,262250,12500,2014-11-28 17:00:00
21.2,21.0,21.2,21.0,63450,3000,2015-01-29 17:40:00
20.5,20.5,20.5,20.5,112750,5500,2015-02-25 18:20:00
20.0,20.0,20.0,20.0,80000,4000,2015-02-26 14:40:00
20.5,20.5,20.5,20.5,430500,21000,2015-04-30 18:00:00
20.5,20.5,20.5,20.5,2050,100,2015-04-30 18:20:00
20.0,20.0,20.0,20.0,420000,21000,2015-06-30 18:30:00
20.1,20.4,20.4,20.1,336240,16600,2015-09-17 18:00:00
20.5,20.5,20.5,20.5,205000,10000,2015-09-22 18:10:00
20.5,20.5,20.5,20.5,205000,10000,2016-06-14 16:00:00
20.5,20.5,20.5,20.5,4100,200,2016-10-20 15:50:00
25.1,25.1,25.1,25.1,2510,100,2016-10-21 17:10:00
25.1,25.1,25.1,25.1,17570,700,2016-10-25 12:50:00
27.5,27.5,27.5,27.5,2750,100,2016-10-25 13:50:00
27.4,27.4,27.4,27.4,2740,100,2016-10-25 14:10:00
32.0,32.0,32.0,32.0,3200,100,2016-10-26 10:30:00
29.2,24.7,29.2,23.5,7740,300,2016-10-27 14:30:00
44.6,44.6,44.6,44.6,4460,100,2016-10-27 15:00:00
38.0,38.0,38.0,38.0,3800,100,2016-10-27 15:50:00
35.0,25.8,35.0,25.8,11680,400,2016-10-27 16:00:00
30.0,30.0,30.0,30.0,3000,100,2016-10-27 16:10:00
41.8,25.8,41.9,25.8,13550,400,2016-10-28 11:00:00
30.0,29.0,30.0,29.0,8850,300,2016-10-28 15:00:00
28.5,28.5,28.5,28.5,2850,100,2016-10-28 15:10:00
28.0,28.4,28.4,28.0,5640,200,2016-10-28 15:20:00
29.0,29.0,29.0,29.0,2900,100,2016-10-28 15:30:00
29.5,29.5,29.5,29.5,2950,100,2016-10-28 16:10:00
30.0,30.5,30.5,30.0,6050,200,2016-10-28 16:40:00
