Open,Close,High,Low,Value,Volume,Date
71500,72000,72000,71500,143500,2,2014-06-16 16:00:00
71600,71600,71600,71600,71600,1,2014-06-16 17:20:00
71500,71500,71500,71500,357500,5,2014-06-19 11:00:00
71350,71350,71350,71350,356750,5,2014-06-24 13:30:00
69999,69999,69999,69999,69999,1,2014-07-02 18:10:00
69699,69699,69699,69699,69699,1,2014-07-03 18:20:00
69500,69500,69500,69500,69500,1,2014-07-04 12:20:00
69000,69000,69000,69000,69000,1,2014-07-08 11:50:00
68510,68510,68510,68510,68510,1,2014-07-08 17:20:00
69499,69500,69500,69499,347496,5,2014-07-10 14:30:00
69500,69500,69500,69500,69500,1,2014-07-10 15:40:00
63510,63510,63510,63510,317550,5,2014-07-14 10:00:00
67888,67888,67888,67888,67888,1,2014-07-18 12:20:00
67999,67999,67999,67999,67999,1,2014-07-18 16:50:00
63888,63888,63888,63888,447216,7,2014-07-22 10:00:00
67888,67888,67888,67888,67888,1,2014-07-22 11:40:00
68888,68888,68888,68888,68888,1,2014-07-22 15:30:00
67888,67888,67888,67888,67888,1,2014-07-22 16:00:00
67900,67900,67900,67900,67900,1,2014-07-22 17:30:00
67500,67500,67500,67500,67500,1,2014-07-23 15:50:00
67000,67000,67000,67000,67000,1,2014-07-24 15:00:00
68000,68000,68000,68000,68000,1,2014-07-29 13:50:00
68000,68000,68000,68000,68000,1,2014-07-31 14:30:00
70000,70000,70000,70000,70000,1,2014-08-05 14:30:00
70000,70000,70000,70000,70000,1,2014-08-05 14:40:00
69000,69000,69000,69000,69000,1,2014-08-12 17:00:00
70000,70000,70000,70000,70000,1,2014-08-14 10:10:00
70500,70500,70500,70500,70500,1,2014-08-14 11:50:00
70000,70000,70000,70000,70000,1,2014-08-14 14:40:00
70000,70000,70000,70000,140000,2,2014-08-15 10:10:00
70000,70000,70000,70000,70000,1,2014-08-18 17:30:00
70000,70000,70000,70000,140000,2,2014-08-18 18:20:00
68000,68000,68000,68000,68000,1,2014-08-25 14:50:00
68000,68000,68000,68000,68000,1,2014-08-25 16:30:00
68000,68000,68000,68000,136000,2,2014-08-25 18:20:00
68000,68000,68000,68000,68000,1,2014-08-26 11:10:00
64888,64888,64888,64888,129776,2,2014-08-29 18:20:00
64888,64888,64888,64888,64888,1,2014-08-29 18:30:00
64888,64888,64888,64888,129776,2,2014-09-01 17:00:00
66666,66666,66666,66666,66666,1,2014-09-04 13:10:00
66999,66999,66999,66999,66999,1,2014-09-04 14:50:00
67555,68000,68000,67555,135555,2,2014-09-05 18:10:00
65667,65667,65667,65667,131334,2,2014-09-08 17:30:00
67500,67500,67500,67500,67500,1,2014-09-11 12:40:00
67500,67500,67500,67500,67500,1,2014-09-11 15:20:00
67500,67500,67500,67500,67500,1,2014-09-11 15:30:00
66501,66501,66501,66501,66501,1,2014-09-11 17:10:00
65000,65000,65000,65000,325000,5,2014-09-15 12:40:00
64100,64100,64100,64100,128200,2,2014-09-22 14:00:00
65999,65999,65999,65999,65999,1,2014-09-24 17:30:00
66000,66000,66000,66000,66000,1,2014-10-02 14:00:00
68000,68000,68000,68000,136000,2,2014-10-02 17:30:00
70000,70000,70000,70000,420000,6,2014-10-06 11:30:00
70000,70000,70000,70000,70000,1,2014-10-06 13:10:00
70000,70000,70000,70000,700000,10,2014-10-15 10:20:00
69500,69500,69500,69500,625500,9,2014-10-16 14:50:00
70000,70000,70000,70000,70000,1,2014-10-21 10:00:00
70000,70000,70000,70000,70000,1,2014-10-21 13:10:00
70000,70000,70000,70000,70000,1,2014-10-21 14:30:00
69900,69900,69900,69900,908700,13,2014-11-06 17:30:00
69900,69900,69900,69900,69900,1,2014-11-06 17:40:00
70000,70000,70000,70000,70000,1,2014-11-07 10:10:00
70000,70000,70000,70000,210000,3,2014-11-07 14:00:00
70000,70000,70000,70000,70000,1,2014-11-07 14:40:00
70000,70000,70000,70000,70000,1,2014-11-07 18:10:00
69800,69800,69800,69800,69800,1,2014-11-12 17:30:00
70000,70000,70000,70000,70000,1,2014-11-12 17:50:00
70000,70000,70000,70000,70000,1,2014-11-13 10:20:00
68000,68000,68000,68000,68000,1,2014-11-18 12:00:00
67500,67500,67500,67500,67500,1,2014-11-18 12:20:00
67500,67500,67500,67500,135000,2,2014-11-21 14:30:00
67500,67500,67500,67500,135000,2,2014-11-24 15:30:00
70000,70000,70000,70000,70000,1,2014-11-24 17:40:00
72000,72000,72000,72000,720000,10,2014-12-01 16:00:00
75000,75000,75000,75000,75000,1,2014-12-02 11:30:00
75000,75000,75000,75000,450000,6,2014-12-03 11:00:00
75000,75000,75000,75000,750000,10,2014-12-04 11:10:00
77500,77500,77500,77500,77500,1,2014-12-04 12:00:00
77500,77500,77500,77500,77500,1,2014-12-04 13:20:00
80000,80000,80000,80000,160000,2,2014-12-04 13:30:00
80000,80000,80000,80000,240000,3,2014-12-04 15:10:00
75000,75000,75000,75000,150000,2,2014-12-09 12:30:00
75000,75000,75000,75000,75000,1,2014-12-10 13:50:00
79000,79000,79000,79000,79000,1,2014-12-11 11:40:00
71000,70000,71000,70000,141000,2,2014-12-16 11:40:00
73000,73000,73000,73000,73000,1,2014-12-16 12:50:00
73000,73000,73000,73000,73000,1,2014-12-16 16:20:00
77500,77500,77500,77500,77500,1,2014-12-16 17:20:00
77500,79500,79500,77500,395000,5,2014-12-16 17:40:00
79500,80000,80000,79500,799500,10,2014-12-17 10:30:00
79500,80000,80000,79500,1038500,13,2014-12-18 16:00:00
80000,80000,80000,80000,80000,1,2014-12-18 17:20:00
