Open,Close,High,Low,Value,Volume,Date
5.987,5.987,5.987,5.987,598.7,100,2014-06-09 11:20:00
5.741,5.741,5.741,5.741,574.1,100,2014-06-09 11:40:00
5.747,5.74,5.747,5.74,5741.5,1000,2014-06-09 14:20:00
5.803,5.803,5.803,5.803,1160.6,200,2014-06-09 17:30:00
5.803,5.824,5.824,5.789,5219.2,900,2014-06-09 18:30:00
5.75,5.6,5.75,5.6,46353.8,8200,2014-06-10 16:50:00
5.602,5.7,5.7,5.6,8970.9,1600,2014-06-10 18:00:00
5.6,5.6,5.6,5.599,29679.3,5300,2014-06-10 18:10:00
5.599,5.599,5.599,5.599,559.9,100,2014-06-10 18:20:00
5.775,5.775,5.775,5.775,2887.5,500,2014-06-11 10:40:00
5.758,5.816,5.816,5.758,51947.5,9000,2014-06-11 10:50:00
5.814,5.814,5.814,5.814,1162.8,200,2014-06-11 12:50:00
5.818,5.814,5.818,5.814,27914.5,4800,2014-06-11 13:00:00
5.811,5.812,5.812,5.811,2905.9,500,2014-06-11 17:20:00
5.6,5.6,5.6,5.6,560.0,100,2014-06-16 14:30:00
5.703,5.703,5.703,5.703,3992.1,700,2014-06-16 14:50:00
5.703,5.704,5.704,5.703,6844.5,1200,2014-06-16 16:20:00
5.568,5.568,5.568,5.568,556.8,100,2014-06-16 17:00:00
5.8,5.961,5.961,5.8,29783.2,5000,2014-06-16 18:30:00
5.801,5.8,5.801,5.8,8700.7,1500,2014-06-17 10:00:00
5.678,5.678,5.678,5.678,567.8,100,2014-06-17 12:30:00
5.678,5.678,5.678,5.678,2271.2,400,2014-06-17 12:50:00
5.799,5.8,5.8,5.799,12759.3,2200,2014-06-17 16:00:00
5.964,5.964,5.964,5.964,596.4,100,2014-06-17 18:10:00
5.802,5.8,5.802,5.8,48141.5,8300,2014-06-18 13:00:00
5.75,5.75,5.75,5.75,44850.0,7800,2014-06-18 13:10:00
5.749,5.75,5.75,5.749,17249.3,3000,2014-06-18 14:00:00
5.75,5.75,5.75,5.75,9200.0,1600,2014-06-18 14:40:00
5.8,5.8,5.8,5.8,5800.0,1000,2014-06-18 18:10:00
5.9,5.9,5.9,5.9,30680.0,5200,2014-06-19 12:00:00
5.752,5.51,5.752,5.51,126481.2,22800,2014-06-19 13:20:00
5.774,5.625,5.774,5.625,11829.1,2100,2014-06-19 13:30:00
5.763,5.763,5.763,5.763,576.3,100,2014-06-19 14:00:00
5.603,5.4,5.603,5.3,372008.1,70100,2014-06-19 14:20:00
5.399,5.402,5.402,5.399,21063.0,3900,2014-06-19 14:40:00
5.45,5.45,5.45,5.45,13625.0,2500,2014-06-19 14:50:00
5.399,5.399,5.399,5.399,1619.7,300,2014-06-19 15:30:00
5.4,5.75,5.75,5.4,111436.59999999999,20000,2014-06-19 15:50:00
5.4,5.4,5.4,5.4,8100.0,1500,2014-06-19 16:00:00
5.4,5.4,5.4,5.4,1620.0,300,2014-06-19 16:10:00
5.449,5.45,5.45,5.449,27249.3,5000,2014-06-19 16:30:00
5.45,5.45,5.699,5.45,23534.3,4300,2014-06-19 16:40:00
5.45,5.45,5.45,5.449,37604.0,6900,2014-06-19 17:00:00
5.45,5.45,5.45,5.45,26705.0,4900,2014-06-19 17:10:00
5.744,5.353,5.744,5.353,318908.8,59400,2014-06-19 17:50:00
5.514,5.514,5.514,5.514,13785.0,2500,2014-06-19 18:10:00
5.561,5.561,5.561,5.561,556.1,100,2014-06-20 12:10:00
5.401,5.286,5.401,5.286,4287.400000000001,800,2014-06-20 12:20:00
5.475,5.644,5.645,5.465,67851.3,12200,2014-06-20 12:50:00
5.509,5.509,5.509,5.509,22036.0,4000,2014-06-20 13:10:00
5.387,5.159,5.387,5.159,130690.6,25000,2014-06-20 15:00:00
5.18,5.101,5.18,5.101,175820.2,34300,2014-06-20 15:10:00
5.13,5.249,5.249,5.101,51576.700000000004,10100,2014-06-20 15:20:00
5.248,5.248,5.248,5.248,5248.0,1000,2014-06-20 15:40:00
5.247,5.247,5.248,5.247,15218.3,2900,2014-06-20 15:50:00
5.152,5.125,5.152,5.125,13385.5,2600,2014-06-20 16:50:00
5.2,5.2,5.2,5.2,21320.0,4100,2014-06-20 17:10:00
5.2,5.2,5.2,5.2,1040.0,200,2014-06-20 18:10:00
5.127,5.125,5.127,5.125,13838.2,2700,2014-06-20 18:30:00
5.221,5.221,5.221,5.221,1044.2,200,2014-06-23 11:10:00
5.2,5.15,5.2,5.15,2070.0,400,2014-06-23 11:20:00
5.16,5.16,5.16,5.16,1032.0,200,2014-06-23 12:00:00
5.228,5.228,5.228,5.228,2614.0,500,2014-06-23 12:20:00
5.16,5.16,5.16,5.16,1032.0,200,2014-06-23 14:20:00
5.17,5.17,5.17,5.17,5170.0,1000,2014-06-23 15:50:00
5.17,5.161,5.17,5.161,9818.1,1900,2014-06-23 16:10:00
5.161,5.15,5.161,5.15,41801.5,8100,2014-06-23 16:30:00
5.16,5.16,5.16,5.16,1032.0,200,2014-06-23 17:10:00
5.16,5.16,5.16,5.16,21672.0,4200,2014-06-23 17:30:00
5.154,5.154,5.154,5.154,18554.4,3600,2014-06-23 17:40:00
5.157,5.16,5.16,5.157,20630.4,4000,2014-06-23 18:10:00
5.031,5.03,5.031,5.03,15091.5,3000,2014-06-24 15:10:00
5.15,5.15,5.15,5.15,16995.0,3300,2014-06-24 15:40:00
5.15,5.149,5.15,5.149,28837.4,5600,2014-06-24 15:50:00
5.149,5.152,5.152,5.149,32444.7,6300,2014-06-24 16:50:00
5.205,5.21,5.21,5.205,11451.5,2200,2014-06-24 17:10:00
5.238,5.4,5.4,5.238,192472.5,36000,2014-06-24 17:50:00
5.604,5.949,5.949,5.604,2328.9,400,2014-06-25 10:00:00
5.21,5.21,5.21,5.21,2605.0,500,2014-06-25 10:20:00
5.359,5.359,5.359,5.359,8038.5,1500,2014-06-25 13:40:00
5.35,5.75,5.75,5.35,51439.2,9300,2014-06-25 17:50:00
5.22,5.22,5.22,5.22,522.0,100,2014-06-25 18:20:00
5.699,5.699,5.699,5.699,569.9,100,2014-06-25 18:30:00
5.575,5.799,5.799,5.575,1137.4,200,2014-06-26 10:00:00
5.77,5.748,5.999,5.6,298666.4,50500,2014-06-26 11:50:00
5.714,5.714,5.714,5.714,571.4,100,2014-06-26 12:00:00
5.705,5.705,5.705,5.705,1141.0,200,2014-06-26 12:10:00
5.705,5.705,5.705,5.705,13121.5,2300,2014-06-26 12:20:00
5.704,5.701,5.704,5.701,8552.7,1500,2014-06-26 12:30:00
5.701,5.909,5.909,5.701,91474.7,15800,2014-06-26 16:10:00
5.79,6.0,6.0,5.79,59222.6,10000,2014-06-26 18:30:00
5.873,5.921,5.921,5.873,1179.4,200,2014-06-27 10:00:00
6.171,6.188,6.188,6.171,3707.9,600,2014-06-27 10:10:00
5.955,5.955,5.955,5.955,595.5,100,2014-06-27 10:20:00
5.758,5.7,5.758,5.7,22991.2,4000,2014-06-27 12:00:00
5.913,5.913,5.913,5.913,591.3,100,2014-06-27 14:30:00
5.949,6.188,6.188,5.949,321377.3,52800,2014-06-27 16:10:00
6.247,6.247,6.247,6.247,624.7,100,2014-06-27 16:20:00
5.904,5.869,5.904,5.869,5876.0,1000,2014-06-27 16:30:00
6.001,6.001,6.001,6.001,600.1,100,2014-06-27 17:30:00
6.08,6.45,6.45,6.08,89419.59999999999,14400,2014-06-27 18:30:00
6.497,6.68,6.939,6.497,222913.0,33600,2014-06-30 10:00:00
6.6,6.6,6.6,6.6,660.0,100,2014-06-30 10:10:00
6.55,6.002,6.55,6.002,69940.79999999999,11500,2014-06-30 10:30:00
6.002,6.001,6.3,6.0,405042.9,65500,2014-06-30 10:40:00
6.008,6.242,6.242,5.999,325872.19999999995,54300,2014-06-30 10:50:00
