Open,Close,High,Low,Value,Volume,Date
55.0,55.0,55.0,55.0,5500.0,100,2015-06-10 12:50:00
55.0,55.0,55.0,55.0,5500.0,100,2015-06-10 13:10:00
55.0,55.0,55.0,55.0,11000.0,200,2015-06-11 10:00:00
52.1,52.1,52.1,52.1,5210.0,100,2015-06-11 10:20:00
53.1,53.1,53.1,53.1,10620.0,200,2015-06-15 10:50:00
53.5,53.5,53.5,53.5,5350.0,100,2015-06-15 15:50:00
53.1,53.1,53.1,53.1,5310.0,100,2015-06-16 15:10:00
55.0,56.0,57.0,55.0,22400.0,400,2015-06-16 17:10:00
56.0,56.0,56.0,56.0,5600.0,100,2015-06-16 17:20:00
54.2,54.1,54.2,54.1,10830.0,200,2015-06-19 12:20:00
58.6,58.7,58.7,58.6,11730.0,200,2015-06-22 16:50:00
58.9,58.9,58.9,58.9,5890.0,100,2015-06-22 17:00:00
58.9,58.9,58.9,58.9,5890.0,100,2015-06-22 17:20:00
59.6,59.6,59.6,59.6,5960.0,100,2015-06-24 11:10:00
54.4,55.0,55.0,53.0,134730.0,2500,2015-06-24 11:20:00
55.0,55.0,55.0,55.0,55000.0,1000,2015-06-24 11:30:00
55.0,55.0,55.0,55.0,27500.0,500,2015-06-24 12:20:00
54.9,55.0,55.0,54.9,10990.0,200,2015-06-24 13:50:00
55.0,55.0,55.0,55.0,11000.0,200,2015-06-24 14:00:00
55.0,55.0,55.0,55.0,16500.0,300,2015-06-24 18:10:00
55.0,55.0,55.0,55.0,5500.0,100,2015-06-25 15:30:00
55.0,55.0,55.0,55.0,82500.0,1500,2015-06-25 17:00:00
53.1,53.0,53.1,53.0,42410.0,800,2015-06-29 18:00:00
52.9,53.0,53.0,52.9,37090.0,700,2015-06-30 11:20:00
53.0,53.0,53.0,53.0,265000.0,5000,2015-06-30 14:20:00
53.0,53.0,53.0,53.0,10600.0,200,2015-06-30 17:10:00
50.1,50.0,50.1,50.0,10010.0,200,2015-07-06 12:10:00
50.6,50.7,50.7,50.6,55760.0,1100,2015-07-06 13:00:00
50.1,50.1,50.1,50.1,5010.0,100,2015-07-06 18:00:00
