Open,Close,High,Low,Value,Volume,Date
107.18,107.17,107.18,107.17,9645.5,90,2014-06-09 17:20:00
110.99,110.99,110.99,110.99,2219.8,20,2014-06-10 15:10:00
109.99,109.99,109.99,109.99,1099.9,10,2014-06-10 18:10:00
110.97,110.97,110.97,110.97,1109.7,10,2014-06-11 10:50:00
107.87,107.91,107.91,107.87,9711.5,90,2014-06-11 11:20:00
110.97,110.97,110.97,110.97,4438.8,40,2014-06-11 13:50:00
109.69,109.69,109.69,109.69,4387.6,40,2014-06-11 18:20:00
109.9,109.9,109.9,109.9,12089.0,110,2014-06-16 10:00:00
109.99,110.0,110.0,109.99,335499.3,3050,2014-06-16 14:30:00
109.99,110.0,110.0,109.99,68199.0,620,2014-06-16 16:30:00
110.0,110.0,110.0,110.0,1320000.0,12000,2014-06-16 17:10:00
110.55,110.0,110.55,109.51,24151.6,220,2014-06-16 18:30:00
110.87,110.88,110.88,110.87,22174.9,200,2014-06-17 10:40:00
111.88,111.88,111.88,111.88,1118.8,10,2014-06-17 10:50:00
111.88,111.88,111.88,111.88,1118.8,10,2014-06-17 11:30:00
109.02,109.0,109.02,109.0,45780.5,420,2014-06-17 11:50:00
109.71,109.71,109.71,109.71,1097.1,10,2014-06-17 12:40:00
109.56,109.62,109.63,109.5,67911.6,620,2014-06-17 14:00:00
109.7,109.7,109.7,109.7,16455.0,150,2014-06-17 15:00:00
111.44,113.49,113.49,111.44,182704.3,1630,2014-06-17 16:30:00
112.22,113.5,113.5,112.22,15826.0,140,2014-06-17 16:40:00
112.5,113.02,113.02,112.5,22505.2,200,2014-06-17 17:00:00
112.0,112.0,112.0,112.0,10080.0,90,2014-06-17 17:20:00
112.01,112.0,112.01,112.0,112000.3,1000,2014-06-18 13:10:00
112.0,112.0,112.0,112.0,1120.0,10,2014-06-18 13:40:00
113.1,113.5,114.0,113.1,910042.3,8030,2014-06-18 13:50:00
113.5,115.94,115.94,113.5,1048395.3,9230,2014-06-18 14:00:00
115.0,115.0,115.0,113.49,563349.7,4930,2014-06-18 14:10:00
115.01,115.0,115.01,115.0,6900.1,60,2014-06-18 14:20:00
116.01,116.0,116.01,116.0,18560.3,160,2014-06-18 15:20:00
116.0,116.0,116.0,116.0,2320.0,20,2014-06-18 15:30:00
116.0,116.0,116.0,116.0,13920.0,120,2014-06-18 15:40:00
