Open,Close,High,Low,Value,Volume,Date
0.75,0.75,0.75,0.75,7500.0,10000,2014-06-09 14:30:00
0.75,0.75,0.75,0.75,7500.0,10000,2014-06-09 16:50:00
0.75,0.75,0.75,0.75,7500.0,10000,2014-06-09 17:20:00
0.75,0.75,0.75,0.75,750.0,1000,2014-06-09 18:20:00
0.7353,0.7353,0.7353,0.7353,735.3,1000,2014-06-10 10:10:00
0.751,0.751,0.751,0.751,5257.0,7000,2014-06-10 13:30:00
0.751,0.751,0.751,0.751,2253.0,3000,2014-06-10 13:40:00
0.75,0.75,0.75,0.75,750.0,1000,2014-06-10 15:00:00
0.7532,0.7532,0.7695,0.7532,14394.699999999999,19000,2014-06-10 15:20:00
0.77,0.7817,0.7817,0.76,20087.7,26000,2014-06-11 14:40:00
0.7899,0.784,0.8,0.7701,18693.1,24000,2014-06-11 14:50:00
0.772,0.772,0.772,0.772,772.0,1000,2014-06-11 15:10:00
0.772,0.7715,0.772,0.7715,1543.5,2000,2014-06-11 17:30:00
0.7712,0.7705,0.7712,0.7705,1541.7,2000,2014-06-11 17:40:00
0.7623,0.7623,0.7623,0.7623,762.3,1000,2014-06-16 17:10:00
0.761,0.7501,0.761,0.7501,6805.4,9000,2014-06-16 17:20:00
0.7501,0.75,0.7501,0.75,4500.2,6000,2014-06-16 17:30:00
0.7511,0.7501,0.7511,0.7501,6006.400000000001,8000,2014-06-17 13:10:00
0.7967,0.8038,0.8038,0.7967,6408.900000000001,8000,2014-06-17 16:10:00
0.7894,0.8243,0.8243,0.7894,46178.2,57000,2014-06-17 16:50:00
0.7906,0.7906,0.7906,0.7906,1581.2,2000,2014-06-17 17:20:00
0.8138,0.8138,0.8138,0.8138,813.8,1000,2014-06-18 10:20:00
0.805,0.805,0.805,0.805,805.0,1000,2014-06-18 10:30:00
0.805,0.805,0.805,0.805,805.0,1000,2014-06-18 10:40:00
0.81,0.81,0.81,0.81,810.0,1000,2014-06-19 11:10:00
0.815,0.83,0.83,0.815,7447.2,9000,2014-06-19 12:40:00
0.82,0.765,0.82,0.765,7098.6,9000,2014-06-19 16:40:00
0.7701,0.7701,0.7701,0.7701,2310.3,3000,2014-06-20 13:30:00
0.77,0.77,0.77,0.77,770.0,1000,2014-06-23 10:00:00
0.7699,0.7723,0.7723,0.7699,5394.5,7000,2014-06-23 10:10:00
0.78,0.78,0.78,0.78,3900.0,5000,2014-06-23 11:00:00
0.8055,0.834,0.834,0.8055,19105.5,23000,2014-06-23 16:10:00
0.834,0.85,0.85,0.834,57651.5,68000,2014-06-23 16:30:00
0.8501,0.85,0.8501,0.85,1700.1,2000,2014-06-23 16:40:00
0.85,0.85,0.85,0.85,1700.0,2000,2014-06-23 17:20:00
0.85,0.85,0.85,0.85,850.0,1000,2014-06-23 17:50:00
0.834,0.834,0.834,0.834,1668.0,2000,2014-06-23 18:30:00
0.8759,0.87,0.8759,0.87,3485.9,4000,2014-06-24 15:00:00
0.8757,0.876,0.876,0.8757,9633.0,11000,2014-06-24 15:30:00
0.8589,0.8589,0.8589,0.8589,858.9,1000,2014-06-24 16:30:00
0.8589,0.8589,0.8589,0.8589,858.9,1000,2014-06-24 17:20:00
0.8581,0.8501,0.8581,0.8501,26504.4,31000,2014-06-24 17:50:00
0.8589,0.8589,0.8589,0.8589,4294.5,5000,2014-06-24 18:00:00
0.85,0.85,0.85,0.85,6800.0,8000,2014-06-24 18:20:00
0.8481,0.848,0.8481,0.848,3392.1,4000,2014-06-24 18:30:00
0.836,0.836,0.836,0.836,836.0,1000,2014-06-25 13:30:00
0.8032,0.8027,0.8032,0.8027,36927.3,46000,2014-06-25 14:40:00
0.8027,0.8027,0.8027,0.8027,1605.4,2000,2014-06-25 14:50:00
0.862,0.853,0.8623,0.85,42200.49999999999,49000,2014-06-25 15:00:00
0.85,0.85,0.85,0.85,6800.0,8000,2014-06-25 15:20:00
0.8499,0.85,0.85,0.8499,4249.8,5000,2014-06-25 15:30:00
