Open,Close,High,Low,Value,Volume,Date
0.2006,0.2006,0.2006,0.2006,200.6,1000,2014-06-09 18:20:00
0.2004,0.2004,0.2004,0.2004,200.4,1000,2014-06-11 18:30:00
0.2,0.2,0.2,0.2,2000.0,10000,2014-06-16 18:00:00
0.2,0.2,0.2,0.2,4000.0,20000,2014-06-16 18:20:00
0.2,0.2,0.2,0.2,10200.0,51000,2014-06-16 18:30:00
0.2,0.2,0.2,0.2,2000.0,10000,2014-06-17 18:30:00
0.2198,0.2209,0.2209,0.2198,880.6999999999999,4000,2014-07-03 17:30:00
0.1915,0.1909,0.1915,0.1909,1147.0,6000,2014-08-08 17:20:00
0.1912,0.1912,0.1912,0.1912,382.4,2000,2014-08-08 18:00:00
0.1904,0.1899,0.1904,0.1899,760.5,4000,2014-08-11 17:10:00
0.19,0.19,0.19,0.19,8550.0,45000,2014-08-11 17:40:00
0.1797,0.1669,0.1797,0.1669,513.6,3000,2014-08-25 11:30:00
0.1997,0.1997,0.1997,0.1997,399.4,2000,2014-08-25 13:50:00
0.2219,0.2355,0.2355,0.2219,1136.5,5000,2014-08-25 18:30:00
0.2484,0.25,0.25,0.2484,1244.6,5000,2014-08-26 18:30:00
0.1981,0.1861,0.1981,0.1861,2338.2999999999997,12000,2014-08-27 17:40:00
0.2449,0.259,0.259,0.2449,753.9,3000,2014-08-28 10:00:00
0.249,0.2493,0.2493,0.249,747.3,3000,2014-08-28 13:20:00
0.25,0.25,0.345,0.25,3944.9,15000,2014-08-29 10:00:00
0.2689,0.27,0.27,0.2689,1886.1,7000,2014-08-29 10:50:00
0.205,0.205,0.205,0.205,205.0,1000,2014-08-29 11:00:00
0.2069,0.2069,0.2069,0.2069,206.9,1000,2014-08-29 11:10:00
0.2696,0.2699,0.2699,0.2696,809.4,3000,2014-08-29 11:20:00
0.22,0.22,0.22,0.22,220.0,1000,2014-08-29 13:10:00
0.2665,0.2684,0.2684,0.2665,1870.1,7000,2014-08-29 13:50:00
0.2222,0.2222,0.2222,0.2222,222.2,1000,2014-08-29 14:00:00
0.2265,0.2683,0.2683,0.2265,1562.4999999999998,6000,2014-08-29 14:20:00
0.2323,0.267,0.267,0.2323,2507.2,10000,2014-08-29 14:30:00
0.2202,0.2146,0.2202,0.2146,3010.0,14000,2014-09-01 16:00:00
0.2494,0.2496,0.2496,0.2494,499.0,2000,2014-09-01 16:10:00
0.2489,0.2693,0.2693,0.2489,1267.1,5000,2014-09-03 10:00:00
0.22,0.269,0.269,0.22,757.9,3000,2014-09-03 10:40:00
0.2686,0.2999,0.2999,0.2686,1376.3000000000002,5000,2014-09-08 10:00:00
0.2021,0.27,0.27,0.2,1663.8000000000002,7000,2014-09-08 15:10:00
0.2003,0.2003,0.2003,0.2003,200.3,1000,2014-09-08 17:40:00
0.2697,0.24,0.2698,0.24,779.5,3000,2014-09-08 17:50:00
0.25,0.27,0.27,0.25,520.0,2000,2014-09-09 10:00:00
0.238,0.2698,0.2698,0.238,507.8,2000,2014-09-09 11:00:00
0.2698,0.2999,0.2999,0.2698,569.7,2000,2014-09-10 10:00:00
0.2697,0.2698,0.2698,0.2208,1520.6,6000,2014-09-10 10:20:00
0.2996,0.2996,0.2996,0.2996,299.6,1000,2014-09-10 10:30:00
0.24,0.24,0.24,0.24,240.0,1000,2014-09-10 11:10:00
0.245,0.25,0.2994,0.245,1093.4,4000,2014-09-10 11:20:00
0.2987,0.255,0.2988,0.255,852.5,3000,2014-09-10 11:30:00
0.2989,0.2989,0.2989,0.2989,298.9,1000,2014-09-10 11:40:00
0.2606,0.2606,0.2606,0.2606,260.6,1000,2014-09-10 12:00:00
0.2606,0.2606,0.2606,0.2606,260.6,1000,2014-09-10 13:00:00
0.246,0.246,0.246,0.246,246.0,1000,2014-09-10 15:00:00
