Open,Close,High,Low,Value,Volume,Date
466.2,466.2,466.2,466.2,61433038.80000003,131774,2023-10-13 15:10:00
466.2,466.2,466.2,466.2,31187381.400000013,66897,2023-10-13 15:20:00
466.2,466.2,466.2,466.2,15401383.200000001,33036,2023-10-13 15:30:00
466.2,466.2,466.2,466.2,31514653.799999997,67599,2023-10-13 15:40:00
466.2,466.2,466.2,466.2,76943046.59999998,165043,2023-10-13 15:50:00
466.2,466.2,466.2,466.2,23005105.2,49346,2023-10-13 16:00:00
466.2,466.2,466.2,466.2,5582278.8,11974,2023-10-13 16:10:00
466.2,466.2,466.2,466.2,5118409.8,10979,2023-10-13 16:20:00
466.2,466.2,466.2,466.2,7539386.399999999,16172,2023-10-13 16:30:00
466.2,466.2,466.2,466.2,5333794.199999998,11441,2023-10-13 16:40:00
466.2,466.2,466.2,466.2,1585546.2,3401,2023-10-13 16:50:00
466.2,466.2,466.2,466.2,11462459.400000002,24587,2023-10-13 17:00:00
466.2,466.2,466.2,466.2,5789737.8,12419,2023-10-13 17:10:00
466.2,466.2,466.2,466.2,15918399.0,34145,2023-10-13 17:20:00
466.2,466.2,466.2,466.2,4629832.199999999,9931,2023-10-13 17:30:00
466.2,466.2,466.2,466.2,2694636.0,5780,2023-10-13 17:40:00
466.2,466.2,466.2,466.2,863868.6000000001,1853,2023-10-13 17:50:00
466.2,466.2,466.2,466.2,4956638.4,10632,2023-10-13 18:00:00
466.2,466.2,466.2,466.2,5067594.0,10870,2023-10-13 18:10:00
466.2,466.2,466.2,466.2,2042888.3999999997,4382,2023-10-13 18:20:00
466.2,466.2,466.2,466.2,10475514.000000004,22470,2023-10-13 18:30:00
466.2,466.2,466.2,466.2,806992.1999999997,1731,2023-10-13 18:40:00
512.8,512.8,512.8,512.8,11925164.000000007,23255,2023-10-16 09:50:00
540.0,567.2,651.7,521.2,1726687104.2000005,2911304,2023-10-16 10:00:00
567.2,556.45,577.5,551.8,353477347.84999967,624896,2023-10-16 10:10:00
550.0,514.4,555.0,512.8,589038169.6500001,1105877,2023-10-16 10:40:00
513.8,504.3,525.0,502.0,548561494.7000002,1067713,2023-10-16 10:50:00
504.3,517.1,521.15,503.75,367103278.0999998,713597,2023-10-16 11:00:00
517.1,527.6,529.5,515.25,251411261.1999999,480670,2023-10-16 11:10:00
527.65,544.0,545.0,526.5,331665901.3499999,618574,2023-10-16 11:20:00
544.0,522.75,544.2,520.2,283371560.2499999,534479,2023-10-16 11:30:00
522.6,517.25,528.5,515.2,190354381.10000017,363944,2023-10-16 11:40:00
517.4,523.0,525.0,515.7,86847713.00000001,166560,2023-10-16 11:50:00
523.0,527.3,533.5,522.0,134987825.75000003,255268,2023-10-16 12:00:00
527.25,524.1,531.5,524.0,61178423.79999997,115935,2023-10-16 12:10:00
524.05,531.7,532.0,524.0,61201925.949999996,115974,2023-10-16 12:20:00
531.6,536.85,537.0,530.5,95551762.84999996,178837,2023-10-16 12:30:00
536.55,535.65,541.65,531.7,142404302.65000004,264369,2023-10-16 12:40:00
535.7,537.05,539.05,531.0,64958825.94999998,121015,2023-10-16 12:50:00
537.0,547.7,548.3,537.0,217942933.44999996,400739,2023-10-16 13:00:00
547.7,546.05,548.5,541.8,144598726.45000008,264672,2023-10-16 13:10:00
546.05,552.3,552.4,546.0,138517415.2,252470,2023-10-16 13:20:00
552.25,582.65,593.0,552.25,612488809.8000002,1070071,2023-10-16 13:30:00
582.45,581.05,592.5,565.0,482974710.5500001,838581,2023-10-16 13:40:00
581.5,583.0,586.0,573.15,247755733.50000003,425918,2023-10-16 13:50:00
583.05,578.3,586.0,575.0,209860123.20000005,362119,2023-10-16 14:00:00
577.85,581.65,584.0,577.0,159505787.50000003,274882,2023-10-16 14:10:00
581.8,586.0,589.0,581.1,210747273.15000004,360445,2023-10-16 14:20:00
586.0,590.2,595.0,585.5,434785025.0999999,733955,2023-10-16 14:30:00
590.15,585.8,595.0,582.5,266887187.95000005,452288,2023-10-16 14:40:00
585.6,589.75,590.0,585.3,101649679.49999999,172649,2023-10-16 14:50:00
589.75,580.0,590.0,575.1,216273440.00000003,371572,2023-10-16 15:00:00
579.75,579.9,584.0,578.0,93124642.79999998,160406,2023-10-16 15:10:00
579.9,570.0,579.9,568.5,191822314.0000002,333765,2023-10-16 15:20:00
569.95,575.85,578.0,566.0,159725879.94999993,278805,2023-10-16 15:30:00
576.5,575.95,580.0,573.05,110920056.99999997,192493,2023-10-16 15:40:00
575.95,564.9,576.35,562.0,134512439.0,236615,2023-10-16 15:50:00
564.95,559.6,572.0,556.3,154750194.39999995,274172,2023-10-16 16:00:00
559.5,554.7,562.25,552.0,156360377.55000007,281391,2023-10-16 16:10:00
554.7,562.3,566.0,554.15,110135513.25000001,196540,2023-10-16 16:20:00
562.4,564.55,575.0,562.3,183476753.04999998,322422,2023-10-16 16:30:00
564.15,563.7,565.0,561.15,75000960.65,133213,2023-10-16 16:40:00
563.7,566.85,569.0,563.0,68458906.24999999,120858,2023-10-16 16:50:00
567.0,573.45,575.0,566.4,89887214.30000003,157263,2023-10-16 17:00:00
573.45,577.35,577.85,569.0,73911551.90000002,129007,2023-10-16 17:10:00
577.35,573.5,579.0,572.0,119133298.75000001,206816,2023-10-16 17:20:00
573.35,569.85,575.85,563.2,96399445.4,169321,2023-10-16 17:30:00
569.85,569.95,570.75,568.0,45812666.650000006,80414,2023-10-16 17:40:00
569.95,568.55,570.0,566.2,58460164.2,102888,2023-10-16 17:50:00
568.45,568.9,569.0,566.0,39671370.800000004,69867,2023-10-16 18:00:00
568.9,564.75,569.0,564.2,33352988.85,58811,2023-10-16 18:10:00
564.75,565.45,566.3,562.05,53743118.900000006,95322,2023-10-16 18:20:00
565.45,560.0,568.6,556.0,124945050.05000001,221734,2023-10-16 18:30:00
560.0,560.0,560.0,560.0,13231120.0,23627,2023-10-16 18:40:00
569.65,569.65,569.65,569.65,15167500.900000034,26626,2023-10-17 09:50:00
569.05,577.15,590.0,562.45,652368572.8000001,1128586,2023-10-17 10:00:00
577.15,570.25,580.0,566.7,225074460.69999987,393009,2023-10-17 10:10:00
570.2,568.0,573.0,565.5,133824341.25000006,235029,2023-10-17 10:20:00
567.65,568.8,568.8,562.8,104907391.69999999,185398,2023-10-17 10:30:00
568.75,566.55,571.55,565.2,58221765.55,102448,2023-10-17 10:40:00
566.55,565.35,567.0,564.2,39692223.400000006,70120,2023-10-17 10:50:00
565.7,563.6,566.85,561.0,61233590.949999996,108633,2023-10-17 11:00:00
563.9,563.5,564.55,562.55,42100908.10000001,74723,2023-10-17 11:10:00
563.4,554.9,565.0,552.2,146196140.44999996,261950,2023-10-17 11:20:00
554.95,542.1,555.45,540.8,213776780.1,390906,2023-10-17 11:30:00
542.3,549.0,549.0,542.05,96723497.34999998,177200,2023-10-17 11:40:00
549.2,536.9,549.9,536.2,103718123.24999994,190982,2023-10-17 11:50:00
536.9,543.3,544.6,536.1,81416021.80000004,150612,2023-10-17 12:00:00
543.35,531.1,545.55,531.1,105115390.85000001,195787,2023-10-17 12:10:00
531.1,527.05,531.5,524.0,120755524.39999998,228575,2023-10-17 12:20:00
527.55,532.0,533.0,525.05,87897882.3,166013,2023-10-17 12:30:00
532.0,534.0,535.75,530.3,54445817.650000006,102052,2023-10-17 12:40:00
534.0,536.6,536.9,530.5,33595940.3,62925,2023-10-17 12:50:00
536.6,548.55,553.4,534.0,129977675.79999998,238222,2023-10-17 13:00:00
548.55,545.0,549.1,541.4,61581237.449999996,113093,2023-10-17 13:10:00
545.1,538.95,546.55,538.5,42718715.1,78885,2023-10-17 13:20:00
538.95,541.55,542.55,538.1,25094370.150000006,46440,2023-10-17 13:30:00
541.4,539.65,542.9,539.0,13495328.85,24960,2023-10-17 13:40:00
539.9,536.5,540.95,534.4,39110506.250000015,72840,2023-10-17 13:50:00
536.6,536.4,539.9,536.0,12808397.649999999,23819,2023-10-17 14:00:00
536.35,537.05,540.0,536.0,13061148.3,24284,2023-10-17 14:10:00
537.05,535.95,537.1,530.0,34311241.65,64349,2023-10-17 14:20:00
535.8,531.0,535.8,530.8,16866384.149999995,31631,2023-10-17 14:30:00
531.05,527.1,531.55,527.1,33531025.050000004,63339,2023-10-17 14:40:00
527.15,534.95,536.95,526.55,38804566.099999994,72963,2023-10-17 14:50:00
534.95,531.7,536.0,530.75,21917245.450000007,41078,2023-10-17 15:00:00
532.0,534.0,534.0,530.0,11653333.399999999,21925,2023-10-17 15:10:00
534.0,532.9,534.9,530.0,11509409.05,21642,2023-10-17 15:20:00
532.95,530.8,533.1,530.0,12822150.05,24152,2023-10-17 15:30:00
530.85,533.3,533.95,529.15,14032852.800000003,26418,2023-10-17 15:40:00
533.75,531.1,534.5,530.2,11031729.999999998,20721,2023-10-17 15:50:00
531.0,537.0,539.1,530.6,45759328.95,85335,2023-10-17 16:00:00
536.7,534.75,539.0,534.65,20974158.75,39052,2023-10-17 16:10:00
534.6,539.55,539.85,533.0,14019073.899999999,26140,2023-10-17 16:20:00
539.85,536.95,540.0,534.5,13677854.449999997,25466,2023-10-17 16:30:00
536.05,535.85,536.5,534.95,7123543.95,13300,2023-10-17 16:40:00
535.85,534.25,535.85,533.1,9928505.15,18579,2023-10-17 16:50:00
534.25,532.3,534.95,530.0,17174914.6,32289,2023-10-17 17:00:00
