Open,Close,High,Low,Value,Volume,Date
300,300,300,300,3000,10,2014-11-25 10:20:00
250,250,250,250,2500,10,2014-12-16 13:30:00
300,300,300,300,3000,10,2014-12-18 15:40:00
295,295,295,295,2950,10,2015-03-19 13:30:00
201,201,201,201,2010,10,2015-06-24 10:20:00
279,280,280,279,5590,20,2015-08-14 16:50:00
181,180,181,180,3610,20,2015-08-24 10:40:00
250,250,250,250,2500,10,2015-08-24 11:50:00
200,200,200,200,2000,10,2015-08-26 17:30:00
255,279,279,255,5340,20,2015-08-27 13:20:00
270,270,270,270,2700,10,2015-09-02 12:10:00
205,205,205,205,2050,10,2015-09-03 15:20:00
299,299,299,209,12250,50,2015-09-04 18:00:00
209,299,299,209,20330,80,2015-09-04 18:10:00
215,299,299,215,5140,20,2015-09-04 18:20:00
210,298,299,210,10220,40,2015-09-04 18:30:00
206,299,299,206,10130,40,2015-09-07 10:30:00
218,299,299,218,15550,60,2015-09-07 10:50:00
223,299,299,223,10450,40,2015-09-07 11:10:00
230,299,299,230,5290,20,2015-09-07 11:20:00
238,299,299,238,5370,20,2015-09-07 11:30:00
300,300,300,300,3000,10,2015-09-07 11:50:00
233,299,299,233,5320,20,2015-09-07 12:30:00
238,299,299,238,5370,20,2015-09-07 12:50:00
240,299,299,240,10780,40,2015-09-07 15:00:00
206,299,299,206,5050,20,2015-09-08 12:00:00
212,214,299,212,7250,30,2015-09-08 12:10:00
299,218,299,215,10310,40,2015-09-08 12:20:00
299,299,299,299,2990,10,2015-09-08 12:40:00
224,299,299,224,5230,20,2015-09-08 12:50:00
233,233,233,233,2330,10,2015-09-08 14:10:00
299,299,299,235,8330,30,2015-09-08 14:20:00
253,253,299,253,8050,30,2015-09-08 17:10:00
299,299,299,253,14030,50,2015-09-08 17:20:00
253,299,299,253,11040,40,2015-09-08 17:30:00
257,299,299,257,11170,40,2015-09-08 17:40:00
252,299,299,252,5510,20,2015-09-08 18:10:00
219,299,299,219,5180,20,2015-09-09 10:00:00
247,298,298,247,10940,40,2015-09-09 11:30:00
252,298,298,252,5500,20,2015-09-09 11:40:00
253,253,253,253,2530,10,2015-09-09 11:50:00
298,298,298,253,8490,30,2015-09-09 12:00:00
254,298,298,254,5520,20,2015-09-09 12:10:00
254,298,298,254,5520,20,2015-09-09 12:30:00
223,223,223,223,2230,10,2015-09-10 16:10:00
300,300,300,300,60000,200,2015-09-10 17:50:00
183,183,183,183,1830,10,2015-09-11 10:40:00
347,347,347,347,3470,10,2015-09-18 16:20:00
260,260,347,260,20800,70,2015-09-18 16:30:00
347,260,347,260,18200,60,2015-09-18 16:40:00
347,260,347,260,6070,20,2015-09-18 16:50:00
346,347,347,260,15590,50,2015-09-18 17:00:00
276,266,347,266,8890,30,2015-09-18 17:10:00
346,346,346,346,3460,10,2015-09-18 17:20:00
276,347,347,276,6230,20,2015-09-18 17:40:00
276,346,347,276,18680,60,2015-09-18 17:50:00
276,347,347,276,12450,40,2015-09-18 18:00:00
