Open,Close,High,Low,Value,Volume,Date
10.07,10.07,10.07,10.07,2014.0,200,2014-06-09 10:10:00
10.07,10.082,10.099,10.05,91520.8,9100,2014-06-09 10:30:00
10.051,10.039,10.051,10.039,13058.900000000001,1300,2014-06-09 11:30:00
10.022,10.05,10.074,10.008,33116.5,3300,2014-06-09 11:40:00
10.028,10.01,10.028,10.01,125161.7,12500,2014-06-09 12:00:00
10.076,10.1,10.1,10.048,15119.4,1500,2014-06-09 12:10:00
10.088,10.05,10.088,10.05,3022.6,300,2014-06-09 12:30:00
10.041,10.04,10.041,10.04,33132.3,3300,2014-06-09 12:40:00
10.04,10.04,10.04,10.04,2008.0,200,2014-06-09 12:50:00
10.04,10.04,10.04,10.04,10040.0,1000,2014-06-09 13:00:00
10.024,10.02,10.024,10.02,3006.5,300,2014-06-09 13:20:00
10.013,10.011,10.013,10.011,16018.8,1600,2014-06-09 13:30:00
10.012,10.01,10.012,10.01,32034.6,3200,2014-06-09 13:40:00
10.01,10.01,10.01,10.01,6006.0,600,2014-06-09 13:50:00
10.011,10.04,10.04,10.01,18065.8,1800,2014-06-09 14:00:00
10.04,10.1,10.1,10.04,208696.09999999998,20700,2014-06-09 14:10:00
10.099,10.147,10.147,10.099,53561.2,5300,2014-06-09 14:20:00
10.102,10.06,10.176,10.06,32279.3,3200,2014-06-09 14:30:00
10.095,10.085,10.095,10.085,21187.8,2100,2014-06-09 15:10:00
10.104,10.479,11.25,10.077,1628294.3,154500,2014-06-09 15:20:00
10.312,10.479,10.48,10.312,76240.1,7300,2014-06-09 15:30:00
10.402,10.4,10.402,10.4,13520.599999999999,1300,2014-06-09 15:40:00
10.399,10.38,10.4,10.372,17672.0,1700,2014-06-09 15:50:00
10.372,10.3,10.372,10.3,87704.4,8500,2014-06-09 16:00:00
10.272,10.272,10.272,10.272,4108.8,400,2014-06-09 16:10:00
10.299,10.271,10.299,10.271,5141.300000000001,500,2014-06-09 16:20:00
10.316,10.313,10.397,10.313,22775.4,2200,2014-06-09 16:30:00
10.341,10.341,10.341,10.341,1034.1,100,2014-06-09 16:40:00
10.275,10.274,10.33,10.274,11329.8,1100,2014-06-09 16:50:00
10.327,10.27,10.327,10.27,6169.3,600,2014-06-09 17:00:00
10.274,10.28,10.28,10.274,8222.2,800,2014-06-09 17:30:00
10.281,10.281,10.281,10.281,1028.1,100,2014-06-09 17:50:00
10.314,10.337,10.337,10.314,19624.3,1900,2014-06-09 18:00:00
10.271,10.216,10.271,10.216,50256.09999999999,4900,2014-06-09 18:10:00
10.251,10.251,10.251,10.251,1025.1,100,2014-06-09 18:20:00
10.22,10.176,10.22,10.176,88703.3,8700,2014-06-09 18:30:00
10.246,10.347,10.347,10.246,194368.50000000003,18900,2014-06-10 10:00:00
10.347,10.2,10.347,10.199,273430.1,26800,2014-06-10 10:10:00
10.177,10.169,10.177,10.169,4069.2,400,2014-06-10 10:20:00
10.2,10.156,10.2,10.155,146547.0,14400,2014-06-10 10:40:00
10.199,10.2,10.2,10.199,133616.4,13100,2014-06-10 10:50:00
10.17,10.107,10.17,10.071,469414.30000000005,46400,2014-06-10 11:00:00
10.107,10.107,10.107,10.106,124315.09999999998,12300,2014-06-10 11:10:00
10.107,10.107,10.107,10.107,106123.5,10500,2014-06-10 11:20:00
10.107,10.107,10.107,10.107,21224.7,2100,2014-06-10 11:30:00
10.076,10.05,10.076,10.02,370731.6,36900,2014-06-10 11:40:00
10.049,10.05,10.05,10.006,246518.90000000002,24600,2014-06-10 11:50:00
10.049,10.05,10.05,10.049,19094.9,1900,2014-06-10 12:00:00
10.05,10.05,10.05,10.05,147735.0,14700,2014-06-10 12:20:00
10.05,10.05,10.05,10.05,41205.0,4100,2014-06-10 12:30:00
10.05,10.05,10.05,10.05,70350.0,7000,2014-06-10 12:40:00
10.05,10.05,10.05,10.049,248233.6,24700,2014-06-10 12:50:00
10.05,10.05,10.05,10.05,1005.0,100,2014-06-10 13:00:00
10.04,10.04,10.04,10.04,11044.0,1100,2014-06-10 13:10:00
10.05,10.084,10.084,10.05,150760.2,15000,2014-06-10 13:20:00
10.095,10.1,10.106,10.095,35345.0,3500,2014-06-10 13:30:00
10.07,10.024,10.07,10.024,82344.29999999999,8200,2014-06-10 13:50:00
10.085,10.096,10.096,10.085,10094.9,1000,2014-06-10 14:00:00
10.094,10.094,10.094,10.093,40373.700000000004,4000,2014-06-10 14:10:00
10.094,10.095,10.095,10.094,22208.0,2200,2014-06-10 14:20:00
10.061,10.06,10.061,10.06,19115.1,1900,2014-06-10 14:30:00
10.057,10.057,10.057,10.057,4022.8,400,2014-06-10 14:40:00
10.091,10.093,10.093,10.091,13120.2,1300,2014-06-10 14:50:00
10.07,10.096,10.099,10.069,56502.1,5600,2014-06-10 15:00:00
10.095,10.096,10.096,10.095,4038.3,400,2014-06-10 15:20:00
10.07,10.067,10.07,10.067,29196.0,2900,2014-06-10 15:40:00
10.07,10.07,10.07,10.07,4028.0,400,2014-06-10 15:50:00
10.07,10.065,10.07,10.055,78502.7,7800,2014-06-10 16:10:00
10.08,10.089,10.089,10.08,36314.0,3600,2014-06-10 16:20:00
10.088,10.089,10.089,10.088,7061.9,700,2014-06-10 16:30:00
10.057,10.052,10.057,10.052,50263.5,5000,2014-06-10 16:50:00
10.05,10.05,10.05,10.05,50250.0,5000,2014-06-10 17:00:00
10.05,10.05,10.05,10.05,50250.0,5000,2014-06-10 17:20:00
10.081,10.08,10.081,10.078,11088.4,1100,2014-06-10 17:30:00
10.052,10.078,10.078,10.05,71415.0,7100,2014-06-10 17:50:00
10.056,10.055,10.056,10.055,22122.8,2200,2014-06-10 18:00:00
10.079,10.065,10.079,10.035,77283.19999999998,7700,2014-06-10 18:30:00
10.075,10.075,10.076,10.075,56420.2,5600,2014-06-11 10:00:00
10.075,10.075,10.075,10.075,1007.5,100,2014-06-11 10:10:00
10.075,10.075,10.075,10.075,1007.5,100,2014-06-11 10:40:00
10.082,10.082,10.082,10.082,1008.2,100,2014-06-11 10:50:00
10.09,10.09,10.09,10.09,1009.0,100,2014-06-11 11:10:00
10.035,10.03,10.035,10.03,33099.8,3300,2014-06-11 12:40:00
10.032,10.095,10.095,10.01,59102.600000000006,5900,2014-06-11 13:00:00
10.055,10.055,10.055,10.055,1005.5,100,2014-06-11 13:20:00
10.055,10.05,10.055,10.05,8041.9,800,2014-06-11 13:30:00
10.04,10.011,10.04,10.01,46061.899999999994,4600,2014-06-11 13:40:00
10.017,10.097,10.097,10.015,46204.3,4600,2014-06-11 14:00:00
10.097,10.098,10.098,10.097,5048.6,500,2014-06-11 14:10:00
10.093,10.093,10.093,10.093,1009.3,100,2014-06-11 14:30:00
10.056,10.056,10.056,10.056,19106.4,1900,2014-06-11 14:40:00
10.057,10.03,10.057,10.03,297216.89999999997,29600,2014-06-11 16:10:00
10.063,10.1,10.1,10.063,75677.6,7500,2014-06-11 16:20:00
10.083,10.08,10.083,10.078,52422.2,5200,2014-06-11 16:30:00
10.035,10.03,10.035,10.03,32101.0,3200,2014-06-11 17:00:00
10.035,10.035,10.035,10.035,1003.5,100,2014-06-11 18:00:00
10.035,10.035,10.035,10.035,1003.5,100,2014-06-11 18:10:00
10.016,9.98,10.079,9.927,281866.3,28200,2014-06-16 10:00:00
9.98,9.95,10.044,9.95,25991.4,2600,2014-06-16 10:10:00
9.95,9.947,9.95,9.947,20892.0,2100,2014-06-16 10:20:00
9.95,9.95,9.95,9.95,4975.0,500,2014-06-16 10:30:00
9.993,9.94,9.993,9.94,9958.3,1000,2014-06-16 10:40:00
9.978,9.977,9.978,9.977,1995.5,200,2014-06-16 11:40:00
9.973,9.974,9.974,9.973,7978.8,800,2014-06-16 11:50:00
9.974,9.975,9.975,9.974,7979.9,800,2014-06-16 12:00:00
9.975,9.975,9.975,9.94,143297.0,14400,2014-06-16 12:10:00
9.957,9.957,9.957,9.957,54763.5,5500,2014-06-16 12:20:00
