Open,Close,High,Low,Value,Volume,Date
5.362,5.362,5.362,5.362,536.2,100,2014-06-09 11:50:00
5.965,5.965,5.965,5.965,596.5,100,2014-06-09 17:00:00
5.536,5.326,5.536,5.326,16041.0,3000,2014-06-10 13:30:00
5.355,5.36,5.652,5.355,3273.7,600,2014-06-10 14:30:00
5.6,5.6,5.6,5.6,11200.0,2000,2014-06-10 15:40:00
5.5,5.5,5.5,5.5,550.0,100,2014-06-10 18:20:00
5.5,5.5,5.5,5.5,550.0,100,2014-06-11 16:00:00
5.97,6.0,6.0,5.97,8991.9,1500,2014-06-16 10:30:00
5.6,5.6,5.62,5.6,13444.0,2400,2014-06-16 11:30:00
5.914,5.74,5.95,5.74,5921.8,1000,2014-06-18 16:50:00
5.78,5.78,5.78,5.78,578.0,100,2014-06-18 17:00:00
5.8,5.8,5.8,5.8,580.0,100,2014-06-18 17:40:00
5.94,5.95,5.95,5.94,1189.0,200,2014-06-18 18:20:00
5.65,5.65,5.65,5.65,2825.0,500,2014-06-19 10:20:00
5.65,5.65,5.65,5.65,5650.0,1000,2014-06-19 12:30:00
5.65,5.65,5.65,5.65,1695.0,300,2014-06-19 14:50:00
5.65,5.65,5.65,5.65,1130.0,200,2014-06-19 15:00:00
5.933,5.933,5.933,5.933,593.3,100,2014-06-19 16:00:00
5.737,5.737,5.737,5.737,573.7,100,2014-06-19 16:10:00
5.629,5.611,5.629,5.611,8419.400000000001,1500,2014-06-19 16:40:00
5.914,5.949,5.949,5.914,2960.5,500,2014-06-20 17:20:00
5.828,5.258,5.828,5.258,2701.8999999999996,500,2014-06-23 15:20:00
5.5,5.5,5.5,5.5,550.0,100,2014-06-23 18:10:00
5.747,5.747,5.747,5.747,1149.4,200,2014-06-23 18:30:00
5.725,5.725,5.725,5.725,572.5,100,2014-06-26 14:20:00
5.678,5.678,5.678,5.678,567.8,100,2014-06-30 12:40:00
5.7,5.7,5.7,5.7,570.0,100,2014-06-30 16:00:00
5.65,5.65,5.65,5.65,565.0,100,2014-06-30 17:20:00
5.81,5.81,5.81,5.81,6972.0,1200,2014-07-01 16:00:00
5.81,5.81,5.81,5.81,1162.0,200,2014-07-01 16:40:00
5.789,5.789,5.789,5.789,578.9,100,2014-07-03 10:20:00
5.84,5.84,5.84,5.84,5256.0,900,2014-07-03 12:20:00
5.746,5.746,5.746,5.746,1149.2,200,2014-07-03 17:50:00
5.746,5.746,5.746,5.746,1149.2,200,2014-07-03 18:20:00
5.97,5.97,5.97,5.97,7164.0,1200,2014-07-08 13:10:00
5.996,5.996,5.996,5.996,25183.2,4200,2014-07-08 14:00:00
5.884,5.884,5.884,5.884,588.4,100,2014-07-08 16:20:00
5.772,5.772,5.772,5.772,577.2,100,2014-07-08 16:30:00
6.0,6.0,6.0,6.0,180000.0,30000,2014-07-11 11:50:00
6.0,6.0,6.0,6.0,270000.0,45000,2014-07-11 12:00:00
6.0,6.0,6.0,6.0,60000.0,10000,2014-07-17 18:10:00
5.87,5.87,5.87,5.87,587.0,100,2014-07-18 10:40:00
5.8,5.8,5.8,5.8,8120.0,1400,2014-07-18 11:20:00
5.86,5.86,5.86,5.86,586.0,100,2014-07-18 18:30:00
6.0,6.0,6.0,6.0,300000.0,50000,2014-07-21 12:10:00
5.999,5.999,5.999,5.999,4799.2,800,2014-07-21 13:20:00
5.94,6.0,6.0,5.94,1194.0,200,2014-07-21 18:30:00
6.0,6.0,6.0,6.0,60000.0,10000,2014-07-22 12:10:00
6.0,6.0,6.0,6.0,120000.0,20000,2014-07-22 12:20:00
6.0,6.0,6.0,6.0,10800.0,1800,2014-07-22 16:50:00
7.597,7.597,7.597,7.597,759.7,100,2014-07-29 10:40:00
7.496,7.496,7.496,7.496,749.6,100,2014-07-29 11:00:00
5.907,5.9,5.907,5.9,8261.3,1400,2014-08-06 13:00:00
6.573,6.573,6.573,6.573,657.3,100,2014-08-06 15:50:00
6.039,6.039,6.039,6.039,603.9,100,2014-08-12 17:10:00
6.25,6.25,6.25,6.25,1875.0,300,2014-08-13 10:00:00
6.75,6.75,6.75,6.75,4725.0,700,2014-08-13 10:50:00
6.75,6.75,6.75,6.75,675.0,100,2014-08-13 11:00:00
6.825,6.825,6.825,6.825,682.5,100,2014-08-13 11:30:00
6.75,6.75,6.75,6.75,60075.0,8900,2014-08-13 13:00:00
6.749,6.749,6.749,6.749,674.9,100,2014-08-13 16:00:00
6.75,6.75,6.75,6.75,54675.0,8100,2014-08-13 16:10:00
