Open,Close,High,Low,Value,Volume,Date
3.301,3.27,3.301,3.223,22055.5,6800,2014-06-09 10:30:00
3.27,3.27,3.27,3.27,327.0,100,2014-06-09 10:40:00
3.27,3.468,3.468,3.27,86880.8,26200,2014-06-09 10:50:00
3.38,3.355,3.5,3.349,90356.3,26800,2014-06-09 11:00:00
3.364,3.365,3.5,3.361,75574.4,22400,2014-06-09 11:10:00
3.361,3.356,3.363,3.356,24874.799999999996,7400,2014-06-09 11:30:00
3.369,3.369,3.369,3.369,336.9,100,2014-06-09 11:40:00
3.355,3.355,3.356,3.355,4697.4,1400,2014-06-09 12:10:00
3.363,3.363,3.363,3.363,336.3,100,2014-06-09 12:50:00
3.357,3.357,3.357,3.357,4364.1,1300,2014-06-09 14:30:00
3.334,3.323,3.334,3.323,6647.5,2000,2014-06-09 15:20:00
3.358,3.358,3.358,3.358,335.8,100,2014-06-09 15:30:00
3.361,3.361,3.361,3.361,336.1,100,2014-06-09 17:10:00
3.351,3.287,3.351,3.287,48613.6,14600,2014-06-09 17:20:00
3.287,3.287,3.287,3.287,4601.8,1400,2014-06-09 17:40:00
3.329,3.251,3.331,3.13,24807.5,7700,2014-06-09 18:00:00
3.25,3.25,3.25,3.25,975.0,300,2014-06-09 18:10:00
3.26,3.299,3.299,3.26,121573.69999999998,37100,2014-06-10 10:20:00
3.32,3.351,3.57,3.3,154020.0,45600,2014-06-10 10:30:00
3.361,3.346,3.407,3.346,24889.7,7400,2014-06-10 10:40:00
3.385,3.353,3.385,3.353,1680.7,500,2014-06-10 11:20:00
3.321,3.32,3.321,3.32,2656.3,800,2014-06-10 12:30:00
3.319,3.23,3.32,3.23,14573.8,4400,2014-06-10 12:40:00
3.235,3.234,3.235,3.234,19081.8,5900,2014-06-10 13:10:00
3.264,3.279,3.279,3.264,10802.7,3300,2014-06-10 13:20:00
3.291,3.281,3.291,3.281,6570.0,2000,2014-06-10 13:30:00
3.269,3.269,3.269,3.269,3269.0,1000,2014-06-10 14:30:00
3.269,3.269,3.269,3.269,653.8,200,2014-06-10 14:40:00
3.27,3.27,3.27,3.27,18312.0,5600,2014-06-10 14:50:00
3.27,3.27,3.27,3.27,654.0,200,2014-06-10 15:00:00
3.295,3.295,3.295,3.295,329.5,100,2014-06-10 15:20:00
3.295,3.296,3.296,3.295,9885.3,3000,2014-06-10 15:30:00
3.296,3.296,3.296,3.296,9888.0,3000,2014-06-10 15:40:00
3.299,3.338,3.338,3.299,91501.6,27500,2014-06-10 15:50:00
3.333,3.334,3.334,3.333,4666.299999999999,1400,2014-06-10 16:00:00
3.398,3.434,3.434,3.386,45019.0,13200,2014-06-11 10:00:00
3.37,3.37,3.37,3.37,337.0,100,2014-06-11 11:10:00
3.344,3.344,3.344,3.344,334.4,100,2014-06-11 13:00:00
3.376,3.46,3.46,3.376,72340.50000000001,21400,2014-06-11 14:50:00
3.409,3.4,3.409,3.4,4763.6,1400,2014-06-11 15:10:00
3.4,3.4,3.4,3.4,340.0,100,2014-06-11 15:50:00
3.375,3.374,3.375,3.374,6074.2,1800,2014-06-11 16:20:00
3.397,3.39,3.397,3.39,5429.6,1600,2014-06-11 16:30:00
3.39,3.423,3.423,3.39,77178.8,22700,2014-06-11 17:40:00
3.371,3.499,3.499,3.37,85263.4,25100,2014-06-11 18:30:00
3.425,3.468,3.468,3.425,69193.6,20200,2014-06-16 10:00:00
3.449,3.5,3.553,3.449,267647.0,76500,2014-06-16 10:40:00
3.55,3.635,3.635,3.55,90448.7,25400,2014-06-16 10:50:00
3.529,3.65,3.659,3.529,17107.3,4700,2014-06-16 11:00:00
3.646,3.66,3.73,3.646,420042.0,114800,2014-06-16 11:10:00
3.492,3.73,3.734,3.492,47719.899999999994,12800,2014-06-16 11:20:00
3.734,3.75,3.89,3.734,163553.9,43600,2014-06-16 11:30:00
3.854,3.681,3.891,3.681,32655.0,8800,2014-06-16 11:40:00
3.751,3.888,3.888,3.515,49171.1,13200,2014-06-16 11:50:00
3.856,3.792,3.856,3.47,37056.5,10300,2014-06-16 12:00:00
3.709,3.7,3.718,3.7,11887.000000000002,3200,2014-06-16 12:20:00
3.719,3.719,3.719,3.719,3347.1000000000004,900,2014-06-16 12:40:00
3.652,3.574,3.652,3.55,85119.3,23800,2014-06-16 12:50:00
3.574,3.59,3.591,3.574,5019.9,1400,2014-06-16 13:00:00
3.59,3.552,3.59,3.552,1069.4,300,2014-06-16 13:10:00
3.55,3.55,3.55,3.55,1775.0,500,2014-06-16 13:30:00
3.54,3.529,3.54,3.523,49351.9,14000,2014-06-16 13:40:00
3.529,3.505,3.529,3.505,8421.6,2400,2014-06-16 13:50:00
