Open,Close,High,Low,Value,Volume,Date
344.9,344.9,344.9,344.9,3449,10,2014-06-17 17:50:00
310.0,310.0,310.0,310.0,62000,200,2014-06-20 11:00:00
320.0,320.0,320.0,320.0,6400,20,2014-06-20 11:10:00
320.0,320.0,320.0,320.0,6400,20,2014-06-20 11:20:00
320.0,320.0,320.0,320.0,3200,10,2014-06-20 11:30:00
319.9,320.0,320.0,319.9,6399,20,2014-06-20 12:30:00
320.0,320.0,320.0,320.0,3200,10,2014-06-20 12:40:00
320.0,320.0,320.0,320.0,3200,10,2014-06-20 13:00:00
315.5,315.5,315.5,315.5,3155,10,2014-06-20 14:30:00
311.0,311.0,311.0,311.0,21770,70,2014-06-20 17:10:00
311.0,311.0,311.0,311.0,3110,10,2014-06-20 17:20:00
311.0,311.0,311.0,311.0,6220,20,2014-06-20 17:40:00
324.9,361.5,361.5,324.9,10116,30,2014-06-20 18:30:00
355.0,355.0,355.0,355.0,35500,100,2014-06-23 13:50:00
312.0,311.8,312.0,311.8,6238,20,2014-06-27 18:30:00
315.0,315.0,315.0,315.0,3150,10,2014-07-03 12:00:00
311.8,306.6,311.8,306.6,12394,40,2014-07-03 16:40:00
305.4,305.3,305.4,305.3,6107,20,2014-07-17 13:40:00
338.0,339.2,339.2,338.0,13534,40,2014-07-17 17:00:00
339.2,339.2,339.2,339.2,3392,10,2014-07-18 10:00:00
339.2,339.2,339.2,339.2,6784,20,2014-07-18 13:30:00
309.8,309.8,309.8,309.8,6196,20,2014-07-21 14:30:00
309.9,309.9,309.9,309.9,3099,10,2014-07-24 11:40:00
310.0,310.0,310.0,310.0,3100,10,2014-07-24 18:20:00
310.0,310.0,310.0,310.0,3100,10,2014-07-24 18:30:00
307.0,306.0,307.0,306.0,6130,20,2014-07-29 13:40:00
354.4,354.4,354.4,354.4,3544,10,2014-07-30 10:10:00
335.0,335.0,335.0,335.0,3350,10,2014-07-31 11:10:00
334.7,348.9,348.9,334.7,6836,20,2014-08-01 18:30:00
307.5,307.5,307.5,307.5,6150,20,2014-08-05 12:40:00
324.5,324.6,324.6,324.5,6491,20,2014-08-05 18:30:00
325.0,325.0,325.0,325.0,3250,10,2014-08-14 17:10:00
335.0,335.0,335.0,335.0,13400,40,2014-08-15 17:40:00
307.1,300.5,307.1,300.0,180424,600,2014-08-18 18:20:00
300.1,300.0,300.3,300.0,30012,100,2014-08-22 18:00:00
326.9,326.9,326.9,326.9,3269,10,2014-08-25 14:00:00
292.7,292.7,292.7,292.7,2927,10,2014-08-26 10:40:00
320.0,320.0,320.0,320.0,3200,10,2014-08-26 18:30:00
320.0,320.0,320.0,320.0,3200,10,2014-08-27 13:50:00
319.7,320.0,320.0,319.7,6397,20,2014-08-27 18:10:00
320.0,320.0,320.0,320.0,19200,60,2014-08-27 18:30:00
301.0,300.0,301.0,300.0,36020,120,2014-08-28 13:10:00
314.5,314.5,314.5,314.5,3145,10,2014-08-28 15:20:00
295.0,295.0,295.0,295.0,2950,10,2014-09-01 17:50:00
286.4,286.0,286.4,286.0,14307,50,2014-09-02 10:50:00
314.2,314.8,314.8,314.2,9432,30,2014-09-02 11:30:00
309.9,342.1,342.1,309.9,22070,70,2014-09-03 16:30:00
315.0,315.0,315.0,315.0,40950,130,2014-09-05 13:40:00
305.0,300.6,305.0,300.6,9106,30,2014-09-05 17:20:00
317.0,317.0,317.0,317.0,3170,10,2014-09-05 18:10:00
315.0,315.0,315.0,315.0,3150,10,2014-09-10 18:20:00
331.0,308.0,331.0,308.0,6390,20,2014-09-11 16:50:00
301.5,301.5,301.5,301.5,3015,10,2014-09-17 12:00:00
301.4,301.0,301.4,301.0,6024,20,2014-09-17 13:20:00
347.1,347.1,347.1,347.1,3471,10,2014-09-25 10:20:00
329.9,329.8,329.9,329.8,6597,20,2014-09-25 16:00:00
329.9,329.9,329.9,329.9,3299,10,2014-09-25 18:00:00
296.7,296.6,296.7,296.6,5933,20,2014-09-29 10:10:00
319.8,319.9,319.9,319.8,6397,20,2014-09-29 12:20:00
319.9,328.8,328.8,319.9,9687,30,2014-09-30 18:10:00
305.0,304.0,305.0,304.0,9130,30,2014-10-10 11:50:00
305.0,305.0,305.0,305.0,3050,10,2014-10-10 14:10:00
319.0,320.0,320.0,319.0,9580,30,2014-10-13 15:40:00
325.0,325.0,325.0,325.0,26000,80,2014-10-13 16:40:00
325.0,325.0,325.0,325.0,3250,10,2014-10-13 17:30:00
325.0,320.0,325.0,320.0,35250,110,2014-10-13 18:10:00
311.0,310.0,311.0,310.0,49620,160,2014-10-16 14:30:00
301.0,301.0,301.0,301.0,3010,10,2014-10-28 17:40:00
309.0,310.0,310.0,309.0,18590,60,2014-10-29 16:50:00
310.0,310.0,310.0,310.0,55800,180,2014-10-29 17:00:00
310.0,310.0,310.0,310.0,21700,70,2014-10-29 17:30:00
330.0,337.0,337.0,330.0,13350,40,2014-11-03 10:50:00
335.0,335.0,335.0,335.0,3350,10,2014-11-13 12:50:00
339.0,340.0,340.0,339.0,6790,20,2014-11-13 15:00:00
347.0,355.0,355.0,347.0,416400,1180,2014-11-14 12:50:00
369.0,369.0,369.0,369.0,7380,20,2014-11-14 13:00:00
388.0,388.0,388.0,388.0,7760,20,2014-11-14 14:10:00
379.0,379.0,379.0,379.0,11370,30,2014-11-17 13:20:00
379.0,380.0,380.0,379.0,26560,70,2014-11-17 13:30:00
380.0,380.0,380.0,380.0,3800,10,2014-11-17 14:00:00
360.0,360.0,360.0,360.0,3600,10,2014-11-17 17:00:00
387.0,387.0,387.0,387.0,11610,30,2014-11-18 14:40:00
395.0,395.0,395.0,395.0,7900,20,2014-11-18 15:10:00
395.0,395.0,395.0,395.0,67150,170,2014-11-18 15:30:00
361.0,361.0,361.0,361.0,3610,10,2014-11-19 16:20:00
361.0,361.0,361.0,361.0,3610,10,2014-11-20 16:00:00
383.0,383.0,383.0,383.0,3830,10,2014-11-24 10:40:00
395.0,395.0,395.0,395.0,19750,50,2014-11-24 13:30:00
340.0,331.0,340.0,331.0,10020,30,2014-11-24 15:00:00
359.0,359.0,359.0,359.0,3590,10,2014-11-24 15:30:00
387.0,390.0,390.0,387.0,85720,220,2014-11-25 12:20:00
385.0,390.0,390.0,385.0,7750,20,2014-11-25 15:00:00
390.0,390.0,390.0,390.0,39000,100,2014-11-25 15:10:00
390.0,390.0,390.0,390.0,31200,80,2014-11-25 16:30:00
353.0,352.0,353.0,352.0,10570,30,2014-11-26 10:40:00
372.0,398.0,398.0,372.0,7700,20,2014-11-26 18:10:00
398.0,420.0,420.0,398.0,259270,620,2014-11-26 18:20:00
420.0,420.0,420.0,420.0,4200,10,2014-11-26 18:30:00
435.0,435.0,435.0,435.0,21750,50,2014-11-27 10:00:00
440.0,440.0,445.0,440.0,35290,80,2014-11-27 11:10:00
450.0,450.0,450.0,450.0,27000,60,2014-11-27 11:30:00
450.0,450.0,450.0,450.0,49500,110,2014-11-27 11:40:00
470.0,470.0,470.0,470.0,347800,740,2014-11-27 11:50:00
470.0,470.0,470.0,470.0,94000,200,2014-11-27 12:00:00
470.0,470.0,470.0,470.0,28200,60,2014-11-27 12:10:00
475.0,475.0,475.0,475.0,4750,10,2014-11-27 12:20:00
485.0,489.0,544.0,485.0,55820,110,2014-11-27 12:50:00
512.0,511.0,512.0,511.0,15340,30,2014-11-27 13:20:00
511.0,470.0,511.0,470.0,367040,780,2014-11-27 13:30:00
430.0,430.0,430.0,430.0,4300,10,2014-11-27 16:30:00
432.0,432.0,432.0,432.0,401760,930,2014-11-27 17:40:00
410.0,410.0,410.0,410.0,20500,50,2014-11-28 10:40:00
410.0,410.0,410.0,410.0,4100,10,2014-11-28 12:50:00
410.0,410.0,410.0,410.0,8200,20,2014-11-28 13:10:00
410.0,410.0,410.0,410.0,20500,50,2014-11-28 14:00:00
410.0,410.0,410.0,410.0,360800,880,2014-11-28 16:30:00
