Open,Close,High,Low,Value,Volume,Date
3.15,3.318,3.318,3.15,178038745.0500002,55507100,2023-07-03 10:00:00
3.318,3.318,3.318,3.318,2948706.6000000006,888700,2023-07-03 10:10:00
3.318,3.318,3.318,3.318,2530306.8,762600,2023-07-03 10:20:00
3.318,3.318,3.318,3.318,28065966.600000005,8458700,2023-07-03 10:30:00
3.318,3.318,3.318,3.318,702752.3999999999,211800,2023-07-03 10:40:00
3.318,3.318,3.318,3.318,50576273.999999985,15243000,2023-07-03 10:50:00
3.318,3.318,3.318,3.318,432335.39999999997,130300,2023-07-03 11:00:00
3.318,3.318,3.318,3.318,10243661.4,3087300,2023-07-03 11:10:00
3.318,3.318,3.318,3.318,36112780.200000025,10883900,2023-07-03 11:20:00
3.318,3.318,3.318,3.318,58728.600000000006,17700,2023-07-03 11:30:00
3.318,3.318,3.318,3.318,82961613.00000015,25003500,2023-07-03 11:40:00
3.318,3.318,3.318,3.318,33570860.400000066,10117800,2023-07-03 11:50:00
3.318,3.318,3.318,3.318,226951.20000000007,68400,2023-07-03 12:00:00
3.318,3.318,3.318,3.318,49825742.40000007,15016800,2023-07-03 12:10:00
3.318,3.318,3.318,3.318,95751507.59999998,28858200,2023-07-03 12:20:00
3.318,3.318,3.318,3.318,96988126.1999998,29230900,2023-07-03 12:30:00
3.318,3.318,3.318,3.318,349854233.40000427,105441300,2023-07-03 12:40:00
3.318,3.2925,3.318,3.206,514741962.1000004,155839800,2023-07-03 12:50:00
3.2925,3.305,3.3155,3.267,99854475.85000007,30290700,2023-07-03 13:00:00
3.305,3.286,3.3085,3.241,101109140.25000001,30898000,2023-07-03 13:10:00
3.2855,3.222,3.2995,3.2015,102714996.00000009,31744700,2023-07-03 13:20:00
3.222,3.2185,3.2335,3.206,52442441.39999999,16275200,2023-07-03 13:30:00
3.2185,3.25,3.2685,3.2165,39617608.25,12209700,2023-07-03 13:40:00
3.25,3.2805,3.285,3.224,33838279.349999994,10399000,2023-07-03 13:50:00
3.283,3.263,3.285,3.2555,24142221.349999998,7382000,2023-07-03 14:00:00
3.26,3.237,3.2685,3.2255,19812499.049999997,6101800,2023-07-03 14:10:00
3.2365,3.2475,3.255,3.233,10933001.1,3367900,2023-07-03 14:20:00
3.248,3.2385,3.25,3.226,13193067.649999999,4078100,2023-07-03 14:30:00
3.238,3.243,3.247,3.235,7744152.5,2388900,2023-07-03 14:40:00
3.2425,3.245,3.25,3.2315,32634889.949999996,10056300,2023-07-03 14:50:00
3.245,3.249,3.25,3.2415,22362700.749999996,6885400,2023-07-03 15:00:00
3.249,3.247,3.249,3.242,7409051.350000001,2282300,2023-07-03 15:10:00
3.247,3.249,3.25,3.2455,42161742.65,12974200,2023-07-03 15:20:00
3.249,3.2425,3.25,3.242,9129656.899999999,2810700,2023-07-03 15:30:00
3.246,3.238,3.246,3.2305,14134084.75,4365100,2023-07-03 15:40:00
3.2385,3.24,3.2435,3.228,16485711.2,5099400,2023-07-03 15:50:00
3.2335,3.2365,3.239,3.2305,3046568.750000001,941800,2023-07-03 16:00:00
3.2365,3.2335,3.24,3.23,8378105.000000001,2590000,2023-07-03 16:10:00
3.231,3.2325,3.2385,3.215,28449930.25,8824100,2023-07-03 16:20:00
3.233,3.3,3.317,3.223,137761428.7,41846400,2023-07-03 16:30:00
3.301,3.307,3.318,3.266,202684980.39999998,61278200,2023-07-03 16:40:00
3.3065,3.296,3.316,3.2805,43002081.349999994,13048000,2023-07-03 16:50:00
3.2935,3.2815,3.296,3.264,33889882.550000004,10339600,2023-07-03 17:00:00
3.2815,3.297,3.3025,3.279,19792845.45,6007100,2023-07-03 17:10:00
3.294,3.2885,3.297,3.277,15267246.8,4643800,2023-07-03 17:20:00
3.291,3.3025,3.31,3.285,19661034.749999993,5960200,2023-07-03 17:30:00
3.3,3.318,3.318,3.297,59270382.499999955,17876300,2023-07-03 17:40:00
3.318,3.318,3.318,3.317,2891965.8,871600,2023-07-03 17:50:00
3.318,3.318,3.318,3.318,1627147.1999999995,490400,2023-07-03 18:00:00
3.318,3.318,3.318,3.318,1215051.6,366200,2023-07-03 18:10:00
3.318,3.318,3.318,3.318,748872.6000000001,225700,2023-07-03 18:20:00
3.318,3.318,3.318,3.318,11349219.0,3420500,2023-07-03 18:30:00
3.318,3.318,3.318,3.318,259467.59999999995,78200,2023-07-03 18:40:00
3.4405,3.4405,3.4405,3.4405,26415814.95000008,7677900,2023-07-04 09:50:00
3.44,3.259,3.523,3.23,410878766.55,123523400,2023-07-04 10:00:00
3.2585,3.2605,3.296,3.242,63227539.45,19331300,2023-07-04 10:10:00
3.256,3.2445,3.267,3.217,57834963.04999997,17873000,2023-07-04 10:20:00
3.2445,3.2455,3.2655,3.2355,21242616.25,6533200,2023-07-04 10:30:00
3.257,3.235,3.26,3.2265,25486568.64999999,7863800,2023-07-04 10:40:00
3.2395,3.2595,3.265,3.236,12088195.300000003,3714400,2023-07-04 10:50:00
3.2595,3.2495,3.26,3.235,12886366.300000003,3972900,2023-07-04 11:00:00
3.249,3.2335,3.254,3.222,26464407.150000002,8172200,2023-07-04 11:10:00
3.233,3.185,3.2335,3.153,89573004.79999997,28102300,2023-07-04 11:20:00
3.182,3.1465,3.184,3.13,53876692.1,17074800,2023-07-04 11:30:00
3.146,3.053,3.146,3.023,172901285.0000001,56334800,2023-07-04 11:40:00
3.051,3.07,3.0875,3.035,60628796.45000001,19768700,2023-07-04 11:50:00
3.07,2.902,3.071,2.8875,163816987.34999996,55001900,2023-07-04 12:00:00
2.902,2.99,3.005,2.9005,72142224.25000001,24290900,2023-07-04 12:10:00
2.99,2.9645,3.0,2.94,35054913.45,11810300,2023-07-04 12:20:00
2.9665,2.9795,2.989,2.959,16324286.200000001,5488300,2023-07-04 12:30:00
2.98,3.011,3.0235,2.9715,34820581.65,11605500,2023-07-04 12:40:00
