Open,Close,High,Low,Value,Volume,Date
26.0,26.0,26.0,26.0,130000,5000,2014-07-07 12:40:00
26.0,26.0,26.0,26.0,130000,5000,2014-07-08 10:10:00
24.0,24.0,24.0,24.0,96000,4000,2014-07-11 14:40:00
22.1,22.1,22.1,22.1,950300,43000,2014-07-14 18:30:00
22.0,22.0,22.0,22.0,22000,1000,2014-07-23 10:10:00
26.0,26.0,26.0,26.0,78000,3000,2014-07-23 12:00:00
26.9,27.0,27.0,26.9,53900,2000,2014-07-31 11:20:00
28.0,28.0,28.0,28.0,112000,4000,2014-08-04 14:30:00
26.0,26.0,26.0,26.0,26000,1000,2014-08-13 11:50:00
27.0,27.0,27.0,27.0,81000,3000,2014-08-14 13:20:00
28.0,28.0,28.0,28.0,56000,2000,2014-08-28 18:20:00
28.0,28.0,28.0,28.0,196000,7000,2014-08-29 10:20:00
28.0,28.0,28.0,28.0,28000,1000,2014-09-03 13:10:00
20.071,25.0,25.0,17.0,188362,9000,2014-09-30 10:10:00
24.9,25.0,25.0,24.9,149900,6000,2014-10-03 16:20:00
20.7,20.7,20.7,20.7,20700,1000,2014-10-13 10:00:00
24.9,25.0,25.0,24.9,49900,2000,2014-10-13 11:40:00
25.0,25.0,25.0,25.0,50000,2000,2014-10-13 17:20:00
27.0,27.0,27.0,27.0,135000,5000,2014-10-23 12:10:00
27.0,27.0,27.0,27.0,135000,5000,2014-10-24 17:20:00
27.0,27.0,27.0,27.0,135000,5000,2014-11-05 18:30:00
25.0,25.0,25.0,25.0,125000,5000,2014-11-13 14:50:00
27.0,27.0,27.0,27.0,270000,10000,2014-11-14 17:10:00
27.0,27.0,27.0,27.0,621000,23000,2014-11-14 17:20:00
29.2,29.2,29.2,29.2,233600,8000,2014-11-19 13:40:00
26.3,26.3,26.3,26.3,26300,1000,2014-11-28 14:40:00
21.3,21.3,21.3,21.3,21300,1000,2014-12-25 17:20:00
26.0,26.0,26.0,26.0,26000,1000,2014-12-26 10:50:00
33.0,33.0,33.0,33.0,33000,1000,2015-01-16 15:50:00
24.2,24.2,24.2,24.2,24200,1000,2015-02-03 16:00:00
