Open,Close,High,Low,Value,Volume,Date
738,738,738,738,738,1,2014-06-09 11:10:00
739,739,739,739,739,1,2014-06-09 13:30:00
716,715,716,715,7866,11,2014-06-09 14:20:00
712,712,712,712,712,1,2014-06-09 14:40:00
721,723,723,721,10835,15,2014-06-09 14:50:00
723,740,740,723,8693,12,2014-06-09 15:10:00
715,723,723,715,15175,21,2014-06-09 15:20:00
723,723,723,723,11568,16,2014-06-09 15:30:00
717,717,717,717,717,1,2014-06-09 16:40:00
736,736,736,736,736,1,2014-06-09 18:00:00
726,726,726,726,726,1,2014-06-09 18:20:00
726,737,737,726,14662,20,2014-06-10 10:00:00
737,740,740,737,11077,15,2014-06-10 10:10:00
744,744,744,744,2232,3,2014-06-10 13:00:00
744,757,757,744,15651,21,2014-06-10 13:10:00
730,733,733,724,19669,27,2014-06-11 10:20:00
724,727,727,724,17415,24,2014-06-11 10:30:00
726,723,726,723,7970,11,2014-06-11 10:40:00
725,724,725,724,10863,15,2014-06-11 10:50:00
727,726,727,726,16709,23,2014-06-11 12:40:00
730,730,730,730,730,1,2014-06-11 13:40:00
721,720,721,720,28821,40,2014-06-11 15:30:00
712,712,712,712,19936,28,2014-06-11 16:10:00
723,727,727,723,4348,6,2014-06-11 16:20:00
724,724,724,724,2896,4,2014-06-11 17:20:00
720,720,720,720,5760,8,2014-06-11 17:30:00
717,717,717,717,717,1,2014-06-11 17:50:00
713,713,713,713,1426,2,2014-06-11 18:00:00
712,711,712,711,17068,24,2014-06-11 18:10:00
725,726,726,725,4352,6,2014-06-11 18:20:00
727,740,740,727,5835,8,2014-06-11 18:30:00
721,721,721,720,12255,17,2014-06-16 10:00:00
718,700,718,700,100254,142,2014-06-16 10:10:00
700,700,700,700,24500,35,2014-06-16 10:40:00
695,695,695,695,695,1,2014-06-16 10:50:00
696,696,696,696,139200,200,2014-06-16 11:00:00
711,711,711,711,711,1,2014-06-16 11:40:00
702,701,702,701,5609,8,2014-06-16 14:10:00
709,709,709,709,2127,3,2014-06-16 14:30:00
710,723,723,700,33160,47,2014-06-16 16:50:00
702,702,702,702,2106,3,2014-06-17 10:50:00
717,717,717,717,717,1,2014-06-17 11:30:00
715,715,715,715,2145,3,2014-06-17 12:10:00
715,716,716,715,7156,10,2014-06-17 12:40:00
705,701,705,701,21069,30,2014-06-17 13:20:00
714,736,736,714,31489,44,2014-06-17 13:30:00
719,719,719,719,14380,20,2014-06-17 14:20:00
711,703,711,703,14177,20,2014-06-17 14:50:00
716,728,728,716,34022,47,2014-06-17 16:20:00
728,728,728,728,728,1,2014-06-17 16:30:00
728,728,728,728,7280,10,2014-06-17 17:00:00
717,715,717,715,12894,18,2014-06-17 17:10:00
705,700,705,700,17549,25,2014-06-17 17:40:00
716,719,719,716,3583,5,2014-06-17 17:50:00
703,702,703,702,4217,6,2014-06-18 11:00:00
719,719,719,719,719,1,2014-06-18 16:40:00
707,707,707,707,707,1,2014-06-19 10:00:00
727,727,727,727,727,1,2014-06-19 10:50:00
712,720,720,712,14960,21,2014-06-19 11:10:00
714,714,714,714,8568,12,2014-06-19 12:20:00
720,721,721,720,13695,19,2014-06-19 14:10:00
704,658,704,658,6270,9,2014-06-19 14:30:00
685,685,685,685,7535,11,2014-06-19 15:40:00
704,704,704,704,704,1,2014-06-19 18:20:00
716,716,716,716,716,1,2014-06-20 10:00:00
693,685,693,682,33672,49,2014-06-20 10:20:00
707,717,717,707,19238,27,2014-06-20 10:30:00
706,716,716,706,9205,13,2014-06-20 10:50:00
715,717,717,715,43003,60,2014-06-20 11:00:00
716,717,717,716,14339,20,2014-06-20 12:00:00
711,711,711,711,4977,7,2014-06-20 16:50:00
699,698,699,698,15361,22,2014-06-20 17:40:00
709,704,709,697,25934,37,2014-06-20 17:50:00
697,680,697,680,14425,21,2014-06-20 18:10:00
711,711,711,711,711,1,2014-06-20 18:30:00
739,739,739,739,739,1,2014-06-23 10:00:00
711,711,711,711,13509,19,2014-06-23 10:30:00
