Open,Close,High,Low,Value,Volume,Date
11.3,11.3,11.3,11.3,1130.0,100,2014-06-10 18:00:00
11.28,11.28,11.28,11.28,1128.0,100,2014-06-11 14:10:00
11.0,11.0,11.0,11.0,7700.0,700,2014-06-11 16:40:00
11.001,11.001,11.001,11.001,1100.1,100,2014-06-11 18:20:00
11.003,11.0,11.003,11.0,11001.1,1000,2014-06-19 18:00:00
11.4,11.4,11.4,11.4,1140.0,100,2014-06-19 18:20:00
11.009,11.002,11.009,11.002,7705.099999999999,700,2014-06-20 15:10:00
11.199,11.2,11.2,11.199,10079.6,900,2014-06-20 15:30:00
11.0,11.0,11.0,11.0,23100.0,2100,2014-06-23 12:20:00
11.0,11.0,11.0,11.0,27500.0,2500,2014-06-23 12:40:00
11.001,11.001,11.001,11.001,1100.1,100,2014-06-23 18:10:00
11.0,11.0,11.0,11.0,1100.0,100,2014-06-24 12:00:00
11.001,11.001,11.001,11.001,1100.1,100,2014-06-24 12:10:00
11.0,11.0,11.0,11.0,1100.0,100,2014-06-24 12:20:00
10.905,10.905,10.905,10.905,1090.5,100,2014-06-24 13:30:00
10.906,10.906,10.906,10.906,1090.6,100,2014-06-24 13:40:00
10.905,10.905,10.905,10.905,1090.5,100,2014-06-24 14:10:00
10.905,10.904,10.905,10.904,10904.8,1000,2014-06-24 18:00:00
10.901,10.9,10.901,10.9,5450.3,500,2014-06-25 13:30:00
10.9,10.888,10.9,10.888,2178.8,200,2014-06-25 13:50:00
10.881,10.881,10.881,10.881,2176.2,200,2014-06-25 14:00:00
10.88,10.877,10.88,10.877,2175.7,200,2014-06-25 14:10:00
10.802,10.802,10.802,10.802,1080.2,100,2014-06-25 18:30:00
10.999,11.0,11.0,10.999,8799.3,800,2014-06-26 12:20:00
11.0,11.0,11.0,11.0,1100.0,100,2014-06-26 14:40:00
11.0,11.0,11.0,11.0,1100.0,100,2014-06-26 17:20:00
10.999,11.0,11.0,10.999,3299.8,300,2014-06-27 13:00:00
11.0,11.0,11.0,11.0,1100.0,100,2014-06-27 13:30:00
11.0,11.0,11.0,11.0,31900.0,2900,2014-06-27 15:00:00
11.0,11.0,11.0,11.0,2200.0,200,2014-06-27 15:50:00
11.0,11.0,11.0,11.0,5500.0,500,2014-06-27 16:00:00
11.0,11.0,11.0,11.0,1100.0,100,2014-06-27 16:20:00
10.801,10.801,10.801,10.801,1080.1,100,2014-06-27 16:30:00
10.811,10.811,10.811,10.811,5405.5,500,2014-06-27 16:50:00
10.81,10.81,10.81,10.81,2162.0,200,2014-06-27 18:30:00
10.65,10.65,10.65,10.65,1065.0,100,2014-06-30 10:20:00
10.802,10.802,10.802,10.802,1080.2,100,2014-07-01 12:10:00
10.992,11.0,11.0,10.992,25285.8,2300,2014-07-01 15:30:00
11.0,11.187,11.187,11.0,18733.6,1700,2014-07-01 16:00:00
11.201,11.201,11.201,11.201,1120.1,100,2014-07-01 17:00:00
11.199,11.2,11.2,11.199,3359.8,300,2014-07-02 14:50:00
11.0,11.0,11.0,11.0,1100.0,100,2014-07-07 15:20:00
11.18,11.2,11.2,11.18,277695.0,24800,2014-07-07 15:50:00
11.2,11.15,11.2,11.15,259805.0,23300,2014-07-07 16:30:00
11.001,11.001,11.001,11.001,1100.1,100,2014-07-10 14:20:00
11.189,11.2,11.2,11.189,8953.9,800,2014-07-10 14:50:00
11.1,11.1,11.1,11.001,18782.4,1700,2014-07-10 18:30:00
11.15,11.2,11.2,11.15,2235.0,200,2014-07-11 17:40:00
11.2,11.2,11.2,11.2,1120.0,100,2014-07-11 18:10:00
11.25,11.291,11.291,11.25,5639.6,500,2014-07-11 18:30:00
11.11,11.11,11.11,11.11,1111.0,100,2014-07-14 11:30:00
11.021,11.0,11.021,11.0,5502.9,500,2014-07-14 18:00:00
11.0,11.0,11.0,11.0,11000.0,1000,2014-07-16 14:10:00
11.0,11.0,11.0,11.0,1100.0,100,2014-07-17 14:00:00
11.01,11.0,11.01,11.0,4401.0,400,2014-07-17 16:20:00
11.19,11.19,11.19,11.19,1119.0,100,2014-07-17 17:00:00
11.496,11.498,11.498,11.496,8048.2,700,2014-07-18 17:10:00
11.251,11.251,11.251,11.251,1125.1,100,2014-07-18 17:20:00
11.029,11.029,11.029,11.029,1102.9,100,2014-07-22 11:10:00
11.5,12.0,12.0,11.5,71650.1,6000,2014-07-22 12:30:00
11.5,11.5,11.5,11.5,1150.0,100,2014-07-28 10:20:00
11.7,11.7,11.7,11.7,1170.0,100,2014-07-28 14:20:00
11.4,11.4,11.4,11.4,1140.0,100,2014-07-28 17:50:00
11.2,11.2,11.2,11.2,1120.0,100,2014-08-01 17:20:00
11.5,11.5,11.5,11.5,1150.0,100,2014-08-06 14:00:00
11.2,11.2,11.2,11.2,1120.0,100,2014-08-06 14:30:00
11.113,11.0,11.113,11.0,15427.8,1400,2014-08-06 15:30:00
9.501,9.36,9.501,9.36,4708.1,500,2014-08-07 10:20:00
10.55,10.55,10.55,10.55,1055.0,100,2014-08-07 10:30:00
11.25,11.799,11.799,11.25,5774.700000000001,500,2014-08-07 16:50:00
9.506,9.506,9.506,9.506,2851.8,300,2014-08-08 10:00:00
11.0,11.0,11.0,11.0,3300.0,300,2014-08-08 11:30:00
11.4,11.4,11.4,11.4,1140.0,100,2014-08-08 11:40:00
11.001,11.0,11.001,11.0,55000.1,5000,2014-08-08 13:10:00
11.23,11.23,11.23,11.23,1123.0,100,2014-08-13 10:40:00
11.0,11.0,11.0,11.0,1100.0,100,2014-08-13 11:00:00
11.275,11.275,11.275,11.275,1127.5,100,2014-08-14 17:30:00
