Open,Close,High,Low,Value,Volume,Date
275.0,296.0,317.0,270.0,522069519.09999967,1765423,2024-02-07 11:10:00
296.0,289.1,297.4,285.3,156369493.99999997,538598,2024-02-07 11:20:00
289.25,289.75,294.0,288.3,119122101.04999998,409845,2024-02-07 11:30:00
289.9,288.5,289.9,288.0,51068429.14999999,176947,2024-02-07 11:40:00
288.6,284.7,288.85,280.8,111318760.19999999,391007,2024-02-07 11:50:00
284.7,283.3,285.8,282.0,38998003.35000001,137546,2024-02-07 12:00:00
283.25,284.9,285.0,282.05,35705510.7,125661,2024-02-07 12:10:00
284.85,280.7,285.0,280.6,34644666.24999999,122304,2024-02-07 12:20:00
280.75,280.05,283.0,280.0,46814805.95000003,166632,2024-02-07 12:30:00
280.25,281.15,281.85,280.05,17908861.749999993,63703,2024-02-07 12:40:00
281.3,285.0,285.0,281.0,41093622.7,144954,2024-02-07 12:50:00
285.0,282.2,285.05,282.1,45301804.050000004,159667,2024-02-07 13:00:00
282.15,282.5,283.05,282.1,38448267.9,136056,2024-02-07 13:10:00
282.5,282.9,283.05,282.15,18688853.65,66099,2024-02-07 13:20:00
282.9,284.8,284.95,282.5,11240377.1,39673,2024-02-07 13:30:00
284.8,286.5,288.8,284.55,39438451.699999996,137466,2024-02-07 13:40:00
286.5,289.75,290.0,286.4,32622822.750000007,112851,2024-02-07 13:50:00
289.75,288.95,289.9,286.0,16885404.3,58557,2024-02-07 14:00:00
288.95,289.75,290.0,287.5,23586377.9,81453,2024-02-07 14:10:00
289.75,287.95,289.9,287.05,17224947.95,59648,2024-02-07 14:20:00
287.85,288.0,288.55,287.0,7993277.550000001,27785,2024-02-07 14:30:00
287.9,285.7,288.25,285.3,25231913.099999994,88062,2024-02-07 14:40:00
285.7,285.7,287.45,285.4,9967527.199999997,34791,2024-02-07 14:50:00
285.7,286.1,286.7,285.45,5881453.6,20557,2024-02-07 15:00:00
286.05,287.95,288.0,285.8,7763371.9,27025,2024-02-07 15:10:00
287.95,287.65,288.0,286.85,4754854.1,16541,2024-02-07 15:20:00
287.5,287.95,288.2,287.45,6050573.5,21006,2024-02-07 15:30:00
287.95,287.4,288.4,287.1,8213181.7,28521,2024-02-07 15:40:00
287.4,285.85,287.55,285.55,6168825.600000001,21549,2024-02-07 15:50:00
285.75,287.45,287.6,285.6,5953644.949999999,20776,2024-02-07 16:00:00
287.45,287.1,287.55,287.0,3980664.4000000004,13856,2024-02-07 16:10:00
287.1,286.55,287.1,284.8,21810816.600000005,76382,2024-02-07 16:20:00
286.55,286.75,287.1,286.15,6524306.649999999,22761,2024-02-07 16:30:00
286.75,286.45,286.9,286.3,4946139.75,17265,2024-02-07 16:40:00
286.4,286.95,287.0,286.35,5220531.799999999,18213,2024-02-07 16:50:00
286.95,287.0,287.1,286.7,5326715.850000001,18563,2024-02-07 17:00:00
