Open,Close,High,Low,Value,Volume,Date
13.013,13.005,13.013,13.005,32528.5,2500,2014-06-09 13:10:00
12.922,12.702,12.922,12.702,10223.2,800,2014-06-10 13:30:00
12.701,12.701,12.701,12.701,1270.1,100,2014-06-10 16:10:00
13.1,12.738,13.1,12.738,3282638.8,250600,2014-06-10 17:30:00
13.355,12.701,13.4,12.701,13065.400000000001,1000,2014-06-11 10:00:00
13.174,13.174,13.174,13.174,2634.8,200,2014-06-16 13:40:00
12.949,12.701,12.949,12.701,29448.0,2300,2014-06-17 10:40:00
12.711,12.71,12.711,12.71,6355.2,500,2014-06-17 14:20:00
12.75,12.715,12.75,12.715,38162.5,3000,2014-06-19 12:30:00
12.991,12.991,12.991,12.991,1299.1,100,2014-06-23 17:50:00
13.0,13.001,13.001,13.0,53300.1,4100,2014-06-24 15:30:00
13.1,13.1,13.1,13.1,415270.0,31700,2014-06-25 12:10:00
12.843,12.8,12.843,12.8,29449.3,2300,2014-07-02 11:00:00
12.851,12.851,12.851,12.851,6425.5,500,2014-07-03 11:20:00
12.95,12.915,13.0,12.915,19464.5,1500,2014-07-04 17:50:00
13.0,13.0,13.0,13.0,9100.0,700,2014-07-07 10:30:00
13.0,12.906,13.0,12.906,24587.300000000003,1900,2014-07-07 15:20:00
13.0,13.0,13.0,13.0,13000.0,1000,2014-07-07 18:10:00
13.0,13.0,13.0,13.0,13000.0,1000,2014-07-07 18:20:00
13.0,13.0,13.0,13.0,13000.0,1000,2014-07-07 18:30:00
13.0,13.0,13.0,13.0,36400.0,2800,2014-07-08 11:00:00
13.05,12.981,13.05,12.981,2603.1,200,2014-07-09 11:00:00
13.003,13.003,13.003,13.003,1300.3,100,2014-07-09 15:50:00
13.012,12.995,13.012,12.995,32492.6,2500,2014-07-10 13:20:00
13.0,13.0,13.0,13.0,13000.0,1000,2014-07-10 18:30:00
12.804,12.804,12.804,12.804,3841.2,300,2014-07-14 11:10:00
12.807,12.807,12.807,12.807,6403.5,500,2014-07-14 17:30:00
12.806,12.806,12.806,12.806,38418.0,3000,2014-07-15 14:40:00
12.807,12.807,12.807,12.807,1280.7,100,2014-07-15 18:10:00
12.81,12.81,12.81,12.81,1281.0,100,2014-07-16 14:30:00
12.901,12.9,12.901,12.9,95460.6,7400,2014-07-17 11:10:00
13.0,13.0,13.0,13.0,13000.0,1000,2014-07-18 13:30:00
12.901,12.901,12.901,12.901,12901.0,1000,2014-07-21 16:40:00
12.9,12.9,12.9,12.9,3870.0,300,2014-07-22 13:20:00
12.99,13.0,13.0,12.99,68898.8,5300,2014-07-22 14:20:00
13.0,13.0,13.0,13.0,1300.0,100,2014-07-22 17:40:00
13.0,13.0,13.0,13.0,26000.0,2000,2014-07-25 18:20:00
13.0,13.0,13.0,13.0,65000.0,5000,2014-07-28 14:20:00
13.188,13.2,13.2,13.188,5278.8,400,2014-07-28 16:10:00
13.213,13.213,13.213,13.213,1321.3,100,2014-07-28 16:30:00
13.2,13.2,13.2,13.2,46200.0,3500,2014-07-28 16:50:00
13.201,13.201,13.201,13.201,9240.7,700,2014-07-28 18:30:00
