Open,Close,High,Low,Value,Volume,Date
4.35,4.35,4.35,4.35,435.0,100,2014-06-09 16:40:00
4.173,4.1,4.173,4.02,18922.0,4600,2014-06-11 17:20:00
4.02,4.02,4.02,4.02,7236.0,1800,2014-06-11 17:30:00
4.25,4.25,4.25,4.25,850.0,200,2014-06-11 17:50:00
4.24,4.24,4.24,4.24,424.0,100,2014-06-11 18:20:00
4.29,4.29,4.29,4.29,429.0,100,2014-06-16 10:00:00
4.225,4.255,4.255,4.225,4650.5,1100,2014-06-16 11:20:00
4.225,4.225,4.225,4.225,1267.5,300,2014-06-16 12:40:00
4.3,4.367,4.367,4.3,4352.799999999999,1000,2014-06-16 13:10:00
4.32,4.32,4.32,4.32,432.0,100,2014-06-16 13:30:00
4.366,4.37,4.37,4.366,42814.899999999994,9800,2014-06-16 13:40:00
4.3,4.3,4.3,4.3,430.0,100,2014-06-16 15:10:00
4.36,4.36,4.36,4.36,436.0,100,2014-06-16 17:00:00
4.3,4.3,4.3,4.3,430.0,100,2014-06-16 17:30:00
4.36,4.36,4.36,4.36,436.0,100,2014-06-16 17:50:00
4.252,4.251,4.252,4.251,5526.5,1300,2014-06-17 11:20:00
4.349,4.389,4.389,4.349,1308.8,300,2014-06-17 12:30:00
4.35,4.35,4.35,4.35,435.0,100,2014-06-18 10:10:00
4.252,4.251,4.252,4.251,850.3,200,2014-06-18 10:50:00
4.35,4.35,4.35,4.35,435.0,100,2014-06-18 11:30:00
4.253,4.253,4.253,4.253,850.6,200,2014-06-19 12:10:00
4.253,4.253,4.253,4.253,425.3,100,2014-06-19 13:00:00
4.349,4.35,4.35,4.349,869.9,200,2014-06-19 14:00:00
4.269,4.269,4.269,4.269,426.9,100,2014-06-19 17:00:00
4.3,4.3,4.3,4.3,430.0,100,2014-06-19 18:30:00
4.301,4.301,4.301,4.301,430.1,100,2014-06-20 14:00:00
4.36,4.36,4.36,4.36,8720.0,2000,2014-06-23 10:50:00
4.201,4.201,4.201,4.201,420.1,100,2014-06-24 11:10:00
4.31,4.31,4.31,4.31,431.0,100,2014-06-24 11:30:00
4.233,4.233,4.233,4.233,846.6,200,2014-06-24 12:30:00
4.27,4.27,4.27,4.27,1708.0,400,2014-06-24 17:40:00
4.27,4.28,4.28,4.27,855.0,200,2014-06-24 18:20:00
4.3,4.3,4.3,4.3,430.0,100,2014-06-25 14:40:00
4.2,3.95,4.2,3.95,25597.600000000002,6300,2014-06-25 16:30:00
4.0,4.0,4.0,4.0,10800.0,2700,2014-06-25 16:40:00
4.1,4.1,4.1,4.1,410.0,100,2014-06-25 16:50:00
4.1,4.1,4.1,4.1,10660.0,2600,2014-06-25 17:10:00
4.22,4.22,4.22,4.062,2483.3999999999996,600,2014-06-25 18:30:00
4.033,4.0,4.033,4.0,2406.6,600,2014-06-26 10:10:00
4.28,4.021,4.3,4.021,1260.1,300,2014-06-26 10:20:00
4.003,4.003,4.003,4.003,2001.5,500,2014-06-26 10:30:00
4.056,4.052,4.056,4.052,18236.5,4500,2014-06-26 12:40:00
4.157,4.196,4.196,4.157,2094.1,500,2014-06-26 13:30:00
4.193,4.195,4.195,4.193,1677.6,400,2014-06-26 14:20:00
4.194,4.194,4.194,4.194,838.8,200,2014-06-26 16:20:00
4.194,4.194,4.194,4.194,838.8,200,2014-06-26 16:40:00
4.15,4.15,4.15,4.15,415.0,100,2014-06-26 18:00:00
4.111,4.111,4.111,4.111,822.2,200,2014-06-26 18:20:00
4.111,4.111,4.111,4.111,1644.4,400,2014-06-26 18:30:00
4.17,4.17,4.17,4.17,417.0,100,2014-06-27 11:00:00
4.19,4.19,4.19,4.19,419.0,100,2014-06-27 11:30:00
4.19,4.19,4.19,4.19,419.0,100,2014-06-27 14:00:00
4.21,4.21,4.21,4.21,421.0,100,2014-06-27 16:00:00
4.23,4.25,4.25,4.23,2122.7,500,2014-06-27 16:20:00
4.25,4.25,4.25,4.25,425.0,100,2014-06-27 16:40:00
4.248,4.248,4.248,4.248,424.8,100,2014-06-27 18:30:00
4.23,4.23,4.23,4.23,423.0,100,2014-06-30 15:30:00
4.23,4.23,4.23,4.23,3384.0,800,2014-06-30 17:00:00
4.24,4.24,4.24,4.24,424.0,100,2014-07-01 10:30:00
4.239,4.239,4.239,4.239,847.8,200,2014-07-01 14:40:00
4.071,4.071,4.071,4.071,1221.3000000000002,300,2014-07-01 17:10:00
4.071,4.071,4.071,4.071,407.1,100,2014-07-01 17:20:00
4.072,4.072,4.072,4.072,407.2,100,2014-07-01 17:40:00
4.238,4.238,4.238,4.238,423.8,100,2014-07-01 18:30:00
4.23,4.23,4.23,4.23,423.0,100,2014-07-02 15:40:00
4.229,4.229,4.229,4.229,845.8,200,2014-07-02 17:40:00
4.29,4.29,4.29,4.29,429.0,100,2014-07-03 10:00:00
4.29,4.29,4.29,4.29,9867.0,2300,2014-07-03 13:00:00
4.29,4.29,4.29,4.29,137709.0,32100,2014-07-03 13:40:00
4.298,4.299,4.299,4.298,10747.0,2500,2014-07-03 13:50:00
4.179,4.179,4.179,4.179,74804.1,17900,2014-07-03 14:50:00
4.082,4.081,4.082,4.081,3265.3999999999996,800,2014-07-03 15:50:00
4.286,4.286,4.286,4.286,428.6,100,2014-07-03 16:00:00
4.25,4.25,4.25,4.25,14875.0,3500,2014-07-03 17:40:00
4.275,4.275,4.275,4.275,427.5,100,2014-07-03 18:30:00
4.301,4.301,4.301,4.301,21935.1,5100,2014-07-04 11:30:00
4.301,4.301,4.301,4.301,9032.1,2100,2014-07-04 12:00:00
4.3,4.3,4.3,4.3,860.0,200,2014-07-04 12:40:00
4.321,4.321,4.321,4.321,26790.2,6200,2014-07-04 12:50:00
4.211,4.211,4.211,4.211,5053.2,1200,2014-07-04 14:20:00
4.211,4.211,4.211,4.211,3368.8,800,2014-07-04 15:00:00
4.291,4.291,4.291,4.291,429.1,100,2014-07-04 15:50:00
4.1,4.149,4.169,4.1,38584.799999999996,9300,2014-07-07 10:00:00
4.154,4.154,4.154,4.154,17446.8,4200,2014-07-07 10:10:00
4.288,4.288,4.288,4.288,428.8,100,2014-07-07 11:10:00
4.219,4.219,4.219,4.219,4219.0,1000,2014-07-07 11:40:00
4.29,4.29,4.29,4.29,429.0,100,2014-07-07 11:50:00
4.289,4.29,4.29,4.289,4289.6,1000,2014-07-07 12:50:00
4.29,4.29,4.29,4.29,429.0,100,2014-07-07 18:00:00
4.3,4.3,4.3,4.3,430.0,100,2014-07-08 10:00:00
4.329,4.329,4.329,4.329,31168.8,7200,2014-07-08 10:10:00
4.212,4.212,4.212,4.212,30326.4,7200,2014-07-08 10:20:00
4.207,4.206,4.207,4.206,841.3,200,2014-07-08 13:00:00
4.162,4.032,4.162,3.802,23687.800000000003,5800,2014-07-09 13:20:00
4.249,4.249,4.249,4.249,424.9,100,2014-07-09 16:10:00
4.23,4.25,4.25,4.23,4672.4,1100,2014-07-09 16:50:00
4.23,4.23,4.23,4.23,423.0,100,2014-07-09 17:20:00
4.25,4.25,4.25,4.25,425.0,100,2014-07-09 17:50:00
4.107,4.107,4.107,4.107,410.7,100,2014-07-09 18:30:00
4.2,4.2,4.2,4.2,420.0,100,2014-07-10 10:20:00
4.19,4.19,4.19,4.19,419.0,100,2014-07-10 14:10:00
4.19,4.19,4.19,4.19,10475.0,2500,2014-07-10 15:50:00
4.151,4.151,4.151,4.151,415.1,100,2014-07-10 16:40:00
4.13,4.127,4.13,4.127,1651.3,400,2014-07-10 17:20:00
4.198,4.198,4.198,4.198,1679.2,400,2014-07-10 17:40:00
4.198,4.198,4.198,4.198,1679.2,400,2014-07-10 17:50:00
4.288,4.288,4.288,4.288,857.6,200,2014-07-10 18:30:00
4.29,4.3,4.3,4.29,1288.0,300,2014-07-11 10:20:00
4.18,4.18,4.18,4.18,418.0,100,2014-07-11 15:00:00
4.18,4.18,4.18,4.18,6270.0,1500,2014-07-11 15:20:00
4.288,4.399,4.399,4.288,15163.2,3500,2014-07-11 16:00:00
4.29,4.29,4.29,4.29,429.0,100,2014-07-11 16:10:00
4.289,4.289,4.289,4.289,10293.599999999999,2400,2014-07-11 18:20:00
4.279,4.279,4.279,4.279,427.9,100,2014-07-14 13:40:00
4.26,4.25,4.26,4.25,3833.0,900,2014-07-14 14:50:00
4.25,4.25,4.25,4.25,8500.0,2000,2014-07-15 10:50:00
4.213,4.21,4.213,4.21,22321.6,5300,2014-07-15 11:40:00
4.21,4.21,4.21,4.21,5473.0,1300,2014-07-15 11:50:00
4.223,4.223,4.223,4.223,422.3,100,2014-07-15 17:30:00
4.224,4.224,4.224,4.224,1267.2,300,2014-07-15 17:40:00
4.21,4.224,4.224,4.21,2110.6,500,2014-07-15 18:00:00
4.224,4.224,4.224,4.224,422.4,100,2014-07-15 18:10:00
4.212,4.211,4.212,4.211,16423.0,3900,2014-07-16 14:00:00
4.211,4.21,4.211,4.21,3789.8,900,2014-07-16 14:10:00
4.21,4.21,4.21,4.21,4210.0,1000,2014-07-16 14:30:00
4.2,4.2,4.2,4.2,420.0,100,2014-07-16 15:50:00
4.2,4.2,4.2,4.2,840.0,200,2014-07-16 17:20:00
4.2,4.2,4.2,4.2,420.0,100,2014-07-16 18:30:00
4.201,4.15,4.201,4.15,37775.2,9100,2014-07-17 11:30:00
4.15,4.066,4.15,4.066,68041.70000000001,16700,2014-07-17 13:50:00
4.066,4.066,4.066,4.064,2439.2,600,2014-07-17 14:00:00
4.066,4.066,4.066,4.066,4472.6,1100,2014-07-17 14:30:00
4.066,4.066,4.066,4.066,406.6,100,2014-07-17 16:40:00
4.066,4.066,4.066,4.066,5285.8,1300,2014-07-17 17:00:00
4.066,4.066,4.066,4.066,2033.0,500,2014-07-17 17:50:00
4.066,4.066,4.066,4.066,2033.0,500,2014-07-17 18:00:00
4.066,4.066,4.066,4.066,4066.0,1000,2014-07-17 18:10:00
4.066,4.066,4.066,4.066,813.2,200,2014-07-17 18:30:00
4.03,4.03,4.03,4.03,403.0,100,2014-07-18 11:10:00
4.03,4.03,4.03,4.03,10478.0,2600,2014-07-18 11:30:00
4.03,4.03,4.03,4.03,4030.0,1000,2014-07-18 11:50:00
4.03,4.03,4.03,4.03,2015.0,500,2014-07-18 12:00:00
4.03,4.03,4.03,4.03,24180.0,6000,2014-07-18 12:10:00
4.187,4.187,4.187,4.187,837.4,200,2014-07-18 13:00:00
4.182,4.182,4.182,4.182,418.2,100,2014-07-18 18:30:00
4.045,4.041,4.045,4.041,11720.600000000002,2900,2014-07-21 10:00:00
4.041,4.041,4.041,4.041,404.1,100,2014-07-21 10:10:00
4.181,4.182,4.182,4.181,7945.7,1900,2014-07-21 10:20:00
4.183,4.197,4.197,4.183,838.0,200,2014-07-21 10:30:00
4.101,4.101,4.101,4.101,410.1,100,2014-07-21 18:10:00
4.2,4.2,4.2,4.2,420.0,100,2014-07-22 10:00:00
4.299,4.3,4.4,4.21,3445.9,800,2014-07-22 10:10:00
4.239,4.202,4.239,4.202,30261.7,7200,2014-07-22 10:20:00
4.194,4.194,4.194,4.194,4194.0,1000,2014-07-22 11:00:00
4.202,4.202,4.202,4.202,84040.0,20000,2014-07-22 11:40:00
4.244,4.25,4.25,4.244,29743.0,7000,2014-07-22 17:50:00
4.187,4.18,4.187,4.18,5859.7,1400,2014-07-23 13:30:00
4.15,4.15,4.15,4.15,415.0,100,2014-07-23 14:00:00
4.106,4.104,4.106,4.104,3284.0,800,2014-07-23 17:10:00
4.105,4.105,4.105,4.105,410.5,100,2014-07-23 17:20:00
4.105,4.105,4.105,4.105,1231.5,300,2014-07-23 17:30:00
3.93,4.041,4.041,3.93,9609.400000000001,2400,2014-07-24 10:00:00
4.052,4.0,4.052,4.0,28070.8,7000,2014-07-24 10:20:00
