Open,Close,High,Low,Value,Volume,Date
0.8032,0.8032,0.8032,0.8032,803.2,1000,2014-06-09 18:30:00
0.8574,0.865,0.865,0.8574,221392.0,257000,2014-06-10 16:10:00
0.865,0.865,0.865,0.865,34600.0,40000,2014-06-10 16:40:00
0.867,0.867,0.867,0.867,86700.0,100000,2014-06-10 16:50:00
0.865,0.865,0.865,0.865,2595.0,3000,2014-06-10 17:10:00
0.8111,0.8111,0.8111,0.8111,811.1,1000,2014-06-11 10:50:00
0.8699,0.8699,0.8699,0.8699,869.9,1000,2014-06-11 11:10:00
0.865,0.865,0.865,0.865,259500.0,300000,2014-06-11 13:20:00
0.865,0.865,0.865,0.865,17300.0,20000,2014-06-11 14:00:00
0.865,0.865,0.865,0.865,147050.0,170000,2014-06-11 14:20:00
0.865,0.865,0.865,0.865,9515.0,11000,2014-06-11 15:00:00
0.865,0.865,0.865,0.865,76985.0,89000,2014-06-11 15:20:00
0.8653,0.865,0.8653,0.865,86500.3,100000,2014-06-11 16:40:00
0.865,0.865,0.865,0.865,865.0,1000,2014-06-11 18:10:00
0.8552,0.8552,0.8552,0.8552,855.2,1000,2014-06-16 15:30:00
0.8701,0.87,0.8701,0.87,156608.4,180000,2014-06-16 16:30:00
0.9098,0.9949,0.9949,0.9098,7572.6,8000,2014-06-17 10:10:00
0.8203,0.8203,0.8203,0.8203,820.3,1000,2014-06-17 10:30:00
0.9001,0.9,0.9001,0.9,226800.2,252000,2014-06-17 15:10:00
0.9,0.9,0.9,0.9,180000.0,200000,2014-06-17 15:20:00
0.9,0.9,0.9,0.9,900.0,1000,2014-06-17 15:30:00
0.9,0.9,0.9,0.9,180000.0,200000,2014-06-17 16:30:00
0.9,0.9,0.9,0.9,243000.0,270000,2014-06-17 16:50:00
0.9438,0.9998,1.0,0.9438,3546769.0,3564000,2014-06-17 17:20:00
1.0101,1.0998,1.0998,1.0101,16278.8,15000,2014-06-17 17:30:00
1.0002,1.0002,1.0002,1.0002,1000.2,1000,2014-06-17 17:40:00
1.0002,1.0,1.0002,1.0,20000.4,20000,2014-06-17 18:10:00
1.0498,1.099,1.099,1.0498,6395.400000000001,6000,2014-06-18 10:10:00
1.0011,1.0011,1.0011,1.0011,1001.1,1000,2014-06-18 13:50:00
1.0001,1.0,1.0001,1.0,100000.2,100000,2014-06-18 15:10:00
1.0,1.0,1.0,1.0,2000.0,2000,2014-06-18 16:30:00
0.9047,0.9047,0.9047,0.9047,18094.0,20000,2014-06-19 10:30:00
0.9898,1.0,1.0,0.9898,344708.1,345000,2014-06-19 10:40:00
1.0001,1.0,1.0001,1.0,156000.1,156000,2014-06-19 11:40:00
1.0,1.0,1.0,1.0,4000.0,4000,2014-06-19 12:20:00
1.0202,1.05,1.0501,1.0202,99690.40000000001,95000,2014-06-19 16:10:00
1.05,1.05,1.05,1.0499,22049.9,21000,2014-06-19 16:30:00
1.075,1.1,1.1,1.075,3385375.6,3080000,2014-06-19 16:50:00
1.0503,1.05,1.0503,1.05,76657.5,73000,2014-06-19 17:00:00
1.0502,1.05,1.0502,1.05,84003.2,80000,2014-06-19 17:10:00
1.0749,1.075,1.075,1.05,140074.9,131000,2014-06-19 18:20:00
1.0849,1.15,1.15,1.075,1123756.0,1023000,2014-06-19 18:30:00
1.1006,1.1,1.1006,1.1,3301.1,3000,2014-06-20 10:30:00
1.1746,1.1746,1.1746,1.1746,1174.6,1000,2014-06-20 10:40:00
1.15,1.12,1.15,1.12,174785.3,156000,2014-06-20 11:50:00
1.1235,1.125,1.125,1.1235,1068733.8,950000,2014-06-20 13:20:00
