Open,Close,High,Low,Value,Volume,Date
801.1,801.0,801.1,801.0,8811.1,11,2014-06-11 15:30:00
900.0,900.0,900.0,900.0,900.0,1,2014-06-17 10:00:00
900.0,900.0,900.0,900.0,4500.0,5,2014-06-17 10:10:00
900.0,900.0,900.0,900.0,4500.0,5,2014-06-17 10:20:00
900.0,900.0,900.0,900.0,3600.0,4,2014-06-17 10:30:00
900.0,900.0,900.0,900.0,900.0,1,2014-06-17 11:50:00
914.7,914.7,914.7,914.7,1829.4,2,2014-06-17 16:30:00
975.0,975.0,975.0,975.0,975.0,1,2014-06-20 10:40:00
900.1,900.0,900.1,900.0,5400.1,6,2014-06-25 15:40:00
900.0,900.0,900.0,900.0,900.0,1,2014-06-27 16:50:00
901.0,901.0,901.0,901.0,901.0,1,2014-06-30 10:40:00
970.9,971.0,971.0,970.9,4854.8,5,2014-06-30 13:20:00
901.0,900.0,901.0,900.0,3602.0,4,2014-06-30 16:40:00
900.0,900.0,900.0,900.0,7200.0,8,2014-06-30 16:50:00
850.0,850.0,850.0,850.0,3400.0,4,2014-07-01 10:50:00
820.0,820.0,820.0,820.0,3280.0,4,2014-07-03 12:50:00
977.3,988.0,988.0,977.3,21689.0,22,2014-07-04 17:30:00
850.0,850.0,850.0,850.0,850.0,1,2014-07-17 13:00:00
987.9,988.0,988.0,987.9,2963.9,3,2014-07-18 15:00:00
820.0,820.0,820.0,820.0,4100.0,5,2014-07-21 17:20:00
820.0,820.0,820.0,820.0,820.0,1,2014-07-22 11:30:00
820.0,820.0,820.0,820.0,820.0,1,2014-07-22 12:00:00
870.0,870.0,870.0,870.0,870.0,1,2014-07-29 10:00:00
987.9,988.0,988.0,987.9,1975.9,2,2014-07-31 10:20:00
940.5,940.5,940.5,940.5,940.5,1,2014-07-31 17:10:00
1000.0,1019.0,1019.0,1000.0,5075.9,5,2014-07-31 17:30:00
940.1,940.1,940.1,940.1,940.1,1,2014-08-01 17:30:00
975.0,975.0,975.0,975.0,975.0,1,2014-08-06 17:20:00
980.0,980.0,980.0,980.0,8820.0,9,2014-08-07 13:50:00
1000.0,1000.0,1000.0,1000.0,1000.0,1,2014-08-07 14:00:00
1016.9,1019.0,1019.0,1016.9,30519.9,30,2014-08-07 17:30:00
1019.0,1019.0,1019.0,1019.0,2038.0,2,2014-08-08 14:20:00
955.0,955.0,955.0,955.0,955.0,1,2014-08-11 10:00:00
999.0,999.0,999.0,999.0,1998.0,2,2014-08-12 11:50:00
1019.0,1028.0,1028.0,1019.0,2047.0,2,2014-08-18 10:00:00
1028.0,1028.0,1028.0,1028.0,5140.0,5,2014-08-18 16:20:00
1002.0,1002.0,1002.0,1002.0,1002.0,1,2014-08-18 16:30:00
1028.0,1029.4,1029.4,1028.0,5141.4,5,2014-08-20 14:00:00
1077.7,1078.0,1078.0,1077.7,8623.7,8,2014-08-28 15:10:00
1088.7,1088.7,1088.7,1088.7,1088.7,1,2014-08-29 18:30:00
1030.0,1030.0,1030.0,1030.0,1030.0,1,2014-09-03 14:10:00
1070.0,1070.0,1070.0,1070.0,16050.0,15,2014-09-09 11:40:00
1089.0,1089.0,1089.0,1089.0,2178.0,2,2014-09-11 10:00:00
1088.7,1089.0,1089.0,1088.7,9800.7,9,2014-09-11 15:10:00
1089.0,1089.0,1089.0,1089.0,15246.0,14,2014-09-11 15:20:00
1148.7,1149.0,1149.0,1148.7,3446.7,3,2014-09-12 10:30:00
1148.0,1148.7,1148.7,1148.0,5742.1,5,2014-09-12 12:40:00
1149.0,1149.0,1149.0,1149.0,1149.0,1,2014-09-12 13:10:00
1100.0,1050.0,1100.0,1050.0,5450.0,5,2014-09-15 14:40:00
1050.0,1050.0,1050.0,1050.0,1050.0,1,2014-09-16 18:20:00
1100.0,1100.0,1100.0,1100.0,4400.0,4,2014-09-17 12:50:00
901.0,854.0,901.0,854.0,10296.3,12,2014-09-26 17:50:00
870.7,930.0,930.0,870.7,5520.7,6,2014-09-26 18:20:00
940.0,940.0,940.0,940.0,940.0,1,2014-09-26 18:30:00
731.0,731.0,731.0,731.0,731.0,1,2014-10-02 14:40:00
939.0,939.0,939.0,939.0,939.0,1,2014-10-03 10:50:00
765.0,870.0,900.0,728.0,38414.0,49,2014-10-06 18:10:00
820.0,820.0,820.0,820.0,820.0,1,2014-10-06 18:20:00
820.0,820.0,820.0,820.0,8200.0,10,2014-10-07 16:20:00
890.0,890.0,890.0,890.0,5340.0,6,2014-10-10 17:50:00
1025.0,1125.0,1125.0,1025.0,59194.0,53,2014-10-27 10:50:00
1125.0,1125.0,1125.0,1125.0,3375.0,3,2014-10-27 15:10:00
1120.0,1120.0,1120.0,1120.0,1120.0,1,2014-11-03 15:20:00
1125.0,1125.0,1125.0,1125.0,34875.0,31,2014-11-05 17:40:00
1128.0,1155.0,1155.0,1128.0,97815.0,85,2014-11-06 12:50:00
1158.0,1158.0,1158.0,1158.0,34740.0,30,2014-11-06 13:20:00
1160.0,1160.0,1160.0,1160.0,34800.0,30,2014-11-06 14:20:00
901.0,901.0,901.0,901.0,901.0,1,2014-11-06 15:10:00
1155.0,1155.0,1155.0,1155.0,10395.0,9,2014-11-06 16:20:00
1157.0,1158.0,1158.0,1157.0,69479.0,60,2014-11-07 11:50:00
1158.0,1160.0,1160.0,1158.0,3478.0,3,2014-11-07 12:00:00
950.0,950.0,950.0,950.0,950.0,1,2014-11-11 18:30:00
1100.0,1100.0,1100.0,1100.0,2200.0,2,2014-11-12 10:10:00
901.0,900.0,901.0,900.0,3601.0,4,2014-11-18 10:30:00
875.0,875.0,875.0,875.0,875.0,1,2014-11-20 10:00:00
876.0,875.0,876.0,730.0,40941.0,48,2014-11-26 11:00:00
875.0,875.0,875.0,875.0,10500.0,12,2014-11-26 11:50:00
990.0,990.0,990.0,990.0,49500.0,50,2014-11-28 14:40:00
990.0,990.0,990.0,990.0,9900.0,10,2014-11-28 14:50:00
989.0,1000.0,1000.0,989.0,1989.0,2,2014-11-28 15:30:00
990.0,990.0,990.0,990.0,4950.0,5,2014-11-28 17:20:00
990.0,996.0,996.0,990.0,16842.0,17,2014-12-01 16:30:00
996.0,999.0,999.0,996.0,3990.0,4,2014-12-01 18:20:00
751.0,751.0,751.0,751.0,751.0,1,2014-12-02 17:10:00
975.0,975.0,975.0,975.0,975.0,1,2014-12-02 18:00:00
1000.0,1000.0,1000.0,1000.0,5000.0,5,2014-12-05 18:30:00
781.0,780.0,781.0,780.0,16381.0,21,2014-12-16 11:30:00
780.0,780.0,780.0,780.0,780.0,1,2014-12-16 13:00:00
780.0,780.0,780.0,780.0,780.0,1,2014-12-16 15:50:00
889.0,890.0,890.0,889.0,1779.0,2,2014-12-17 18:20:00
900.0,900.0,900.0,900.0,1800.0,2,2014-12-26 16:50:00
939.0,939.0,939.0,939.0,2817.0,3,2014-12-29 11:30:00
900.0,900.0,900.0,900.0,1800.0,2,2014-12-30 12:10:00
900.0,900.0,900.0,900.0,7200.0,8,2014-12-30 12:50:00
724.0,724.0,724.0,724.0,724.0,1,2015-01-05 17:20:00
1025.0,1025.0,1025.0,1025.0,1025.0,1,2015-01-05 17:40:00
1024.0,1059.0,1059.0,1024.0,10411.0,10,2015-01-09 18:30:00
901.0,901.0,901.0,901.0,901.0,1,2015-01-12 13:40:00
900.0,900.0,900.0,900.0,4500.0,5,2015-01-16 18:30:00
810.0,809.0,810.0,809.0,6475.0,8,2015-01-28 10:00:00
810.0,810.0,810.0,810.0,3240.0,4,2015-01-28 10:20:00
811.0,810.0,811.0,810.0,5674.0,7,2015-01-29 18:30:00
939.0,939.0,939.0,939.0,939.0,1,2015-01-30 12:40:00
850.0,810.0,850.0,810.0,4130.0,5,2015-01-30 13:30:00
900.0,900.0,900.0,900.0,12600.0,14,2015-01-30 17:00:00
811.0,810.0,811.0,810.0,7296.0,9,2015-01-30 18:10:00
850.0,850.0,850.0,850.0,850.0,1,2015-02-02 10:40:00
850.0,850.0,850.0,850.0,1700.0,2,2015-02-02 10:50:00
790.0,790.0,790.0,790.0,3160.0,4,2015-02-02 15:40:00
968.0,971.0,971.0,968.0,7748.0,8,2015-02-03 18:20:00
817.0,817.0,817.0,817.0,817.0,1,2015-02-04 11:00:00
900.0,900.0,900.0,900.0,900.0,1,2015-02-04 11:20:00
840.0,840.0,840.0,840.0,840.0,1,2015-02-05 18:30:00
810.0,810.0,810.0,810.0,810.0,1,2015-02-20 10:00:00
817.0,800.0,817.0,800.0,20873.0,26,2015-02-26 11:10:00
830.0,830.0,830.0,830.0,830.0,1,2015-02-26 17:30:00
825.0,808.0,825.0,808.0,24278.0,30,2015-02-26 17:40:00
829.0,829.0,829.0,829.0,8290.0,10,2015-02-26 17:50:00
810.0,840.0,840.0,808.0,5694.0,7,2015-02-26 18:30:00
840.0,840.0,840.0,840.0,840.0,1,2015-02-27 17:40:00
810.0,810.0,810.0,810.0,810.0,1,2015-03-02 18:20:00
828.0,828.0,828.0,828.0,4140.0,5,2015-03-03 11:50:00
837.0,838.0,838.0,837.0,25977.0,31,2015-03-03 12:20:00
866.0,866.0,866.0,866.0,866.0,1,2015-03-04 10:50:00
828.0,829.0,829.0,828.0,2486.0,3,2015-03-05 15:00:00
829.0,829.0,829.0,829.0,8290.0,10,2015-03-05 15:10:00
849.0,850.0,850.0,849.0,33987.0,40,2015-03-05 17:40:00
811.0,810.0,811.0,810.0,2431.0,3,2015-03-10 13:10:00
810.0,810.0,810.0,810.0,1620.0,2,2015-03-11 15:10:00
810.0,800.0,810.0,800.0,3230.0,4,2015-03-26 12:00:00
800.0,800.0,800.0,800.0,17600.0,22,2015-03-26 12:20:00
830.0,830.0,830.0,830.0,2490.0,3,2015-03-30 17:30:00
795.0,795.0,795.0,795.0,15105.0,19,2015-03-31 13:30:00
820.0,820.0,820.0,820.0,2460.0,3,2015-03-31 17:20:00
820.0,820.0,820.0,820.0,820.0,1,2015-03-31 18:30:00
820.0,820.0,820.0,820.0,18860.0,23,2015-04-01 14:40:00
796.0,796.0,796.0,796.0,796.0,1,2015-04-01 17:00:00
795.0,795.0,795.0,795.0,3975.0,5,2015-04-02 10:00:00
800.0,800.0,800.0,800.0,4000.0,5,2015-04-02 10:40:00
795.0,795.0,795.0,795.0,14310.0,18,2015-04-02 10:50:00
800.0,800.0,800.0,800.0,1600.0,2,2015-04-07 12:50:00
800.0,777.0,800.0,777.0,12586.0,16,2015-04-08 14:00:00
765.0,755.0,765.0,755.0,18940.0,25,2015-04-08 14:10:00
849.0,850.0,850.0,849.0,13591.0,16,2015-04-10 15:10:00
890.0,950.0,950.0,890.0,9023.0,10,2015-04-10 16:20:00
900.0,949.0,949.0,900.0,10384.0,11,2015-04-13 16:10:00
950.0,950.0,950.0,950.0,950.0,1,2015-04-14 13:20:00
850.0,850.0,850.0,850.0,2550.0,3,2015-04-14 18:00:00
950.0,950.0,950.0,950.0,14250.0,15,2015-04-15 15:50:00
950.0,950.0,950.0,950.0,3800.0,4,2015-04-15 17:10:00
993.0,993.0,993.0,993.0,993.0,1,2015-04-20 15:50:00
993.0,993.0,993.0,993.0,993.0,1,2015-04-22 10:10:00
881.0,879.0,881.0,879.0,6156.0,7,2015-04-22 16:10:00
950.0,920.0,1069.0,870.0,78763.0,77,2015-04-23 10:40:00
1095.0,1100.0,1100.0,1095.0,54850.0,50,2015-04-23 10:50:00
1090.0,1140.0,1140.0,1090.0,85419.0,77,2015-04-23 13:10:00
1148.0,1200.0,1200.0,1148.0,44576.0,38,2015-04-23 13:20:00
1197.0,1200.0,1200.0,1197.0,38355.0,32,2015-04-23 14:00:00
1030.0,1030.0,1030.0,1030.0,1030.0,1,2015-04-23 14:20:00
979.0,979.0,979.0,979.0,979.0,1,2015-04-27 10:00:00
990.0,990.0,990.0,990.0,990.0,1,2015-04-27 10:10:00
1030.0,1030.0,1030.0,1030.0,1030.0,1,2015-04-27 10:40:00
1200.0,1200.0,1200.0,1200.0,3600.0,3,2015-04-27 11:00:00
1200.0,1200.0,1200.0,1200.0,3600.0,3,2015-04-27 12:10:00
1200.0,1240.0,1240.0,1200.0,101597.0,83,2015-04-27 12:20:00
1250.0,1250.0,1250.0,1250.0,81250.0,65,2015-04-27 12:30:00
1250.0,1250.0,1250.0,1250.0,31250.0,25,2015-04-27 12:40:00
1299.0,1400.0,1400.0,1280.0,136527.0,103,2015-04-27 13:00:00
1300.0,1240.0,1300.0,1240.0,101860.0,80,2015-04-27 13:10:00
1395.0,1320.0,1400.0,1320.0,116945.0,84,2015-04-27 13:30:00
1320.0,1320.0,1320.0,1320.0,1320.0,1,2015-04-27 13:40:00
1395.0,1395.0,1395.0,1395.0,23715.0,17,2015-04-27 14:30:00
1390.0,1390.0,1390.0,1390.0,12510.0,9,2015-04-28 11:10:00
1395.0,1395.0,1395.0,1395.0,2790.0,2,2015-04-28 11:20:00
1395.0,1395.0,1395.0,1395.0,36270.0,26,2015-04-28 15:20:00
1200.0,1200.0,1200.0,1200.0,7200.0,6,2015-04-28 16:30:00
1320.0,1320.0,1320.0,1320.0,60720.0,46,2015-04-30 10:00:00
1200.0,1200.0,1200.0,1200.0,55200.0,46,2015-04-30 10:10:00
1215.0,1215.0,1215.0,1215.0,54675.0,45,2015-04-30 14:10:00
1170.0,1170.0,1170.0,1170.0,1170.0,1,2015-04-30 18:20:00
1333.0,1333.0,1333.0,1333.0,1333.0,1,2015-05-06 10:30:00
1401.0,1404.0,1404.0,1400.0,14023.0,10,2015-05-06 11:30:00
1450.0,1455.0,1455.0,1450.0,31925.0,22,2015-05-06 12:20:00
1321.0,1320.0,1321.0,1320.0,15842.0,12,2015-05-06 15:50:00
1320.0,1320.0,1320.0,1320.0,13200.0,10,2015-05-06 16:00:00
1320.0,1320.0,1320.0,1320.0,10560.0,8,2015-05-06 17:20:00
1466.0,1466.0,1466.0,1466.0,1466.0,1,2015-05-06 18:30:00
1479.0,1450.0,1479.0,1450.0,16240.0,11,2015-05-08 10:40:00
1479.0,1479.0,1479.0,1479.0,7395.0,5,2015-05-08 10:50:00
1500.0,1500.0,1500.0,1500.0,9000.0,6,2015-05-08 12:00:00
1293.0,1293.0,1293.0,1293.0,1293.0,1,2015-05-12 11:40:00
1400.0,1400.0,1400.0,1400.0,9800.0,7,2015-05-13 17:30:00
1530.0,1530.0,1530.0,1530.0,7650.0,5,2015-05-14 14:50:00
1530.0,1530.0,1530.0,1530.0,12240.0,8,2015-05-14 15:00:00
1587.0,1629.0,1629.0,1587.0,148029.0,92,2015-05-14 15:10:00
1590.0,1590.0,1590.0,1590.0,4770.0,3,2015-05-14 15:40:00
1594.0,1594.0,1594.0,1594.0,3188.0,2,2015-05-15 15:50:00
1581.0,1581.0,1581.0,1581.0,1581.0,1,2015-05-21 10:10:00
1550.0,1550.0,1550.0,1550.0,15500.0,10,2015-05-21 11:40:00
1500.0,1500.0,1500.0,1500.0,1500.0,1,2015-05-26 16:10:00
1510.0,1510.0,1510.0,1510.0,30200.0,20,2015-05-27 17:40:00
1500.0,1500.0,1500.0,1500.0,7500.0,5,2015-05-28 12:00:00
1330.0,1330.0,1330.0,1330.0,13300.0,10,2015-05-28 14:20:00
1500.0,1500.0,1500.0,1500.0,1500.0,1,2015-05-28 17:30:00
1330.0,1330.0,1330.0,1330.0,2660.0,2,2015-06-01 11:50:00
1500.0,1500.0,1500.0,1500.0,1500.0,1,2015-06-01 18:30:00
1400.0,1400.0,1400.0,1400.0,1400.0,1,2015-06-03 12:30:00
1335.0,1300.0,1335.0,1300.0,84569.0,65,2015-06-10 16:00:00
1325.0,1325.0,1325.0,1325.0,1325.0,1,2015-06-10 16:30:00
1200.0,1161.0,1200.0,1161.0,3523.0,3,2015-06-23 11:50:00
1195.0,1195.0,1195.0,1195.0,1195.0,1,2015-06-25 16:40:00
1170.0,1179.0,1179.0,1170.0,2349.0,2,2015-06-30 13:20:00
1201.0,1201.0,1201.0,1201.0,1201.0,1,2015-07-01 11:50:00
1200.0,1200.0,1200.0,1200.0,1200.0,1,2015-07-01 17:50:00
1192.0,1192.0,1192.0,1192.0,1192.0,1,2015-07-01 18:10:00
1209.0,1209.0,1209.0,1209.0,1209.0,1,2015-07-02 18:30:00
1200.0,1200.0,1200.0,1200.0,2400.0,2,2015-07-03 10:50:00
1190.0,1190.0,1190.0,1190.0,1190.0,1,2015-07-03 11:10:00
1199.0,1199.0,1199.0,1199.0,1199.0,1,2015-07-06 14:30:00
1163.0,1161.0,1163.0,1161.0,4646.0,4,2015-07-07 12:50:00
1187.0,1187.0,1187.0,1187.0,1187.0,1,2015-07-07 15:10:00
1181.0,1181.0,1181.0,1181.0,1181.0,1,2015-07-09 15:40:00
1191.0,1191.0,1191.0,1191.0,1191.0,1,2015-07-09 17:40:00
1191.0,1191.0,1191.0,1191.0,1191.0,1,2015-07-09 18:20:00
1205.0,1205.0,1205.0,1205.0,3615.0,3,2015-07-20 16:50:00
1205.0,1205.0,1205.0,1205.0,2410.0,2,2015-07-20 18:20:00
1131.0,1131.0,1131.0,1131.0,12441.0,11,2015-07-27 15:50:00
1130.0,1130.0,1130.0,1130.0,1130.0,1,2015-07-27 16:00:00
1140.0,1140.0,1140.0,1140.0,2280.0,2,2015-07-30 18:20:00
1145.0,1145.0,1145.0,1145.0,1145.0,1,2015-08-03 13:00:00
1005.0,1005.0,1005.0,1005.0,1005.0,1,2015-08-13 15:40:00
1290.0,1295.0,1295.0,1290.0,2585.0,2,2015-08-13 17:30:00
1130.0,915.0,1130.0,915.0,2045.0,2,2015-08-24 10:10:00
1125.0,1125.0,1125.0,1125.0,1125.0,1,2015-08-24 10:20:00
1120.0,1120.0,1120.0,1120.0,1120.0,1,2015-08-24 16:50:00
1120.0,1120.0,1120.0,1120.0,1120.0,1,2015-08-24 18:10:00
1210.0,1210.0,1210.0,1210.0,2420.0,2,2015-08-25 18:30:00
1225.0,1225.0,1225.0,1225.0,4900.0,4,2015-08-26 18:30:00
1230.0,1230.0,1230.0,1230.0,2460.0,2,2015-08-27 10:40:00
1215.0,1250.0,1250.0,1215.0,3710.0,3,2015-08-28 10:00:00
1295.0,1310.0,1310.0,1295.0,2605.0,2,2015-08-28 18:20:00
1285.0,1285.0,1285.0,1285.0,2570.0,2,2015-09-04 09:50:00
1250.0,1250.0,1250.0,1250.0,5000.0,4,2015-09-07 15:50:00
1235.0,1235.0,1235.0,1235.0,3705.0,3,2015-09-10 10:40:00
1285.0,1330.0,1330.0,1285.0,14325.0,11,2015-09-14 16:40:00
1310.0,1310.0,1310.0,1310.0,1310.0,1,2015-09-14 18:00:00
