Open,Close,High,Low,Value,Volume,Date
9.515,9.525,9.525,9.33,238804.0,25100,2017-09-07 12:00:00
9.53,9.598,9.598,9.529,232094.9,24200,2017-09-07 12:10:00
9.598,9.685,9.685,9.598,166746.8,17300,2017-09-07 12:20:00
9.695,9.8,9.8,9.695,291950.0,30000,2017-09-07 12:30:00
9.85,10.0,10.0,9.85,159500.0,16100,2017-09-07 12:40:00
10.0,12.0,12.021,10.0,172223.0,15000,2017-09-07 12:50:00
12.5,12.998,12.999,12.5,114378.5,9000,2017-09-07 13:00:00
9.853,9.853,9.853,9.853,985.3,100,2017-09-07 13:10:00
9.86,9.855,9.86,9.855,99537.7,10100,2017-09-07 13:30:00
9.855,10.0,10.0,9.85,641077.3,64900,2017-09-07 13:40:00
9.95,9.8,9.95,9.8,294995.0,30100,2017-09-07 13:50:00
9.85,9.68,9.85,9.68,1218396.0,124300,2017-09-07 14:30:00
9.6,9.586,9.6,9.586,5753.0,600,2017-09-07 14:40:00
9.695,9.695,9.695,9.695,1939.0,200,2017-09-07 15:20:00
9.695,9.68,9.695,9.68,7748.5,800,2017-09-07 15:40:00
9.695,9.695,9.695,9.695,193900.0,20000,2017-09-07 15:50:00
9.695,9.695,9.695,9.695,19390.0,2000,2017-09-07 16:10:00
9.695,9.695,9.695,9.695,16481.5,1700,2017-09-07 16:50:00
9.695,9.695,9.695,9.695,969.5,100,2017-09-07 17:00:00
9.695,9.695,9.695,9.695,969.5,100,2017-09-07 17:10:00
9.69,9.69,9.69,9.69,48450.0,5000,2017-09-07 17:20:00
9.69,9.695,9.695,9.69,193899.5,20000,2017-09-07 17:50:00
9.695,9.6,9.695,9.6,125762.6,13000,2017-09-07 18:00:00
9.796,10.3,10.3,9.796,102357.7,10000,2017-09-07 18:10:00
9.6,9.6,9.6,9.6,960.0,100,2017-09-07 18:20:00
10.101,10.3,10.36,10.101,497884.0,48400,2017-09-07 18:30:00
10.2,10.2,10.2,10.2,18360.0,1800,2017-09-07 18:40:00
9.67,10.5,10.5,9.668,187203.3,18000,2017-09-08 10:00:00
10.499,10.397,10.5,10.0,150353.7,14400,2017-09-08 10:10:00
10.1,10.499,10.499,9.956,59756.299999999996,5800,2017-09-08 10:20:00
10.25,9.959,10.25,9.959,68130.5,6700,2017-09-08 10:30:00
9.9,9.78,9.9,9.78,289758.2,29600,2017-09-08 10:40:00
9.825,9.825,9.825,9.825,1965.0,200,2017-09-08 10:50:00
9.716,9.715,9.716,9.715,11658.1,1200,2017-09-08 11:00:00
9.69,9.69,9.69,9.69,6783.0,700,2017-09-08 11:10:00
9.69,9.69,9.69,9.69,55233.0,5700,2017-09-08 11:30:00
9.74,9.7,9.74,9.7,99340.0,10200,2017-09-08 11:40:00
9.74,9.74,9.74,9.74,505506.0,51900,2017-09-08 11:50:00
9.791,10.25,10.25,9.74,813350.8,82800,2017-09-08 12:00:00
10.125,10.0,10.478,10.0,348422.89999999997,34400,2017-09-08 12:10:00
10.0,9.752,10.0,9.75,186740.8,19100,2017-09-08 12:20:00
9.752,9.689,9.752,9.59,649374.7999999999,67400,2017-09-08 12:30:00
9.59,9.552,9.59,9.551,7658.5,800,2017-09-08 12:40:00
9.7,9.846,9.846,9.7,65871.9,6700,2017-09-08 12:50:00
9.906,9.712,9.906,9.712,13732.599999999999,1400,2017-09-08 13:00:00
9.81,9.926,9.926,9.81,20629.8,2100,2017-09-08 13:30:00
9.957,9.95,9.957,9.95,24878.5,2500,2017-09-08 13:50:00
9.98,9.98,9.98,9.98,1996.0,200,2017-09-08 14:00:00
9.98,9.97,9.98,9.97,37894.0,3800,2017-09-08 14:10:00
9.9,9.89,9.9,9.89,14845.0,1500,2017-09-08 15:00:00
9.81,9.8,9.81,9.8,250931.6,25600,2017-09-08 15:10:00
9.9,9.9,9.9,9.9,19800.0,2000,2017-09-08 15:20:00
9.89,9.89,9.89,9.89,9890.0,1000,2017-09-08 15:30:00
9.85,9.85,9.85,9.85,17730.0,1800,2017-09-08 16:10:00
9.89,9.89,9.89,9.89,19780.0,2000,2017-09-08 16:20:00
9.885,9.9,9.9,9.85,81140.0,8200,2017-09-08 16:30:00
9.9,9.9,9.9,9.9,120780.0,12200,2017-09-08 16:40:00
9.951,10.0,10.2,9.951,465884.5,46600,2017-09-08 16:50:00
9.9,9.81,9.9,9.81,285750.0,29000,2017-09-08 17:10:00
9.801,9.801,9.801,9.801,9801.0,1000,2017-09-08 17:20:00
9.88,9.9,9.9,9.88,118600.0,12000,2017-09-08 17:30:00
9.9,9.9,9.9,9.9,9900.0,1000,2017-09-08 17:40:00
9.9,10.0,10.0,9.9,99297.79999999999,10000,2017-09-08 18:20:00
9.886,10.0,10.0,9.886,12965.7,1300,2017-09-08 18:30:00
9.885,9.885,9.885,9.885,148275.0,15000,2017-09-08 18:40:00
10.0,10.0,10.0,10.0,5000.0,500,2017-09-11 09:50:00
