Open,Close,High,Low,Value,Volume,Date
250.0,241.25,254.8,234.0,76114367.10000001,315488,2023-11-21 15:40:00
241.2,233.35,241.2,231.5,27247065.550000004,115169,2023-11-21 15:50:00
232.95,232.15,234.5,230.0,30980380.949999996,133420,2023-11-21 16:00:00
232.15,233.25,235.85,228.75,17659458.65,75914,2023-11-21 16:10:00
233.2,229.55,234.45,229.05,9631580.450000005,41679,2023-11-21 16:20:00
229.55,222.65,230.5,222.15,31406556.100000005,138885,2023-11-21 16:30:00
222.6,225.2,225.35,222.6,12365266.3,55198,2023-11-21 16:40:00
225.3,225.05,227.15,223.0,16521307.15,73319,2023-11-21 16:50:00
224.95,226.75,228.8,224.35,8385512.449999999,37030,2023-11-21 17:00:00
226.75,230.7,232.35,225.2,11838720.149999997,51606,2023-11-21 17:10:00
230.7,229.4,233.0,229.05,7653376.1,33071,2023-11-21 17:20:00
229.4,227.8,229.4,226.05,4833897.45,21250,2023-11-21 17:30:00
227.8,227.6,229.0,226.6,2258209.6,9923,2023-11-21 17:40:00
227.5,228.9,228.95,226.8,1997853.9500000002,8780,2023-11-21 17:50:00
228.9,228.25,232.0,226.85,5691299.450000001,24834,2023-11-21 18:00:00
227.95,227.8,228.25,227.05,2698131.85,11857,2023-11-21 18:10:00
227.7,228.0,228.0,227.0,1646549.1499999997,7236,2023-11-21 18:20:00
228.0,223.1,228.4,223.1,11756690.85,52250,2023-11-21 18:30:00
223.0,223.0,223.0,223.0,5140150.0,23050,2023-11-21 18:40:00
223.0,223.0,223.0,223.0,519144.0,2328,2023-11-22 09:50:00
223.0,223.6,224.0,216.0,22092729.900000006,101046,2023-11-22 10:00:00
223.45,222.4,223.45,217.8,8036972.800000001,36313,2023-11-22 10:10:00
222.4,219.6,223.0,216.5,7976186.85,36214,2023-11-22 10:20:00
219.55,218.95,221.25,218.5,4917346.649999999,22404,2023-11-22 10:30:00
218.95,218.95,220.85,218.0,4406118.5,20114,2023-11-22 10:40:00
218.9,218.65,220.8,218.0,3991952.0000000005,18237,2023-11-22 10:50:00
218.65,219.25,219.4,217.7,2289279.1999999997,10471,2023-11-22 11:00:00
219.4,220.55,222.75,219.4,5933919.949999999,26809,2023-11-22 11:10:00
220.5,221.8,221.8,219.75,3045666.1,13805,2023-11-22 11:20:00
221.25,221.6,221.8,219.85,1544729.3,6983,2023-11-22 11:30:00
221.55,220.0,221.65,219.95,1557628.5000000002,7056,2023-11-22 11:40:00
220.0,219.0,220.0,218.25,2272368.3500000006,10371,2023-11-22 11:50:00
219.25,218.85,219.95,218.55,1671704.05,7623,2023-11-22 12:00:00
218.95,218.1,219.2,217.8,3338710.75,15291,2023-11-22 12:10:00
218.0,216.8,218.1,215.2,7129222.700000002,32903,2023-11-22 12:20:00
216.7,218.55,219.5,216.05,4951508.500000001,22762,2023-11-22 12:30:00
218.45,217.9,218.5,217.1,810561.8999999999,3726,2023-11-22 12:40:00
217.4,218.05,218.45,217.4,671054.0,3078,2023-11-22 12:50:00
218.35,217.6,218.35,217.6,1551856.55,7121,2023-11-22 13:00:00
217.6,217.05,217.85,217.05,1115759.5500000003,5134,2023-11-22 13:10:00
217.05,217.0,217.15,216.8,947795.0999999999,4368,2023-11-22 13:20:00
217.1,217.15,217.35,216.8,1510666.75,6957,2023-11-22 13:30:00
217.3,217.3,217.35,217.15,622281.4,2864,2023-11-22 13:40:00
217.3,217.3,217.35,217.05,905100.5499999999,4167,2023-11-22 13:50:00
217.3,217.5,217.8,217.1,707736.0,3255,2023-11-22 14:00:00
217.8,218.6,219.35,217.6,1277100.35,5845,2023-11-22 14:10:00
