Open,Close,High,Low,Value,Volume,Date
104.99,103.38,105.0,103.04,312258524.19999963,2993940,2020-10-07 10:00:00
103.38,100.49,103.4,97.0,465710591.9000001,4614540,2020-10-07 10:10:00
100.49,96.04,100.5,95.11,1296406190.2999995,13299760,2020-10-07 10:20:00
96.05,95.24,96.56,91.56,1054578289.1000001,11287020,2020-10-07 10:30:00
95.24,96.72,97.45,93.15,468482191.5,4870150,2020-10-07 10:40:00
96.72,93.01,97.0,93.01,656045907.5999998,6911580,2020-10-07 10:50:00
93.01,93.64,94.0,92.41,449859976.2999998,4825100,2020-10-07 11:00:00
93.62,94.0,94.0,93.49,121825265.2,1298360,2020-10-07 11:10:00
94.0,93.66,94.0,93.1,232906523.3000001,2486850,2020-10-07 11:20:00
93.66,94.76,96.0,92.56,197197177.19999996,2087230,2020-10-07 11:30:00
94.76,96.94,97.0,94.53,244998276.00000006,2559100,2020-10-07 11:40:00
96.94,98.43,98.83,96.58,196268539.10000002,2001970,2020-10-07 11:50:00
98.43,97.5,98.43,97.1,230906633.20000014,2362780,2020-10-07 12:00:00
97.5,97.29,97.7,96.86,90236902.39999998,926850,2020-10-07 12:10:00
97.29,97.46,97.62,96.73,262390311.19999987,2697560,2020-10-07 12:20:00
97.47,98.19,98.43,97.4,78657065.59999996,802170,2020-10-07 12:30:00
98.19,98.08,98.4,98.0,54835155.400000006,558930,2020-10-07 12:40:00
98.08,97.6,98.45,96.4,172291630.9000001,1764680,2020-10-07 12:50:00
97.38,97.67,97.84,97.3,30494963.500000004,312230,2020-10-07 13:00:00
97.65,98.35,98.37,97.59,117140266.19999999,1195300,2020-10-07 13:10:00
98.38,99.87,99.87,98.38,108922889.9,1100610,2020-10-07 13:20:00
99.87,99.1,99.9,99.0,204122594.7000001,2046890,2020-10-07 13:30:00
99.1,99.71,99.85,99.1,43789402.2,439110,2020-10-07 13:40:00
99.71,99.95,99.97,99.5,87613477.09999996,877840,2020-10-07 13:50:00
99.96,99.74,100.0,99.5,283752991.20000017,2841730,2020-10-07 14:00:00
99.74,99.65,100.0,99.5,109151701.29999997,1093740,2020-10-07 14:10:00
99.66,99.51,99.69,99.5,42415631.39999999,426150,2020-10-07 14:20:00
99.51,99.94,99.95,99.5,92869645.9,930110,2020-10-07 14:30:00
99.94,100.04,100.47,99.91,128747522.89999998,1286750,2020-10-07 14:40:00
100.03,100.1,100.13,99.52,175905563.79999992,1759320,2020-10-07 14:50:00
100.1,100.11,100.25,100.0,29710666.0,296610,2020-10-07 15:00:00
100.12,100.25,100.25,100.0,40760908.5,406980,2020-10-07 15:10:00
100.25,100.45,100.45,100.2,41844516.79999996,417310,2020-10-07 15:20:00
100.45,100.01,100.45,100.0,104932530.19999999,1046590,2020-10-07 15:30:00
100.0,100.41,100.42,100.0,106918956.80000001,1066340,2020-10-07 15:40:00
100.41,100.6,100.6,100.22,180408591.5,1796340,2020-10-07 15:50:00
100.6,100.96,100.96,100.5,93348557.49999999,925960,2020-10-07 16:00:00
100.95,100.97,100.97,100.8,54602685.60000003,541080,2020-10-07 16:10:00
100.96,100.3,100.97,100.2,71313989.29999998,709550,2020-10-07 16:20:00
100.3,100.0,100.39,99.0,218471210.40000013,2187280,2020-10-07 16:30:00
100.0,99.75,100.12,99.56,89033453.60000007,891200,2020-10-07 16:40:00
99.76,99.63,99.78,99.63,21626826.500000007,216930,2020-10-07 16:50:00
99.65,99.68,99.69,99.5,71910067.3,722490,2020-10-07 17:00:00
99.65,99.01,99.65,99.0,38823795.99999999,390610,2020-10-07 17:10:00
99.01,99.01,99.17,99.0,57049969.599999994,576150,2020-10-07 17:20:00
99.01,99.58,99.67,99.0,29099756.299999997,292520,2020-10-07 17:30:00
99.59,99.66,99.68,99.5,19069294.7,191530,2020-10-07 17:40:00
99.66,99.6,99.66,99.6,15779849.399999999,158420,2020-10-07 17:50:00
99.6,99.61,99.66,99.6,47985103.3,481760,2020-10-07 18:00:00
99.61,99.92,100.04,99.61,163936003.29999992,1640350,2020-10-07 18:10:00
99.92,99.9,100.0,99.9,99675690.0,997230,2020-10-07 18:20:00
99.9,99.76,100.0,99.4,219800137.49999997,2202930,2020-10-07 18:30:00
100.5,100.5,100.5,100.5,340820625.0,3391250,2020-10-07 18:40:00
100.5,100.5,100.5,100.5,3821010.0,38020,2020-10-08 09:50:00
100.48,100.5,101.0,100.02,30509260.1,303650,2020-10-08 10:00:00
100.5,100.45,100.64,100.3,49720059.79999999,494340,2020-10-08 10:10:00
100.44,100.25,100.5,99.81,42811160.2,427390,2020-10-08 10:20:00
100.25,100.2,100.43,100.11,9178742.3,91560,2020-10-08 10:30:00
100.2,100.01,100.2,100.01,13883049.799999999,138740,2020-10-08 10:40:00
100.02,99.89,100.02,99.85,31146295.800000012,311560,2020-10-08 10:50:00
99.89,99.85,99.98,99.5,29327415.099999998,294130,2020-10-08 11:00:00
99.85,99.61,99.85,99.57,7980859.800000004,80050,2020-10-08 11:10:00
99.61,99.65,99.8,99.56,3757554.9,37700,2020-10-08 11:20:00
99.65,99.89,99.97,99.65,5326284.499999998,53370,2020-10-08 11:30:00
99.9,99.88,99.95,99.84,3446702.7000000007,34510,2020-10-08 11:40:00
99.88,99.8,99.9,99.76,6808995.399999999,68200,2020-10-08 11:50:00
99.8,99.79,99.84,99.72,9848375.2,98680,2020-10-08 12:00:00
99.79,99.58,99.79,99.54,20799728.099999998,208750,2020-10-08 12:10:00
99.57,99.5,99.68,99.49,26088412.6,261990,2020-10-08 12:20:00
99.5,99.72,99.78,99.49,7713120.400000001,77470,2020-10-08 12:30:00
99.71,99.64,99.76,99.59,5123876.2,51420,2020-10-08 12:40:00
99.64,99.65,99.77,99.59,3665720.1,36780,2020-10-08 12:50:00
99.6,99.62,99.75,99.57,5453048.0,54730,2020-10-08 13:00:00
99.62,99.27,99.65,99.14,20504841.600000005,206210,2020-10-08 13:10:00
99.26,99.28,99.5,99.2,10008325.5,100750,2020-10-08 13:20:00
99.29,99.36,99.89,99.2,17663333.300000004,177430,2020-10-08 13:30:00
99.36,99.4,99.5,99.3,5103045.0,51360,2020-10-08 13:40:00
