Open,Close,High,Low,Value,Volume,Date
654.0,654.0,654.0,654.0,6540,10,2014-06-16 10:00:00
665.0,665.0,665.0,665.0,6650,10,2014-06-16 12:40:00
621.6,621.6,621.6,621.6,6216,10,2014-06-16 12:50:00
630.0,630.0,630.0,630.0,12600,20,2014-06-17 13:20:00
620.8,620.3,620.8,620.3,62037,100,2014-06-17 18:30:00
644.9,645.0,645.0,644.9,5766299,8940,2014-06-19 12:00:00
659.7,659.7,659.7,659.7,6597,10,2014-06-19 14:00:00
649.5,649.8,649.8,649.5,25985,40,2014-06-19 16:00:00
617.6,605.2,617.6,605.2,43093,70,2014-06-24 17:20:00
639.8,639.8,639.8,639.8,6398,10,2014-06-25 17:30:00
637.5,637.5,637.5,637.5,6375,10,2014-07-04 17:00:00
625.0,625.0,625.0,625.0,18750,30,2014-07-09 10:20:00
614.0,614.0,614.0,614.0,30700,50,2014-07-09 17:30:00
603.3,602.8,603.3,602.8,66328,110,2014-07-10 18:30:00
602.6,602.5,602.6,602.5,30126,50,2014-07-11 15:00:00
602.2,602.1,602.2,602.1,54195,90,2014-07-14 11:10:00
602.5,600.0,602.5,600.0,132476,220,2014-07-14 13:00:00
600.1,600.0,600.1,600.0,18001,30,2014-07-16 16:20:00
600.0,600.0,600.0,600.0,42000,70,2014-07-16 17:10:00
600.0,600.0,600.0,600.0,18000,30,2014-07-16 18:10:00
576.1,576.1,576.1,576.1,5761,10,2014-07-28 14:30:00
599.8,599.8,599.8,599.8,5998,10,2014-07-28 15:30:00
600.0,600.0,600.0,600.0,12000,20,2014-07-29 17:30:00
644.7,644.7,644.7,644.7,6447,10,2014-08-01 10:00:00
580.0,580.0,580.0,580.0,11600,20,2014-08-04 18:30:00
580.0,580.0,580.0,580.0,63800,110,2014-08-05 12:50:00
575.0,503.6,575.0,503.1,242201,450,2014-08-12 11:00:00
525.2,525.2,525.2,525.2,10504,20,2014-08-12 11:10:00
550.0,550.0,550.0,550.0,5500,10,2014-08-12 11:20:00
549.9,549.9,549.9,549.9,5499,10,2014-08-12 11:30:00
550.0,550.0,550.0,550.0,5500,10,2014-08-12 11:50:00
550.0,550.0,550.0,550.0,60500,110,2014-08-12 12:00:00
