Open,Close,High,Low,Value,Volume,Date
25.032,25.032,25.032,25.032,12321751.680000002,492240,2023-04-26 10:00:00
25.032,25.032,25.032,25.032,5554600.800000001,221900,2023-04-26 10:10:00
25.032,25.032,25.032,25.032,2034100.32,81260,2023-04-26 10:20:00
25.032,25.032,25.032,25.032,3572066.4,142700,2023-04-26 10:30:00
25.032,25.032,25.032,25.032,2046866.64,81770,2023-04-26 10:40:00
25.032,25.032,25.032,25.032,1019803.6800000002,40740,2023-04-26 10:50:00
25.032,25.032,25.032,25.032,3191329.6799999983,127490,2023-04-26 11:00:00
25.032,25.032,25.032,25.032,699394.0800000003,27940,2023-04-26 11:10:00
25.032,25.032,25.032,25.032,254325.12000000005,10160,2023-04-26 11:20:00
25.032,25.032,25.032,25.032,265088.88,10590,2023-04-26 11:30:00
25.032,25.032,25.032,25.032,1230322.7999999998,49150,2023-04-26 11:40:00
25.032,25.032,25.032,25.032,470100.95999999996,18780,2023-04-26 11:50:00
25.032,25.032,25.032,25.032,1302665.2799999996,52040,2023-04-26 12:00:00
25.032,25.032,25.032,25.032,113394.95999999999,4530,2023-04-26 12:10:00
25.032,25.032,25.032,25.032,154197.12000000002,6160,2023-04-26 12:20:00
25.032,25.032,25.032,25.032,489625.92,19560,2023-04-26 12:30:00
25.032,25.032,25.032,25.032,102380.88,4090,2023-04-26 12:40:00
25.032,25.032,25.032,25.032,304639.44,12170,2023-04-26 12:50:00
25.032,25.032,25.032,25.032,39550.56,1580,2023-04-26 13:00:00
25.032,25.032,25.032,25.032,188741.28,7540,2023-04-26 13:10:00
25.032,25.032,25.032,25.032,420036.9600000001,16780,2023-04-26 13:20:00
25.032,25.032,25.032,25.032,3302471.7599999965,131930,2023-04-26 13:30:00
25.032,25.032,25.032,25.032,79601.76000000001,3180,2023-04-26 13:40:00
25.032,25.032,25.032,25.032,122406.48000000001,4890,2023-04-26 13:50:00
25.032,25.032,25.032,25.032,17272.079999999998,690,2023-04-26 14:00:00
25.032,25.032,25.032,25.032,226289.28000000003,9040,2023-04-26 14:10:00
25.032,25.032,25.032,25.032,150192.00000000003,6000,2023-04-26 14:20:00
25.032,25.032,25.032,25.032,2753.52,110,2023-04-26 14:30:00
25.032,25.032,25.032,25.032,75096.0,3000,2023-04-26 14:40:00
25.032,25.032,25.032,25.032,157701.6,6300,2023-04-26 14:50:00
25.032,25.032,25.032,25.032,36296.4,1450,2023-04-26 15:00:00
25.032,25.032,25.032,25.032,35044.8,1400,2023-04-26 15:10:00
25.032,25.032,25.032,25.032,7509.6,300,2023-04-26 15:20:00
