Open,Close,High,Low,Value,Volume,Date
930.11,926.93,940.0,925.0,98445255.49,106231,2021-07-15 10:00:00
926.93,928.4,933.9,926.55,26899873.34,29025,2021-07-15 10:10:00
928.4,924.75,928.49,915.0,107774406.16,116396,2021-07-15 10:20:00
924.3,924.5,926.0,922.0,77348462.77000001,83770,2021-07-15 10:30:00
924.0,924.9,925.0,923.5,824719.89,892,2021-07-15 10:40:00
924.9,924.5,925.75,924.5,3304864.28,3573,2021-07-15 10:50:00
924.7,924.79,924.96,924.0,1613549.940000002,1746,2021-07-15 11:00:00
924.79,923.01,924.96,923.0,11984764.769999998,12975,2021-07-15 11:10:00
923.0,923.98,924.0,923.0,890363.2699999999,964,2021-07-15 11:20:00
923.92,923.7,924.0,923.08,2243336.9499999997,2428,2021-07-15 11:30:00
923.71,924.34,924.34,923.11,1328538.1100000003,1438,2021-07-15 11:40:00
924.34,923.98,924.96,923.98,1347455.17,1458,2021-07-15 11:50:00
923.98,923.48,924.0,923.0,2028899.45,2197,2021-07-15 12:00:00
923.48,923.8,924.0,923.1,2325545.85,2517,2021-07-15 12:10:00
923.8,922.0,923.8,922.0,13999643.17,15174,2021-07-15 12:20:00
922.76,922.0,923.0,917.1,183741268.44000003,199838,2021-07-15 12:30:00
922.9,924.0,924.0,922.06,42460904.12000001,45970,2021-07-15 12:40:00
924.0,925.45,927.0,923.9,9404083.790000001,10175,2021-07-15 12:50:00
925.45,926.39,927.0,924.05,5002627.83,5400,2021-07-15 13:00:00
926.4,926.0,926.4,924.23,1307631.8600000003,1412,2021-07-15 13:10:00
925.99,924.71,926.0,924.5,5032904.83,5442,2021-07-15 13:20:00
924.71,924.0,925.0,923.9,50837445.17999999,55014,2021-07-15 13:30:00
924.0,924.67,924.92,923.6,55361486.879999995,59915,2021-07-15 13:40:00
924.67,924.0,924.67,924.0,21285406.02,23035,2021-07-15 13:50:00
924.0,923.91,924.6,923.6,43243705.50000001,46801,2021-07-15 14:00:00
923.91,924.26,924.66,923.6,29766724.90999999,32213,2021-07-15 14:10:00
924.26,924.2,924.33,924.0,1746435.5399999998,1890,2021-07-15 14:20:00
924.2,924.04,924.2,924.0,879673.86,952,2021-07-15 14:30:00
924.04,923.89,924.19,923.0,65688492.86999998,71105,2021-07-15 14:40:00
923.85,924.17,924.2,923.51,566275.84,613,2021-07-15 14:50:00
924.2,923.52,924.2,923.0,58123915.720000006,62922,2021-07-15 15:00:00
923.51,923.99,924.0,923.5,4338742.37,4698,2021-07-15 15:10:00
923.99,922.59,923.99,922.5,86496707.14999999,93711,2021-07-15 15:20:00
922.59,923.76,923.94,922.59,25097798.4,27178,2021-07-15 15:30:00
923.76,923.75,923.78,923.5,1539791.11,1667,2021-07-15 15:40:00
923.75,923.7,923.78,923.5,19852966.16,21493,2021-07-15 15:50:00
923.78,923.96,923.96,922.5,35637063.10000002,38606,2021-07-15 16:00:00
923.96,923.57,923.96,923.51,1081524.06,1171,2021-07-15 16:10:00
923.57,923.51,923.6,923.06,25857294.900000002,27999,2021-07-15 16:20:00
923.51,923.5,923.59,923.5,5829196.71,6312,2021-07-15 16:30:00
923.5,923.58,923.58,923.5,558739.48,605,2021-07-15 16:40:00
923.58,923.57,923.58,923.0,11145602.299999997,12069,2021-07-15 16:50:00
923.57,923.57,923.57,923.0,16448456.67,17811,2021-07-15 17:00:00
923.0,923.85,923.85,923.0,23762378.79,25728,2021-07-15 17:10:00
923.85,923.95,923.95,923.85,11810808.24,12784,2021-07-15 17:20:00
923.95,924.01,924.01,923.86,7291534.729999999,7892,2021-07-15 17:30:00
924.01,924.16,924.16,923.9,14714705.270000001,15925,2021-07-15 17:40:00
924.0,924.3,924.3,924.0,6205730.31,6715,2021-07-15 17:50:00
924.3,924.3,924.34,924.0,20604437.79,22292,2021-07-15 18:00:00
924.35,924.97,924.97,924.3,6659655.5600000005,7203,2021-07-15 18:10:00
924.97,925.66,925.66,924.97,4959731.2,5360,2021-07-15 18:20:00
925.66,925.56,925.72,925.0,115978621.82,125320,2021-07-15 18:30:00
926.0,926.0,926.0,926.0,322238740.0,347990,2021-07-15 18:40:00
927.98,927.98,927.98,927.98,51966.88,56,2021-07-16 09:50:00
927.98,927.54,927.99,926.0,1935866.97,2088,2021-07-16 10:00:00
927.54,927.68,927.68,927.0,1261920.95,1361,2021-07-16 10:10:00
927.5,927.5,928.3,927.3,1172752.4,1264,2021-07-16 10:20:00
927.75,926.32,927.84,926.1,3052919.559999999,3293,2021-07-16 10:30:00
926.25,926.99,927.0,926.05,825665.4900000001,891,2021-07-16 10:40:00
927.0,926.2,927.0,926.1,373361.15,403,2021-07-16 10:50:00
926.2,926.2,926.2,926.0,1548394.5699999998,1672,2021-07-16 11:00:00
926.2,926.0,926.29,926.0,3037310.2600000007,3280,2021-07-16 11:10:00
926.1,926.09,926.26,926.0,608423.28,657,2021-07-16 11:20:00
926.09,926.07,926.09,926.0,708403.08,765,2021-07-16 11:30:00
926.01,926.29,926.3,926.0,861200.5700000001,930,2021-07-16 11:40:00
926.29,926.22,926.3,926.0,265798.35000000003,287,2021-07-16 11:50:00
926.01,926.5,926.5,926.0,2347837.09,2535,2021-07-16 12:00:00
926.43,926.5,926.5,926.43,1986398.38,2144,2021-07-16 12:10:00
926.5,926.49,926.5,926.47,545703.9,589,2021-07-16 12:20:00
926.49,926.45,926.49,926.2,931104.45,1005,2021-07-16 12:30:00
926.45,926.49,926.49,926.0,683617.43,738,2021-07-16 12:40:00
926.49,926.48,926.49,926.47,606845.9500000001,655,2021-07-16 12:50:00
926.48,926.48,926.48,926.22,282555.83999999997,305,2021-07-16 13:00:00
926.48,926.0,926.48,925.9,320454.62,346,2021-07-16 13:10:00
926.0,926.2,926.45,926.0,414881.66,448,2021-07-16 13:20:00
926.2,926.0,926.4,925.77,1615033.27,1744,2021-07-16 13:30:00
926.19,926.3,926.35,925.75,2075213.17,2241,2021-07-16 13:40:00
926.3,926.2,926.3,925.84,261115.72,282,2021-07-16 13:50:00
926.0,926.2,926.3,926.0,235264.36000000002,254,2021-07-16 14:00:00
926.2,925.76,926.3,925.76,506462.86000000004,547,2021-07-16 14:10:00
925.89,925.96,926.0,925.75,1465705.0900000003,1583,2021-07-16 14:20:00
925.95,925.8,925.96,925.7,36104180.57000001,39000,2021-07-16 14:30:00
925.8,925.87,925.87,925.78,1692390.1800000002,1828,2021-07-16 14:40:00
925.92,926.0,926.0,925.87,1614915.39,1744,2021-07-16 14:50:00
925.99,926.0,926.0,925.87,1602890.98,1731,2021-07-16 15:00:00
926.0,926.0,926.0,925.98,1632537.16,1763,2021-07-16 15:10:00
925.99,925.99,926.0,925.9,1589008.49,1716,2021-07-16 15:20:00
926.0,925.99,926.0,925.85,1720481.32,1858,2021-07-16 15:30:00
925.98,926.0,926.0,925.75,2436043.02,2631,2021-07-16 15:40:00
926.0,925.99,926.0,925.75,1945423.5399999998,2101,2021-07-16 15:50:00
925.98,926.0,926.0,925.98,1774208.4899999998,1916,2021-07-16 16:00:00
926.0,925.99,926.0,925.98,1734394.2399999998,1873,2021-07-16 16:10:00
926.0,925.0,926.0,925.0,45516979.29999999,49178,2021-07-16 16:20:00
925.0,925.71,925.98,925.0,3118180.1,3370,2021-07-16 16:30:00
925.5,925.55,925.78,925.25,1436007.3399999996,1552,2021-07-16 16:40:00
925.55,925.9,925.95,925.25,1089104.91,1177,2021-07-16 16:50:00
925.25,925.25,925.92,925.25,1335498.28,1443,2021-07-16 17:00:00
925.25,925.25,925.28,925.25,5706947.18,6168,2021-07-16 17:10:00
925.27,925.26,925.28,925.25,1417484.2200000002,1532,2021-07-16 17:20:00
925.25,925.07,925.91,925.0,18723838.4,20238,2021-07-16 17:30:00
925.07,925.01,925.07,925.0,3752727.21,4057,2021-07-16 17:40:00
925.01,925.0,925.06,925.0,564255.11,610,2021-07-16 17:50:00
925.05,925.04,925.05,925.0,2733378.57,2955,2021-07-16 18:00:00
925.04,925.0,925.04,925.0,584604.08,632,2021-07-16 18:10:00
925.0,925.01,925.04,925.0,862105.38,932,2021-07-16 18:20:00
925.01,925.5,925.5,925.0,10344110.290000001,11181,2021-07-16 18:30:00
925.5,925.5,925.5,925.5,9255000.0,10000,2021-07-16 18:40:00
926.5,926.5,926.5,926.5,97282.5,105,2021-07-19 09:50:00
926.5,925.09,926.5,925.0,2817217.5700000003,3045,2021-07-19 10:00:00
925.0,925.0,925.8,925.0,2908251.7700000005,3144,2021-07-19 10:10:00
925.08,925.05,925.08,925.0,11317383.129999999,12235,2021-07-19 10:20:00
925.0,925.05,925.05,925.0,3126503.05,3380,2021-07-19 10:30:00
925.0,925.0,925.05,925.0,2078478.0199999998,2247,2021-07-19 10:40:00
925.03,925.0,925.03,925.0,1140530.31,1233,2021-07-19 10:50:00
925.0,924.07,925.01,924.0,6009418.47,6501,2021-07-19 11:00:00
924.0,924.01,924.07,924.0,994228.8099999998,1076,2021-07-19 11:10:00
924.0,924.0,924.03,924.0,1045969.5800000001,1132,2021-07-19 11:20:00
924.03,924.0,924.03,924.0,1536613.26,1663,2021-07-19 11:30:00
924.03,924.0,924.03,924.0,16067438.620000001,17389,2021-07-19 11:40:00
924.03,921.0,924.03,920.0,28144827.490000006,30505,2021-07-19 11:50:00
921.21,921.16,921.22,921.0,19926764.92,21636,2021-07-19 12:00:00
921.0,917.1,921.15,917.0,51953724.6,56516,2021-07-19 12:10:00
917.1,922.06,923.8,917.0,171450589.26,186014,2021-07-19 12:20:00
