Open,Close,High,Low,Value,Volume,Date
4.1,4.1,4.1,4.1,8200.0,2000,2016-02-26 12:00:00
4.1,4.1,4.1,4.1,8200.0,2000,2016-02-26 14:20:00
4.1,4.13,4.13,4.1,8230.0,2000,2016-02-29 11:50:00
4.0,4.0,4.0,4.0,4000.0,1000,2016-02-29 12:40:00
4.0,4.0,4.0,4.0,4000.0,1000,2016-02-29 13:00:00
4.499,4.499,4.499,4.499,8998.0,2000,2016-02-29 14:20:00
4.099,4.099,4.099,4.099,4099.0,1000,2016-02-29 15:00:00
4.5,4.5,4.5,4.5,4500.0,1000,2016-02-29 17:40:00
4.131,4.131,4.131,4.131,4131.0,1000,2016-02-29 17:50:00
4.13,4.13,4.13,4.13,4130.0,1000,2016-02-29 18:00:00
4.13,4.13,4.13,4.13,4130.0,1000,2016-02-29 18:10:00
4.31,4.44,4.44,4.31,13060.0,3000,2016-03-01 10:40:00
4.185,4.185,4.185,4.185,4185.0,1000,2016-03-01 11:20:00
4.31,4.31,4.31,4.31,8620.0,2000,2016-03-01 12:50:00
4.178,4.178,4.178,4.178,4178.0,1000,2016-03-01 14:50:00
4.189,4.189,4.189,4.189,4189.0,1000,2016-03-01 16:20:00
4.189,4.31,4.31,4.189,12809.0,3000,2016-03-01 17:00:00
4.165,4.19,4.19,4.165,12530.0,3000,2016-03-01 18:10:00
4.13,4.13,4.13,4.13,4130.0,1000,2016-03-01 18:20:00
4.179,4.18,4.18,4.179,8359.0,2000,2016-03-01 18:30:00
4.13,4.13,4.13,4.13,4130.0,1000,2016-03-01 18:40:00
4.2,4.177,4.25,4.177,16837.0,4000,2016-03-02 10:00:00
4.178,4.25,4.25,4.178,8428.0,2000,2016-03-02 10:30:00
4.165,4.25,4.25,4.165,12590.0,3000,2016-03-02 13:00:00
4.209,4.209,4.209,4.209,4209.0,1000,2016-03-02 13:50:00
4.21,4.21,4.21,4.21,4210.0,1000,2016-03-02 14:40:00
4.215,4.22,4.22,4.215,8435.0,2000,2016-03-02 15:00:00
4.14,4.14,4.14,4.14,8280.0,2000,2016-03-02 15:10:00
4.25,4.25,4.25,4.25,8500.0,2000,2016-03-02 15:20:00
4.14,4.14,4.14,4.14,8280.0,2000,2016-03-02 16:00:00
4.255,4.14,4.255,4.14,8395.0,2000,2016-03-02 16:10:00
4.255,4.14,4.255,4.14,8395.0,2000,2016-03-02 16:20:00
4.177,4.177,4.177,4.177,4177.0,1000,2016-03-02 16:40:00
4.07,4.07,4.07,4.07,4070.0,1000,2016-03-02 17:30:00
4.0,3.961,4.23,3.961,12191.0,3000,2016-03-02 17:40:00
4.068,4.29,4.29,4.068,8358.0,2000,2016-03-02 17:50:00
4.176,4.176,4.176,4.176,4176.0,1000,2016-03-02 18:10:00
4.13,4.25,4.25,4.13,8380.0,2000,2016-03-03 10:10:00
4.199,4.255,4.255,4.199,8454.0,2000,2016-03-03 10:40:00
4.275,4.275,4.275,4.275,4275.0,1000,2016-03-03 10:50:00
4.13,4.13,4.13,4.13,4130.0,1000,2016-03-03 11:00:00
4.13,4.13,4.13,4.13,4130.0,1000,2016-03-03 11:10:00
4.178,4.299,4.299,4.178,8477.0,2000,2016-03-03 11:20:00
4.001,4.001,4.001,4.001,8002.0,2000,2016-03-03 13:10:00
4.04,4.105,4.105,4.04,8145.0,2000,2016-03-03 13:50:00
4.001,4.001,4.001,4.001,4001.0,1000,2016-03-03 14:20:00
4.108,4.309,4.309,4.108,12587.0,3000,2016-03-03 14:40:00
4.309,4.35,4.35,4.309,8659.0,2000,2016-03-03 14:50:00
4.13,4.001,4.13,4.001,20265.0,5000,2016-03-03 15:00:00
4.001,4.281,4.281,4.0,72591.0,18000,2016-03-03 15:10:00
4.006,4.248,4.248,4.0,20260.0,5000,2016-03-03 15:30:00
4.0,4.0,4.0,4.0,4000.0,1000,2016-03-03 16:10:00
4.0,4.0,4.0,4.0,4000.0,1000,2016-03-03 16:20:00
4.108,4.199,4.199,4.108,8307.0,2000,2016-03-03 16:30:00
4.002,4.199,4.199,4.001,12202.0,3000,2016-03-03 16:40:00
4.002,4.0,4.002,4.0,12002.0,3000,2016-03-03 16:50:00
4.098,4.098,4.098,4.098,4098.0,1000,2016-03-03 17:00:00
4.099,4.18,4.18,3.999,24386.0,6000,2016-03-03 17:10:00
3.998,3.998,4.074,3.998,16144.0,4000,2016-03-04 10:00:00
3.997,3.997,3.997,3.997,3997.0,1000,2016-03-04 10:10:00
4.04,4.04,4.04,4.04,4040.0,1000,2016-03-04 10:20:00
3.991,4.043,4.043,3.991,8034.0,2000,2016-03-04 10:30:00
4.003,4.003,4.003,4.003,4003.0,1000,2016-03-04 10:40:00
4.021,4.021,4.021,4.021,4021.0,1000,2016-03-04 10:50:00
4.022,4.043,4.043,4.022,8065.0,2000,2016-03-04 11:30:00
3.99,3.99,3.99,3.99,3990.0,1000,2016-03-04 11:50:00
4.043,4.2,4.2,3.978,36370.0,9000,2016-03-04 12:40:00
4.007,3.94,4.007,3.94,23885.0,6000,2016-03-04 13:20:00
4.04,4.04,4.04,4.04,4040.0,1000,2016-03-04 13:40:00
3.92,3.92,3.92,3.92,3920.0,1000,2016-03-04 14:20:00
4.002,4.002,4.002,4.002,4002.0,1000,2016-03-04 14:30:00
4.021,4.022,4.022,4.021,8043.0,2000,2016-03-04 15:40:00
3.92,4.022,4.022,3.911,11853.0,3000,2016-03-04 17:20:00
3.91,4.021,4.021,3.91,7931.0,2000,2016-03-04 17:50:00
3.901,4.019,4.019,3.701,15521.0,4000,2016-03-04 18:20:00
3.95,4.056,4.056,3.95,20134.0,5000,2016-03-09 10:50:00
3.911,3.911,3.911,3.911,7822.0,2000,2016-03-09 11:30:00
4.016,4.016,4.016,4.016,4016.0,1000,2016-03-09 11:40:00
3.61,4.017,4.017,3.398,25073.0,7000,2016-03-09 15:10:00
3.426,3.425,3.426,3.425,6851.0,2000,2016-03-09 16:00:00
3.88,3.88,3.88,3.88,3880.0,1000,2016-03-09 16:10:00
3.925,3.979,3.979,3.925,7904.0,2000,2016-03-09 16:20:00
3.45,3.509,3.979,3.4,35391.0,10000,2016-03-09 16:50:00
3.7,4.01,4.01,3.7,34745.0,9000,2016-03-09 17:00:00
3.5,3.4,3.5,3.4,37767.0,11000,2016-03-09 17:20:00
3.943,3.911,4.018,3.911,35731.0,9000,2016-03-09 17:30:00
3.426,4.02,4.02,3.325,78099.0,21000,2016-03-10 10:30:00
3.552,3.552,3.552,3.552,7104.0,2000,2016-03-10 15:20:00
3.545,3.918,3.98,3.4,104246.0,29000,2016-03-10 15:40:00
3.42,3.42,3.42,3.42,3420.0,1000,2016-03-11 10:00:00
3.771,4.05,4.05,3.771,77929.0,20000,2016-03-11 10:10:00
4.055,4.055,4.055,4.055,16220.0,4000,2016-03-11 10:40:00
