Open,Close,High,Low,Value,Volume,Date
134.7,134.7,134.7,134.7,29634.0,220,2017-11-03 14:40:00
134.2,134.0,134.2,134.0,144736.0,1080,2017-11-03 16:10:00
134.0,134.0,134.0,134.0,28140.0,210,2017-11-03 16:30:00
133.02,133.0,133.02,133.0,500081.3,3760,2017-11-03 17:00:00
133.0,133.0,133.0,133.0,2660.0,20,2017-11-03 17:10:00
133.01,133.01,133.01,133.01,1330.1,10,2017-11-03 17:20:00
133.25,133.25,133.25,133.25,10660.0,80,2017-11-03 18:10:00
133.25,133.25,133.25,133.25,2665.0,20,2017-11-03 18:40:00
136.0,136.0,136.0,136.0,2720.0,20,2017-11-07 10:20:00
136.0,136.0,136.0,136.0,10880.0,80,2017-11-07 10:30:00
136.0,136.0,136.0,136.0,1360.0,10,2017-11-07 10:50:00
135.0,131.5,135.0,131.5,10009390.0,76010,2017-11-07 11:20:00
132.07,132.0,132.07,132.0,2997720.7,22710,2017-11-07 12:00:00
134.5,134.5,134.5,134.5,1345.0,10,2017-11-07 12:30:00
135.0,135.0,135.0,135.0,1350.0,10,2017-11-07 12:40:00
133.0,133.0,133.0,133.0,13300.0,100,2017-11-07 13:40:00
133.0,133.0,133.0,133.0,167580.0,1260,2017-11-07 14:10:00
133.0,133.0,133.0,133.0,297920.0,2240,2017-11-07 14:40:00
132.01,132.0,132.01,132.0,84480.1,640,2017-11-07 15:30:00
132.0,132.0,132.0,132.0,199320.0,1510,2017-11-08 15:50:00
132.0,132.0,132.0,132.0,299640.0,2270,2017-11-08 16:10:00
132.1,132.1,132.1,132.1,22457.0,170,2017-11-08 16:20:00
132.1,132.0,132.1,132.0,400143.0,3030,2017-11-08 16:30:00
133.0,133.0,133.0,133.0,1330.0,10,2017-11-08 18:00:00
132.01,131.0,132.01,131.0,6617141.1,50130,2017-11-09 10:40:00
132.01,132.01,132.01,132.01,2640.2,20,2017-11-09 11:50:00
132.01,132.01,132.01,132.01,26402.0,200,2017-11-09 14:00:00
132.01,132.01,132.01,132.01,6600.5,50,2017-11-09 14:10:00
131.27,132.0,132.0,131.27,3446512.7,26110,2017-11-09 16:00:00
131.99,132.0,132.01,131.99,67324.7,510,2017-11-09 18:00:00
132.0,132.0,132.0,132.0,3960.0,30,2017-11-09 18:30:00
132.0,132.0,132.0,132.0,1999800.0,15150,2017-11-10 10:40:00
132.0,132.0,132.0,132.0,13200.0,100,2017-11-10 11:00:00
132.0,132.0,132.0,132.0,118800.0,900,2017-11-10 11:10:00
132.0,132.0,132.0,132.0,299640.0,2270,2017-11-10 11:20:00
132.99,133.0,133.0,132.99,2659.9,20,2017-11-10 11:30:00
132.0,132.0,132.0,132.0,660000.0,5000,2017-11-10 11:50:00
132.0,132.0,132.0,132.0,130680.0,990,2017-11-10 13:00:00
132.99,132.99,132.99,132.99,1329.9,10,2017-11-10 14:40:00
132.99,132.99,132.99,132.99,1329.9,10,2017-11-10 15:50:00
132.01,132.0,132.01,132.0,67320.1,510,2017-11-10 16:20:00
132.0,132.0,132.0,132.0,11880.0,90,2017-11-10 17:00:00
132.0,132.0,132.0,132.0,1320.0,10,2017-11-10 17:40:00
132.0,132.0,132.0,132.0,30360.0,230,2017-11-10 18:10:00
132.01,132.0,132.01,132.0,1980000.5,15000,2017-11-13 11:50:00
132.0,132.0,132.0,132.0,6600.0,50,2017-11-13 12:20:00
132.0,132.0,132.0,132.0,264000.0,2000,2017-11-13 13:20:00
131.66,131.0,131.66,131.0,26213.2,200,2017-11-13 14:10:00
131.5,131.5,131.5,131.5,1315.0,10,2017-11-13 15:40:00
131.5,131.5,131.5,131.5,56545.0,430,2017-11-13 16:30:00
131.01,130.01,131.01,130.01,3944402.6,30110,2017-11-13 17:00:00
130.01,130.0,130.01,130.0,12999199.9,99990,2017-11-13 17:10:00
132.99,132.99,132.99,132.99,1329.9,10,2017-11-13 18:40:00
