Open,Close,High,Low,Value,Volume,Date
675.6,667.2,735.0,651.1,504073100.19999975,738467,2023-11-02 16:10:00
666.8,652.8,669.4,651.4,171801423.29999998,260948,2023-11-02 16:20:00
652.8,657.1,660.0,651.5,100741459.0,153667,2023-11-02 16:30:00
656.2,658.1,658.5,650.6,107025689.0,163333,2023-11-02 16:40:00
658.0,635.1,660.0,633.4,173246349.20000002,268093,2023-11-02 16:50:00
635.1,626.0,638.7,623.5,92008056.60000002,146080,2023-11-02 17:00:00
626.8,622.1,630.0,617.0,70835980.10000002,113645,2023-11-02 17:10:00
622.7,634.5,637.5,617.0,79597887.20000003,127051,2023-11-02 17:20:00
634.5,642.5,643.5,632.0,38701970.6,60574,2023-11-02 17:30:00
642.4,632.9,643.0,631.3,28759728.39999999,45078,2023-11-02 17:40:00
632.5,641.6,642.9,630.3,22886224.499999996,35819,2023-11-02 17:50:00
641.5,641.5,643.5,637.0,32916560.599999998,51306,2023-11-02 18:00:00
642.7,658.5,658.8,640.0,60805467.400000006,93186,2023-11-02 18:10:00
658.2,656.7,658.2,655.0,32599864.0,49670,2023-11-02 18:20:00
656.7,666.2,675.0,642.0,106732198.10000001,161840,2023-11-02 18:30:00
670.0,670.0,670.0,670.0,22236630.0,33189,2023-11-02 18:40:00
674.5,674.5,674.5,674.5,7671763.0,11374,2023-11-03 09:50:00
674.4,646.9,674.4,641.3,61610848.5,94390,2023-11-03 10:00:00
646.1,658.5,665.0,646.1,20103138.800000004,30656,2023-11-03 10:10:00
659.0,652.5,667.8,651.0,13686047.600000001,20714,2023-11-03 10:20:00
654.0,653.8,657.4,651.0,6065979.0,9266,2023-11-03 10:30:00
653.8,656.0,658.0,652.5,3930782.2000000007,5995,2023-11-03 10:40:00
656.0,654.0,658.4,652.0,5823651.699999998,8896,2023-11-03 10:50:00
656.3,652.0,657.0,646.0,8219842.200000001,12614,2023-11-03 11:00:00
651.0,648.4,651.8,646.1,3106143.5000000005,4794,2023-11-03 11:10:00
648.2,640.0,650.4,638.5,13975829.700000003,21695,2023-11-03 11:20:00
640.5,642.2,644.0,632.2,14382838.600000003,22528,2023-11-03 11:30:00
642.6,643.9,644.9,640.7,4312990.3,6701,2023-11-03 11:40:00
644.0,643.5,644.1,642.9,3271430.7,5083,2023-11-03 11:50:00
643.7,646.7,646.7,643.0,3975519.099999999,6173,2023-11-03 12:00:00
646.7,646.8,647.5,644.0,3831635.0,5932,2023-11-03 12:10:00
646.3,644.1,646.6,644.0,2153394.3000000003,3337,2023-11-03 12:20:00
644.1,645.6,645.9,644.1,828520.7,1284,2023-11-03 12:30:00
645.1,643.0,645.9,643.0,2151883.5999999996,3340,2023-11-03 12:40:00
642.9,642.8,643.0,642.0,1587780.2999999998,2471,2023-11-03 12:50:00
642.8,643.1,644.9,642.0,2947372.8,4588,2023-11-03 13:00:00
643.2,649.2,649.2,642.0,4805397.2,7438,2023-11-03 13:10:00
649.2,647.1,649.9,645.0,2761161.6,4261,2023-11-03 13:20:00
647.0,645.6,650.0,645.4,2323498.2,3582,2023-11-03 13:30:00
645.9,645.0,647.2,644.5,2285309.8999999994,3541,2023-11-03 13:40:00
