Open,Close,High,Low,Value,Volume,Date
285.0,285.0,285.0,285.0,570.0,2,2014-06-11 12:40:00
220.6,218.8,220.6,218.8,10980.3,50,2014-06-11 14:20:00
270.0,269.9,270.0,269.9,1079.8,4,2014-06-17 10:00:00
267.9,267.9,267.9,267.9,1339.5,5,2014-06-17 10:40:00
258.0,258.0,258.0,258.0,1806.0,7,2014-06-27 10:10:00
257.6,257.6,257.6,257.6,257.6,1,2014-06-27 11:00:00
248.0,248.0,248.0,248.0,248.0,1,2014-06-30 10:00:00
248.0,278.5,278.5,248.0,10570.8,40,2014-07-01 10:40:00
299.9,300.0,300.0,299.9,4199.0,14,2014-07-01 11:00:00
328.0,328.0,328.0,328.0,1968.0,6,2014-07-01 11:10:00
299.0,299.0,299.0,299.0,299.0,1,2014-07-01 14:20:00
298.9,298.9,298.9,298.9,896.7,3,2014-07-01 15:30:00
286.0,286.0,286.0,286.0,16874.0,59,2014-07-01 18:30:00
225.5,225.5,225.5,225.5,1127.5,5,2014-07-11 10:00:00
292.6,292.6,292.6,292.6,292.6,1,2014-07-17 10:50:00
293.0,349.3,349.3,293.0,18402.399999999998,61,2014-07-28 14:50:00
419.1,419.1,419.1,419.1,1676.4,4,2014-07-29 10:00:00
300.0,419.1,419.1,300.0,15419.1,51,2014-07-29 10:10:00
418.0,300.0,418.0,300.0,15418.0,51,2014-07-30 10:00:00
300.0,300.0,300.0,300.0,30000.0,100,2014-07-30 10:20:00
300.0,300.0,300.0,300.0,120000.0,400,2014-07-30 11:20:00
301.0,301.0,301.0,301.0,12341.0,41,2014-07-30 11:30:00
300.0,300.0,300.0,300.0,2400.0,8,2014-07-30 13:00:00
300.0,300.0,300.0,300.0,300.0,1,2014-07-30 17:50:00
380.0,419.1,419.1,380.0,799.1,2,2014-08-04 10:00:00
303.2,300.0,303.2,300.0,7880.0,26,2014-08-04 10:10:00
385.0,300.0,385.0,300.0,30385.0,101,2014-08-05 10:00:00
300.0,300.0,300.0,300.0,300.0,1,2014-08-05 10:40:00
385.0,385.0,385.0,385.0,385.0,1,2014-08-06 10:00:00
419.1,419.1,419.1,419.1,419.1,1,2014-08-07 10:00:00
300.0,300.0,300.0,300.0,300.0,1,2014-08-07 16:20:00
285.7,285.7,285.7,285.7,285.7,1,2014-08-11 11:40:00
231.1,231.1,231.1,231.1,5777.5,25,2014-08-11 12:10:00
231.3,231.1,231.3,231.1,23110.600000000002,100,2014-08-14 10:40:00
232.6,232.3,232.6,232.3,16966.9,73,2014-08-14 10:50:00
297.3,300.0,300.0,297.3,2991.9,10,2014-08-14 12:50:00
233.3,233.3,233.3,233.3,233.3,1,2014-08-14 13:30:00
250.0,250.0,250.0,250.0,1000.0,4,2014-08-19 14:30:00
250.0,250.0,250.0,250.0,1000.0,4,2014-08-20 10:20:00
250.0,250.0,250.0,250.0,250.0,1,2014-08-20 10:50:00
250.0,250.0,250.0,250.0,250.0,1,2014-08-20 11:20:00
231.3,225.6,231.3,225.6,1829.4,8,2014-08-20 14:20:00
222.0,222.0,222.0,222.0,222.0,1,2014-08-26 17:30:00
223.0,223.0,223.0,223.0,223.0,1,2014-09-02 11:50:00
223.3,223.3,223.3,223.3,223.3,1,2014-09-02 16:50:00
264.9,264.9,264.9,264.9,1589.4,6,2014-09-03 18:20:00
236.0,240.0,240.0,203.5,5300.8,24,2014-09-05 10:40:00
275.0,275.0,275.0,275.0,275.0,1,2014-09-10 14:40:00
269.9,269.9,269.9,269.9,8366.9,31,2014-09-10 18:30:00
232.3,232.3,232.3,232.3,2323.0,10,2014-09-11 14:20:00
232.5,232.3,232.5,232.3,697.1,3,2014-09-11 15:20:00
245.0,259.9,259.9,245.0,9937.7,39,2014-09-11 16:20:00
259.9,260.0,260.0,259.9,3899.6,15,2014-09-11 16:30:00
272.5,299.5,300.0,272.5,154341.4,515,2014-09-11 16:40:00
250.0,250.0,250.0,250.0,2000.0,8,2014-09-11 16:50:00
250.0,289.0,289.0,250.0,2539.0,10,2014-09-12 12:40:00
252.0,252.0,252.0,252.0,252.0,1,2014-09-12 13:20:00
250.0,250.0,250.0,250.0,15000.0,60,2014-09-12 13:30:00
270.0,270.0,270.0,270.0,19440.0,72,2014-09-12 13:40:00
270.0,270.0,270.0,270.0,19980.0,74,2014-09-12 13:50:00
270.0,270.0,270.0,270.0,270.0,1,2014-09-12 14:30:00
289.0,290.0,290.0,289.0,16809.0,58,2014-09-12 14:40:00
270.0,270.0,270.0,270.0,40230.0,149,2014-09-12 15:10:00
289.0,290.0,290.0,289.0,11010.0,38,2014-09-12 16:00:00
300.0,300.0,300.0,300.0,3300.0,11,2014-09-12 16:10:00
299.0,300.0,300.0,299.0,154490.0,515,2014-09-15 10:10:00
301.0,370.0,370.0,301.0,6821.0,19,2014-09-15 10:40:00
300.0,300.0,300.0,300.0,7200.0,24,2014-09-15 11:00:00
300.0,300.0,300.0,300.0,49200.0,164,2014-09-15 11:10:00
300.0,300.0,300.0,300.0,18600.0,62,2014-09-15 12:30:00
302.1,302.0,302.1,302.0,16308.1,54,2014-09-15 13:10:00
349.8,349.8,349.8,349.8,349.8,1,2014-09-15 16:00:00
320.0,320.0,320.0,320.0,320.0,1,2014-09-15 16:20:00
320.0,320.0,320.0,320.0,960.0,3,2014-09-15 17:30:00
340.0,340.0,340.0,340.0,340.0,1,2014-09-15 17:40:00
320.0,320.0,320.0,320.0,3200.0,10,2014-09-16 12:40:00
370.0,474.1,474.1,370.0,79668.0,213,2014-09-16 13:10:00
400.0,400.0,400.0,400.0,5600.0,14,2014-09-16 13:20:00
400.0,400.0,400.0,400.0,7600.0,19,2014-09-16 14:40:00
401.0,401.0,401.0,401.0,401.0,1,2014-09-16 14:50:00
401.0,401.0,401.0,401.0,802.0,2,2014-09-16 15:10:00
305.0,305.0,305.0,305.0,1525.0,5,2014-09-17 18:30:00
440.0,440.0,440.0,440.0,440.0,1,2014-09-18 15:00:00
440.0,440.0,440.0,440.0,880.0,2,2014-09-18 16:50:00
399.0,430.0,430.0,399.0,2425.0,6,2014-09-23 18:10:00
400.0,400.0,400.0,400.0,1600.0,4,2014-10-03 10:20:00
400.0,439.0,439.0,400.0,2078.0,5,2014-10-03 12:50:00
322.0,430.0,430.0,322.0,1074.0,3,2014-10-14 11:20:00
322.0,321.0,322.0,321.0,1286.0,4,2014-10-15 14:20:00
418.0,418.0,418.0,418.0,418.0,1,2014-10-15 15:50:00
410.0,410.0,410.0,410.0,410.0,1,2014-10-20 10:20:00
340.0,340.0,340.0,340.0,1360.0,4,2014-11-11 13:10:00
301.0,301.0,301.0,301.0,301.0,1,2014-11-11 15:20:00
340.0,340.0,340.0,340.0,13600.0,40,2014-11-11 17:40:00
390.0,390.0,390.0,390.0,390.0,1,2014-11-11 18:00:00
410.0,410.0,410.0,410.0,410.0,1,2014-11-12 10:00:00
261.0,350.0,350.0,261.0,611.0,2,2014-11-18 11:30:00
349.0,349.0,349.0,349.0,1047.0,3,2014-11-18 15:20:00
349.0,349.0,349.0,349.0,349.0,1,2014-11-18 17:20:00
280.0,272.0,280.0,271.0,1663.0,6,2014-11-19 17:40:00
299.0,418.0,418.0,299.0,1056.0,3,2014-11-19 18:20:00
280.0,425.0,425.0,280.0,705.0,2,2014-11-19 18:30:00
371.0,371.0,371.0,371.0,371.0,1,2014-11-21 11:40:00
273.0,273.0,273.0,273.0,819.0,3,2014-11-21 11:50:00
300.0,310.0,310.0,300.0,920.0,3,2014-11-21 14:10:00
423.0,423.0,423.0,423.0,423.0,1,2014-11-21 18:30:00
281.0,276.0,281.0,276.0,5570.0,20,2014-12-08 17:00:00
350.0,350.0,350.0,350.0,350.0,1,2014-12-09 12:30:00
350.0,351.0,351.0,350.0,350999.0,1000,2014-12-09 13:20:00
274.0,274.0,274.0,274.0,1096.0,4,2014-12-09 15:20:00
344.0,344.0,344.0,344.0,2752.0,8,2014-12-09 15:50:00
345.0,350.0,350.0,345.0,4180.0,12,2014-12-09 16:30:00
352.0,352.0,352.0,352.0,131296.0,373,2014-12-09 17:10:00
440.0,440.0,440.0,440.0,440.0,1,2014-12-10 11:50:00
439.0,439.0,439.0,439.0,439.0,1,2014-12-11 11:30:00
332.0,332.0,332.0,332.0,332.0,1,2014-12-11 12:50:00
420.0,420.0,420.0,420.0,420.0,1,2014-12-11 16:30:00
274.0,274.0,274.0,256.0,7586.0,29,2014-12-16 15:10:00
345.0,345.0,345.0,345.0,10350.0,30,2014-12-16 15:40:00
274.0,274.0,274.0,274.0,1644.0,6,2014-12-16 16:30:00
348.0,348.0,348.0,348.0,348.0,1,2014-12-19 13:50:00
346.0,347.0,347.0,346.0,10392.0,30,2014-12-19 16:20:00
258.0,252.0,258.0,252.0,15098.0,59,2014-12-24 17:00:00
300.0,295.0,330.0,295.0,8380.0,26,2014-12-24 17:10:00
290.0,290.0,290.0,290.0,580.0,2,2014-12-24 17:30:00
280.0,280.0,280.0,280.0,280.0,1,2014-12-24 18:00:00
280.0,280.0,280.0,280.0,280.0,1,2014-12-24 18:10:00
256.0,256.0,256.0,256.0,512.0,2,2014-12-24 18:30:00
329.0,329.0,329.0,329.0,329.0,1,2015-01-12 11:30:00
328.0,330.0,330.0,328.0,987.0,3,2015-01-13 10:40:00
329.0,329.0,329.0,329.0,329.0,1,2015-01-14 15:50:00
329.0,329.0,329.0,329.0,329.0,1,2015-01-23 15:40:00
329.0,329.0,329.0,329.0,329.0,1,2015-01-29 10:00:00
329.0,329.0,329.0,329.0,329.0,1,2015-01-29 10:40:00
329.0,329.0,329.0,329.0,329.0,1,2015-01-29 15:10:00
329.0,329.0,329.0,329.0,658.0,2,2015-01-29 17:10:00
305.0,305.0,305.0,305.0,305.0,1,2015-02-06 13:10:00
321.0,321.0,321.0,321.0,321.0,1,2015-02-06 15:20:00
290.0,290.0,290.0,290.0,870.0,3,2015-02-06 18:30:00
299.0,299.0,299.0,299.0,299.0,1,2015-02-09 14:30:00
299.0,329.0,329.0,299.0,3020.0,10,2015-02-10 10:20:00
313.0,313.0,313.0,313.0,313.0,1,2015-02-10 10:50:00
320.0,320.0,320.0,320.0,320.0,1,2015-02-10 11:00:00
320.0,320.0,320.0,320.0,320.0,1,2015-02-10 14:30:00
320.0,310.0,320.0,310.0,4993.0,16,2015-02-10 15:20:00
