Open,Close,High,Low,Value,Volume,Date
755,764,764,755,47984,63,2020-03-30 14:50:00
768,768,768,768,1536,2,2020-03-30 15:50:00
768,768,768,768,768,1,2020-03-30 16:00:00
768,768,768,768,3072,4,2020-03-30 17:20:00
768,768,768,768,2304,3,2020-03-30 17:30:00
765,765,765,765,765,1,2020-03-30 18:10:00
768,768,768,768,1536,2,2020-03-30 18:30:00
750,750,750,750,2250,3,2020-03-31 10:00:00
750,750,750,750,20250,27,2020-03-31 10:10:00
741,740,741,740,24452,33,2020-03-31 10:20:00
749,750,750,749,26970,36,2020-03-31 10:30:00
757,760,760,757,22782,30,2020-03-31 10:40:00
757,757,757,757,757,1,2020-03-31 11:10:00
757,757,757,757,757,1,2020-03-31 11:20:00
760,760,760,760,18240,24,2020-03-31 11:30:00
760,772,772,760,205317,267,2020-03-31 11:40:00
772,772,772,772,11580,15,2020-03-31 11:50:00
775,775,775,775,5425,7,2020-03-31 12:00:00
776,775,776,775,6976,9,2020-03-31 12:10:00
775,775,775,775,13175,17,2020-03-31 12:20:00
775,775,775,775,4650,6,2020-03-31 12:40:00
775,775,775,775,7750,10,2020-03-31 12:50:00
776,776,776,776,776,1,2020-03-31 13:00:00
776,776,776,776,14744,19,2020-03-31 13:10:00
778,776,778,776,13974,18,2020-03-31 13:50:00
776,776,776,776,4656,6,2020-03-31 14:00:00
775,775,775,775,5425,7,2020-03-31 14:40:00
775,775,775,775,1550,2,2020-03-31 14:50:00
776,785,785,776,113733,146,2020-03-31 17:00:00
788,790,790,788,18914,24,2020-03-31 17:20:00
790,790,790,790,22910,29,2020-03-31 17:30:00
790,790,790,790,5530,7,2020-03-31 17:50:00
790,790,790,790,1580,2,2020-03-31 18:00:00
791,796,796,791,38109,48,2020-03-31 18:20:00
754,760,760,754,3794,5,2020-04-01 11:20:00
760,760,760,760,14440,19,2020-04-01 11:50:00
764,764,764,764,1528,2,2020-04-01 12:00:00
764,764,764,764,764,1,2020-04-01 12:30:00
764,764,764,764,1528,2,2020-04-01 13:40:00
764,764,764,764,1528,2,2020-04-01 13:50:00
764,768,768,764,19112,25,2020-04-01 14:20:00
768,768,768,768,2304,3,2020-04-01 14:50:00
767,768,768,767,15359,20,2020-04-01 15:30:00
760,760,760,760,1520,2,2020-04-01 17:10:00
760,760,760,760,760,1,2020-04-01 17:20:00
760,764,764,760,4568,6,2020-04-02 10:10:00
754,754,754,754,22620,30,2020-04-02 11:20:00
754,754,754,754,754,1,2020-04-02 11:40:00
758,760,760,758,15175,20,2020-04-02 16:30:00
754,754,754,754,754,1,2020-04-02 17:20:00
762,762,762,762,762,1,2020-04-03 10:00:00
750,750,750,750,65250,87,2020-04-03 10:40:00
750,750,750,750,7500,10,2020-04-03 10:50:00
750,750,750,750,6000,8,2020-04-03 16:40:00
750,750,750,750,750,1,2020-04-03 18:00:00
735,765,765,735,3030,4,2020-04-06 10:00:00
771,771,771,771,2313,3,2020-04-06 10:50:00
770,770,770,770,3850,5,2020-04-06 11:00:00
770,770,770,770,2310,3,2020-04-06 11:20:00
770,770,770,770,3080,4,2020-04-06 11:40:00
771,771,771,771,1542,2,2020-04-06 11:50:00
