Open,Close,High,Low,Value,Volume,Date
5.888,5.887,5.888,5.887,1766.2,300,2014-06-09 13:30:00
5.887,5.887,5.887,5.887,588.7,100,2014-06-09 13:50:00
5.88,5.88,5.88,5.88,1176.0,200,2014-06-09 14:10:00
5.881,5.88,5.881,5.88,8821.3,1500,2014-06-09 17:30:00
5.843,5.843,5.843,5.843,1168.6,200,2014-06-09 18:30:00
5.86,5.86,5.86,5.86,1172.0,200,2014-06-10 10:30:00
5.877,5.878,5.878,5.877,1763.2,300,2014-06-10 13:10:00
5.861,5.861,5.861,5.861,5861.0,1000,2014-06-10 14:50:00
5.861,5.875,5.875,5.861,16435.4,2800,2014-06-10 15:30:00
5.875,5.875,5.875,5.875,1175.0,200,2014-06-10 16:00:00
5.877,5.877,5.877,5.877,29972.7,5100,2014-06-10 16:20:00
5.878,5.911,5.911,5.878,33080.3,5600,2014-06-10 16:30:00
5.883,5.882,5.883,5.882,14707.3,2500,2014-06-10 16:50:00
5.883,5.88,5.883,5.88,14112.3,2400,2014-06-10 17:10:00
5.88,5.88,5.906,5.88,29408.399999999998,5000,2014-06-10 17:20:00
5.88,5.851,5.88,5.851,28136.699999999997,4800,2014-06-10 18:20:00
5.938,5.938,5.938,5.938,593.8,100,2014-06-11 12:50:00
5.905,5.87,5.905,5.87,59290.5,10100,2014-06-11 15:20:00
5.91,5.937,5.937,5.91,18968.0,3200,2014-06-11 15:30:00
5.879,5.879,5.879,5.879,587.9,100,2014-06-11 17:50:00
5.927,5.938,5.938,5.927,118692.90000000001,20000,2014-06-11 18:20:00
5.937,5.943,5.943,5.937,5942.4,1000,2014-06-11 18:30:00
5.838,5.801,5.838,5.801,34858.299999999996,6000,2014-06-16 10:00:00
5.829,5.801,5.829,5.801,16251.2,2800,2014-06-16 10:10:00
5.828,5.781,5.828,5.73,23674.599999999995,4100,2014-06-16 11:10:00
5.81,5.81,5.81,5.81,581.0,100,2014-06-16 11:30:00
5.85,5.852,5.852,5.85,46811.799999999996,8000,2014-06-16 11:40:00
5.863,5.863,5.863,5.863,586.3,100,2014-06-16 13:10:00
5.984,5.984,5.984,5.984,598.4,100,2014-06-16 13:40:00
5.863,5.847,5.863,5.847,5851.6,1000,2014-06-16 15:30:00
5.897,5.984,5.984,5.897,23834.199999999997,4000,2014-06-16 17:00:00
5.882,5.85,5.882,5.85,79013.5,13500,2014-06-16 18:10:00
5.866,5.865,5.866,5.865,20528.0,3500,2014-06-16 18:30:00
5.86,5.802,5.86,5.802,64416.700000000004,11000,2014-06-17 14:50:00
5.798,5.791,5.798,5.791,8689.6,1500,2014-06-17 15:10:00
5.791,5.855,5.855,5.791,6434.1,1100,2014-06-17 15:40:00
