Open,Close,High,Low,Value,Volume,Date
304.05,299.35,309.95,295.55,378102076.0999999,1257292,2024-06-04 15:10:00
299.35,299.25,299.8,296.5,43044764.199999996,144283,2024-06-04 15:20:00
299.25,299.1,299.8,298.4,24331932.099999998,81301,2024-06-04 15:30:00
299.15,298.55,299.3,298.0,13155005.6,44063,2024-06-04 15:40:00
298.5,297.95,298.5,296.0,12603426.200000001,42392,2024-06-04 15:50:00
297.95,298.35,298.55,297.65,6505110.8,21811,2024-06-04 16:00:00
298.35,298.35,298.45,298.0,5617049.050000001,18832,2024-06-04 16:10:00
298.35,297.8,298.4,297.8,5748472.8,19282,2024-06-04 16:20:00
297.9,299.85,299.85,297.8,21122820.4,70583,2024-06-04 16:30:00
299.8,299.95,300.0,299.55,56260324.750000015,187565,2024-06-04 16:40:00
299.95,299.75,300.0,299.4,12131234.3,40450,2024-06-04 16:50:00
299.75,299.95,299.95,299.4,2970097.2,9904,2024-06-04 17:00:00
299.95,299.9,299.95,299.75,4175845.1499999994,13926,2024-06-04 17:10:00
299.9,299.95,299.95,299.8,3006467.7,10024,2024-06-04 17:20:00
299.9,299.5,299.95,299.05,10863263.6,36227,2024-06-04 17:30:00
299.5,299.8,299.9,298.5,6149095.550000001,20548,2024-06-04 17:40:00
299.8,299.85,299.9,299.65,2176409.1999999997,7258,2024-06-04 17:50:00
299.8,299.85,299.9,299.7,5656101.55,18863,2024-06-04 18:00:00
299.85,298.4,299.9,298.3,5805500.449999999,19407,2024-06-04 18:10:00
298.4,297.75,298.4,297.0,7210776.8,24226,2024-06-04 18:20:00
297.5,297.6,298.25,297.0,4265682.750000001,14341,2024-06-04 18:30:00
297.6,297.6,297.6,297.6,646684.7999999999,2173,2024-06-04 18:40:00
298.85,298.85,298.85,298.85,484435.85,1621,2024-06-05 09:50:00
298.85,300.85,301.0,298.15,13169728.6,43841,2024-06-05 10:00:00
300.85,300.05,300.85,300.0,25848158.000000007,86082,2024-06-05 10:10:00
300.05,299.65,300.5,298.65,13925588.799999997,46424,2024-06-05 10:20:00
299.85,299.45,300.0,299.15,5788442.95,19314,2024-06-05 10:30:00
299.5,299.75,300.0,299.1,3693682.25,12332,2024-06-05 10:40:00
299.5,299.45,299.8,299.2,6346070.35,21177,2024-06-05 10:50:00
299.45,299.7,299.8,299.25,3682940.1499999994,12294,2024-06-05 11:00:00
299.7,299.6,299.8,299.1,4897212.65,16351,2024-06-05 11:10:00
299.4,299.65,299.7,299.3,828848.0,2767,2024-06-05 11:20:00
299.65,299.65,299.7,299.35,1816323.4,6063,2024-06-05 11:30:00
299.65,299.7,299.7,299.5,2584204.4999999995,8624,2024-06-05 11:40:00
299.6,299.6,299.7,299.55,2171707.3,7247,2024-06-05 11:50:00
299.6,299.7,299.7,299.5,1759198.3000000005,5871,2024-06-05 12:00:00
299.7,299.5,299.7,299.5,1792430.85,5983,2024-06-05 12:10:00
299.5,299.35,299.55,299.35,2154961.8000000003,7196,2024-06-05 12:20:00
299.35,299.5,299.5,298.8,3805840.15,12724,2024-06-05 12:30:00
299.5,299.25,299.5,298.95,1101863.7500000002,3682,2024-06-05 12:40:00
299.05,299.1,299.25,298.85,1288252.1500000001,4308,2024-06-05 12:50:00
299.1,299.05,299.2,298.8,1810778.8499999996,6056,2024-06-05 13:00:00
299.05,299.0,299.2,298.9,715273.2000000001,2392,2024-06-05 13:10:00
299.0,299.0,299.0,298.85,2057683.9000000001,6882,2024-06-05 13:20:00
299.0,298.9,299.0,298.5,2583966.0000000005,8652,2024-06-05 13:30:00
298.95,299.0,299.0,298.65,803162.55,2687,2024-06-05 13:40:00
299.0,299.0,299.0,298.65,1032016.9999999999,3452,2024-06-05 13:50:00
298.9,299.0,299.0,298.5,1582781.3999999997,5297,2024-06-05 14:00:00
298.75,298.95,299.0,298.5,6631943.8,22215,2024-06-05 14:10:00
298.95,298.85,299.0,298.8,3932282.0500000003,13152,2024-06-05 14:20:00
299.0,298.75,299.0,298.75,970284.9999999999,3246,2024-06-05 14:30:00
298.85,298.75,299.0,298.55,1026829.3,3436,2024-06-05 14:40:00
298.6,298.9,298.95,298.6,404160.55,1353,2024-06-05 14:50:00
298.75,298.95,299.0,298.75,468375.64999999997,1567,2024-06-05 15:00:00
298.95,298.7,298.95,298.7,669314.9500000001,2240,2024-06-05 15:10:00
298.85,298.6,298.9,298.6,656547.8999999999,2198,2024-06-05 15:20:00
298.75,298.65,298.9,298.6,1034021.7000000001,3461,2024-06-05 15:30:00
298.85,298.65,298.9,298.6,774301.7,2592,2024-06-05 15:40:00
298.65,298.8,298.9,298.45,3477171.2,11641,2024-06-05 15:50:00
298.5,298.7,298.9,298.5,458630.49999999994,1535,2024-06-05 16:00:00
298.9,298.95,298.95,298.75,263618.85,882,2024-06-05 16:10:00
298.95,299.0,299.0,298.95,2153285.35,7202,2024-06-05 16:20:00
299.0,299.0,299.0,298.95,954036.95,3191,2024-06-05 16:30:00
299.0,299.0,299.0,298.95,689488.5499999999,2306,2024-06-05 16:40:00
299.0,298.95,299.0,298.95,911943.8,3050,2024-06-05 16:50:00
299.0,299.0,299.0,298.85,1993662.2000000002,6668,2024-06-05 17:00:00
299.0,298.95,299.0,298.9,1478826.4,4946,2024-06-05 17:10:00
298.95,298.9,299.0,298.85,974592.2999999999,3260,2024-06-05 17:20:00
298.85,299.0,299.0,298.7,1287309.8,4307,2024-06-05 17:30:00
299.0,299.0,299.0,298.85,733724.4,2454,2024-06-05 17:40:00
299.0,298.5,299.0,298.45,1433647.05,4801,2024-06-05 17:50:00
298.45,297.95,298.5,297.65,7975312.450000001,26752,2024-06-05 18:00:00
297.95,298.4,298.4,297.8,2852790.35,9571,2024-06-05 18:10:00
298.4,298.2,298.4,298.15,535718.1,1796,2024-06-05 18:20:00
298.2,298.4,298.4,298.15,3727762.5999999996,12493,2024-06-05 18:30:00
288.0,288.0,288.0,288.0,21602304.0,75008,2024-06-05 18:40:00
294.1,294.1,294.1,294.1,1967529.0,6690,2024-06-06 09:50:00
294.1,298.9,299.0,294.1,12574070.9,42278,2024-06-06 10:00:00
298.95,298.55,299.0,298.55,9311476.0,31155,2024-06-06 10:10:00
298.55,298.95,298.95,298.5,6686355.949999999,22389,2024-06-06 10:20:00
298.95,298.85,299.0,298.7,31773297.25,106269,2024-06-06 10:30:00
298.85,298.75,298.85,298.55,1606384.95,5377,2024-06-06 10:40:00
298.75,298.8,298.85,298.6,961538.35,3218,2024-06-06 10:50:00
298.8,299.0,299.0,298.8,1686217.7500000002,5641,2024-06-06 11:00:00
299.0,298.95,299.0,298.8,962544.0499999999,3220,2024-06-06 11:10:00
299.0,298.85,299.0,298.8,1184027.9500000002,3961,2024-06-06 11:20:00
298.95,298.95,298.95,298.8,834167.5499999998,2791,2024-06-06 11:30:00
298.95,298.1,298.95,298.0,5632403.950000001,18873,2024-06-06 11:40:00
298.1,297.9,298.35,297.75,1220319.6,4096,2024-06-06 11:50:00
297.9,298.05,298.7,297.8,1159648.5499999998,3892,2024-06-06 12:00:00
298.25,298.0,298.35,297.9,1509063.15,5064,2024-06-06 12:10:00
298.0,297.95,298.0,297.5,1350556.7999999998,4535,2024-06-06 12:20:00
297.75,297.9,298.0,297.5,499323.50000000006,1677,2024-06-06 12:30:00
297.65,297.9,298.0,297.55,545107.2999999999,1830,2024-06-06 12:40:00
297.9,297.9,298.1,297.6,2227804.8000000003,7477,2024-06-06 12:50:00
297.9,298.0,298.2,297.85,318515.49999999994,1069,2024-06-06 13:00:00
298.0,298.1,298.9,297.65,2376389.35,7967,2024-06-06 13:10:00
298.1,298.9,299.0,298.0,6229873.25,20853,2024-06-06 13:20:00
298.9,298.95,299.0,298.5,12582166.8,42085,2024-06-06 13:30:00
298.95,298.95,298.95,298.25,3858823.15,12918,2024-06-06 13:40:00
298.95,298.6,298.95,298.6,1896809.9999999998,6346,2024-06-06 13:50:00
298.6,298.7,298.95,298.6,1723987.9500000002,5769,2024-06-06 14:00:00
298.7,298.7,298.7,298.25,1473401.3,4935,2024-06-06 14:10:00
298.7,298.9,298.95,298.65,897638.95,3003,2024-06-06 14:20:00
298.85,298.95,298.95,298.85,2357728.3,7887,2024-06-06 14:30:00
298.95,298.9,298.95,298.9,1864451.0500000003,6237,2024-06-06 14:40:00
298.9,298.95,298.95,298.85,528781.3999999999,1769,2024-06-06 14:50:00
298.95,298.95,298.95,298.85,2688439.7,8993,2024-06-06 15:00:00
298.9,298.95,298.95,298.85,697950.9999999999,2335,2024-06-06 15:10:00
298.95,298.7,298.95,298.25,4354312.550000001,14584,2024-06-06 15:20:00
298.8,298.9,298.95,298.8,1413976.85,4730,2024-06-06 15:30:00
298.85,298.9,298.95,298.7,947403.1000000001,3170,2024-06-06 15:40:00
298.9,298.9,298.95,298.65,620685.5,2077,2024-06-06 15:50:00
298.9,298.9,298.95,298.65,949480.3000000002,3177,2024-06-06 16:00:00
298.9,298.6,299.0,298.55,1265467.4500000002,4235,2024-06-06 16:10:00
298.6,298.95,299.0,298.55,971218.8499999999,3251,2024-06-06 16:20:00
298.95,298.75,299.0,298.6,923608.15,3092,2024-06-06 16:30:00
298.6,298.75,298.85,298.5,1476275.9,4942,2024-06-06 16:40:00
298.8,298.05,298.85,298.0,9661123.450000001,32391,2024-06-06 16:50:00
298.05,297.55,298.4,297.2,5522082.599999999,18545,2024-06-06 17:00:00
