Open,Close,High,Low,Value,Volume,Date
18.001,18.0,18.001,18.0,270000.1,15000,2014-06-10 16:00:00
18.002,18.001,18.002,18.001,36002.1,2000,2014-06-23 10:50:00
18.501,18.501,18.501,18.501,18501.0,1000,2014-06-25 13:50:00
18.501,18.501,18.501,18.501,1850.1,100,2014-06-25 16:20:00
18.001,18.0,18.001,18.0,234003.0,13000,2014-06-26 13:30:00
18.51,18.501,18.51,18.501,92505.9,5000,2014-06-30 10:10:00
18.501,18.501,18.501,18.501,37002.0,2000,2014-07-02 13:00:00
18.999,19.0,19.0,18.999,96899.9,5100,2014-07-02 14:00:00
19.2,19.2,19.2,19.2,48000.0,2500,2014-07-02 17:30:00
18.001,18.0,18.001,18.0,5400.1,300,2014-07-04 14:10:00
18.0,18.0,18.0,18.0,5400.0,300,2014-07-07 11:10:00
18.499,18.5,18.5,18.499,42549.9,2300,2014-07-07 11:40:00
18.003,18.0,18.003,18.0,264608.0,14700,2014-07-07 18:20:00
18.501,18.5,18.501,18.5,18500.1,1000,2014-07-08 10:10:00
19.499,19.5,19.5,19.499,397799.6,20400,2014-07-09 12:10:00
19.1,19.1,19.1,19.1,76400.0,4000,2014-07-09 13:30:00
20.0,20.0,20.0,20.0,244000.0,12200,2014-07-09 13:40:00
20.001,20.0,20.001,20.0,8000.1,400,2014-07-09 13:50:00
20.0,20.0,20.0,20.0,200000.0,10000,2014-07-09 14:00:00
20.0,20.0,20.0,20.0,6000.0,300,2014-07-09 14:50:00
20.0,20.0,20.0,20.0,200000.0,10000,2014-07-09 15:40:00
20.0,20.0,20.0,20.0,10000.0,500,2014-07-09 15:50:00
20.0,20.0,20.0,20.0,24000.0,1200,2014-07-09 16:30:00
20.0,20.0,20.0,20.0,200000.0,10000,2014-07-09 17:10:00
20.0,20.0,20.0,20.0,200000.0,10000,2014-07-09 18:30:00
21.999,21.999,21.999,21.999,2199.9,100,2014-07-10 10:40:00
20.0,20.0,20.0,20.0,50000.0,2500,2014-07-10 14:40:00
20.001,20.0,20.001,20.0,10000.1,500,2014-07-10 16:50:00
20.0,20.0,20.0,20.0,300000.0,15000,2014-07-10 18:00:00
20.0,20.0,20.0,20.0,52000.0,2600,2014-07-10 18:10:00
19.89,19.89,19.89,19.89,5967.0,300,2014-07-11 10:30:00
19.2,19.2,19.2,19.2,1920.0,100,2014-07-11 17:20:00
19.1,19.0,19.1,19.0,112135.0,5900,2014-07-14 15:40:00
19.999,20.5,20.5,19.999,312969.6,15400,2014-07-14 16:30:00
21.0,21.0,21.0,21.0,21000.0,1000,2014-07-14 16:50:00
21.0,18.102,21.0,18.102,3910.2,200,2014-07-14 17:20:00
17.503,17.501,17.503,17.501,17501.4,1000,2014-07-15 12:20:00
18.0,18.0,18.0,18.0,1800.0,100,2014-07-15 13:30:00
18.51,18.51,18.51,18.51,1851.0,100,2014-07-15 18:10:00
18.51,18.51,18.51,18.51,1851.0,100,2014-07-15 18:20:00
18.4,18.4,18.4,18.4,184000.0,10000,2014-07-17 12:20:00
19.998,19.999,19.999,19.998,7999.5,400,2014-07-18 16:10:00
19.001,19.0,19.001,19.0,28500.1,1500,2014-07-18 16:20:00
19.499,19.51,19.51,19.499,40959.9,2100,2014-07-18 17:10:00
19.5,19.5,19.5,19.5,39000.0,2000,2014-07-18 17:20:00
19.0,18.457,19.0,18.457,18662.800000000003,1000,2014-07-18 18:00:00
20.5,21.0,21.0,20.5,119300.0,5700,2014-07-21 16:10:00
19.5,19.5,19.5,19.5,1950.0,100,2014-07-21 16:20:00
19.501,19.007,19.501,19.007,49814.600000000006,2600,2014-07-21 17:00:00
18.45,18.45,18.45,18.45,184500.0,10000,2014-07-22 10:00:00
19.999,20.0,20.0,19.999,51999.9,2600,2014-07-23 10:00:00
19.501,19.5,19.501,19.5,304200.1,15600,2014-07-23 10:10:00
20.0,20.0,20.0,20.0,100000.0,5000,2014-07-23 11:30:00
20.0,20.0,20.0,20.0,100000.0,5000,2014-07-23 11:40:00
20.499,21.0,21.0,20.499,129649.9,6200,2014-07-23 13:00:00
20.001,20.0,20.001,20.0,262007.6,13100,2014-07-24 10:50:00
20.0,20.0,20.0,20.0,10000.0,500,2014-07-24 11:00:00
20.0,20.0,20.0,20.0,8000.0,400,2014-07-24 12:00:00
20.001,20.001,20.001,20.001,100005.0,5000,2014-07-24 17:50:00
20.001,20.001,20.001,20.001,2000.1,100,2014-07-24 18:30:00
21.0,20.5,21.0,20.5,186600.0,9100,2014-07-25 16:30:00
21.0,22.988,22.988,21.0,301034.9,14000,2014-07-25 18:30:00
20.5,21.5,21.5,20.5,22650.0,1100,2014-07-28 17:50:00
21.0,21.0,21.0,21.0,102900.0,4900,2014-07-28 18:10:00
21.0,20.501,21.0,20.501,41116.5,2000,2014-07-28 18:30:00
20.001,19.751,20.001,19.751,98904.79999999999,5000,2014-07-30 13:30:00
21.399,21.399,21.399,21.399,2139.9,100,2014-07-31 13:20:00
21.0,21.5,21.5,21.0,243245.0,11400,2014-08-01 13:40:00
22.0,22.0,22.0,22.0,114400.0,5200,2014-08-01 18:10:00
22.0,22.0,22.0,22.0,220000.0,10000,2014-08-04 12:40:00
22.011,22.01,22.011,22.01,44020.1,2000,2014-08-06 17:30:00
22.01,22.01,22.01,22.01,6603.0,300,2014-08-06 17:40:00
22.699,22.7,22.7,22.699,286017.4,12600,2014-08-07 10:40:00
22.051,22.01,22.051,22.01,215902.40000000002,9800,2014-08-07 12:50:00
23.499,23.499,23.499,23.499,2349.9,100,2014-08-11 10:30:00
23.3,23.5,23.5,23.3,314648.8,13400,2014-08-11 13:50:00
22.101,22.1,22.101,22.1,44200.1,2000,2014-08-12 11:50:00
22.109,22.41,22.411,22.109,44790.0,2000,2014-08-12 12:10:00
23.887,24.0,24.0,23.887,3203955.1,133500,2014-08-12 16:20:00
24.099,24.1,24.1,24.099,253049.4,10500,2014-08-12 16:30:00
24.0,24.0,24.0,24.0,120000.0,5000,2014-08-14 10:20:00
24.499,24.888,24.888,24.499,147232.4,6000,2014-08-14 11:30:00
25.67,30.0,30.0,25.67,39908.3,1400,2014-08-14 11:50:00
28.4,28.4,28.4,28.4,31240.0,1100,2014-08-14 12:50:00
25.003,25.003,25.003,25.003,7500.900000000001,300,2014-08-15 11:20:00
28.999,29.0,29.0,28.999,14499.9,500,2014-08-15 11:50:00
28.9,28.9,28.9,28.9,5780.0,200,2014-08-15 16:20:00
26.9,27.0,27.0,26.9,820760.0,30400,2014-08-19 15:10:00
28.8,33.36,33.36,28.8,608751.0,20700,2014-08-20 16:40:00
33.36,34.45,34.45,33.36,34232.0,1000,2014-08-26 12:30:00
28.5,28.5,28.5,28.5,755250.0,26500,2014-08-27 10:00:00
32.495,32.5,32.5,32.495,32499.0,1000,2014-08-27 11:10:00
32.5,32.5,32.5,32.5,3250.0,100,2014-08-27 12:00:00
32.5,32.5,32.5,32.5,299000.0,9200,2014-08-27 12:40:00
32.5,32.5,32.5,32.5,273000.0,8400,2014-08-27 12:50:00
30.0,30.0,30.0,30.0,2250000.0,75000,2014-08-28 10:20:00
30.0,30.0,30.0,30.0,900000.0,30000,2014-08-28 10:40:00
31.002,31.002,31.002,31.002,3100.2,100,2014-08-28 13:10:00
30.0,30.0,30.0,30.0,1350000.0,45000,2014-08-29 10:10:00
33.0,33.0,33.0,33.0,9900.0,300,2014-08-29 14:00:00
33.0,33.0,33.0,33.0,23100.0,700,2014-08-29 14:10:00
32.5,32.5,32.5,32.5,32500.0,1000,2014-08-29 17:10:00
34.0,34.0,34.0,34.0,68000.0,2000,2014-09-01 11:10:00
32.0,32.0,32.0,32.0,9600.0,300,2014-09-01 13:30:00
33.0,33.0,33.0,33.0,16500.0,500,2014-09-01 13:50:00
26.261,26.25,26.261,26.25,210012.1,8000,2014-09-02 14:30:00
29.001,29.001,29.001,29.001,2900.1,100,2014-09-02 18:20:00
33.5,33.5,33.5,33.5,1098800.0,32800,2014-09-04 10:00:00
33.5,29.739,33.5,29.739,6323.9,200,2014-09-04 10:20:00
33.496,33.5,33.5,33.496,365148.7,10900,2014-09-04 12:20:00
33.65,29.755,33.65,29.755,12805.5,400,2014-09-04 12:30:00
29.766,29.75,29.766,29.75,8333030.8,280100,2014-09-04 12:40:00
30.081,29.807,30.081,29.807,152162.4,5100,2014-09-04 14:20:00
33.189,33.2,33.2,33.189,703793.1000000001,21200,2014-09-04 14:50:00
33.12,33.7,33.7,33.12,47107.0,1400,2014-09-04 16:10:00
34.988,35.0,35.0,34.988,227498.2,6500,2014-09-05 11:00:00
35.0,35.0,35.6,35.0,4266100.0,119900,2014-09-05 11:10:00
36.7,37.7,37.7,36.7,2713998.4,72000,2014-09-05 14:40:00
37.7,37.7,37.7,37.7,2005640.0,53200,2014-09-05 14:50:00
38.7,38.7,38.7,38.7,387000.0,10000,2014-09-05 17:00:00
40.07,40.0,46.888,40.0,33398.6,800,2014-09-08 10:00:00
39.9,40.0,40.0,39.9,199980.0,5000,2014-09-08 12:00:00
40.0,40.0,40.0,40.0,516000.0,12900,2014-09-08 12:10:00
40.0,40.0,40.0,40.0,4000.0,100,2014-09-08 12:30:00
40.0,40.0,40.0,40.0,80000.0,2000,2014-09-08 12:50:00
40.0,40.0,40.0,40.0,1480000.0,37000,2014-09-08 13:30:00
40.0,44.8,44.8,40.0,40480.0,1000,2014-09-08 13:40:00
44.0,44.4,44.4,44.0,13280.0,300,2014-09-08 17:00:00
44.0,44.0,44.0,44.0,4400.0,100,2014-09-10 10:20:00
39.5,39.5,39.5,39.5,395000.0,10000,2014-09-10 10:50:00
43.0,43.0,43.0,43.0,43000.0,1000,2014-09-10 11:00:00
44.0,44.0,44.0,44.0,22000.0,500,2014-09-10 11:50:00
45.0,46.0,46.0,45.0,45500.0,1000,2014-09-11 10:10:00
42.0,42.0,42.0,42.0,12600.0,300,2014-09-11 13:20:00
40.002,40.0,40.002,40.0,84001.2,2100,2014-09-11 13:30:00
38.008,38.005,38.008,38.005,11401.8,300,2014-09-12 11:20:00
39.99,39.99,39.99,39.99,7998.0,200,2014-09-12 12:50:00
40.5,40.5,40.5,40.5,16200.0,400,2014-09-12 16:30:00
40.0,40.0,40.0,40.0,2000000.0,50000,2014-09-12 17:50:00
40.0,40.0,40.0,40.0,208000.0,5200,2014-09-15 13:40:00
40.0,40.0,40.0,40.0,1040000.0,26000,2014-09-15 13:50:00
40.0,40.0,40.0,40.0,800000.0,20000,2014-09-15 15:50:00
40.0,40.0,40.0,40.0,400000.0,10000,2014-09-15 16:20:00
40.697,40.697,40.697,40.697,40697.0,1000,2014-09-15 17:40:00
40.0,40.0,40.0,40.0,80000.0,2000,2014-09-15 18:10:00
40.0,40.0,40.0,40.0,40000.0,1000,2014-09-16 10:40:00
42.0,40.0,42.9,40.0,206540.0,5000,2014-09-16 10:50:00
42.898,42.9,42.9,42.898,21449.8,500,2014-09-16 12:10:00
40.003,40.0,40.003,40.0,640007.9,16000,2014-09-16 17:10:00
39.777,40.0,40.0,39.777,183976.7,4600,2014-09-16 18:20:00
40.0,40.0,40.0,40.0,160000.0,4000,2014-09-16 18:30:00
40.0,40.0,40.0,40.0,48000.0,1200,2014-09-17 10:10:00
43.5,43.5,43.5,43.5,87000.0,2000,2014-09-17 10:30:00
40.0,40.0,40.0,40.0,40000.0,1000,2014-09-17 12:20:00
40.0,40.0,40.0,40.0,20000.0,500,2014-09-17 12:50:00
40.0,40.0,40.0,40.0,80000.0,2000,2014-09-18 11:50:00
40.0,40.0,40.0,40.0,160000.0,4000,2014-09-18 14:50:00
40.0,40.0,40.0,40.0,4000.0,100,2014-09-18 15:20:00
40.0,40.0,40.0,40.0,24000.0,600,2014-09-18 16:50:00
38.01,38.01,38.01,38.01,3801.0,100,2014-09-19 16:10:00
38.0,38.0,38.0,38.0,15200.0,400,2014-09-19 16:20:00
38.005,38.005,38.005,38.005,3800.5,100,2014-09-19 18:30:00
38.1,38.1,38.1,38.1,3810.0,100,2014-09-22 11:40:00
38.1,38.1,38.1,38.1,60960.0,1600,2014-09-22 12:40:00
38.1,38.1,38.1,38.1,76200.0,2000,2014-09-22 13:30:00
35.018,35.018,35.018,35.018,7003.6,200,2014-09-23 15:30:00
37.9,37.9,37.9,37.9,379000.0,10000,2014-09-23 15:50:00
37.89,37.9,37.9,37.89,56836.0,1500,2014-09-23 17:30:00
35.0,35.0,35.0,35.0,70000.0,2000,2014-09-23 18:10:00
36.0,36.0,36.0,36.0,360000.0,10000,2014-09-24 10:10:00
37.0,37.0,37.0,37.0,444000.0,12000,2014-09-24 10:30:00
37.0,37.0,37.0,37.0,133200.0,3600,2014-09-24 10:40:00
37.75,38.0,38.0,37.75,1076513.5,28400,2014-09-24 11:00:00
39.0,39.0,39.0,39.0,11700.0,300,2014-09-24 11:20:00
37.0,37.0,37.0,37.0,162800.0,4400,2014-09-24 14:30:00
37.999,38.0,38.0,37.999,37999.9,1000,2014-09-24 18:20:00
38.0,38.0,38.0,38.0,22800.0,600,2014-09-24 18:30:00
37.0,37.0,37.0,37.0,3700.0,100,2014-09-26 11:40:00
35.09,35.0,35.09,35.0,7009.0,200,2014-09-26 13:00:00
35.0,35.0,35.0,35.0,7000.0,200,2014-09-26 18:10:00
31.052,31.051,31.052,31.051,31051.100000000002,1000,2014-09-29 10:40:00
33.0,33.0,33.0,33.0,19800.0,600,2014-09-29 11:30:00
33.0,33.0,33.0,33.0,3300.0,100,2014-09-29 11:40:00
33.0,33.0,33.0,33.0,6600.0,200,2014-09-29 12:30:00
34.999,36.993,36.993,34.999,18097.9,500,2014-09-29 13:50:00
34.474,34.474,34.474,34.474,3447.4,100,2014-09-29 17:20:00
34.474,34.474,34.474,34.474,3447.4,100,2014-09-29 18:20:00
35.001,35.001,35.001,35.001,17500.5,500,2014-09-30 12:30:00
34.001,33.001,34.001,33.001,54000.6,1600,2014-09-30 18:10:00
34.0,34.0,34.0,34.0,3400.0,100,2014-09-30 18:20:00
34.0,34.0,34.0,34.0,6800.0,200,2014-10-01 11:40:00
33.1,33.1,33.1,33.1,3310.0,100,2014-10-01 12:10:00
33.95,34.0,34.0,33.95,40795.0,1200,2014-10-01 13:00:00
34.0,34.0,34.0,34.0,170000.0,5000,2014-10-01 15:20:00
34.95,34.95,34.95,34.95,384450.0,11000,2014-10-01 18:20:00
35.8,35.95,35.95,35.8,35905.0,1000,2014-10-02 10:30:00
34.0,34.0,34.0,34.0,10200.0,300,2014-10-02 12:10:00
34.0,34.0,34.0,34.0,40800.0,1200,2014-10-02 12:30:00
34.0,37.9,37.9,34.0,788640.0,22600,2014-10-02 13:10:00
34.95,35.0,35.0,34.95,384950.0,11000,2014-10-02 13:30:00
35.0,35.95,35.95,35.0,7073250.0,196800,2014-10-02 15:30:00
34.05,34.05,34.05,34.05,17025.0,500,2014-10-02 16:20:00
35.5,36.0,36.0,35.5,35750.0,1000,2014-10-02 17:20:00
37.95,40.0,40.0,37.95,38795.0,1000,2014-10-03 11:30:00
36.0,36.0,36.0,36.0,72000.0,2000,2014-10-03 14:50:00
34.0,34.0,34.0,34.0,51000.0,1500,2014-10-06 16:30:00
34.4,39.9,39.9,34.4,489950.0,12500,2014-10-07 10:30:00
36.0,36.0,36.0,36.0,36000.0,1000,2014-10-07 10:50:00
35.5,35.5,35.5,35.5,152650.0,4300,2014-10-07 13:20:00
34.0,34.0,34.0,34.0,68000.0,2000,2014-10-08 12:20:00
33.05,33.05,33.05,33.05,33050.0,1000,2014-10-08 12:40:00
34.0,34.0,34.0,34.0,3400.0,100,2014-10-08 16:10:00
34.8,35.0,35.0,34.8,1425360.0,40800,2014-10-09 10:10:00
35.0,35.0,35.0,35.0,227500.0,6500,2014-10-09 10:20:00
35.0,35.0,35.0,35.0,1844500.0,52700,2014-10-09 10:30:00
35.0,35.0,35.0,35.0,444500.0,12700,2014-10-09 11:40:00
35.0,35.0,35.0,35.0,567000.0,16200,2014-10-09 11:50:00
35.0,35.0,35.0,35.0,38500.0,1100,2014-10-09 12:00:00
35.0,35.0,35.0,35.0,700000.0,20000,2014-10-09 12:10:00
35.0,35.0,35.0,35.0,227500.0,6500,2014-10-09 13:50:00
35.0,35.0,35.0,35.0,24500.0,700,2014-10-09 16:20:00
35.0,35.0,35.0,35.0,1498000.0,42800,2014-10-10 10:00:00
35.0,35.0,35.0,35.0,322000.0,9200,2014-10-10 10:20:00
35.45,35.5,35.5,35.45,212950.0,6000,2014-10-10 12:10:00
35.0,35.0,35.0,35.0,28000.0,800,2014-10-10 14:50:00
35.0,35.0,35.0,35.0,175000.0,5000,2014-10-14 10:10:00
35.0,35.0,35.0,35.0,350000.0,10000,2014-10-14 13:10:00
35.0,35.0,35.0,35.0,315000.0,9000,2014-10-15 12:20:00
