Open,Close,High,Low,Value,Volume,Date
86.11,86.1,86.11,86.1,51662,600,2014-06-18 17:00:00
88.9,93.26,93.26,88.9,231582,2500,2014-06-19 14:40:00
90.0,90.0,90.0,90.0,90000,1000,2014-06-20 16:10:00
83.0,83.0,83.0,83.0,41500,500,2014-06-20 17:20:00
88.0,90.0,90.0,88.0,53000,600,2014-06-20 17:30:00
90.0,90.0,90.0,90.0,90000,1000,2014-06-23 11:30:00
83.0,83.0,83.0,83.0,8300,100,2014-06-23 14:20:00
98.3,98.3,98.3,98.3,9830,100,2014-06-23 17:20:00
85.0,85.0,85.0,85.0,8500,100,2014-06-24 17:40:00
92.0,92.0,92.0,92.0,9200,100,2014-06-26 17:10:00
86.13,86.13,86.13,86.13,8613,100,2014-07-03 16:40:00
86.86,86.86,86.86,86.86,8686,100,2014-07-04 13:40:00
86.3,86.3,86.3,86.3,8630,100,2014-07-04 15:30:00
86.0,85.01,86.0,85.01,17101,200,2014-07-09 14:50:00
86.0,86.0,86.0,86.0,8600,100,2014-07-09 17:20:00
82.15,85.0,91.0,82.15,137920,1600,2014-07-11 18:30:00
85.2,87.7,87.7,85.2,138320,1600,2014-07-14 18:20:00
91.81,96.0,96.0,91.81,335401,3500,2014-07-16 13:50:00
96.0,96.0,96.0,96.0,144000,1500,2014-07-16 14:20:00
99.93,99.93,99.93,99.93,9993,100,2014-07-18 17:10:00
86.1,86.1,86.1,86.1,77490,900,2014-07-21 17:40:00
89.0,89.0,89.0,89.0,80100,900,2014-07-21 17:50:00
99.0,99.0,99.0,99.0,9900,100,2014-07-28 13:40:00
86.0,86.0,86.0,86.0,77400,900,2014-08-04 16:20:00
88.22,89.3,89.3,88.22,79938,900,2014-08-04 16:30:00
81.05,84.02,84.02,81.05,148278,1800,2014-08-08 17:40:00
82.02,82.02,82.02,82.02,8202,100,2014-08-14 13:30:00
85.0,89.3,89.3,85.0,122010,1400,2014-08-21 18:10:00
84.0,83.0,84.0,83.0,16700,200,2014-08-28 10:50:00
83.0,87.3,87.3,83.0,153270,1800,2014-08-28 18:10:00
87.0,92.5,92.5,87.0,1056045,11500,2014-09-02 10:30:00
92.5,92.5,92.5,92.5,786250,8500,2014-09-02 11:50:00
87.0,87.0,87.0,87.0,121800,1400,2014-09-03 11:00:00
99.3,99.3,99.3,99.3,9930,100,2014-10-01 13:50:00
85.0,85.0,85.0,85.0,8500,100,2014-10-01 16:10:00
