Open,Close,High,Low,Value,Volume,Date
92.0,90.0,92.0,90.0,9100,100,2015-04-28 11:00:00
91.0,90.5,91.0,90.5,9075,100,2015-04-28 11:30:00
90.5,90.5,90.5,90.5,1810,20,2015-04-28 12:40:00
92.5,91.0,92.5,91.0,27475,300,2015-04-28 13:40:00
92.0,92.0,92.0,92.0,1840,20,2015-04-28 16:20:00
90.5,90.5,90.5,90.5,4525,50,2015-04-28 17:30:00
92.0,109.0,109.0,92.0,258125,2730,2015-04-28 17:40:00
105.0,105.5,107.5,98.0,175425,1710,2015-04-28 17:50:00
100.0,106.5,106.5,100.0,462490,4390,2015-04-28 18:00:00
106.5,113.5,113.5,106.0,1308695,11820,2015-04-28 18:10:00
113.0,105.0,113.0,105.0,76255,700,2015-04-28 18:20:00
107.0,109.5,109.5,107.0,53140,490,2015-04-28 18:30:00
109.0,109.0,109.0,109.0,3270,30,2015-04-28 18:40:00
105.0,100.0,108.5,100.0,253095,2490,2015-04-29 10:00:00
101.0,106.0,106.0,101.0,62480,600,2015-04-29 10:10:00
103.0,103.0,103.0,103.0,1030,10,2015-04-29 10:50:00
101.0,100.5,101.0,100.5,48245,480,2015-04-29 11:00:00
100.5,99.5,100.5,99.5,4005,40,2015-04-29 11:30:00
100.5,100.5,100.5,100.5,1005,10,2015-04-29 11:40:00
100.5,99.5,101.5,99.5,64315,640,2015-04-29 11:50:00
100.0,102.0,102.0,100.0,12040,120,2015-04-29 13:20:00
100.5,100.5,100.5,100.5,19095,190,2015-04-29 14:30:00
100.5,100.5,100.5,100.5,5025,50,2015-04-29 16:20:00
100.5,100.5,100.5,100.5,7035,70,2015-04-29 18:20:00
100.5,100.5,100.5,100.5,2010,20,2015-04-29 18:40:00
97.5,97.5,97.5,97.5,4875,50,2015-04-30 13:20:00
96.5,96.0,96.5,96.0,9635,100,2015-04-30 13:50:00
98.0,98.5,98.5,98.0,3935,40,2015-04-30 15:00:00
98.5,99.0,99.0,98.5,4930,50,2015-04-30 15:10:00
98.5,98.5,98.5,98.5,17730,180,2015-04-30 15:30:00
98.5,98.5,98.5,98.5,985,10,2015-04-30 15:40:00
96.5,96.5,96.5,96.5,4825,50,2015-04-30 15:50:00
99.5,99.5,99.5,99.5,995,10,2015-04-30 16:20:00
98.5,104.0,104.0,97.0,68855,690,2015-04-30 16:40:00
98.5,98.0,98.5,98.0,34425,350,2015-04-30 16:50:00
98.5,98.5,98.5,98.5,14775,150,2015-04-30 17:20:00
103.5,103.5,103.5,103.5,1035,10,2015-04-30 18:30:00
100.0,100.0,100.0,100.0,1000,10,2015-05-05 11:10:00
99.5,99.5,99.5,99.5,995,10,2015-05-05 11:30:00
101.0,101.0,101.0,101.0,5050,50,2015-05-05 15:10:00
98.5,98.0,98.5,98.0,1965,20,2015-05-05 15:40:00
101.5,101.5,101.5,101.5,15225,150,2015-05-05 15:50:00
98.5,98.5,98.5,98.5,7880,80,2015-05-05 16:10:00
98.5,98.5,98.5,98.5,4925,50,2015-05-05 16:50:00
98.5,98.5,98.5,98.5,9850,100,2015-05-05 17:00:00
101.0,101.0,101.0,101.0,1010,10,2015-05-05 18:20:00
98.5,98.0,98.5,97.5,25515,260,2015-05-06 10:10:00
98.0,98.0,98.0,98.0,3920,40,2015-05-06 15:50:00
96.0,94.0,96.0,94.0,18905,200,2015-05-07 11:50:00
99.0,97.0,99.0,97.0,1960,20,2015-05-07 12:10:00
97.0,97.0,97.0,97.0,970,10,2015-05-07 18:00:00
97.0,97.0,97.0,97.0,15520,160,2015-05-07 18:10:00
98.5,98.5,98.5,98.5,985,10,2015-05-07 18:20:00
98.0,100.5,100.5,98.0,14850,150,2015-05-08 15:00:00
98.5,98.5,98.5,98.5,985,10,2015-05-08 15:50:00
98.5,98.5,98.5,98.5,13790,140,2015-05-08 18:00:00
99.5,99.5,99.5,99.5,2985,30,2015-05-12 18:10:00
94.5,99.0,99.0,94.5,2920,30,2015-05-13 14:40:00
98.0,98.0,99.5,98.0,10795,110,2015-05-13 14:50:00
98.0,98.0,98.0,98.0,980,10,2015-05-13 15:10:00
98.0,97.5,98.0,97.5,34130,350,2015-05-13 15:30:00
99.0,99.5,99.5,99.0,45620,460,2015-05-13 15:40:00
98.0,98.0,98.0,98.0,49000,500,2015-05-13 15:50:00
97.0,99.0,99.0,97.0,2945,30,2015-05-13 17:10:00
99.0,99.5,99.5,99.0,30700,310,2015-05-13 17:40:00
98.5,100.0,100.0,98.5,1985,20,2015-05-13 17:50:00
102.0,102.0,102.0,102.0,1020,10,2015-05-14 10:30:00
94.0,98.5,98.5,94.0,62910,660,2015-05-14 12:10:00
98.0,98.0,98.0,98.0,39200,400,2015-05-14 12:20:00
97.0,99.5,99.5,96.5,2930,30,2015-05-14 16:10:00
96.0,99.5,99.5,96.0,1955,20,2015-05-14 17:10:00
96.0,97.0,97.0,96.0,4840,50,2015-05-15 10:00:00
97.0,97.0,98.0,97.0,106730,1100,2015-05-15 10:10:00
98.0,97.0,98.0,97.0,38950,400,2015-05-15 13:20:00
97.5,97.0,97.5,97.0,27170,280,2015-05-15 14:00:00
97.0,97.0,97.0,97.0,413220,4260,2015-05-15 16:10:00
99.5,99.5,99.5,99.5,8955,90,2015-05-15 18:40:00
96.5,94.5,96.5,92.0,122915,1300,2015-05-18 10:30:00
94.5,98.0,98.0,94.0,14150,150,2015-05-18 10:40:00
95.0,94.0,95.0,94.0,1890,20,2015-05-18 18:00:00
94.0,93.5,94.0,93.5,28100,300,2015-05-18 18:10:00
95.5,96.5,96.5,95.5,4815,50,2015-05-18 18:20:00
95.0,95.5,95.5,95.0,20910,220,2015-05-19 10:00:00
95.0,95.0,95.0,95.0,14250,150,2015-05-19 10:30:00
95.0,95.0,95.0,95.0,35150,370,2015-05-19 10:40:00
95.0,95.0,95.0,95.0,7600,80,2015-05-19 11:10:00
95.0,95.0,95.0,95.0,2850,30,2015-05-19 14:40:00
