Open,Close,High,Low,Value,Volume,Date
0.08495,0.08495,0.08495,0.08495,849.5,10000,2014-06-09 17:50:00
0.06013,0.06013,0.06013,0.06013,601.3,10000,2014-06-09 18:30:00
0.08397,0.08397,0.08397,0.08397,839.7,10000,2014-06-10 13:10:00
0.08393,0.08397,0.08397,0.08393,5877.099999999999,70000,2014-06-10 15:40:00
0.08397,0.08397,0.08397,0.08397,2519.1000000000004,30000,2014-06-10 15:50:00
0.08397,0.084,0.084,0.08397,4198.8,50000,2014-06-10 16:10:00
0.086,0.086,0.086,0.086,860.0,10000,2014-06-11 17:50:00
0.06313,0.06,0.06313,0.06,8546.6,140000,2014-06-11 18:30:00
0.06131,0.0613,0.06131,0.0613,1839.1,30000,2014-06-16 17:20:00
0.0562,0.06599,0.06599,0.0562,4887.6,80000,2014-06-16 17:30:00
0.08397,0.08397,0.08397,0.08397,839.7,10000,2014-06-16 18:30:00
0.06002,0.088,0.088,0.06002,18049.8,210000,2014-06-17 13:20:00
0.088,0.088,0.088,0.088,880.0,10000,2014-06-17 13:30:00
0.06155,0.06075,0.06155,0.06075,5475.6,90000,2014-06-17 13:50:00
0.06101,0.06103,0.109,0.06101,23648.300000000003,340000,2014-06-17 14:00:00
0.08,0.06214,0.08,0.06109,14169.099999999999,200000,2014-06-17 14:10:00
0.07692,0.067,0.07692,0.06235,4834.2,70000,2014-06-17 14:20:00
0.07333,0.07333,0.07333,0.07333,733.3,10000,2014-06-17 14:30:00
0.07,0.07,0.07,0.07,700.0,10000,2014-06-17 14:50:00
0.069,0.069,0.069,0.069,690.0,10000,2014-06-17 15:20:00
0.07457,0.07457,0.07457,0.07457,1491.4,20000,2014-06-17 17:20:00
0.06352,0.07448,0.07448,0.06352,1380.0,20000,2014-06-17 17:30:00
0.07457,0.07457,0.07457,0.07457,745.7,10000,2014-06-17 17:40:00
0.07457,0.07457,0.07457,0.07457,745.7,10000,2014-06-19 12:50:00
0.07466,0.10399,0.10399,0.07466,4027.2,50000,2014-06-20 10:30:00
0.06202,0.06202,0.06202,0.06202,620.2,10000,2014-06-20 16:20:00
0.06301,0.063,0.06301,0.063,1260.1,20000,2014-06-20 16:40:00
0.07,0.07,0.07,0.07,700.0,10000,2014-06-20 17:50:00
0.07398,0.07398,0.07398,0.07398,739.8,10000,2014-06-23 17:00:00
0.074,0.074,0.074,0.074,740.0,10000,2014-06-24 17:30:00
0.08198,0.08198,0.08198,0.08198,4099.0,50000,2014-07-01 12:50:00
0.06214,0.058,0.06214,0.058,7810.2,130000,2014-07-09 12:10:00
0.07479,0.07479,0.07479,0.07479,747.9,10000,2014-07-09 14:40:00
0.05811,0.0581,0.05811,0.0581,1743.1,30000,2014-07-24 16:20:00
0.07463,0.07463,0.07463,0.07463,746.3,10000,2014-07-24 17:20:00
0.05816,0.0535,0.05816,0.0535,17234.4,310000,2014-08-06 18:10:00
0.0553,0.0553,0.0553,0.0553,14378.0,260000,2014-08-06 18:20:00
0.065,0.065,0.065,0.065,17550.0,270000,2014-08-07 17:20:00
0.0536,0.0536,0.0536,0.0536,536.0,10000,2014-08-08 17:10:00
0.06,0.05355,0.06,0.05355,13987.5,260000,2014-08-08 17:50:00
0.062,0.062,0.062,0.062,620.0,10000,2014-08-13 15:40:00
0.062,0.062,0.062,0.062,620.0,10000,2014-08-13 15:50:00
0.05374,0.05373,0.05374,0.05373,2686.7,50000,2014-08-13 17:10:00
0.06,0.06,0.06,0.06,1800.0,30000,2014-08-14 18:20:00
0.0684,0.0684,0.0684,0.0684,13680.0,200000,2014-08-18 11:30:00
0.06976,0.06976,0.06976,0.06976,697.6,10000,2014-08-20 13:20:00
0.06999,0.06999,0.06999,0.06999,699.9,10000,2014-08-28 10:10:00
0.06987,0.06987,0.06987,0.06987,3493.5,50000,2014-08-28 15:00:00
0.058,0.058,0.058,0.058,1160.0,20000,2014-09-01 17:00:00
0.05517,0.05122,0.05517,0.05122,10283.5,200000,2014-09-03 12:40:00
0.06896,0.067,0.06896,0.067,14089.6,210000,2014-09-03 17:20:00
0.06844,0.0685,0.0685,0.06844,3423.9,50000,2014-09-05 10:40:00
0.05121,0.05121,0.05121,0.05121,512.1,10000,2014-09-09 15:30:00
0.06849,0.06849,0.06849,0.06849,684.9,10000,2014-09-09 17:20:00
0.05206,0.05206,0.05206,0.05206,520.6,10000,2014-09-18 16:10:00
0.068,0.068,0.068,0.068,680.0,10000,2014-09-19 10:50:00
0.07297,0.07297,0.07297,0.07297,729.7,10000,2014-09-19 11:00:00
0.05322,0.05322,0.05322,0.05322,532.2,10000,2014-09-22 16:50:00
0.05438,0.05438,0.05438,0.05438,543.8,10000,2014-09-26 13:10:00
0.06888,0.06888,0.06888,0.06888,688.8,10000,2014-09-26 17:50:00
0.0749,0.0749,0.0749,0.0749,749.0,10000,2014-10-06 14:30:00
0.075,0.075,0.075,0.075,750.0,10000,2014-10-07 17:30:00
0.0533,0.0533,0.0533,0.0533,533.0,10000,2014-10-08 11:10:00
0.0779,0.0779,0.0779,0.0779,779.0,10000,2014-10-08 17:10:00
0.0778,0.0778,0.0778,0.0778,778.0,10000,2014-10-13 17:50:00
0.078,0.078,0.078,0.078,780.0,10000,2014-10-14 16:10:00
0.056,0.055,0.056,0.055,4965.0,90000,2014-10-15 11:20:00
0.056,0.056,0.056,0.056,3360.0,60000,2014-10-15 11:30:00
0.06,0.06,0.06,0.06,600.0,10000,2014-10-16 10:00:00
0.0664,0.0664,0.0664,0.0664,664.0,10000,2014-10-20 10:20:00
0.07,0.07,0.07,0.07,4200.0,60000,2014-10-22 18:20:00
0.0679,0.0679,0.0679,0.0679,679.0,10000,2014-11-03 14:20:00
0.068,0.068,0.068,0.068,680.0,10000,2014-11-11 13:50:00
0.068,0.068,0.068,0.068,680.0,10000,2014-11-14 11:20:00
0.058,0.058,0.058,0.058,580.0,10000,2014-11-21 17:30:00
0.0675,0.0675,0.0675,0.0675,675.0,10000,2014-11-21 18:30:00
0.058,0.058,0.058,0.058,580.0,10000,2014-12-04 13:50:00
0.0586,0.058,0.0586,0.058,6391.0,110000,2014-12-05 11:00:00
0.0577,0.055,0.0577,0.055,1127.0,20000,2014-12-16 12:40:00
0.0445,0.0419,0.0445,0.0419,864.0,20000,2014-12-19 10:00:00
0.044,0.044,0.044,0.044,3520.0,80000,2014-12-19 10:10:00
0.0668,0.0668,0.0668,0.0668,668.0,10000,2014-12-19 10:20:00
0.0555,0.0555,0.0577,0.0555,2242.0,40000,2014-12-19 11:30:00
0.0555,0.0555,0.0555,0.0555,555.0,10000,2014-12-19 11:40:00
0.053,0.053,0.053,0.053,530.0,10000,2014-12-19 17:00:00
0.0555,0.0555,0.0555,0.0555,1110.0,20000,2014-12-22 13:20:00
0.0659,0.0699,0.0699,0.0659,6874.0,100000,2014-12-24 14:20:00
0.056,0.056,0.056,0.056,560.0,10000,2014-12-24 18:00:00
0.0599,0.0599,0.0599,0.0599,599.0,10000,2015-01-05 15:10:00
0.08,0.08,0.08,0.08,800.0,10000,2015-01-08 18:00:00
0.08,0.08,0.08,0.08,4000.0,50000,2015-01-13 18:20:00
0.08,0.08,0.08,0.08,8000.0,100000,2015-01-13 18:30:00
0.059,0.059,0.059,0.059,590.0,10000,2015-01-15 13:40:00
0.072,0.072,0.072,0.072,720.0,10000,2015-01-15 17:50:00
0.0507,0.0507,0.0507,0.0507,1521.0,30000,2015-01-19 15:30:00
0.0764,0.0612,0.0764,0.0612,1376.0,20000,2015-01-19 17:00:00
0.0612,0.0612,0.0612,0.0612,612.0,10000,2015-01-23 14:20:00
0.058,0.058,0.058,0.058,580.0,10000,2015-01-27 11:40:00
0.065,0.065,0.065,0.065,3900.0,60000,2015-01-27 13:20:00
0.0737,0.0737,0.0737,0.0737,737.0,10000,2015-01-28 10:20:00
0.0739,0.0739,0.0739,0.0739,739.0,10000,2015-01-30 15:10:00
0.074,0.074,0.074,0.074,740.0,10000,2015-01-30 15:20:00
0.0779,0.0779,0.0779,0.0779,779.0,10000,2015-02-02 12:30:00
0.0599,0.0599,0.0599,0.0599,599.0,10000,2015-02-02 16:20:00
0.0602,0.0602,0.0602,0.0602,602.0,10000,2015-02-02 16:30:00
0.07,0.07,0.07,0.07,700.0,10000,2015-02-02 17:00:00
0.06,0.06,0.06,0.06,600.0,10000,2015-02-09 17:20:00
0.0839,0.0839,0.0839,0.0839,839.0,10000,2015-02-12 15:00:00
0.08,0.0839,0.0839,0.08,2474.0,30000,2015-02-12 17:30:00
0.0832,0.084,0.084,0.0832,12580.0,150000,2015-02-12 18:30:00
0.0706,0.0706,0.0706,0.0706,1412.0,20000,2015-02-16 10:50:00
0.087,0.087,0.087,0.087,870.0,10000,2015-02-16 12:00:00
0.0839,0.0839,0.0839,0.0839,839.0,10000,2015-02-16 14:10:00
0.075,0.075,0.075,0.075,750.0,10000,2015-02-17 11:00:00
0.075,0.0835,0.0835,0.075,5501.0,70000,2015-02-17 11:10:00
0.083,0.083,0.083,0.083,2490.0,30000,2015-02-17 11:20:00
0.083,0.0835,0.0835,0.083,1665.0,20000,2015-02-17 11:40:00
0.0886,0.0886,0.0886,0.0886,886.0,10000,2015-02-17 14:10:00
0.076,0.076,0.076,0.0755,4540.0,60000,2015-02-17 14:30:00
0.077,0.077,0.077,0.077,770.0,10000,2015-02-17 16:30:00
0.076,0.076,0.076,0.076,760.0,10000,2015-02-17 17:20:00
0.0812,0.0812,0.0812,0.0812,812.0,10000,2015-02-17 17:30:00
0.085,0.085,0.085,0.085,3400.0,40000,2015-02-20 15:20:00
0.088,0.0887,0.0887,0.088,1767.0,20000,2015-03-10 15:30:00
0.088,0.0885,0.0885,0.088,2648.0,30000,2015-03-12 18:30:00
0.075,0.075,0.075,0.075,5250.0,70000,2015-03-13 12:30:00
0.0869,0.0869,0.0869,0.0869,869.0,10000,2015-03-13 18:30:00
0.0792,0.0792,0.0792,0.0792,792.0,10000,2015-03-17 10:10:00
0.0796,0.0796,0.0796,0.0796,796.0,10000,2015-03-24 18:30:00
0.079,0.079,0.079,0.079,790.0,10000,2015-03-25 10:10:00
0.0729,0.07,0.0729,0.0677,3483.0,50000,2015-03-25 10:20:00
0.0705,0.0705,0.0705,0.0705,4230.0,60000,2015-03-25 12:40:00
0.0745,0.0745,0.0745,0.0745,745.0,10000,2015-03-27 18:00:00
0.0708,0.0708,0.0708,0.0708,708.0,10000,2015-04-01 16:40:00
0.0744,0.0745,0.0745,0.0744,1489.0,20000,2015-04-07 11:50:00
0.0762,0.0762,0.0762,0.0762,762.0,10000,2015-04-13 10:50:00
0.0718,0.071,0.0718,0.071,1428.0,20000,2015-04-15 14:40:00
0.0709,0.0709,0.0709,0.0709,3545.0,50000,2015-04-15 14:50:00
0.0765,0.0775,0.0775,0.0765,4604.0,60000,2015-04-16 11:20:00
0.08,0.0801,0.0801,0.08,1601.0,20000,2015-04-17 10:30:00
0.0717,0.0716,0.0717,0.0716,2149.0,30000,2015-04-17 16:40:00
0.0706,0.0705,0.0706,0.0705,2822.0,40000,2015-04-17 17:40:00
0.0699,0.0699,0.0699,0.0699,699.0,10000,2015-04-22 13:10:00
0.0625,0.0625,0.0625,0.0625,1250.0,20000,2015-04-22 13:30:00
0.0797,0.0797,0.0797,0.0797,797.0,10000,2015-04-22 16:10:00
0.0798,0.07,0.0798,0.065,8493.0,120000,2015-04-22 16:20:00
0.0656,0.0643,0.0656,0.0643,5857.0,90000,2015-04-24 16:10:00
0.0786,0.0786,0.0786,0.0786,4716.0,60000,2015-04-24 16:50:00
0.0787,0.0787,0.0787,0.0787,787.0,10000,2015-04-24 17:10:00
0.0786,0.0786,0.0786,0.0786,786.0,10000,2015-04-24 17:50:00
0.0833,0.0833,0.0833,0.0833,1666.0,20000,2015-04-27 17:10:00
0.0833,0.0833,0.0833,0.0833,833.0,10000,2015-04-27 17:30:00
0.0833,0.0833,0.0833,0.0833,2499.0,30000,2015-04-27 17:50:00
0.0834,0.0835,0.0835,0.0834,1669.0,20000,2015-04-27 18:30:00
0.0641,0.0641,0.0641,0.0641,641.0,10000,2015-04-28 10:30:00
0.0856,0.0856,0.0856,0.0856,856.0,10000,2015-04-28 11:00:00
0.0715,0.0704,0.0715,0.0704,1419.0,20000,2015-04-28 12:50:00
0.0858,0.0858,0.0858,0.0858,858.0,10000,2015-04-28 13:40:00
0.083,0.083,0.083,0.083,12450.0,150000,2015-04-28 14:20:00
0.0858,0.0866,0.0866,0.0858,6901.0,80000,2015-04-28 17:50:00
0.0858,0.0858,0.0858,0.0858,10296.0,120000,2015-04-28 18:10:00
0.0718,0.0717,0.0718,0.0717,2869.0,40000,2015-04-30 16:50:00
0.0886,0.0886,0.0886,0.0886,3544.0,40000,2015-05-05 10:00:00
0.0887,0.0886,0.0891,0.0886,29249.0,330000,2015-05-05 10:10:00
0.0886,0.0886,0.0886,0.0886,69994.0,790000,2015-05-05 10:20:00
0.0886,0.1007,0.1007,0.0886,5800.0,60000,2015-05-05 10:30:00
0.0886,0.0886,0.0886,0.0886,4430.0,50000,2015-05-05 16:20:00
0.0715,0.0715,0.0715,0.0715,1430.0,20000,2015-05-05 16:30:00
0.0998,0.1006,0.1006,0.0998,3003.0,30000,2015-05-05 18:00:00
0.12,0.12,0.12,0.12,1200.0,10000,2015-05-07 17:00:00
0.0766,0.122,0.122,0.0766,3205.0,30000,2015-05-07 17:10:00
0.0771,0.119,0.119,0.0769,2730.0,30000,2015-05-07 17:20:00
0.0658,0.1145,0.1145,0.0637,7615.0,110000,2015-05-14 10:20:00
0.1098,0.0953,0.1098,0.0953,4102.0,40000,2015-05-14 10:30:00
0.0855,0.0855,0.0855,0.0855,1710.0,20000,2015-05-14 11:40:00
0.0876,0.0876,0.0876,0.0876,876.0,10000,2015-05-15 17:10:00
0.0877,0.0877,0.0877,0.0877,877.0,10000,2015-05-15 18:00:00
0.106,0.106,0.106,0.106,1060.0,10000,2015-05-18 10:20:00
0.0998,0.0998,0.0998,0.0998,1996.0,20000,2015-05-18 10:50:00
0.088,0.0879,0.088,0.0879,2638.0,30000,2015-05-26 11:10:00
0.0899,0.09,0.09,0.0899,4499.0,50000,2015-05-26 11:40:00
