Open,Close,High,Low,Value,Volume,Date
45.0,45.0,45.0,45.0,4950000,110000,2014-07-29 15:00:00
45.0,45.0,45.0,45.0,4950000,110000,2014-07-29 15:20:00
45.13,45.13,45.13,45.13,6769500,150000,2014-07-30 10:10:00
45.13,45.13,45.13,45.13,3159100,70000,2014-07-30 10:20:00
47.0,47.0,47.0,47.0,4700,100,2014-07-31 10:50:00
28.2,28.2,28.2,28.2,5640,200,2014-08-06 10:40:00
30.9,30.9,30.9,30.9,3090,100,2014-08-06 11:00:00
35.0,35.0,35.0,35.0,3500,100,2014-08-06 16:50:00
44.99,44.99,44.99,44.99,4499,100,2014-08-06 17:20:00
47.99,47.99,47.99,47.99,9598,200,2014-09-10 18:20:00
46.0,48.0,48.0,46.0,9400,200,2014-09-29 11:40:00
51.0,51.0,51.0,51.0,5100,100,2014-12-10 12:20:00
43.0,43.0,43.0,43.0,4300,100,2014-12-19 11:10:00
47.0,47.0,47.0,47.0,4700,100,2014-12-24 14:20:00
47.0,47.0,47.0,47.0,4700,100,2014-12-25 12:00:00
47.0,47.0,47.0,47.0,4700,100,2015-04-10 10:40:00
48.0,48.0,48.0,48.0,4800,100,2015-04-15 15:20:00
41.0,41.0,41.0,41.0,4100,100,2015-04-16 18:10:00
35.0,35.0,35.0,35.0,3500,100,2015-04-17 14:40:00
35.1,45.0,45.0,35.1,40050,1000,2015-04-17 16:30:00
40.0,40.0,40.0,40.0,16000,400,2015-04-20 13:30:00
41.1,41.1,41.1,41.1,28770,700,2015-04-20 13:50:00
45.0,45.0,45.0,45.0,4500,100,2015-04-20 14:20:00
45.0,45.0,45.0,45.0,4500,100,2015-04-20 15:00:00
41.0,41.0,41.0,41.0,8200,200,2015-04-20 16:40:00
42.0,42.0,42.0,42.0,21000,500,2015-04-21 12:30:00
48.0,48.0,48.0,48.0,62400,1300,2015-04-23 13:30:00
49.0,49.0,49.0,49.0,4900,100,2015-04-27 12:50:00
50.2,50.2,50.2,50.2,125500,2500,2015-05-12 10:00:00
50.1,50.1,50.1,50.1,25050,500,2015-05-12 12:20:00
50.3,50.3,50.3,50.3,5030,100,2015-05-13 12:40:00
50.1,50.2,50.2,50.1,45170,900,2015-05-13 15:10:00
50.2,50.2,50.2,50.2,40160,800,2015-05-13 15:20:00
50.3,50.3,50.3,50.3,25150,500,2015-05-13 15:30:00
50.2,50.2,50.2,50.2,5020,100,2015-05-13 15:50:00
50.2,50.2,50.2,50.2,5020,100,2015-05-13 16:10:00
50.2,50.2,50.2,50.2,65260,1300,2015-05-13 17:30:00
50.2,50.2,50.2,50.2,145580,2900,2015-05-13 18:20:00
50.2,50.2,50.2,50.2,15060,300,2015-05-13 18:30:00
50.2,50.2,50.2,50.2,60240,1200,2015-05-14 13:50:00
70.0,70.0,70.0,70.0,7000,100,2016-02-22 15:30:00
70.0,70.0,70.0,70.0,7000,100,2016-02-22 18:40:00
35.7,36.8,36.8,35.7,7250,200,2016-03-11 10:10:00
45.0,45.0,45.0,45.0,4500,100,2016-03-11 12:10:00
45.5,45.5,45.5,45.5,4550,100,2016-03-11 12:40:00
45.9,45.9,45.9,45.9,4590,100,2016-03-16 10:50:00
36.6,38.8,38.8,36.6,7540,200,2016-08-31 10:00:00
40.0,38.7,40.0,31.1,32680,900,2016-08-31 10:20:00
40.0,40.0,40.0,40.0,4000,100,2016-08-31 15:10:00
40.5,40.8,40.8,40.5,12190,300,2016-08-31 16:50:00
39.7,35.1,39.7,35.1,7480,200,2016-08-31 18:30:00
35.6,28.5,35.6,28.5,27370,800,2016-09-01 17:10:00
35.9,35.9,35.9,35.9,3590,100,2016-09-02 16:00:00
30.2,30.7,30.7,30.2,6090,200,2016-09-02 18:30:00
35.9,35.9,35.9,35.9,3590,100,2016-09-05 15:50:00
33.5,33.5,33.5,33.5,3350,100,2016-09-06 15:30:00
36.4,36.4,36.4,36.4,3640,100,2016-09-06 17:40:00
39.2,39.2,39.2,39.2,3920,100,2016-09-07 10:00:00
35.5,35.5,35.5,35.5,3550,100,2016-09-08 10:10:00
36.2,36.2,36.2,36.2,3620,100,2016-09-08 11:10:00
36.8,36.8,36.8,36.8,3680,100,2016-09-13 10:00:00
35.7,32.5,35.7,32.5,13430,400,2016-09-13 11:00:00
30.7,30.5,30.7,30.5,6120,200,2016-09-14 10:40:00
30.0,29.5,30.0,29.5,5950,200,2016-09-14 16:50:00
29.1,26.3,29.1,26.3,8440,300,2016-09-14 17:00:00
34.6,42.4,42.4,34.6,72780,1900,2016-09-14 17:50:00
45.4,45.4,45.4,45.4,4540,100,2016-09-14 18:00:00
51.0,51.0,51.0,51.0,5100,100,2016-09-16 14:20:00
51.1,51.1,51.1,51.1,5110,100,2016-09-16 17:20:00
51.0,41.0,51.0,41.0,29600,600,2016-09-20 13:10:00
60.0,71.0,71.0,60.0,26090,400,2016-09-23 14:00:00
99.2,99.2,99.2,99.2,39680,400,2016-09-26 12:00:00
95.0,95.0,95.0,95.0,19000,200,2016-09-26 16:30:00
61.1,57.0,61.1,57.0,208190,3600,2016-09-27 10:00:00
59.0,59.0,59.0,59.0,5900,100,2016-09-27 10:10:00
57.0,57.0,57.0,57.0,57000,1000,2016-09-27 10:20:00
57.0,59.4,59.6,57.0,46100,800,2016-09-27 10:40:00
59.4,57.6,59.9,57.6,71360,1200,2016-09-27 10:50:00
57.5,57.1,57.5,57.1,22920,400,2016-09-27 11:00:00
57.0,57.0,57.0,57.0,5700,100,2016-09-27 11:10:00
57.0,57.0,57.0,57.0,5700,100,2016-09-27 11:20:00
57.0,57.0,57.0,57.0,5700,100,2016-09-27 16:30:00
