Open,Close,High,Low,Value,Volume,Date
3.2,3.2,3.2,3.2,640.0,200,2014-07-01 11:10:00
4.089,4.089,4.089,4.089,408.9,100,2014-07-01 18:30:00
5.0,5.0,5.0,5.0,500.0,100,2014-07-08 10:00:00
4.5,4.5,4.5,4.5,450.0,100,2014-07-22 11:20:00
4.014,4.001,4.014,4.001,1603.6999999999998,400,2014-07-28 16:40:00
4.001,4.001,4.001,4.001,4001.0,1000,2014-07-28 16:50:00
4.5,4.5,4.5,4.5,450.0,100,2014-07-28 18:20:00
4.5,4.987,4.987,4.5,948.7,200,2014-07-29 18:30:00
4.542,4.542,4.542,4.542,454.2,100,2014-08-06 18:10:00
4.001,4.001,4.001,4.001,400.1,100,2014-08-11 13:30:00
3.723,3.723,3.723,3.723,372.3,100,2014-08-14 14:40:00
4.839,5.63,5.63,4.839,6595.799999999999,1300,2014-08-19 11:20:00
5.446,5.629,5.629,5.446,5578.5,1000,2014-08-19 13:10:00
5.628,5.63,5.63,5.628,16326.3,2900,2014-08-19 15:30:00
5.63,5.63,5.63,5.63,7882.0,1400,2014-08-19 15:50:00
5.1,5.1,5.1,5.1,510.0,100,2014-08-28 14:10:00
5.16,5.16,5.16,5.16,516.0,100,2014-08-28 15:00:00
4.389,4.38,4.389,4.38,7448.5,1700,2014-09-01 10:30:00
4.38,4.38,4.38,4.38,1314.0,300,2014-09-01 10:40:00
4.38,4.38,4.38,4.38,1314.0,300,2014-09-01 11:10:00
4.024,4.758,4.758,3.723,8271.9,2100,2014-09-01 11:30:00
4.062,3.933,4.062,3.523,14275.300000000001,3800,2014-09-02 12:40:00
4.0,4.0,4.0,4.0,2800.0,700,2014-09-02 13:20:00
4.569,4.569,4.569,4.569,913.8,200,2014-09-02 18:20:00
4.548,4.56,4.56,4.548,2733.7,600,2014-09-03 17:00:00
3.877,4.034,4.034,3.877,1178.8,300,2014-09-09 11:40:00
4.1,4.1,4.1,4.1,410.0,100,2014-09-09 12:10:00
