Open,Close,High,Low,Value,Volume,Date
8.999,8.2,9.0,7.65,77947735.69999999,9529200,2024-02-22 16:10:00
8.2,8.127,8.3,8.1,26785048.4,3272600,2024-02-22 16:20:00
8.1,8.025,8.12,7.926,26079989.799999997,3258600,2024-02-22 16:30:00
8.025,8.132,8.199,8.025,13659861.899999999,1678700,2024-02-22 16:40:00
8.145,8.3,8.33,8.145,10149526.2,1232800,2024-02-22 16:50:00
8.307,8.315,8.322,8.2,4931625.7,596700,2024-02-22 17:00:00
8.315,8.584,8.584,8.254,10337166.6,1229100,2024-02-22 17:10:00
8.584,8.39,8.66,8.341,11002677.400000002,1291300,2024-02-22 17:20:00
8.419,8.315,8.45,8.266,4879700.6,584800,2024-02-22 17:30:00
8.309,8.335,8.38,8.294,1885502.1999999997,226200,2024-02-22 17:40:00
8.337,8.45,8.66,8.31,7941900.499999999,935400,2024-02-22 17:50:00
8.476,8.383,8.476,8.351,2293621.3000000003,273200,2024-02-22 18:00:00
8.391,8.262,8.427,8.261,3017098.4999999995,362400,2024-02-22 18:10:00
8.264,8.176,8.278,8.17,6551480.000000001,796500,2024-02-22 18:20:00
8.19,8.19,8.399,8.01,12214191.6,1498300,2024-02-22 18:30:00
8.1,8.1,8.1,8.1,810000.0,100000,2024-02-22 18:40:00
8.2,8.2,8.2,8.2,191880.0,23400,2024-02-26 09:50:00
8.2,7.986,8.35,7.93,8652189.6,1069400,2024-02-26 10:00:00
7.988,7.936,8.064,7.93,7245103.5,907000,2024-02-26 10:10:00
7.935,7.95,8.029,7.905,3904461.8,490500,2024-02-26 10:20:00
7.95,7.855,7.95,7.77,12235991.500000002,1559000,2024-02-26 10:30:00
7.867,7.882,7.904,7.833,3984680.4,506200,2024-02-26 10:40:00
7.894,7.953,7.96,7.88,4292993.000000001,541900,2024-02-26 10:50:00
7.958,7.956,7.995,7.945,2599928.1,326500,2024-02-26 11:00:00
7.956,7.932,7.966,7.93,2039898.7,256600,2024-02-26 11:10:00
7.942,7.89,7.942,7.861,3707974.0000000005,470100,2024-02-26 11:20:00
7.882,7.901,7.93,7.871,3592913.6,454400,2024-02-26 11:30:00
7.905,7.929,7.969,7.882,4147890.0999999996,523000,2024-02-26 11:40:00
7.94,7.918,7.941,7.913,648763.2999999999,81900,2024-02-26 11:50:00
7.918,7.923,7.927,7.915,501139.4,63300,2024-02-26 12:00:00
7.916,7.915,7.926,7.915,945261.6000000001,119400,2024-02-26 12:10:00
7.918,7.908,7.918,7.907,447866.9,56600,2024-02-26 12:20:00
7.91,7.901,7.911,7.9,990504.2999999998,125300,2024-02-26 12:30:00
7.905,7.911,7.919,7.902,851181.1,107600,2024-02-26 12:40:00
7.918,7.9,7.92,7.887,1662835.9000000001,210400,2024-02-26 12:50:00
7.899,7.917,7.92,7.896,1098175.2,138800,2024-02-26 13:00:00
7.92,7.911,7.92,7.901,914796.4999999999,115600,2024-02-26 13:10:00
7.909,7.916,7.916,7.905,418352.30000000005,52900,2024-02-26 13:20:00
7.915,7.902,7.919,7.902,790951.5000000001,100000,2024-02-26 13:30:00
7.902,7.895,7.911,7.885,799872.8999999999,101300,2024-02-26 13:40:00
7.895,7.848,7.897,7.846,2052191.7000000007,260700,2024-02-26 13:50:00
7.848,7.837,7.85,7.781,5313922.0,679500,2024-02-26 14:00:00
7.837,7.779,7.846,7.752,2957571.1,380000,2024-02-26 14:10:00
7.779,7.754,7.79,7.75,2067317.2,266300,2024-02-26 14:20:00
7.76,7.726,7.76,7.71,4982205.100000001,644300,2024-02-26 14:30:00
7.729,7.747,7.749,7.722,2749738.1000000006,355500,2024-02-26 14:40:00
7.744,7.746,7.747,7.734,1187223.7000000002,153300,2024-02-26 14:50:00
7.742,7.785,7.785,7.74,1516477.2999999998,195200,2024-02-26 15:00:00
7.785,7.795,7.819,7.785,1773129.4000000001,227400,2024-02-26 15:10:00
7.796,7.8,7.806,7.77,980524.0999999999,125900,2024-02-26 15:20:00
7.806,7.758,7.815,7.734,2298874.3999999994,296100,2024-02-26 15:30:00
7.758,7.808,7.848,7.745,2060855.2,263800,2024-02-26 15:40:00
7.837,7.849,7.92,7.824,2614493.8000000003,331900,2024-02-26 15:50:00
7.832,7.747,7.849,7.714,3481934.299999999,449100,2024-02-26 16:00:00
7.747,7.734,7.768,7.711,3045329.7,393900,2024-02-26 16:10:00
7.744,7.742,7.75,7.714,1103199.8,142700,2024-02-26 16:20:00
7.742,7.739,7.745,7.737,651028.2,84100,2024-02-26 16:30:00
