Open,Close,High,Low,Value,Volume,Date
37.5,37.87,37.87,37.5,75526,2000,2014-06-09 10:30:00
37.95,37.95,37.95,37.95,3795,100,2014-06-09 10:40:00
37.51,37.51,37.51,37.51,37510,1000,2014-06-09 11:00:00
37.92,37.95,37.95,37.92,79692,2100,2014-06-09 11:20:00
37.52,37.52,37.52,37.52,11256,300,2014-06-09 11:30:00
37.55,37.55,37.55,37.55,7510,200,2014-06-09 11:40:00
37.53,37.53,37.53,37.53,15012,400,2014-06-09 12:10:00
37.51,37.51,37.51,37.51,26257,700,2014-06-09 12:20:00
37.5,37.5,37.5,37.5,7500,200,2014-06-09 12:40:00
37.5,37.64,37.64,37.5,78764,2100,2014-06-09 12:50:00
37.5,37.5,37.5,37.5,15000,400,2014-06-09 13:00:00
37.6,37.6,37.6,37.6,3760,100,2014-06-09 13:30:00
37.5,37.5,37.5,37.5,15000,400,2014-06-09 13:50:00
37.5,37.5,37.5,37.5,37500,1000,2014-06-09 15:10:00
37.48,37.48,37.48,37.48,3748,100,2014-06-09 15:20:00
37.49,37.4,37.49,37.4,7489,200,2014-06-09 15:30:00
37.5,37.5,37.5,37.5,18750,500,2014-06-09 15:50:00
37.5,37.5,37.5,37.5,18750,500,2014-06-09 16:20:00
37.42,37.41,37.42,37.41,37411,1000,2014-06-09 16:40:00
37.41,37.41,37.41,37.41,3741,100,2014-06-09 16:50:00
37.41,37.4,37.41,37.4,26181,700,2014-06-09 17:00:00
37.46,37.46,37.46,37.46,3746,100,2014-06-09 17:20:00
37.47,37.47,37.47,37.47,3747,100,2014-06-09 18:00:00
37.36,37.35,37.36,37.35,44822,1200,2014-06-09 18:20:00
37.34,37.34,37.34,37.34,3734,100,2014-06-09 18:30:00
37.29,37.26,37.29,37.26,26089,700,2014-06-10 10:00:00
37.23,37.23,37.23,37.23,3723,100,2014-06-10 10:10:00
37.23,37.24,37.24,37.23,11171,300,2014-06-10 10:20:00
37.02,36.98,37.02,36.97,22198,600,2014-06-10 10:30:00
36.99,37.0,37.0,36.99,29597,800,2014-06-10 10:40:00
37.0,37.0,37.0,37.0,18500,500,2014-06-10 11:50:00
37.0,37.0,37.0,37.0,3700,100,2014-06-10 12:30:00
37.1,37.1,37.1,37.1,7420,200,2014-06-10 12:50:00
37.18,37.18,37.18,37.18,3718,100,2014-06-10 13:00:00
37.19,37.19,37.19,37.19,7438,200,2014-06-10 13:20:00
37.13,37.19,37.19,37.12,37141,1000,2014-06-10 13:30:00
37.17,37.09,37.2,37.09,26012,700,2014-06-10 13:40:00
37.19,37.19,37.19,37.19,7438,200,2014-06-10 13:50:00
37.19,37.19,37.19,37.19,3719,100,2014-06-10 16:20:00
37.19,37.25,37.25,37.19,100552,2700,2014-06-10 16:50:00
37.3,37.3,37.3,37.3,3730,100,2014-06-10 17:40:00
37.17,37.17,37.17,37.17,3717,100,2014-06-10 18:00:00
37.3,37.32,37.32,37.3,14925,400,2014-06-10 18:20:00
37.37,37.3,37.37,37.3,59687,1600,2014-06-10 18:30:00
37.39,37.4,37.4,37.39,22437,600,2014-06-11 10:10:00
37.45,37.24,37.45,37.23,48512,1300,2014-06-11 10:20:00
37.45,37.45,37.45,37.45,3745,100,2014-06-11 10:40:00
37.17,37.36,37.36,37.16,82000,2200,2014-06-11 11:10:00
37.37,37.45,37.45,37.37,56110,1500,2014-06-11 11:20:00
37.5,37.17,37.5,37.17,7467,200,2014-06-11 12:40:00
37.3,37.3,37.3,37.3,14920,400,2014-06-11 14:00:00
37.4,37.4,37.4,37.4,3740,100,2014-06-11 14:30:00
37.43,37.43,37.43,37.43,3743,100,2014-06-11 14:50:00
37.43,37.43,37.6,37.43,44970,1200,2014-06-11 15:00:00
37.35,37.35,37.35,37.35,7470,200,2014-06-11 15:20:00
37.44,37.44,37.44,37.44,3744,100,2014-06-11 15:30:00
37.34,37.42,37.42,37.32,11208,300,2014-06-11 15:50:00
37.42,37.64,37.64,37.42,7506,200,2014-06-11 16:00:00
37.32,37.31,37.32,37.31,18657,500,2014-06-11 18:00:00
37.44,37.46,37.46,37.44,29962,800,2014-06-11 18:20:00
37.35,37.0,37.35,37.0,104022,2800,2014-06-11 18:30:00
37.4,37.21,37.4,37.21,14941,400,2014-06-16 10:00:00
37.11,37.11,37.11,37.11,3711,100,2014-06-16 10:10:00
36.77,37.02,37.02,36.77,62634,1700,2014-06-16 10:20:00
37.13,37.15,37.15,37.13,40861,1100,2014-06-16 10:50:00
37.04,37.04,37.04,37.04,11112,300,2014-06-16 11:10:00
37.02,37.01,37.02,37.01,11104,300,2014-06-16 11:40:00
37.19,37.25,37.25,37.19,208536,5600,2014-06-16 12:20:00
37.25,37.25,37.25,37.25,37250,1000,2014-06-16 13:30:00
37.31,37.35,37.35,37.31,33609,900,2014-06-16 14:20:00
37.25,37.25,37.25,37.25,3725,100,2014-06-16 14:50:00
37.3,37.3,37.3,37.3,3730,100,2014-06-16 15:10:00
37.35,37.35,37.35,37.35,11205,300,2014-06-16 15:20:00
37.25,37.25,37.25,37.25,7450,200,2014-06-16 16:00:00
37.34,37.35,37.35,37.34,168071,4500,2014-06-16 16:30:00
37.26,37.29,37.29,37.26,52179,1400,2014-06-16 16:40:00
37.3,37.3,37.3,37.3,3730,100,2014-06-16 16:50:00
37.22,37.22,37.22,37.22,3722,100,2014-06-16 17:00:00
37.21,37.39,37.39,37.21,85906,2300,2014-06-16 18:00:00
37.3,37.26,37.3,37.26,7456,200,2014-06-16 18:10:00
37.22,37.22,37.22,37.22,14888,400,2014-06-16 18:20:00
37.2,36.93,37.2,36.19,589366,16100,2014-06-16 18:30:00
37.0,37.0,37.0,37.0,3700,100,2014-06-17 10:00:00
36.71,36.7,36.71,36.7,44042,1200,2014-06-17 10:40:00
36.71,36.7,36.71,36.7,73403,2000,2014-06-17 11:50:00
36.7,36.1,36.7,36.1,181597,5000,2014-06-17 12:10:00
36.17,36.11,36.17,36.11,57808,1600,2014-06-17 12:30:00
36.44,36.44,36.45,36.44,21867,600,2014-06-17 12:50:00
36.28,36.4,36.47,36.27,39981,1100,2014-06-17 13:40:00
36.31,36.31,36.31,36.31,7262,200,2014-06-17 14:10:00
36.58,36.58,36.58,36.58,7316,200,2014-06-17 14:40:00
36.57,36.57,36.57,36.57,3657,100,2014-06-17 15:20:00
36.43,36.4,36.43,36.4,25491,700,2014-06-17 17:20:00
36.55,36.61,36.61,36.55,7316,200,2014-06-17 18:10:00
36.57,36.57,36.57,36.57,10971,300,2014-06-17 18:20:00
36.57,36.57,36.57,36.57,7314,200,2014-06-17 18:30:00
37.37,36.99,37.37,36.33,58477,1600,2014-06-18 10:00:00
36.39,36.39,36.39,36.39,3639,100,2014-06-18 10:30:00
36.43,36.42,36.43,36.42,10928,300,2014-06-18 11:00:00
36.8,36.84,36.84,36.8,18404,500,2014-06-18 12:00:00
36.8,36.8,36.8,36.8,25760,700,2014-06-18 12:10:00
36.66,36.65,36.66,36.65,14661,400,2014-06-18 14:00:00
36.58,36.5,36.58,36.5,54799,1500,2014-06-18 15:10:00
36.51,36.51,36.51,36.51,58416,1600,2014-06-18 15:20:00
36.64,36.64,36.64,36.64,7328,200,2014-06-18 15:50:00
36.61,36.61,36.61,36.61,3661,100,2014-06-18 16:50:00
36.61,36.5,36.61,36.5,40180,1100,2014-06-18 17:10:00
36.51,36.51,36.51,36.51,7302,200,2014-06-18 17:30:00
36.51,36.48,36.51,36.48,51099,1400,2014-06-18 17:40:00
36.48,36.48,36.48,36.48,3648,100,2014-06-18 18:10:00
36.48,36.51,36.51,36.48,10948,300,2014-06-18 18:20:00
36.59,36.59,36.59,36.59,3659,100,2014-06-18 18:30:00
36.64,36.64,36.64,36.64,10992,300,2014-06-19 10:10:00
36.61,36.61,36.61,36.52,32911,900,2014-06-19 10:30:00
36.56,36.52,36.56,36.52,14618,400,2014-06-19 10:40:00
36.65,36.65,36.65,36.65,3665,100,2014-06-19 10:50:00
36.66,36.66,36.66,36.66,3666,100,2014-06-19 11:10:00
36.78,36.78,36.79,36.78,47822,1300,2014-06-19 12:50:00
36.94,36.94,36.94,36.94,3694,100,2014-06-19 13:00:00
36.94,36.94,36.94,36.94,3694,100,2014-06-19 13:20:00
36.93,36.93,36.93,36.93,3693,100,2014-06-19 14:10:00
36.93,36.93,36.93,36.93,3693,100,2014-06-19 14:30:00
36.94,37.0,37.0,36.94,207156,5600,2014-06-19 15:10:00
36.99,36.99,36.99,36.99,3699,100,2014-06-19 15:20:00
37.0,37.0,37.0,37.0,3700,100,2014-06-19 15:30:00
37.0,37.0,37.0,37.0,99900,2700,2014-06-19 15:40:00
37.05,37.05,37.05,37.05,7410,200,2014-06-19 15:50:00
37.05,37.05,37.05,37.05,3705,100,2014-06-19 16:10:00
37.2,37.2,37.2,37.2,7440,200,2014-06-19 16:20:00
37.15,37.15,37.15,37.15,3715,100,2014-06-19 16:40:00
