Open,Close,High,Low,Value,Volume,Date
440.0,500.0,500.0,440.0,1850.0,4,2014-06-09 15:40:00
430.0,430.0,430.0,430.0,430.0,1,2014-06-09 17:00:00
450.0,499.0,499.0,450.0,2394.0,5,2014-06-10 12:10:00
485.0,500.0,500.0,485.0,98852.5,199,2014-06-10 17:10:00
500.0,498.0,500.0,498.0,998.0,2,2014-06-16 16:50:00
485.0,485.0,485.0,485.0,485.0,1,2014-06-16 17:00:00
493.0,494.0,494.0,493.0,987.0,2,2014-06-16 17:20:00
500.0,520.0,520.0,500.0,119360.0,230,2014-06-17 17:20:00
525.0,525.0,525.0,525.0,525.0,1,2014-06-19 18:20:00
500.0,500.0,500.0,500.0,500.0,1,2014-06-27 18:30:00
450.0,450.0,450.0,450.0,450.0,1,2014-07-01 17:50:00
458.7,458.7,458.7,458.7,3669.6,8,2014-07-02 16:10:00
490.0,490.0,490.0,490.0,490.0,1,2014-07-09 10:00:00
484.0,484.0,484.0,484.0,968.0,2,2014-07-14 16:00:00
484.0,484.0,484.0,484.0,484.0,1,2014-07-14 17:10:00
484.0,484.0,484.0,484.0,9196.0,19,2014-07-15 12:20:00
524.0,588.9,588.9,524.0,14049.599999999999,25,2014-07-17 10:00:00
588.9,523.0,588.9,520.0,6538.6,12,2014-07-17 10:10:00
518.9,518.0,518.9,518.0,1036.9,2,2014-07-17 10:30:00
555.0,555.0,555.0,555.0,555.0,1,2014-07-17 11:10:00
544.0,544.0,544.0,544.0,544.0,1,2014-07-17 11:20:00
535.0,535.0,535.0,535.0,535.0,1,2014-07-17 12:00:00
525.1,500.0,525.1,500.0,62365.1,124,2014-07-17 14:10:00
500.0,500.0,500.0,500.0,44000.0,88,2014-07-17 14:20:00
500.1,500.0,500.1,500.0,50001.2,100,2014-07-17 14:30:00
500.1,500.0,500.1,500.0,20002.0,40,2014-07-17 14:40:00
492.0,490.0,492.0,490.0,103510.0,211,2014-07-17 16:20:00
487.0,487.0,487.0,487.0,2922.0,6,2014-07-17 17:40:00
490.0,490.0,490.0,490.0,3430.0,7,2014-07-21 17:20:00
519.0,519.0,519.0,519.0,519.0,1,2014-07-25 12:30:00
460.0,460.0,460.0,460.0,920.0,2,2014-07-28 11:20:00
460.5,460.5,460.5,460.5,460.5,1,2014-07-28 14:50:00
480.0,480.0,480.0,480.0,960.0,2,2014-07-28 16:20:00
470.0,470.0,470.0,470.0,470.0,1,2014-07-29 13:00:00
470.0,480.0,480.0,470.0,5666.0,12,2014-07-29 15:30:00
460.0,460.0,460.0,460.0,460.0,1,2014-07-30 13:20:00
460.0,460.0,460.0,460.0,2760.0,6,2014-07-30 15:30:00
479.0,479.0,479.0,479.0,479.0,1,2014-08-01 15:00:00
480.0,480.0,480.0,480.0,2400.0,5,2014-08-01 15:20:00
479.0,480.0,480.0,479.0,6239.0,13,2014-08-01 16:40:00
480.0,480.0,480.0,480.0,480.0,1,2014-08-01 18:00:00
490.0,490.0,490.0,490.0,490.0,1,2014-08-01 18:20:00
475.0,475.0,475.0,475.0,1425.0,3,2014-08-05 11:40:00
475.0,485.0,485.0,475.0,2880.0,6,2014-08-05 14:50:00
475.0,475.0,475.0,475.0,475.0,1,2014-08-05 15:40:00
475.0,475.0,475.0,475.0,475.0,1,2014-08-05 16:00:00
475.0,480.0,480.0,475.0,1915.0,4,2014-08-05 18:30:00
475.1,475.1,475.1,475.1,475.1,1,2014-08-06 17:50:00
475.0,475.0,475.0,475.0,475.0,1,2014-08-07 10:50:00
475.0,475.0,475.0,475.0,4750.0,10,2014-08-07 12:50:00
475.0,475.0,475.0,475.0,9500.0,20,2014-08-07 17:00:00
519.0,519.8,519.8,519.0,7796.2,15,2014-08-13 14:20:00
460.5,460.5,460.5,460.5,460.5,1,2014-08-13 17:50:00
455.0,450.0,455.0,450.0,20272.3,45,2014-08-19 13:40:00
455.0,455.0,455.0,455.0,455.0,1,2014-08-25 11:40:00
452.2,452.0,452.2,452.0,15368.7,34,2014-08-25 12:10:00
450.0,450.0,450.0,450.0,45000.0,100,2014-08-25 12:20:00
450.0,450.0,450.0,450.0,2700.0,6,2014-08-25 12:40:00
450.0,450.0,450.0,450.0,900.0,2,2014-08-25 14:40:00
498.0,498.0,498.0,498.0,14940.0,30,2014-08-28 17:50:00
488.0,488.0,488.0,488.0,1464.0,3,2014-09-02 14:00:00
499.8,499.8,499.8,499.8,499.8,1,2014-09-05 10:00:00
525.0,525.0,525.0,525.0,525.0,1,2014-09-05 10:20:00
489.9,489.9,489.9,489.9,1469.7,3,2014-09-05 11:10:00
480.0,480.0,480.0,480.0,2400.0,5,2014-09-05 18:30:00
451.1,450.0,451.1,450.0,48156.3,107,2014-09-10 13:10:00
450.0,450.0,450.0,450.0,1350.0,3,2014-09-10 13:20:00
450.0,450.0,450.0,450.0,7200.0,16,2014-09-10 13:50:00
450.0,450.0,450.0,450.0,123300.0,274,2014-09-10 14:30:00
460.0,450.0,460.0,450.0,20810.7,46,2014-09-16 13:50:00
450.0,450.0,450.0,450.0,31050.0,69,2014-09-17 13:00:00
451.1,451.1,451.1,451.1,902.2,2,2014-09-22 15:50:00
450.0,450.0,450.0,450.0,450.0,1,2014-09-23 12:00:00
450.0,450.0,450.0,450.0,53550.0,119,2014-09-23 15:00:00
450.0,450.0,450.0,450.0,1800.0,4,2014-09-24 16:00:00
460.0,460.0,460.0,460.0,4600.0,10,2014-09-25 11:50:00
450.0,450.0,450.0,450.0,45000.0,100,2014-09-26 13:00:00
425.0,425.0,425.0,425.0,46750.0,110,2014-09-26 14:40:00
423.0,423.0,423.0,423.0,1692.0,4,2014-09-26 14:50:00
423.0,412.5,423.0,412.5,2946.7,7,2014-09-26 15:00:00
461.0,470.0,470.0,461.0,4684.4,10,2014-09-26 16:20:00
425.0,425.0,425.0,425.0,37825.0,89,2014-09-29 14:30:00
469.9,469.9,469.9,469.9,1409.7,3,2014-09-30 11:30:00
427.0,425.0,427.0,425.0,14878.0,35,2014-10-02 15:30:00
425.0,425.0,425.0,425.0,4250.0,10,2014-10-03 10:10:00
425.0,425.0,425.0,425.0,6800.0,16,2014-10-03 10:20:00
469.0,453.0,469.0,453.0,922.0,2,2014-10-17 10:50:00
450.0,460.0,460.0,450.0,910.0,2,2014-10-21 18:00:00
407.0,400.0,407.0,400.0,807.0,2,2014-10-23 10:50:00
469.0,469.0,469.0,469.0,11725.0,25,2014-10-23 12:20:00
402.0,402.0,402.0,402.0,1608.0,4,2014-10-28 11:20:00
402.0,402.0,402.0,402.0,8442.0,21,2014-10-28 11:30:00
468.0,468.0,468.0,468.0,468.0,1,2014-10-28 12:40:00
430.0,430.0,430.0,430.0,8600.0,20,2014-10-30 11:10:00
431.0,431.0,431.0,431.0,431.0,1,2014-10-30 11:20:00
431.0,430.0,431.0,430.0,1291.0,3,2014-10-30 14:50:00
410.0,400.0,410.0,400.0,12029.0,30,2014-10-31 14:10:00
479.0,479.0,479.0,479.0,479.0,1,2014-11-03 15:00:00
460.0,460.0,460.0,460.0,1840.0,4,2014-11-05 16:40:00
470.0,470.0,470.0,470.0,2350.0,5,2014-11-06 10:00:00
439.0,439.0,439.0,439.0,4390.0,10,2014-11-06 12:40:00
406.0,400.0,406.0,400.0,21222.0,53,2014-11-06 18:00:00
439.0,440.0,440.0,439.0,4839.0,11,2014-11-07 15:40:00
445.0,445.0,445.0,445.0,1780.0,4,2014-11-07 17:30:00
445.0,445.0,445.0,445.0,2670.0,6,2014-11-07 17:40:00
452.0,455.0,455.0,452.0,29560.0,65,2014-11-10 14:50:00
405.0,405.0,405.0,405.0,405.0,1,2014-11-10 15:10:00
408.0,405.0,408.0,405.0,6484.0,16,2014-11-11 14:10:00
405.0,405.0,405.0,405.0,8100.0,20,2014-11-11 14:20:00
405.0,454.0,454.0,405.0,111424.0,275,2014-11-11 14:40:00
449.0,450.0,450.0,449.0,4048.0,9,2014-11-12 10:10:00
474.0,450.0,475.0,450.0,40925.0,90,2014-11-12 10:20:00
473.0,475.0,475.0,473.0,95472.0,201,2014-11-12 10:30:00
475.0,475.0,475.0,475.0,1900.0,4,2014-11-12 10:40:00
475.0,475.0,475.0,475.0,9975.0,21,2014-11-12 10:50:00
451.0,451.0,451.0,451.0,2255.0,5,2014-11-12 12:30:00
466.0,467.0,467.0,466.0,22882.0,49,2014-11-12 17:30:00
450.0,449.0,450.0,449.0,2248.0,5,2014-11-13 12:40:00
449.0,449.0,449.0,449.0,11225.0,25,2014-11-13 14:10:00
467.0,468.0,468.0,467.0,13078.0,28,2014-11-13 15:10:00
455.0,455.0,455.0,455.0,16380.0,36,2014-11-14 11:40:00
470.0,470.0,470.0,470.0,16920.0,36,2014-11-14 12:20:00
454.0,469.0,469.0,454.0,81224.0,176,2014-11-14 14:00:00
457.0,468.0,468.0,457.0,49025.0,106,2014-11-18 18:30:00
481.0,481.0,481.0,481.0,481.0,1,2014-11-19 16:30:00
480.0,480.0,480.0,480.0,960.0,2,2014-11-20 11:00:00
480.0,480.0,480.0,480.0,960.0,2,2014-11-20 11:10:00
486.0,487.0,487.0,486.0,7778.0,16,2014-11-20 11:40:00
480.0,480.0,480.0,480.0,4800.0,10,2014-11-20 12:10:00
462.0,461.0,462.0,461.0,63620.0,138,2014-11-20 17:30:00
460.0,372.0,460.0,372.0,107623.0,275,2014-11-20 17:40:00
450.0,405.0,469.0,405.0,138033.0,300,2014-11-20 17:50:00
450.0,450.0,450.0,450.0,9000.0,20,2014-11-20 18:30:00
400.0,380.0,400.0,380.0,11460.0,30,2014-11-21 10:00:00
449.0,455.0,455.0,449.0,26638.0,59,2014-11-21 10:10:00
469.0,470.0,470.0,469.0,28668.0,61,2014-11-21 12:40:00
488.0,500.0,500.0,488.0,21927.0,44,2014-11-24 10:00:00
499.0,522.0,522.0,499.0,4131.0,8,2014-11-25 10:10:00
457.0,457.0,457.0,457.0,457.0,1,2014-11-25 10:40:00
458.0,458.0,458.0,458.0,458.0,1,2014-11-25 17:30:00
451.0,450.0,451.0,450.0,18003.0,40,2014-11-28 16:40:00
469.0,470.0,470.0,469.0,17859.0,38,2014-11-28 18:00:00
451.0,451.0,451.0,451.0,451.0,1,2014-12-02 16:30:00
450.0,450.0,450.0,450.0,450.0,1,2014-12-04 10:40:00
450.0,450.0,450.0,450.0,8550.0,19,2014-12-04 10:50:00
470.0,470.0,470.0,470.0,470.0,1,2014-12-04 13:30:00
469.0,470.0,470.0,469.0,8929.0,19,2014-12-04 15:20:00
406.0,406.0,406.0,406.0,406.0,1,2014-12-08 10:00:00
497.0,497.0,497.0,497.0,497.0,1,2014-12-08 14:10:00
404.0,404.0,404.0,404.0,404.0,1,2014-12-09 14:20:00
407.0,407.0,407.0,407.0,1221.0,3,2014-12-16 12:10:00
405.0,405.0,405.0,405.0,405.0,1,2014-12-16 12:20:00
380.0,380.0,380.0,380.0,380.0,1,2014-12-16 12:30:00
408.0,408.0,408.0,408.0,6528.0,16,2014-12-16 17:00:00
408.0,408.0,408.0,408.0,2040.0,5,2014-12-16 18:30:00
402.0,361.0,402.0,361.0,3908.0,10,2014-12-17 13:00:00
410.0,410.0,410.0,410.0,410.0,1,2014-12-17 14:30:00
370.0,361.0,370.0,361.0,731.0,2,2014-12-17 14:40:00
410.0,410.0,410.0,410.0,410.0,1,2014-12-17 17:20:00
410.0,410.0,410.0,410.0,2870.0,7,2014-12-17 18:20:00
425.0,425.0,425.0,425.0,425.0,1,2014-12-18 11:50:00
429.0,433.0,433.0,429.0,862.0,2,2014-12-18 16:50:00
407.0,405.0,407.0,405.0,2028.0,5,2014-12-19 17:00:00
406.0,406.0,406.0,406.0,406.0,1,2014-12-23 11:40:00
406.0,406.0,406.0,406.0,406.0,1,2014-12-23 12:20:00
406.0,406.0,406.0,406.0,13398.0,33,2014-12-23 12:50:00
435.0,435.0,435.0,435.0,2175.0,5,2015-01-09 13:40:00
480.0,480.0,480.0,480.0,480.0,1,2015-01-09 16:10:00
489.0,490.0,490.0,489.0,979.0,2,2015-01-09 17:00:00
420.0,420.0,420.0,420.0,420.0,1,2015-01-09 17:50:00
449.0,449.0,449.0,449.0,449.0,1,2015-01-14 18:30:00
449.0,450.0,450.0,449.0,1798.0,4,2015-01-15 16:30:00
449.0,449.0,449.0,449.0,1796.0,4,2015-01-15 16:40:00
475.0,479.0,479.0,475.0,3821.0,8,2015-01-19 16:30:00
479.0,479.0,479.0,479.0,479.0,1,2015-01-20 10:10:00
479.0,479.0,479.0,479.0,479.0,1,2015-01-20 10:50:00
478.0,478.0,478.0,478.0,478.0,1,2015-01-21 12:00:00
478.0,478.0,478.0,478.0,956.0,2,2015-01-21 18:10:00
475.0,475.0,475.0,475.0,475.0,1,2015-01-22 10:30:00
479.0,480.0,480.0,479.0,5758.0,12,2015-01-22 15:50:00
430.0,400.0,430.0,400.0,9717.0,24,2015-01-22 18:10:00
480.0,480.0,480.0,480.0,480.0,1,2015-01-23 10:30:00
479.0,479.0,479.0,479.0,479.0,1,2015-01-23 11:00:00
470.0,470.0,470.0,470.0,470.0,1,2015-01-23 14:30:00
477.0,477.0,477.0,477.0,2385.0,5,2015-01-23 16:50:00
