Open,Close,High,Low,Value,Volume,Date
45400,45400,45400,45400,45400,1,2014-06-10 12:50:00
45500,45400,45500,45400,454140,10,2014-06-10 14:50:00
45990,45990,45990,45990,91980,2,2014-06-10 16:20:00
45180,45180,45180,45180,45180,1,2014-06-11 16:50:00
45990,45990,45990,45990,137970,3,2014-06-16 13:40:00
46100,46100,46100,46100,46100,1,2014-06-16 16:50:00
45360,45360,45360,45360,45360,1,2014-06-16 18:30:00
46850,46850,46850,46850,46850,1,2014-06-17 10:00:00
47280,48000,48000,47280,237860,5,2014-06-17 10:10:00
48000,48000,48000,48000,48000,1,2014-06-17 10:20:00
47500,47500,47500,47500,47500,1,2014-06-17 11:50:00
47500,47500,47500,47500,47500,1,2014-06-17 15:50:00
47500,49500,49500,47500,240500,5,2014-06-18 10:30:00
49500,49500,49500,49500,49500,1,2014-06-18 13:00:00
49500,49500,49500,49500,99000,2,2014-06-18 16:50:00
50000,49500,50000,49500,99500,2,2014-06-18 17:00:00
50000,50000,50000,50000,100000,2,2014-06-19 10:00:00
51000,51000,51000,51000,51000,1,2014-06-19 18:30:00
51500,51500,51500,51500,51500,1,2014-06-20 10:00:00
51500,51500,51500,51500,51500,1,2014-06-20 10:40:00
50010,50010,50010,50010,50010,1,2014-06-20 12:10:00
51800,51800,51800,51800,103600,2,2014-06-23 13:50:00
49970,50000,50000,49970,249950,5,2014-06-26 11:40:00
48000,48000,48000,48000,96000,2,2014-06-30 10:10:00
49090,49100,49100,49090,147290,3,2014-06-30 11:20:00
49000,49000,49000,49000,49000,1,2014-06-30 14:20:00
49000,50000,50000,49000,148000,3,2014-06-30 14:30:00
49100,54000,54000,49100,352180,7,2014-06-30 18:30:00
50000,50000,50000,50000,100000,2,2014-07-01 13:30:00
48010,48010,48010,48010,48010,1,2014-07-02 14:30:00
49100,49100,49100,49100,49100,1,2014-07-02 17:20:00
49970,49970,49970,49970,49970,1,2014-07-02 17:30:00
48210,48210,48210,48210,48210,1,2014-07-02 17:40:00
47590,47590,47590,47590,47590,1,2014-07-03 12:20:00
48000,48000,48000,48000,48000,1,2014-07-08 15:20:00
46970,48990,48990,46970,287870,6,2014-07-15 17:30:00
48990,48990,48990,48990,97980,2,2014-07-15 17:40:00
48990,47500,49000,47500,929450,19,2014-07-16 13:40:00
49000,49000,49000,49000,294000,6,2014-07-16 16:00:00
50000,50000,50000,50000,100000,2,2014-07-16 16:10:00
50000,50000,50000,50000,100000,2,2014-07-16 18:00:00
50000,50000,50000,50000,50000,1,2014-07-17 10:20:00
50000,50000,50000,50000,50000,1,2014-07-17 14:50:00
