Open,Close,High,Low,Value,Volume,Date
7953,7952,7953,7952,246513,31,2014-06-16 11:30:00
8099,8099,8099,8099,404950,50,2014-06-16 14:10:00
7984,7984,7984,7984,159680,20,2014-06-17 15:40:00
8200,8200,8200,8200,8200,1,2014-06-17 18:30:00
7775,7774,7775,7774,15549,2,2014-07-10 10:30:00
7807,7806,7811,7806,780665,100,2014-07-10 13:30:00
8396,8396,8396,8396,8396,1,2014-07-10 15:00:00
8086,8086,8086,8086,161720,20,2014-07-18 10:00:00
8075,8075,8075,8075,209950,26,2014-07-18 10:10:00
8056,8056,8056,8056,112784,14,2014-07-21 10:30:00
8124,8121,8124,8121,81222,10,2014-07-28 12:40:00
8118,8118,8118,8118,16236,2,2014-07-28 12:50:00
8125,8125,8125,8125,32500,4,2014-07-28 16:20:00
8155,8155,8155,8155,48930,6,2014-07-28 18:10:00
8214,8214,8214,8214,229992,28,2014-08-04 17:20:00
8322,8322,8322,8322,166440,20,2014-08-06 14:30:00
8799,8800,8800,8799,290399,33,2014-08-07 11:20:00
8800,8800,8800,8800,176000,20,2014-08-08 11:50:00
8800,9000,9000,8800,313500,35,2014-08-19 15:30:00
8306,8306,8306,8306,33224,4,2014-08-25 12:40:00
8993,8127,8993,8127,17120,2,2014-09-25 15:00:00
8990,8990,8990,8990,8990,1,2014-09-25 15:50:00
7005,8200,8200,7005,22235,3,2014-09-25 16:50:00
8250,8250,8250,8250,8250,1,2014-09-25 17:00:00
8130,8120,8130,8120,81210,10,2014-10-02 11:40:00
8120,8120,8120,8120,105560,13,2014-10-08 12:20:00
8490,8500,8500,8490,110490,13,2014-10-17 18:20:00
8120,8120,8120,8120,8120,1,2014-10-24 18:30:00
8120,8120,8120,8120,138040,17,2014-10-28 18:00:00
8270,8270,8270,8270,8270,1,2014-11-05 18:30:00
8780,8780,8780,8780,8780,1,2014-11-12 18:20:00
9000,10990,10990,9000,150490,16,2014-11-13 10:00:00
10990,10990,10990,10990,21980,2,2014-11-13 10:20:00
10990,11000,11000,10990,32980,3,2014-11-13 10:30:00
10990,11000,11000,10990,43990,4,2014-11-13 11:10:00
10990,11400,11400,10990,181570,16,2014-11-13 12:50:00
11400,11400,11400,11400,34200,3,2014-11-14 10:10:00
11380,11380,11380,11380,136560,12,2014-11-17 15:00:00
11300,11400,11400,11300,124840,11,2014-11-24 16:00:00
9070,9070,9070,9050,27190,3,2014-12-04 16:50:00
10200,10200,10200,10200,10200,1,2014-12-04 17:30:00
10310,11380,11380,10310,32010,3,2014-12-08 18:30:00
11000,11000,11000,11000,110000,10,2014-12-18 15:40:00
9200,9200,9200,9200,9200,1,2014-12-19 11:00:00
10180,10200,10200,10180,142750,14,2014-12-23 11:40:00
10000,10000,10000,10000,100000,10,2014-12-26 15:30:00
9130,9130,9130,9130,18260,2,2015-01-05 16:30:00
9110,9150,10000,9110,46520,5,2015-01-08 16:40:00
9950,9950,9950,9950,9950,1,2015-01-08 18:20:00
9000,9000,9000,9000,90000,10,2015-01-12 16:50:00
9010,9000,9010,9000,27010,3,2015-01-13 17:40:00
9010,9010,9010,9010,9010,1,2015-01-15 15:10:00
9010,9000,9010,9000,144010,16,2015-01-16 12:00:00
9000,9000,9000,9000,9000,1,2015-01-16 12:10:00
9000,9000,9000,9000,9000,1,2015-01-22 16:00:00
9000,9000,9000,9000,9000,1,2015-01-22 16:10:00
9010,9010,9010,9010,9010,1,2015-01-26 17:10:00
8010,8870,8870,8010,24890,3,2015-01-27 15:50:00
9000,9000,9000,9000,18000,2,2015-01-29 11:50:00
