Open,Close,High,Low,Value,Volume,Date
170.01,170.0,170.01,170.0,30600.8,180,2014-06-09 16:40:00
170.0,170.0,170.0,170.0,15300.0,90,2014-06-10 12:10:00
165.0,165.0,165.0,165.0,1650.0,10,2014-06-10 12:20:00
170.0,170.0,170.0,170.0,3400.0,20,2014-06-17 14:30:00
165.01,160.0,165.01,160.0,84826.79999999999,520,2014-06-20 18:10:00
160.0,160.0,160.0,160.0,6400.0,40,2014-06-20 18:20:00
160.0,160.0,160.0,160.0,8000.0,50,2014-06-23 13:20:00
160.0,160.0,160.0,160.0,8000.0,50,2014-06-23 13:30:00
160.0,160.0,160.0,160.0,9600.0,60,2014-06-23 14:50:00
160.0,160.0,160.0,160.0,16000.0,100,2014-06-23 15:20:00
160.0,160.0,160.0,160.0,11200.0,70,2014-06-23 15:50:00
155.27,155.27,155.27,155.27,1552.7,10,2014-06-25 10:40:00
158.0,158.0,158.0,158.0,66360.0,420,2014-06-26 12:50:00
158.5,158.0,158.5,158.0,45865.0,290,2014-06-26 14:40:00
162.0,166.0,166.0,162.0,40850.0,250,2014-07-02 17:10:00
163.0,166.3,166.3,163.0,49065.0,300,2014-07-02 17:30:00
160.0,160.0,160.0,160.0,8000.0,50,2014-07-09 10:10:00
160.01,160.01,160.01,160.01,16001.0,100,2014-07-09 18:30:00
160.0,160.0,160.0,160.0,8000.0,50,2014-07-10 11:20:00
155.0,155.0,155.0,155.0,13950.0,90,2014-07-10 11:40:00
166.29,166.29,166.29,166.29,1662.9,10,2014-07-15 10:50:00
165.98,166.3,166.3,165.98,197583.6,1190,2014-07-15 18:10:00
162.0,161.0,162.0,161.0,32250.0,200,2014-07-17 15:00:00
169.0,169.0,169.0,169.0,1690.0,10,2014-07-17 16:50:00
163.0,163.0,163.0,163.0,1630.0,10,2014-07-21 11:20:00
163.0,163.0,163.0,163.0,8150.0,50,2014-07-21 11:30:00
163.0,163.0,163.0,163.0,37490.0,230,2014-07-21 12:00:00
163.0,159.0,163.0,159.0,3220.0,20,2014-07-21 12:10:00
161.0,161.0,161.0,161.0,48300.0,300,2014-07-21 18:30:00
161.0,161.0,161.0,161.0,56350.0,350,2014-07-25 18:30:00
160.0,159.0,160.0,159.0,41350.0,260,2014-07-28 18:10:00
158.0,158.0,158.0,158.0,17380.0,110,2014-07-29 17:50:00
156.0,156.0,156.0,156.0,17160.0,110,2014-07-29 18:30:00
153.0,150.0,153.0,150.0,7530.0,50,2014-08-06 10:40:00
150.01,150.01,150.01,150.01,10500.7,70,2014-08-06 12:30:00
150.01,150.01,150.01,150.01,4500.3,30,2014-08-06 16:00:00
150.0,150.0,150.0,150.0,10500.0,70,2014-08-06 16:10:00
147.0,140.0,147.0,140.0,78557.6,560,2014-08-06 16:20:00
140.1,140.1,140.1,140.1,36426.0,260,2014-08-06 16:50:00
141.0,141.0,141.0,141.0,50760.0,360,2014-08-06 17:30:00
141.0,141.0,141.0,141.0,7050.0,50,2014-08-06 17:40:00
141.0,141.0,147.0,141.0,52589.7,370,2014-08-06 18:10:00
141.0,141.0,141.0,141.0,14100.0,100,2014-08-06 18:20:00
148.99,142.1,150.0,142.1,64825.2,440,2014-08-06 18:30:00
150.0,150.0,150.0,150.0,1500.0,10,2014-08-07 14:40:00
143.51,143.51,143.51,143.51,5740.4,40,2014-08-07 15:30:00
143.5,143.5,143.5,143.5,5740.0,40,2014-08-07 15:50:00
143.5,143.5,143.5,143.5,1435.0,10,2014-08-07 16:30:00
143.5,143.5,143.5,143.5,1435.0,10,2014-08-07 17:30:00
141.02,141.02,141.02,141.02,14102.0,100,2014-08-07 18:30:00
140.01,140.01,140.01,140.01,1400.1,10,2014-08-08 12:00:00
140.01,140.01,140.01,140.01,14001.0,100,2014-08-08 12:10:00
140.0,140.0,140.0,140.0,14000.0,100,2014-08-08 12:30:00
142.0,142.0,142.0,142.0,14200.0,100,2014-08-08 14:00:00
142.0,142.0,142.0,142.0,21300.0,150,2014-08-08 14:10:00
142.0,142.0,142.0,142.0,15620.0,110,2014-08-08 14:30:00
140.0,140.0,140.0,140.0,14000.0,100,2014-08-08 14:50:00
142.0,142.0,142.0,142.0,19880.0,140,2014-08-08 16:10:00
149.99,149.99,149.99,149.99,1499.9,10,2014-08-08 16:30:00
140.01,140.0,140.01,140.0,49000.1,350,2014-08-08 17:10:00
140.0,140.0,140.0,140.0,28000.0,200,2014-08-08 17:30:00
137.12,137.12,137.12,137.12,1371.2,10,2014-08-08 17:50:00
140.0,140.0,140.0,140.0,42000.0,300,2014-08-08 18:00:00
140.0,140.0,140.0,140.0,56000.0,400,2014-08-08 18:10:00
140.0,140.0,140.0,140.0,14000.0,100,2014-08-08 18:20:00
140.0,140.0,140.0,140.0,98000.0,700,2014-08-08 18:30:00
149.49,174.99,174.99,149.49,66764.4,400,2014-08-11 11:20:00
147.0,147.0,147.0,147.0,1470.0,10,2014-08-11 13:40:00
147.0,147.0,147.0,147.0,5880.0,40,2014-08-11 13:50:00
147.0,147.0,147.0,147.0,16170.0,110,2014-08-11 14:00:00
147.0,147.0,147.0,147.0,1470.0,10,2014-08-11 14:10:00
147.0,147.0,147.0,147.0,1470.0,10,2014-08-11 14:50:00
147.0,147.0,147.0,147.0,39690.0,270,2014-08-11 15:50:00
147.0,147.0,147.0,147.0,22050.0,150,2014-08-11 16:50:00
