Open,Close,High,Low,Value,Volume,Date
2.9,2.9,2.9,2.9,2900,1000,2014-06-10 18:10:00
2.6,2.6,2.6,2.6,18200,7000,2014-06-16 16:10:00
2.6,2.6,2.6,2.6,10400,4000,2014-06-16 16:20:00
2.6,2.6,2.6,2.6,28600,11000,2014-06-16 17:10:00
2.6,2.6,2.6,2.6,2600,1000,2014-06-16 17:50:00
2.6,2.6,2.6,2.6,2600,1000,2014-06-16 18:00:00
2.6,2.6,2.6,2.6,10400,4000,2014-06-16 18:30:00
2.521,2.5,2.521,2.5,27561,11000,2014-06-20 18:10:00
2.5,2.5,2.5,2.5,5000,2000,2014-06-26 18:20:00
2.5,2.5,2.5,2.5,5000,2000,2014-06-26 18:30:00
2.4,2.3,2.4,2.3,4700,2000,2014-07-01 13:40:00
2.504,2.503,2.504,2.503,5007,2000,2014-07-02 18:20:00
2.979,2.979,2.979,2.979,2979,1000,2014-07-10 12:30:00
2.111,2.111,2.111,2.111,2111,1000,2014-07-18 11:40:00
2.232,2.232,2.232,2.232,2232,1000,2014-07-21 18:30:00
2.301,2.3,2.301,2.3,27611,12000,2014-07-22 16:20:00
2.3,2.3,2.3,2.299,89699,39000,2014-07-22 16:30:00
2.3,2.3,2.3,2.3,11500,5000,2014-07-22 17:40:00
2.297,2.297,2.297,2.297,2297,1000,2014-07-29 13:40:00
2.111,2.111,2.111,2.111,2111,1000,2014-07-29 13:50:00
2.156,2.155,2.156,2.155,12931,6000,2014-07-29 14:50:00
2.199,2.2,2.2,2.199,24199,11000,2014-07-29 17:10:00
2.28,2.28,2.28,2.28,11400,5000,2014-08-04 12:20:00
2.3,2.3,2.3,2.3,4600,2000,2014-08-04 14:50:00
2.111,1.621,2.111,1.621,20514,10000,2014-08-06 15:30:00
2.01,2.01,2.01,2.01,2010,1000,2014-08-13 16:10:00
2.01,2.01,2.01,2.01,2010,1000,2014-08-14 14:40:00
2.2,2.285,2.285,2.2,9038,4000,2014-08-18 14:20:00
