Open,Close,High,Low,Value,Volume,Date
0.331,0.331,0.331,0.331,6620,20000,2014-07-08 10:30:00
0.301,0.301,0.301,0.301,6020,20000,2014-10-17 10:10:00
0.34,0.34,0.34,0.34,3400,10000,2014-11-03 14:20:00
0.361,0.361,0.361,0.361,3610,10000,2014-11-13 11:30:00
0.248,0.242,0.248,0.242,7360,30000,2014-11-13 15:10:00
0.294,0.295,0.295,0.294,5890,20000,2014-11-18 11:00:00
0.361,0.361,0.361,0.361,148010,410000,2014-12-29 10:00:00
0.357,0.357,0.357,0.357,99960,280000,2014-12-29 16:10:00
0.245,0.244,0.245,0.244,4890,20000,2014-12-30 16:30:00
0.335,0.335,0.335,0.335,6700,20000,2015-01-08 13:40:00
0.324,0.338,0.338,0.324,20140,60000,2015-01-08 13:50:00
0.282,0.282,0.282,0.282,2820,10000,2015-01-14 16:10:00
0.273,0.295,0.295,0.271,11100,40000,2015-02-11 16:40:00
0.315,0.317,0.317,0.315,12660,40000,2015-02-17 17:00:00
0.325,0.325,0.325,0.325,3250,10000,2015-02-27 11:00:00
0.258,0.258,0.258,0.258,90300,350000,2015-03-17 16:20:00
0.341,0.341,0.341,0.341,119350,350000,2015-03-23 16:10:00
0.341,0.254,0.341,0.254,208250,700000,2015-03-23 16:30:00
0.341,0.254,0.341,0.254,416500,1400000,2015-03-23 16:40:00
0.254,0.341,0.341,0.254,208250,700000,2015-03-23 17:10:00
0.254,0.341,0.341,0.254,208250,700000,2015-03-23 17:30:00
0.254,0.341,0.341,0.254,194610,660000,2015-03-23 17:40:00
0.357,0.357,0.357,0.357,14280,40000,2015-03-26 14:20:00
0.357,0.357,0.357,0.357,117810,330000,2015-03-26 15:10:00
0.3,0.3,0.3,0.3,99000,330000,2015-03-26 15:20:00
0.305,0.305,0.305,0.305,3050,10000,2015-04-09 16:00:00
0.247,0.246,0.247,0.246,7390,30000,2015-04-09 16:10:00
0.286,0.286,0.286,0.286,2860,10000,2015-04-10 16:40:00
0.294,0.294,0.294,0.294,49980,170000,2015-04-17 10:50:00
0.273,0.273,0.273,0.273,10920,40000,2015-04-17 11:00:00
0.27,0.27,0.27,0.27,2700,10000,2015-04-20 10:30:00
0.27,0.27,0.27,0.27,21600,80000,2015-04-20 11:00:00
0.259,0.289,0.289,0.259,120560,440000,2015-04-29 18:00:00
