Open,Close,High,Low,Value,Volume,Date
63.69,63.69,63.69,63.69,1273.8,20,2014-06-09 12:40:00
62.54,63.59,64.39,62.2,6275.4,100,2014-06-09 18:30:00
65.81,64.61,65.81,64.61,2608.4,40,2014-06-10 10:00:00
63.49,63.49,63.49,63.49,1269.8,20,2014-06-10 10:20:00
62.36,62.36,62.36,62.36,623.6,10,2014-06-10 11:10:00
62.35,62.35,62.35,62.35,623.5,10,2014-06-10 11:20:00
63.59,63.79,63.79,63.59,3187.5,50,2014-06-10 11:30:00
63.72,63.72,63.72,63.72,7009.200000000001,110,2014-06-10 11:40:00
63.8,63.8,63.8,63.8,638.0,10,2014-06-10 12:10:00
63.8,63.8,63.8,63.8,1276.0,20,2014-06-10 12:20:00
63.8,63.8,63.8,63.8,638.0,10,2014-06-10 12:40:00
63.8,63.8,63.8,63.8,638.0,10,2014-06-10 12:50:00
63.8,63.8,63.8,63.8,638.0,10,2014-06-10 13:00:00
64.7,64.6,64.7,64.6,1293.0,20,2014-06-10 13:20:00
64.53,64.53,64.53,64.53,645.3,10,2014-06-10 13:30:00
64.71,64.71,64.71,64.71,9706.5,150,2014-06-10 15:30:00
63.0,63.0,63.0,63.0,630.0,10,2014-06-10 16:50:00
63.89,63.99,63.99,63.89,10237.4,160,2014-06-10 18:10:00
63.96,63.96,63.96,63.96,639.6,10,2014-06-10 18:20:00
63.95,63.95,63.95,63.95,3837.0,60,2014-06-10 18:30:00
64.7,64.31,64.7,64.31,7723.0,120,2014-06-11 10:20:00
61.15,61.14,61.15,61.14,9171.1,150,2014-06-16 17:20:00
61.5,61.34,61.5,61.34,1228.4,20,2014-06-17 12:00:00
61.49,61.59,61.59,61.49,10455.3,170,2014-06-17 12:10:00
63.41,60.99,63.41,60.99,3073.7,50,2014-06-17 13:50:00
63.0,63.5,63.5,63.0,4430.5,70,2014-06-18 10:30:00
63.25,63.15,63.25,63.15,6320.0,100,2014-06-18 10:50:00
61.02,61.02,61.02,61.02,1220.4,20,2014-06-18 11:20:00
62.59,62.59,62.59,62.59,625.9,10,2014-06-18 11:50:00
62.8,62.8,62.8,62.8,628.0,10,2014-06-18 13:30:00
62.8,62.8,62.8,62.8,628.0,10,2014-06-18 13:40:00
62.84,63.44,63.44,62.84,14501.0,230,2014-06-18 15:00:00
63.43,63.44,63.44,63.43,6978.200000000001,110,2014-06-18 16:30:00
63.65,63.04,63.65,63.04,2533.8,40,2014-06-18 16:50:00
64.31,64.31,64.31,64.31,643.1,10,2014-06-18 17:40:00
63.59,63.59,63.59,63.59,635.9,10,2014-06-18 17:50:00
62.99,62.99,62.99,62.99,629.9,10,2014-06-19 10:30:00
62.99,62.99,62.99,62.99,629.9,10,2014-06-19 12:30:00
63.1,64.5,64.5,63.1,31840.0,500,2014-06-19 14:50:00
65.0,65.0,65.0,65.0,650.0,10,2014-06-19 15:50:00
65.01,65.0,65.01,65.0,1300.1,20,2014-06-19 16:00:00
64.5,64.0,64.5,64.0,1925.0,30,2014-06-19 17:50:00
64.2,64.2,64.2,64.2,642.0,10,2014-06-19 18:00:00
64.1,64.1,64.1,64.1,641.0,10,2014-06-19 18:30:00
64.0,64.0,64.0,64.0,640.0,10,2014-06-23 16:20:00
63.81,63.81,63.81,63.81,3190.5,50,2014-06-23 17:40:00
63.81,63.8,63.81,63.8,3828.5,60,2014-06-23 17:50:00
64.51,64.51,64.51,64.51,3225.5,50,2014-06-24 14:50:00
64.51,64.51,64.51,64.51,4515.7,70,2014-06-24 15:00:00
64.49,69.0,69.0,64.49,109427.2,1600,2014-06-24 17:30:00
67.5,67.5,67.5,67.5,1350.0,20,2014-06-24 18:10:00
67.49,68.0,68.01,67.49,10191.0,150,2014-06-24 18:20:00
63.04,63.03,63.04,63.03,3151.8,50,2014-06-25 17:20:00
63.0,63.0,63.0,63.0,630.0,10,2014-06-25 17:30:00
63.0,63.0,63.0,63.0,1260.0,20,2014-06-25 18:10:00
62.64,62.64,62.64,62.64,626.4,10,2014-06-26 10:30:00
62.57,62.56,62.57,62.56,8758.5,140,2014-06-26 11:20:00
65.0,65.0,65.0,65.0,650.0,10,2014-06-26 15:10:00
64.19,65.04,65.04,64.17,16713.399999999998,260,2014-06-26 15:50:00
65.25,65.25,65.25,65.25,652.5,10,2014-06-26 16:00:00
67.99,67.99,67.99,67.99,679.9,10,2014-06-27 17:50:00
66.61,66.6,66.61,66.6,1998.2,30,2014-06-30 12:20:00
66.6,66.5,66.6,66.5,1331.0,20,2014-06-30 12:30:00
67.98,67.98,67.98,67.98,679.8,10,2014-06-30 12:40:00
66.81,66.81,66.81,66.81,4008.6,60,2014-06-30 13:00:00
66.81,66.81,66.81,66.81,3340.5,50,2014-06-30 13:20:00
66.81,66.81,66.81,66.81,3340.5,50,2014-06-30 13:30:00
65.6,65.29,65.6,65.29,1961.8,30,2014-06-30 14:00:00
66.5,66.5,66.5,66.5,665.0,10,2014-06-30 15:10:00
64.54,64.54,64.54,64.54,9681.0,150,2014-07-01 10:50:00
67.99,67.99,67.99,67.99,679.9,10,2014-07-01 11:40:00
66.81,66.81,66.81,66.81,10021.5,150,2014-07-01 16:50:00
63.3,63.3,63.3,63.3,633.0,10,2014-07-01 17:10:00
64.01,64.01,64.01,64.01,640.1,10,2014-07-01 17:50:00
64.01,63.97,64.01,63.96,10880.800000000001,170,2014-07-01 18:00:00
68.0,68.0,68.0,68.0,680.0,10,2014-07-02 10:10:00
64.5,64.0,64.5,64.0,2570.2,40,2014-07-02 10:50:00
63.51,63.5,63.51,63.5,3810.5,60,2014-07-02 11:00:00
64.97,65.0,65.0,64.97,1949.5,30,2014-07-02 12:00:00
65.6,65.6,65.6,65.6,10496.0,160,2014-07-02 14:10:00
64.9,64.94,64.94,64.9,13637.0,210,2014-07-02 15:40:00
65.91,65.91,65.91,65.91,3295.5,50,2014-07-02 17:30:00
65.93,65.9,65.93,65.9,17139.2,260,2014-07-02 18:10:00
65.5,65.5,65.5,65.5,655.0,10,2014-07-04 12:40:00
64.65,64.65,64.65,64.65,646.5,10,2014-07-04 18:30:00
