Open,Close,High,Low,Value,Volume,Date
6.45,6.45,6.45,6.45,45150.0,7000,2014-06-09 12:50:00
6.45,6.45,6.45,6.45,6450.0,1000,2014-06-09 13:10:00
6.9984,6.9986,6.9986,6.9984,20995.5,3000,2014-06-09 13:30:00
6.45,6.45,6.45,6.45,38700.0,6000,2014-06-09 13:40:00
6.45,6.45,6.45,6.45,58050.0,9000,2014-06-09 13:50:00
6.45,6.45,6.45,6.45,19350.0,3000,2014-06-10 12:40:00
6.45,6.45,6.45,6.45,38700.0,6000,2014-06-10 12:50:00
6.6999,6.6999,6.6999,6.6999,20099.7,3000,2014-06-11 13:50:00
6.6999,6.6999,6.6999,6.6999,60299.100000000006,9000,2014-06-11 14:00:00
6.3718,6.3718,6.3718,6.3718,6371.8,1000,2014-06-11 18:30:00
6.5,6.5,6.5,6.5,513500.0,79000,2014-06-16 14:20:00
6.51,6.51,6.51,6.51,143220.0,22000,2014-06-16 14:30:00
6.3506,6.3506,6.3506,6.3506,6350.6,1000,2014-06-16 14:40:00
6.5,6.3505,6.5,6.3505,331350.5,51000,2014-06-16 15:50:00
6.45,6.45,6.45,6.45,12900.0,2000,2014-06-16 16:00:00
6.45,6.45,6.45,6.45,12900.0,2000,2014-06-16 16:20:00
6.3801,6.38,6.3801,6.38,12760.1,2000,2014-06-16 17:10:00
6.38,6.3505,6.38,6.3505,127570.5,20000,2014-06-16 17:30:00
6.3102,6.31,6.3102,6.31,757200.4,120000,2014-06-17 14:40:00
6.31,6.2501,6.31,6.2501,548070.1,87000,2014-06-17 14:50:00
6.6998,6.7,6.7,6.6998,133999.3,20000,2014-06-20 12:20:00
6.4,6.4,6.4,6.4,64000.0,10000,2014-06-20 13:20:00
6.6935,6.6935,6.6935,6.6935,6693.5,1000,2014-06-24 17:50:00
6.3526,6.3526,6.3526,6.3526,6352.6,1000,2014-06-24 18:30:00
6.6997,6.6997,6.6997,6.6997,66997.0,10000,2014-06-27 16:10:00
6.321,6.321,6.321,6.321,6321.0,1000,2014-06-30 11:50:00
6.2222,6.2,6.2222,6.2,49702.5,8000,2014-07-01 16:00:00
6.52,6.52,6.52,6.52,6520.0,1000,2014-07-02 10:50:00
6.5001,6.5,6.5001,6.5,130000.4,20000,2014-07-02 17:30:00
6.6983,6.6997,6.6997,6.6983,107187.2,16000,2014-07-02 17:50:00
6.4997,6.4997,6.5,6.4997,487489.5,75000,2014-07-04 10:10:00
6.55,6.55,6.55,6.55,6550.0,1000,2014-07-04 12:30:00
6.55,6.55,6.55,6.55,52400.0,8000,2014-07-04 12:40:00
6.5,6.47,6.5,6.47,622497.0,96000,2014-07-04 18:10:00
6.5,6.5,6.5,6.5,65000.0,10000,2014-07-07 14:10:00
6.55,6.55,6.55,6.55,6550.0,1000,2014-07-07 14:40:00
6.5,6.5,6.5,6.5,65000.0,10000,2014-07-08 16:30:00
6.5,6.5,6.5,6.5,58500.0,9000,2014-07-08 17:50:00
6.5,6.5,6.5,6.5,45500.0,7000,2014-07-09 10:10:00
6.55,6.55,6.55,6.55,6550.0,1000,2014-07-09 16:40:00
6.55,6.55,6.55,6.55,13100.0,2000,2014-07-09 18:30:00
6.5,6.5,6.5,6.5,455000.0,70000,2014-07-10 16:40:00
6.5,6.5,6.5,6.5,32500.0,5000,2014-07-16 11:20:00
6.5012,6.5011,6.5012,6.5011,195033.8,30000,2014-07-16 17:50:00
6.5011,6.5011,6.5011,6.5011,32505.5,5000,2014-07-17 10:50:00
6.5996,6.5997,6.5997,6.5996,26398.500000000004,4000,2014-07-17 17:00:00
6.5012,6.5997,6.5997,6.5012,171395.2,26000,2014-07-17 17:10:00
6.7284,6.7284,6.7284,6.7284,13456.8,2000,2014-07-17 17:20:00
6.5997,6.5997,6.5997,6.5997,13199.4,2000,2014-07-17 17:40:00
6.578,6.578,6.578,6.578,6578.0,1000,2014-07-17 18:30:00
6.5995,6.5995,6.5995,6.5995,6599.5,1000,2014-07-18 17:30:00
6.5012,6.5,6.5012,6.5,221031.1,34000,2014-07-21 12:40:00
6.5996,6.5996,6.5996,6.5996,6599.6,1000,2014-07-21 18:20:00
6.597,6.5997,6.5997,6.597,257376.6,39000,2014-07-22 13:20:00
6.7,6.7,6.7,6.7,536000.0,80000,2014-07-25 17:10:00
6.599,6.76,6.76,6.599,94097.0,14000,2014-07-29 10:00:00
6.55,7.12,7.12,6.55,158339.9,24000,2014-07-29 10:10:00
7.07,6.85,7.07,6.85,260670.0,37000,2014-07-29 10:20:00
6.5502,6.5502,6.5502,6.5501,98252.9,15000,2014-07-29 10:30:00
6.5502,7.1199,7.1199,6.55,180410.19999999998,27000,2014-07-29 11:00:00
6.85,6.9954,6.9954,6.85,139667.2,20000,2014-07-29 12:00:00
6.55,6.55,6.55,6.55,45850.0,7000,2014-07-29 15:40:00
6.55,6.55,6.55,6.55,6550.0,1000,2014-07-29 15:50:00
6.55,6.25,6.55,6.25,88700.2,14000,2014-07-29 16:00:00
6.6,6.6,6.6,6.6,13200.0,2000,2014-07-29 18:30:00
6.7,6.7,6.7,6.7,13400.0,2000,2014-07-30 10:40:00
6.7,7.0997,7.0997,6.7,27477.7,4000,2014-07-30 12:00:00
6.75,6.75,6.75,6.75,337500.0,50000,2014-07-30 13:40:00
6.7001,6.7001,6.7001,6.7001,13400.2,2000,2014-07-30 19:00:00
6.7875,6.7875,6.7875,6.7875,13575.0,2000,2014-07-31 10:00:00
