Open,Close,High,Low,Value,Volume,Date
15.0,14.744,15.0,14.744,70474.4,4700,2014-06-09 11:00:00
14.7,14.8,14.8,14.7,346118.5,23400,2014-06-11 14:40:00
14.8,14.7,14.8,14.7,88290.0,6000,2014-06-11 14:50:00
14.7,14.7,14.7,14.7,11760.0,800,2014-06-11 15:20:00
14.7,14.7,14.7,14.7,4410.0,300,2014-06-11 15:30:00
14.7,14.7,14.7,14.7,45570.0,3100,2014-06-11 15:40:00
14.6,14.501,14.6,14.501,13061.400000000001,900,2014-06-11 17:00:00
14.421,14.0,14.421,14.0,36588.7,2600,2014-06-11 18:20:00
14.0,13.841,14.0,13.841,19425.4,1400,2014-06-11 18:30:00
14.059,14.3,14.3,14.059,37125.0,2600,2014-06-16 10:40:00
14.3,14.3,14.3,14.3,40040.0,2800,2014-06-16 13:20:00
14.3,14.3,14.3,14.3,110110.0,7700,2014-06-16 13:30:00
14.3,14.3,14.3,14.3,10010.0,700,2014-06-16 15:40:00
14.051,14.051,14.051,14.051,4215.3,300,2014-06-17 11:50:00
14.2,14.199,14.2,14.199,8519.7,600,2014-06-17 13:50:00
14.199,14.199,14.199,14.199,4259.700000000001,300,2014-06-17 14:00:00
14.101,14.0,14.101,14.0,33697.7,2400,2014-06-18 16:40:00
13.942,13.0,13.942,13.0,164642.6,12500,2014-06-18 16:50:00
13.0,13.2,13.2,13.0,53340.0,4100,2014-06-18 17:00:00
13.2,13.2,13.2,13.2,2640.0,200,2014-06-18 17:10:00
13.199,13.2,13.2,13.199,7919.9,600,2014-06-18 17:20:00
13.2,13.2,13.2,13.2,1320.0,100,2014-06-18 17:30:00
13.2,13.2,13.2,13.2,10560.0,800,2014-06-18 17:50:00
13.2,13.2,13.2,13.2,1320.0,100,2014-06-18 18:00:00
13.19,13.19,13.19,13.19,1319.0,100,2014-06-18 18:10:00
13.189,13.15,13.189,13.15,2633.9,200,2014-06-18 18:20:00
13.106,13.071,13.106,13.071,22269.8,1700,2014-06-18 18:30:00
13.259,14.099,14.099,13.259,177938.5,13000,2014-06-19 10:00:00
14.1,14.1,14.1,14.1,4230.0,300,2014-06-19 10:10:00
14.0,14.1,14.1,14.0,111379.3,7900,2014-06-19 10:20:00
13.874,13.874,13.874,13.874,1387.4,100,2014-06-19 12:30:00
14.119,14.12,14.25,14.119,218716.6,15400,2014-06-19 12:50:00
14.12,14.12,14.12,14.12,38124.0,2700,2014-06-19 13:00:00
14.298,14.298,14.298,14.298,1429.8,100,2014-06-24 11:40:00
14.297,14.297,14.297,14.297,5718.8,400,2014-06-24 12:00:00
14.156,14.155,14.156,14.155,5662.3,400,2014-06-24 14:00:00
14.156,14.0,14.156,14.0,70185.6,5000,2014-06-24 14:30:00
14.239,14.239,14.239,14.239,5695.6,400,2014-06-24 16:30:00
14.239,14.25,14.25,14.239,443167.8,31100,2014-06-24 16:40:00
14.25,14.25,14.25,14.25,55575.0,3900,2014-06-24 16:50:00
14.248,14.25,14.25,14.246,28494.5,2000,2014-06-24 17:10:00
14.2,14.2,14.201,14.2,51120.6,3600,2014-06-24 17:30:00
14.079,14.0,14.08,14.0,190511.3,13600,2014-06-24 18:10:00
14.0,14.0,14.0,14.0,25200.0,1800,2014-06-24 18:20:00
13.95,13.95,13.95,13.95,1395.0,100,2014-06-25 16:00:00
14.225,14.225,14.225,14.225,2845.0,200,2014-06-26 10:00:00
14.146,14.146,14.146,14.146,1414.6,100,2014-06-26 16:10:00
13.842,13.842,13.842,13.842,1384.2,100,2014-06-30 18:00:00
13.752,13.481,13.752,13.481,42501.39999999999,3100,2014-07-01 17:00:00
13.612,13.734,13.734,13.612,5469.200000000001,400,2014-07-01 17:10:00
13.665,13.665,13.665,13.665,1366.5,100,2014-07-01 17:20:00
13.771,13.771,13.771,13.771,13771.0,1000,2014-07-01 18:20:00
13.7,13.7,13.7,13.7,9590000.0,700000,2014-07-02 13:40:00
13.928,13.929,13.929,13.928,4178.5,300,2014-07-02 18:10:00
13.987,13.987,13.987,13.987,1398.7,100,2014-07-02 18:30:00
13.757,13.682,13.757,13.682,68751.29999999999,5000,2014-07-03 10:40:00
13.986,14.049,14.049,13.986,6999.6,500,2014-07-03 11:20:00
14.109,14.35,14.35,14.109,441914.0,30800,2014-07-03 11:30:00
14.011,14.0,14.011,14.0,168001.1,12000,2014-07-03 11:50:00
14.2,14.2,14.2,14.2,1420.0,100,2014-07-03 17:00:00
14.319,14.319,14.319,14.319,1431.9,100,2014-07-07 11:00:00
14.375,14.55,14.55,14.375,58131.1,4000,2014-07-08 11:30:00
14.257,14.257,14.257,14.257,5702.8,400,2014-07-08 14:00:00
14.569,14.569,14.569,14.569,1456.9,100,2014-07-09 14:10:00
14.301,14.301,14.301,14.301,1430.1,100,2014-07-09 15:00:00
14.549,14.549,14.549,14.549,1454.9,100,2014-07-14 14:30:00
14.108,14.107,14.108,14.107,43734.2,3100,2014-07-14 16:50:00
14.108,14.108,14.108,14.108,1410.8,100,2014-07-14 17:10:00
14.108,14.108,14.108,14.108,1410.8,100,2014-07-14 17:50:00
14.108,14.108,14.108,14.108,1410.8,100,2014-07-14 18:20:00
13.814,13.814,13.814,13.814,4144.2,300,2014-07-17 11:20:00
13.772,13.771,13.772,13.771,5508.700000000001,400,2014-07-18 13:50:00
14.479,14.479,14.479,14.479,1447.9,100,2014-07-18 17:40:00
14.201,14.201,14.201,14.201,1420.1,100,2014-07-21 10:10:00
14.431,14.431,14.431,14.431,1443.1,100,2014-07-21 14:40:00
14.125,14.001,14.125,14.001,16932.8,1200,2014-07-23 15:20:00
13.999,13.999,13.999,13.999,13999.0,1000,2014-07-24 11:10:00
14.0,14.0,14.0,14.0,14000.0,1000,2014-07-24 11:30:00
14.0,14.0,14.0,14.0,1400.0,100,2014-07-24 13:20:00
13.925,13.925,13.925,13.925,6962.5,500,2014-07-25 11:00:00
14.0,14.0,14.0,14.0,1400.0,100,2014-07-25 11:30:00
14.0,14.0,14.0,14.0,1400.0,100,2014-07-25 14:50:00
14.0,14.0,14.0,14.0,1400.0,100,2014-07-25 16:10:00
14.0,14.0,14.0,14.0,196000.0,14000,2014-07-25 16:20:00
13.921,13.9,13.921,13.9,8342.1,600,2014-07-28 11:10:00
13.841,13.8,13.841,13.8,5524.2,400,2014-07-28 17:00:00
13.849,13.939,13.939,13.849,8323.5,600,2014-07-28 18:20:00
13.757,13.75,13.757,13.75,2750.7,200,2014-07-30 10:30:00
13.722,13.721,13.722,13.721,2744.3,200,2014-07-31 11:30:00
13.7,13.7,13.7,13.7,17810.0,1300,2014-07-31 12:30:00
13.681,13.681,13.681,13.681,1368.1,100,2014-08-01 18:00:00
13.918,13.918,13.918,13.918,1391.8,100,2014-08-04 11:10:00
13.949,13.949,13.949,13.949,1394.9,100,2014-08-04 11:20:00
13.978,13.978,13.978,13.978,2795.6,200,2014-08-04 11:30:00
13.978,13.978,13.978,13.978,11182.4,800,2014-08-04 12:30:00
13.702,13.702,13.702,13.702,1370.2,100,2014-08-04 13:00:00
13.8,13.8,13.8,13.8,4140.0,300,2014-08-06 10:20:00
13.651,13.65,13.651,13.65,16380.1,1200,2014-08-06 13:10:00
13.64,13.64,13.64,13.64,15004.0,1100,2014-08-06 14:30:00
13.512,13.512,13.512,13.512,2702.4,200,2014-08-06 15:20:00
13.886,13.886,13.886,13.886,1388.6,100,2014-08-06 15:30:00
13.65,13.641,13.65,13.641,2729.1,200,2014-08-07 13:00:00
13.202,13.22,13.22,13.202,2642.2,200,2014-08-07 14:10:00
13.23,13.2,13.23,13.2,10570.2,800,2014-08-07 14:50:00
13.101,13.009,13.101,13.009,46878.0,3600,2014-08-07 15:00:00
13.498,13.499,13.499,13.498,2699.7,200,2014-08-08 16:30:00
13.502,13.502,13.502,13.502,1350.2,100,2014-08-11 13:20:00
13.501,11.7,13.501,11.7,69858.49999999999,5500,2014-08-11 14:10:00
12.35,12.801,12.801,11.995,12333.7,1000,2014-08-11 14:30:00
12.825,12.825,12.825,12.825,12825.0,1000,2014-08-11 14:40:00
12.816,12.816,12.816,12.816,1281.6,100,2014-08-11 14:50:00
13.225,13.5,13.5,13.225,10723.6,800,2014-08-11 16:20:00
13.509,13.649,13.649,13.509,5429.6,400,2014-08-12 10:00:00
13.709,13.709,13.709,13.709,1370.9,100,2014-08-12 10:40:00
13.768,13.989,13.989,13.768,48843.7,3500,2014-08-12 10:50:00
13.703,13.654,13.703,13.654,2735.7,200,2014-08-12 17:30:00
13.634,13.8,13.8,13.634,4123.4,300,2014-08-12 17:40:00
13.9,13.9,13.9,13.9,1390.0,100,2014-08-13 11:30:00
13.985,14.0,14.0,13.985,48981.7,3500,2014-08-14 14:20:00
13.9,14.0,14.0,13.899,221169.9,15800,2014-08-14 16:50:00
13.742,13.741,13.742,13.741,2748.3,200,2014-08-15 13:20:00
13.967,13.968,13.968,13.967,2793.5,200,2014-08-15 13:30:00
13.996,13.999,13.999,13.996,16798.5,1200,2014-08-15 17:50:00
13.999,13.999,13.999,13.999,2799.8,200,2014-08-19 11:50:00
