Open,Close,High,Low,Value,Volume,Date
1.6,1.6,1.6,1.6,1600,1000,2014-08-21 16:50:00
1.6,1.6,1.6,1.6,3200,2000,2014-11-05 15:40:00
3.35,3.35,3.35,3.35,3350,1000,2014-12-15 10:50:00
3.5,3.5,3.5,3.5,3500,1000,2015-04-01 11:00:00
2.34,2.34,2.34,2.34,2340,1000,2015-05-05 18:20:00
3.88,3.88,3.88,3.88,3880,1000,2015-05-08 17:50:00
8.96,8.96,8.96,8.96,8960,1000,2015-05-08 18:30:00
3.24,3.24,3.24,3.24,3240,1000,2015-06-05 10:50:00
3.32,5.68,5.68,3.32,27450,6000,2015-06-05 11:00:00
5.81,5.76,5.82,5.68,23070,4000,2015-06-05 11:10:00
5.95,5.95,5.95,5.95,5950,1000,2015-06-05 18:40:00
4.44,6.75,6.75,4.44,17190,3000,2015-06-18 12:00:00
6.76,6.81,6.81,6.76,27150,4000,2015-06-18 12:10:00
7.4,8.76,8.76,7.4,16160,2000,2015-06-22 10:00:00
9.97,9.93,9.97,6.2,26100,3000,2015-06-23 10:00:00
5.87,5.0,5.87,5.0,10870,2000,2015-06-25 10:30:00
5.33,5.33,5.33,5.33,5330,1000,2015-06-25 18:30:00
5.5,5.5,5.5,5.5,5500,1000,2015-06-26 18:40:00
5.27,5.27,5.27,5.27,5270,1000,2015-07-01 17:40:00
5.22,5.22,5.22,5.22,5220,1000,2015-07-01 18:20:00
5.22,5.22,5.22,5.22,5220,1000,2015-07-30 16:40:00
5.0,5.22,5.22,5.0,15220,3000,2015-09-15 16:30:00
5.02,5.02,5.02,5.02,5020,1000,2015-12-07 17:50:00
4.64,4.64,4.64,4.64,4640,1000,2016-01-12 12:10:00
4.64,4.64,4.64,4.64,18560,4000,2016-01-12 14:20:00
4.76,4.76,4.76,4.76,4760,1000,2016-01-12 14:40:00
4.65,4.65,4.65,4.65,4650,1000,2016-01-13 16:50:00
4.64,4.64,4.64,4.64,4640,1000,2016-01-14 11:50:00
3.41,3.52,3.52,3.41,6930,2000,2016-01-18 18:00:00
3.71,3.82,3.82,3.71,7530,2000,2016-01-18 18:20:00
3.71,3.71,3.71,3.71,3710,1000,2016-01-19 10:20:00
3.71,3.71,3.71,3.71,3710,1000,2016-01-19 11:50:00
3.42,3.42,3.42,3.42,3420,1000,2016-01-20 15:10:00
3.41,3.41,3.41,3.41,3410,1000,2016-01-20 15:20:00
3.41,3.41,3.41,3.41,3410,1000,2016-01-26 15:40:00
3.54,3.54,3.54,3.54,3540,1000,2016-01-28 17:00:00
3.7,3.7,3.7,3.7,3700,1000,2016-01-28 17:40:00
3.3,3.3,3.3,3.3,3300,1000,2016-02-01 10:30:00
3.34,3.8,3.84,3.34,10980,3000,2016-02-01 11:40:00
3.84,4.47,4.78,3.84,21680,5000,2016-02-01 18:30:00
5.45,5.45,5.45,5.45,5450,1000,2016-02-04 12:20:00
4.0,4.0,4.0,4.0,4000,1000,2016-02-16 18:00:00
3.85,3.85,3.85,3.85,3850,1000,2016-02-24 18:00:00
3.81,3.81,3.81,3.81,22860,6000,2016-02-26 15:40:00
3.93,3.93,3.93,3.93,3930,1000,2016-03-04 10:50:00
3.92,3.92,3.92,3.92,3920,1000,2016-03-04 15:20:00
4.04,4.04,4.04,4.04,4040,1000,2016-03-09 11:50:00
4.05,4.05,4.05,4.05,4050,1000,2016-03-09 13:50:00
4.18,4.18,4.18,4.18,4180,1000,2016-03-11 13:20:00
4.07,4.07,4.07,4.07,4070,1000,2016-03-15 18:30:00
4.24,5.41,5.41,4.24,40170,8000,2016-03-21 12:20:00
5.39,5.39,5.39,5.39,5390,1000,2016-03-21 12:40:00
5.2,5.2,5.2,5.2,5200,1000,2016-03-21 13:30:00
5.2,5.2,5.2,5.2,15600,3000,2016-03-21 15:30:00
4.56,4.12,4.56,4.08,20960,5000,2016-03-23 10:20:00
4.24,4.24,4.24,4.24,4240,1000,2016-03-23 10:30:00
4.68,4.84,4.84,4.68,14220,3000,2016-03-23 10:40:00
4.73,4.73,4.73,4.73,4730,1000,2016-03-23 11:30:00
4.77,4.84,4.84,4.77,9610,2000,2016-03-23 12:10:00
4.75,4.75,4.75,4.75,4750,1000,2016-03-23 15:00:00
4.75,4.75,4.75,4.75,4750,1000,2016-03-23 15:10:00
4.73,4.73,4.73,4.73,4730,1000,2016-03-23 17:40:00
4.41,4.41,4.41,4.41,4410,1000,2016-03-28 10:40:00
4.15,4.15,4.15,4.15,4150,1000,2016-04-01 17:50:00
4.15,4.15,4.15,4.15,4150,1000,2016-04-04 10:40:00
4.28,4.28,4.28,4.28,4280,1000,2016-04-13 12:50:00
4.4,4.4,4.4,4.4,4400,1000,2016-04-18 11:20:00
4.17,4.17,4.17,4.17,4170,1000,2016-05-12 10:40:00
4.28,4.28,4.28,4.28,4280,1000,2016-05-17 14:40:00
4.17,4.17,4.17,4.17,4170,1000,2016-05-17 15:00:00
4.31,4.31,4.31,4.31,4310,1000,2016-06-24 15:50:00
4.25,4.25,4.25,4.25,4250,1000,2016-06-29 12:40:00
3.67,3.67,3.67,3.67,3670,1000,2016-07-14 14:50:00
3.74,3.74,3.74,3.74,3740,1000,2016-07-14 15:20:00
3.55,3.55,3.55,3.55,3550,1000,2016-07-26 10:50:00
3.63,3.63,3.63,3.63,3630,1000,2016-08-04 11:30:00
3.64,3.64,3.64,3.64,3640,1000,2016-08-04 13:10:00
3.7,3.7,3.7,3.7,3700,1000,2016-08-04 16:10:00
3.7,3.7,3.7,3.7,3700,1000,2016-08-04 16:30:00
4.33,4.33,4.33,4.33,4330,1000,2016-08-23 18:20:00
4.44,4.33,4.44,4.33,8770,2000,2016-08-24 14:00:00
3.82,3.82,3.82,3.82,3820,1000,2016-08-29 15:40:00
3.88,3.88,3.88,3.88,3880,1000,2016-08-29 15:50:00
3.83,3.82,3.83,3.82,7650,2000,2016-08-29 16:10:00
3.88,3.88,3.88,3.88,3880,1000,2016-08-29 16:30:00
4.0,4.01,4.01,4.0,8010,2000,2016-08-29 16:40:00
3.87,3.86,3.87,3.86,7730,2000,2016-10-14 14:20:00
3.94,3.94,3.94,3.94,3940,1000,2016-10-17 10:40:00
4.53,4.53,4.53,4.53,4530,1000,2016-10-26 14:50:00
4.54,4.54,4.54,4.54,4540,1000,2016-11-02 14:50:00
4.42,4.42,4.42,4.42,4420,1000,2016-11-02 15:00:00
3.87,3.86,3.87,3.86,7730,2000,2016-11-07 16:50:00
3.9,3.9,3.9,3.9,15600,4000,2016-11-14 13:30:00
3.41,3.4,3.41,3.4,6810,2000,2016-12-06 14:50:00
3.48,3.48,3.48,3.48,3480,1000,2016-12-06 16:00:00
3.68,3.68,3.68,3.68,3680,1000,2016-12-06 16:10:00
3.43,3.42,3.43,3.42,6850,2000,2016-12-07 15:00:00
3.48,3.48,3.48,3.48,3480,1000,2016-12-07 16:30:00
3.46,3.46,3.46,3.46,3460,1000,2016-12-12 17:30:00
3.4,3.4,3.4,3.4,3400,1000,2016-12-20 18:10:00
3.48,3.48,3.48,3.48,3480,1000,2017-01-04 15:50:00
3.7,3.7,3.7,3.7,3700,1000,2017-01-25 10:50:00
3.5,3.5,3.5,3.5,3500,1000,2017-01-25 15:10:00
3.55,3.55,3.55,3.55,3550,1000,2017-01-26 18:10:00
3.83,3.83,3.83,3.83,3830,1000,2017-01-27 15:40:00
3.55,3.55,3.55,3.55,3550,1000,2017-02-01 12:10:00
3.82,3.82,3.82,3.82,3820,1000,2017-02-09 17:40:00
3.12,3.12,3.12,3.12,3120,1000,2017-02-28 16:50:00
3.37,3.37,3.37,3.37,3370,1000,2017-03-01 17:00:00
3.27,3.27,3.27,3.27,3270,1000,2017-03-10 10:20:00
3.33,3.33,3.33,3.33,3330,1000,2017-04-20 16:00:00
3.02,3.02,3.02,3.02,6040,2000,2017-04-25 15:20:00
2.15,2.15,2.15,2.15,2150,1000,2017-05-02 17:30:00
3.23,3.3,3.3,3.23,6530,2000,2017-05-03 17:20:00
2.58,2.58,2.58,2.58,5160,2000,2017-05-11 18:00:00
2.79,2.79,2.79,2.79,5580,2000,2017-05-15 13:10:00
3.61,3.61,3.61,3.61,3610,1000,2017-05-17 12:50:00
3.44,3.44,3.44,3.44,3440,1000,2017-05-22 16:00:00
3.62,3.62,3.62,3.62,3620,1000,2017-06-02 12:50:00
3.83,3.83,3.83,3.83,3830,1000,2017-06-06 12:30:00
3.99,3.99,3.99,3.99,3990,1000,2017-06-07 14:40:00
3.5,3.5,3.5,3.5,3500,1000,2017-06-23 14:00:00
3.27,3.27,3.27,3.27,3270,1000,2017-06-26 10:20:00
3.53,3.53,3.53,3.53,3530,1000,2017-07-20 13:30:00
3.0,3.0,3.0,3.0,3000,1000,2017-07-20 18:10:00
3.0,3.0,3.0,3.0,48000,16000,2017-07-21 15:30:00
3.5,3.5,3.5,3.5,3500,1000,2017-07-24 15:40:00
4.0,4.0,4.0,4.0,4000,1000,2017-07-24 15:50:00
4.0,4.0,4.0,4.0,40000,10000,2017-08-02 12:30:00
4.17,4.17,4.17,4.17,4170,1000,2017-08-03 15:30:00
4.01,4.01,4.01,4.01,4010,1000,2017-08-04 12:50:00
4.01,4.01,4.01,4.01,4010,1000,2017-08-07 14:50:00
4.01,4.01,4.01,4.01,4010,1000,2017-08-07 16:50:00
3.4,3.4,3.4,3.4,3400,1000,2017-08-08 17:30:00
3.11,2.83,3.11,2.83,17530,6000,2017-08-10 15:40:00
3.0,3.0,3.0,3.0,3000,1000,2017-08-17 13:00:00
2.85,2.76,2.85,2.76,11220,4000,2017-08-22 15:00:00
2.36,2.41,2.42,2.36,9590,4000,2017-08-22 15:10:00
2.41,2.41,2.41,2.41,4820,2000,2017-08-22 15:20:00
2.41,2.41,2.41,2.41,4820,2000,2017-08-22 15:30:00
2.69,2.69,2.69,2.69,5380,2000,2017-08-22 16:10:00
2.69,2.69,2.69,2.69,2690,1000,2017-08-24 13:50:00
2.78,2.78,2.78,2.78,2780,1000,2017-08-28 12:50:00
2.69,2.69,2.69,2.69,2690,1000,2017-08-29 14:00:00
2.57,2.37,2.57,2.37,21790,9000,2017-08-30 10:40:00
2.36,2.5,2.5,2.36,14860,6000,2017-08-30 10:50:00
2.55,2.5,2.55,2.5,12700,5000,2017-09-06 11:10:00
2.37,2.29,2.37,2.29,7020,3000,2017-09-06 13:00:00
2.47,2.47,2.47,2.47,2470,1000,2017-09-08 12:10:00
2.48,2.49,2.49,2.48,4970,2000,2017-09-18 12:20:00
2.3,2.3,2.3,2.3,2300,1000,2017-09-18 12:40:00
2.55,2.61,2.61,2.55,15430,6000,2017-09-18 14:10:00
2.69,2.69,2.69,2.69,2690,1000,2017-09-22 18:40:00
2.98,2.98,2.98,2.98,2980,1000,2017-09-27 11:30:00
2.37,2.37,2.37,2.37,2370,1000,2017-09-28 13:20:00
2.39,2.39,2.39,2.39,2390,1000,2017-09-28 13:30:00
2.37,2.35,2.37,2.35,11790,5000,2017-10-02 13:00:00
2.43,2.43,2.43,2.43,2430,1000,2017-10-02 18:40:00
2.54,2.54,2.54,2.54,2540,1000,2017-10-03 13:10:00
2.55,2.55,2.55,2.55,5100,2000,2017-10-03 13:20:00
2.55,2.55,2.55,2.55,5100,2000,2017-10-04 13:40:00
2.65,2.65,2.65,2.65,2650,1000,2017-10-06 12:50:00
2.72,2.76,2.76,2.72,8240,3000,2017-10-11 10:40:00
2.6,2.6,2.6,2.6,2600,1000,2017-10-11 11:50:00
2.6,2.55,2.6,2.55,7710,3000,2017-10-17 12:50:00
2.59,2.55,2.59,2.55,5140,2000,2017-10-20 16:20:00
2.31,2.31,2.31,2.31,2310,1000,2017-10-20 17:00:00
