Open,Close,High,Low,Value,Volume,Date
10.76,10.76,10.76,10.76,3228.0,300,2014-06-09 11:30:00
10.76,10.76,10.76,10.76,2152.0,200,2014-06-09 12:00:00
10.713,10.67,10.713,10.67,10687.3,1000,2014-06-09 13:10:00
10.799,10.67,10.8,10.67,172694.5,16000,2014-06-09 16:20:00
10.79,10.79,10.79,10.79,79846.0,7400,2014-06-09 16:30:00
10.8,10.8,10.8,10.8,119880.0,11100,2014-06-09 16:40:00
10.79,10.79,10.79,10.79,66898.0,6200,2014-06-09 17:00:00
10.79,10.79,10.79,10.79,172640.0,16000,2014-06-09 17:30:00
10.78,10.78,10.78,10.78,222068.0,20600,2014-06-10 10:20:00
10.554,10.5,10.554,10.5,10536.3,1000,2014-06-10 11:20:00
10.78,10.78,10.78,10.78,28028.0,2600,2014-06-10 12:10:00
10.503,10.47,10.503,10.47,10494.3,1000,2014-06-10 16:00:00
10.79,10.79,10.79,10.79,205010.0,19000,2014-06-10 18:20:00
10.55,10.49,10.55,10.403,166904.2,15900,2014-06-11 11:10:00
10.801,10.85,10.85,10.801,20543.0,1900,2014-06-11 13:00:00
11.0,11.0,11.0,11.0,17600.0,1600,2014-06-11 13:10:00
10.755,10.755,10.755,10.755,3226.5,300,2014-06-11 14:30:00
10.705,10.403,10.705,10.403,10652.3,1000,2014-06-11 15:40:00
10.57,10.57,10.57,10.57,78218.0,7400,2014-06-11 16:00:00
10.603,10.32,10.603,10.32,51920.1,5000,2014-06-11 16:50:00
10.703,10.703,10.703,10.703,1070.3,100,2014-06-11 18:20:00
10.749,10.75,10.75,10.749,165549.9,15400,2014-06-16 10:10:00
10.558,10.405,10.558,10.405,10519.6,1000,2014-06-16 11:30:00
10.504,10.504,10.504,10.504,3151.2,300,2014-06-16 11:50:00
10.75,10.75,10.75,10.75,54825.0,5100,2014-06-16 12:30:00
10.501,10.404,10.501,10.404,10442.7,1000,2014-06-16 16:30:00
10.7,10.36,10.7,10.36,63966.5,6000,2014-06-16 17:20:00
10.4,10.4,10.4,10.4,114400.0,11000,2014-06-17 11:00:00
10.4,10.2,10.4,10.2,10282.6,1000,2014-06-17 11:20:00
10.233,10.2,10.233,10.199,14290.9,1400,2014-06-17 12:50:00
10.234,10.1,10.234,10.1,10134.8,1000,2014-06-17 16:10:00
10.3,10.104,10.3,10.104,10170.4,1000,2014-06-18 11:20:00
10.2,10.1,10.2,10.1,12130.4,1200,2014-06-18 13:40:00
10.151,10.15,10.151,10.15,10150.3,1000,2014-06-18 16:20:00
10.642,10.63,10.642,10.63,2127.2,200,2014-06-19 10:50:00
10.3,10.3,10.3,10.3,161710.0,15700,2014-06-19 11:00:00
10.174,10.1,10.174,10.1,10134.1,1000,2014-06-19 11:20:00
10.3,10.3,10.3,10.3,107120.0,10400,2014-06-19 11:40:00
10.3,10.3,10.3,10.3,1030.0,100,2014-06-19 11:50:00
10.3,10.3,10.3,10.3,1030.0,100,2014-06-19 12:00:00
10.3,10.3,10.3,10.3,54590.0,5300,2014-06-19 12:10:00
10.3,10.11,10.3,10.11,10143.6,1000,2014-06-19 12:40:00
10.05,10.02,10.05,10.02,11034.6,1100,2014-06-20 11:20:00
10.0,10.0,10.0,10.0,2000.0,200,2014-06-23 10:00:00
10.4,10.4,10.4,10.4,2080.0,200,2014-06-23 12:20:00
10.4,10.4,10.4,10.4,1040.0,100,2014-06-23 12:30:00
10.2,10.2,10.2,10.2,137700.0,13500,2014-06-23 17:00:00
10.2,10.2,10.2,10.2,45900.0,4500,2014-06-23 17:10:00
10.2,10.2,10.2,10.2,153000.0,15000,2014-06-23 17:20:00
10.245,10.245,10.245,10.245,108597.0,10600,2014-06-23 18:30:00
10.255,10.255,10.255,10.255,110754.0,10800,2014-06-24 10:20:00
10.255,10.255,10.255,10.255,110754.0,10800,2014-06-24 10:30:00
10.397,10.398,10.398,10.397,2079.5,200,2014-06-24 11:40:00
10.398,10.398,10.398,10.398,4159.2,400,2014-06-24 16:40:00
10.26,10.26,10.26,10.26,104652.0,10200,2014-06-24 17:30:00
10.397,10.386,10.397,10.386,7274.6,700,2014-06-24 17:50:00
10.387,10.387,10.387,10.387,1038.7,100,2014-06-24 18:00:00
10.35,10.35,10.35,10.35,173880.0,16800,2014-06-25 10:20:00
10.35,10.387,10.387,10.35,63153.5,6100,2014-06-25 10:30:00
10.301,10.301,10.301,10.301,3090.3,300,2014-06-25 10:40:00
10.398,10.398,10.398,10.398,1039.8,100,2014-06-25 10:50:00
10.398,10.399,10.399,10.398,3119.5,300,2014-06-25 11:30:00
10.4,10.4,10.4,10.4,90480.0,8700,2014-06-25 16:30:00
10.42,10.41,10.42,10.41,72895.0,7000,2014-06-26 10:30:00
10.45,10.45,10.45,10.45,105545.0,10100,2014-06-26 10:40:00
10.35,10.35,10.35,10.35,90045.0,8700,2014-06-27 10:10:00
10.499,10.499,10.499,10.499,1049.9,100,2014-06-27 16:00:00
10.32,10.32,10.32,10.32,98040.0,9500,2014-06-27 17:40:00
10.5,10.5,10.5,10.5,161700.0,15400,2014-06-30 10:50:00
10.499,10.499,10.499,10.499,1049.9,100,2014-06-30 14:10:00
10.45,10.45,10.45,10.45,126445.0,12100,2014-06-30 17:50:00
10.55,10.55,10.55,10.55,123435.0,11700,2014-07-01 10:10:00
10.549,10.55,10.55,10.549,5274.9,500,2014-07-01 10:20:00
10.5,10.5,10.5,10.5,91350.0,8700,2014-07-01 16:20:00
10.5,10.5,10.5,10.5,60900.0,5800,2014-07-01 18:10:00
10.55,10.55,10.55,10.55,152975.0,14500,2014-07-01 18:30:00
10.49,10.49,10.49,10.4,164684.0,15700,2014-07-02 11:20:00
10.5,10.5,10.5,10.5,1050.0,100,2014-07-02 12:10:00
10.401,10.496,10.496,10.4,3129.7,300,2014-07-02 15:00:00
10.5,10.5,10.5,10.5,4200.0,400,2014-07-02 15:30:00
10.4,10.4,10.4,10.4,2080.0,200,2014-07-02 18:00:00
10.48,10.48,10.48,10.48,83840.0,8000,2014-07-02 18:10:00
10.495,10.495,10.495,10.495,109148.0,10400,2014-07-03 10:10:00
10.495,10.495,10.495,10.495,3148.5,300,2014-07-03 10:30:00
10.497,10.497,10.497,10.497,1049.7,100,2014-07-03 10:40:00
10.5,10.5,10.5,10.5,112350.0,10700,2014-07-03 11:50:00
10.495,10.495,10.495,10.495,3148.5,300,2014-07-03 12:50:00
10.533,10.533,10.533,10.533,2106.6,200,2014-07-03 13:20:00
10.5,10.5,10.5,10.5,79800.0,7600,2014-07-03 18:20:00
10.5,10.5,10.5,10.5,32550.0,3100,2014-07-03 18:30:00
10.45,10.45,10.45,10.45,35530.0,3400,2014-07-04 11:50:00
10.5,10.5,10.5,10.5,95550.0,9100,2014-07-04 12:00:00
10.5,10.5,10.5,10.5,60900.0,5800,2014-07-04 12:30:00
10.777,10.777,10.777,10.777,1077.7,100,2014-07-04 15:20:00
10.777,10.777,10.777,10.777,1077.7,100,2014-07-04 16:30:00
10.77,10.77,10.77,10.77,1077.0,100,2014-07-04 16:40:00
10.6,10.6,10.6,10.6,1060.0,100,2014-07-04 17:00:00
10.52,10.52,10.52,10.52,87316.0,8300,2014-07-04 17:50:00
10.502,10.49,10.502,10.48,246336.2,23500,2014-07-04 18:10:00
10.55,10.55,10.55,10.55,123435.0,11700,2014-07-07 10:20:00
10.55,10.55,10.55,10.55,68575.0,6500,2014-07-07 15:20:00
10.57,10.57,10.57,10.57,53907.0,5100,2014-07-07 17:30:00
10.53,10.53,10.53,10.53,85293.0,8100,2014-07-07 18:10:00
10.51,10.51,10.51,10.51,113508.0,10800,2014-07-07 18:30:00
10.5,10.5,10.5,10.5,112350.0,10700,2014-07-08 10:10:00
10.5,10.5,10.5,10.5,50400.0,4800,2014-07-08 13:00:00
10.5,10.5,10.5,10.5,228900.0,21800,2014-07-08 13:40:00
10.5,10.5,10.5,10.5,87150.0,8300,2014-07-08 17:00:00
10.5,10.5,10.5,10.5,201600.0,19200,2014-07-09 10:20:00
10.5,10.5,10.5,10.5,114450.0,10900,2014-07-09 18:30:00
11.149,11.149,11.149,11.149,3344.7000000000003,300,2014-07-10 10:00:00
10.502,10.502,10.502,10.502,3150.6,300,2014-07-10 10:10:00
10.6,10.6,10.6,10.6,92220.0,8700,2014-07-10 10:30:00
10.6,10.6,10.6,10.6,54060.0,5100,2014-07-10 11:00:00
10.6,10.6,10.6,10.6,44520.0,4200,2014-07-10 11:10:00
10.6,10.6,10.6,10.599,114479.7,10800,2014-07-10 13:10:00
10.6,10.6,10.6,10.6,77380.0,7300,2014-07-10 14:00:00
10.55,10.55,10.55,10.55,33760.0,3200,2014-07-11 12:10:00
10.55,10.55,10.55,10.55,110775.0,10500,2014-07-11 12:20:00
10.419,10.419,10.419,10.419,2083.8,200,2014-07-11 13:20:00
10.44,10.44,10.44,10.44,3132.0,300,2014-07-11 14:00:00
10.55,10.55,10.55,10.55,146645.0,13900,2014-07-11 16:40:00
10.45,10.45,10.45,10.45,152570.0,14600,2014-07-14 10:30:00
10.46,10.47,10.47,10.46,262723.0,25100,2014-07-14 12:30:00
10.47,10.47,10.47,10.47,112029.0,10700,2014-07-15 10:30:00
10.55,10.55,10.55,10.55,102335.0,9700,2014-07-15 18:10:00
10.55,10.55,10.55,10.55,66465.0,6300,2014-07-15 18:20:00
10.55,10.55,10.55,10.55,74905.0,7100,2014-07-16 10:10:00
10.45,10.45,10.45,10.45,93005.0,8900,2014-07-17 16:00:00
10.47,10.47,10.47,10.47,53397.0,5100,2014-07-17 16:20:00
10.47,10.47,10.47,10.47,114123.0,10900,2014-07-17 17:30:00
10.4,10.4,10.4,10.4,111280.0,10700,2014-07-18 10:10:00
10.47,10.47,10.47,10.47,99465.0,9500,2014-07-18 12:30:00
10.47,10.47,10.47,10.47,147627.0,14100,2014-07-18 16:10:00
10.47,10.47,10.47,10.47,285831.0,27300,2014-07-18 17:20:00
10.47,10.44,10.47,10.44,219579.0,21000,2014-07-18 17:30:00
10.41,10.4,10.41,10.4,160223.0,15400,2014-07-21 10:10:00
10.549,10.549,10.549,10.549,5274.5,500,2014-07-21 10:20:00
10.4,10.4,10.4,10.4,36400.0,3500,2014-07-21 13:30:00
10.4,10.4,10.4,10.4,131040.0,12600,2014-07-21 13:40:00
10.4,10.4,10.4,10.4,196560.0,18900,2014-07-21 15:10:00
10.42,10.42,10.42,10.42,65646.0,6300,2014-07-22 10:30:00
10.41,10.41,10.41,10.41,65583.0,6300,2014-07-22 13:00:00
10.4,10.4,10.4,10.4,65520.0,6300,2014-07-22 13:30:00
10.42,10.42,10.42,10.42,40638.0,3900,2014-07-22 13:40:00
10.43,10.43,10.43,10.43,59451.0,5700,2014-07-22 16:00:00
10.415,10.415,10.415,10.415,29162.0,2800,2014-07-22 16:30:00
10.405,10.405,10.405,10.405,118617.0,11400,2014-07-22 17:10:00
10.4,10.4,10.4,10.4,30160.0,2900,2014-07-22 17:20:00
10.41,10.41,10.41,10.41,27066.0,2600,2014-07-23 10:20:00
10.41,10.41,10.41,10.41,55173.0,5300,2014-07-23 11:20:00
10.42,10.42,10.42,10.42,81276.0,7800,2014-07-23 11:40:00
