Open,Close,High,Low,Value,Volume,Date
1.9493,1.9493,1.9493,1.9493,1949.3,1000,2014-06-09 17:40:00
1.7,1.9382,1.9382,1.6618,5300.0,3000,2014-06-16 17:20:00
1.6616,1.6616,1.6616,1.6616,1661.6,1000,2014-06-20 18:10:00
1.9262,1.9262,1.9262,1.9262,1926.2,1000,2014-06-20 18:30:00
1.9486,1.9486,1.9486,1.9486,1948.6,1000,2014-06-25 14:50:00
1.7001,1.7001,1.7001,1.7001,6800.4,4000,2014-06-27 17:30:00
1.8899,1.8899,1.8899,1.8899,1889.9,1000,2014-06-27 18:30:00
1.7499,1.7499,1.7499,1.7499,1749.9,1000,2014-07-07 11:40:00
1.75,1.8998,1.8998,1.75,28899.8,16000,2014-07-07 13:30:00
1.7001,1.7001,1.7001,1.7001,1700.1,1000,2014-07-10 14:00:00
1.8,1.8998,1.8998,1.8,29249.8,16000,2014-07-10 14:50:00
1.7025,1.7025,1.7025,1.7025,1702.5,1000,2014-07-11 11:40:00
1.84,1.84,1.84,1.84,1840.0,1000,2014-07-11 15:20:00
1.6555,1.6555,1.6555,1.6555,1655.5,1000,2014-07-14 12:30:00
1.75,1.8399,1.8399,1.75,25099.800000000003,14000,2014-07-14 13:00:00
1.658,1.657,1.658,1.657,4973.0,3000,2014-07-15 18:30:00
1.81,1.8997,1.8997,1.81,3709.7,2000,2014-07-16 10:20:00
1.8899,1.89,1.89,1.8899,3779.9,2000,2014-07-16 16:10:00
1.707,1.7996,1.7996,1.7065,20572.199999999997,12000,2014-07-16 17:10:00
1.8246,1.8247,1.8247,1.8246,3649.3,2000,2014-08-05 15:40:00
1.5808,1.5808,1.5808,1.5808,1580.8,1000,2014-08-18 16:40:00
1.8245,1.8245,1.8245,1.8245,1824.5,1000,2014-08-19 11:00:00
1.824,1.824,1.824,1.824,1824.0,1000,2014-08-19 16:10:00
1.7,1.7,1.7,1.7,1700.0,1000,2014-08-21 15:30:00
1.7,1.8247,1.8247,1.7,5224.7,3000,2014-08-21 18:20:00
1.582,1.582,1.582,1.582,1582.0,1000,2014-08-27 15:30:00
1.8247,1.8247,1.8247,1.8247,1824.7,1000,2014-08-27 15:40:00
1.582,1.582,1.582,1.582,1582.0,1000,2014-08-28 11:10:00
