Open,Close,High,Low,Value,Volume,Date
2699.0,2665.0,2750.0,2600.0,1719739983.5,645157,2024-04-26 15:10:00
2666.0,2667.0,2675.0,2660.0,482002773.0,180655,2024-04-26 15:20:00
2667.0,2637.0,2669.0,2633.0,298825972.5,112528,2024-04-26 15:30:00
2635.5,2625.5,2637.0,2613.0,388956561.0,148266,2024-04-26 15:40:00
2625.5,2628.5,2629.5,2618.0,199022015.5,75829,2024-04-26 15:50:00
2629.0,2627.5,2630.0,2625.0,85822479.5,32651,2024-04-26 16:00:00
2627.5,2643.5,2649.5,2627.5,229598827.5,87058,2024-04-26 16:10:00
2645.0,2649.0,2650.0,2640.0,113691949.0,42945,2024-04-26 16:20:00
2649.0,2649.0,2650.0,2643.5,58073206.5,21925,2024-04-26 16:30:00
2649.5,2659.5,2659.5,2647.0,60299836.0,22731,2024-04-26 16:40:00
2659.0,2649.0,2660.0,2641.0,69896963.0,26353,2024-04-26 16:50:00
2649.5,2649.0,2650.0,2637.0,72657812.5,27487,2024-04-26 17:00:00
2649.5,2649.0,2650.0,2640.5,32164224.5,12151,2024-04-26 17:10:00
2648.5,2650.0,2650.0,2648.0,37986063.5,14336,2024-04-26 17:20:00
2650.0,2639.0,2650.0,2638.5,74345758.5,28107,2024-04-26 17:30:00
2640.0,2631.5,2640.0,2630.0,86946359.0,33009,2024-04-26 17:40:00
2631.5,2620.0,2634.0,2618.0,112525060.5,42885,2024-04-26 17:50:00
2620.0,2618.0,2620.0,2610.0,107809938.0,41220,2024-04-26 18:00:00
2618.0,2625.0,2625.0,2616.5,36514753.0,13940,2024-04-26 18:10:00
2624.5,2629.5,2632.5,2624.5,25508161.5,9702,2024-04-26 18:20:00
2629.5,2626.5,2632.0,2620.0,46321874.0,17647,2024-04-26 18:30:00
2624.0,2624.0,2624.0,2624.0,28798400.0,10975,2024-04-26 18:40:00
2630.0,2630.0,2630.0,2630.0,2130300.0,810,2024-04-27 09:50:00
2629.5,2635.5,2639.0,2628.0,64728046.0,24591,2024-04-27 10:00:00
2636.0,2631.0,2637.5,2629.5,43014043.0,16338,2024-04-27 10:10:00
2631.5,2621.5,2632.0,2620.0,52027208.5,19814,2024-04-27 10:20:00
2621.0,2611.0,2622.0,2605.0,72245069.0,27630,2024-04-27 10:30:00
2611.0,2605.0,2614.0,2601.5,53285108.5,20443,2024-04-27 10:40:00
2605.5,2614.5,2615.0,2605.0,25597429.0,9806,2024-04-27 10:50:00
2614.0,2614.0,2616.5,2608.0,24718540.5,9460,2024-04-27 11:00:00
2614.5,2616.5,2617.0,2609.0,43371704.5,16587,2024-04-27 11:10:00
2616.5,2616.5,2618.0,2616.5,24441190.0,9340,2024-04-27 11:20:00
2617.0,2613.5,2617.0,2610.0,17222572.0,6587,2024-04-27 11:30:00
2614.0,2612.5,2617.0,2612.5,9522133.5,3642,2024-04-27 11:40:00
2612.5,2608.0,2614.0,2608.0,15830797.5,6064,2024-04-27 11:50:00
2608.0,2612.5,2614.0,2608.0,7666718.5,2935,2024-04-27 12:00:00
2613.5,2610.0,2613.5,2609.0,9726845.0,3724,2024-04-27 12:10:00
2610.0,2607.5,2612.5,2605.0,18180877.5,6972,2024-04-27 12:20:00
2607.0,2607.0,2608.5,2605.0,13424618.0,5151,2024-04-27 12:30:00
2607.0,2604.0,2607.0,2603.5,24610916.5,9448,2024-04-27 12:40:00
2604.0,2605.0,2606.0,2603.0,11031145.0,4236,2024-04-27 12:50:00
2605.0,2608.5,2609.0,2603.5,19062281.5,7318,2024-04-27 13:00:00
2609.0,2611.0,2611.0,2607.0,16412860.5,6290,2024-04-27 13:10:00
2609.5,2608.5,2612.0,2607.5,10178333.5,3900,2024-04-27 13:20:00
2608.0,2611.5,2612.5,2606.0,15248380.0,5845,2024-04-27 13:30:00
2611.0,2611.0,2612.5,2609.0,10526252.5,4032,2024-04-27 13:40:00
2611.5,2608.5,2612.0,2607.5,5704024.5,2186,2024-04-27 13:50:00
2608.5,2606.0,2610.0,2606.0,6723847.5,2578,2024-04-27 14:00:00
2607.0,2607.5,2609.0,2606.5,5818230.5,2231,2024-04-27 14:10:00
2608.0,2604.5,2608.5,2602.0,42273500.5,16229,2024-04-27 14:20:00
2603.0,2602.0,2604.5,2601.0,27282999.0,10485,2024-04-27 14:30:00
2602.0,2605.5,2606.5,2601.5,10304592.5,3956,2024-04-27 14:40:00
2605.0,2600.5,2606.0,2600.0,117595958.5,45180,2024-04-27 14:50:00
2600.0,2603.5,2609.0,2600.0,12699033.0,4879,2024-04-27 15:00:00
2605.0,2606.0,2609.5,2601.5,8843843.0,3394,2024-04-27 15:10:00
2606.0,2609.0,2609.0,2605.5,9730809.0,3734,2024-04-27 15:20:00
2608.5,2607.0,2609.0,2605.5,17436281.5,6691,2024-04-27 15:30:00
2607.0,2607.0,2608.5,2605.5,7240644.5,2778,2024-04-27 15:40:00
2606.0,2606.0,2607.0,2605.5,4552469.5,1747,2024-04-27 15:50:00
2606.0,2606.5,2608.5,2605.5,10008160.5,3840,2024-04-27 16:00:00
2606.5,2614.0,2614.5,2606.0,18245819.5,6988,2024-04-27 16:10:00
2612.5,2609.0,2614.5,2607.5,5094978.5,1951,2024-04-27 16:20:00
2609.0,2614.5,2614.5,2607.5,6825781.0,2613,2024-04-27 16:30:00
2613.0,2613.5,2615.0,2611.5,2610668.5,999,2024-04-27 16:40:00
2613.5,2612.5,2614.0,2610.0,5603304.0,2145,2024-04-27 16:50:00
2612.0,2618.0,2619.0,2612.0,14425450.0,5514,2024-04-27 17:00:00
2618.5,2604.5,2619.0,2604.0,20936980.5,8017,2024-04-27 17:10:00
