Open,Close,High,Low,Value,Volume,Date
490.0,467.0,490.0,463.75,1370974.0,2880,2020-11-09 10:00:00
467.0,467.1,467.55,466.8,340956.0,730,2020-11-09 10:10:00
467.55,469.2,469.2,467.55,548045.5,1170,2020-11-09 10:20:00
469.0,470.65,470.65,468.0,352345.5,750,2020-11-09 10:30:00
470.7,472.95,472.95,470.3,2870188.5,6090,2020-11-09 10:40:00
473.5,475.3,477.9,472.9,4728764.0,9980,2020-11-09 10:50:00
475.25,467.95,475.25,463.5,4177745.0,8950,2020-11-09 11:00:00
467.95,469.0,469.1,467.95,318708.0,680,2020-11-09 11:10:00
468.95,466.0,469.15,465.0,2256625.5,4830,2020-11-09 11:20:00
466.0,466.0,466.0,465.9,302893.0,650,2020-11-09 11:30:00
465.9,465.9,466.0,465.9,461328.5,990,2020-11-09 11:40:00
465.9,464.7,465.95,464.7,1111567.5,2390,2020-11-09 11:50:00
465.9,466.0,466.0,464.5,1462936.5,3140,2020-11-09 12:00:00
465.75,466.0,466.0,465.0,121084.0,260,2020-11-09 12:10:00
466.0,466.0,466.0,466.0,107180.0,230,2020-11-09 12:20:00
465.6,465.75,465.75,465.3,79128.5,170,2020-11-09 12:30:00
465.95,465.9,466.0,464.5,493182.0,1060,2020-11-09 12:40:00
465.95,464.0,466.0,464.0,288462.5,620,2020-11-09 12:50:00
463.95,465.95,465.95,463.6,181251.5,390,2020-11-09 13:00:00
465.05,465.95,466.0,465.05,1528324.5,3280,2020-11-09 13:10:00
466.0,467.9,467.9,466.0,102558.0,220,2020-11-09 13:20:00
467.95,467.95,468.0,467.95,393088.0,840,2020-11-09 13:30:00
467.95,467.05,468.0,467.05,154401.0,330,2020-11-09 13:40:00
468.0,470.0,470.0,467.95,192251.0,410,2020-11-09 13:50:00
470.0,469.35,470.0,469.35,150378.5,320,2020-11-09 14:00:00
469.3,469.3,469.3,469.3,23465.0,50,2020-11-09 14:10:00
470.0,470.0,470.0,470.0,141000.0,300,2020-11-09 14:20:00
470.0,470.0,470.0,470.0,65800.0,140,2020-11-09 14:30:00
470.0,470.0,470.0,469.3,568555.0,1210,2020-11-09 14:40:00
