Open,Close,High,Low,Value,Volume,Date
515.1,501.1,515.1,501.1,50427,100,2014-06-10 14:00:00
506.1,502.0,506.1,502.0,20181,40,2014-06-11 17:30:00
517.8,517.8,517.8,517.8,10356,20,2014-06-16 18:00:00
517.6,517.6,517.6,517.6,5176,10,2014-06-16 18:30:00
516.0,516.0,516.0,516.0,5160,10,2014-06-17 10:00:00
514.0,514.0,514.0,514.0,5140,10,2014-06-17 10:20:00
512.0,510.0,512.0,510.0,51020,100,2014-06-17 11:50:00
515.0,544.9,545.0,515.0,244738,460,2014-06-17 16:50:00
529.9,529.9,529.9,529.9,5299,10,2014-06-17 17:00:00
541.4,541.7,541.7,541.4,162503,300,2014-06-18 15:20:00
535.0,539.7,539.7,535.0,32147,60,2014-06-19 11:00:00
515.1,540.0,540.0,515.0,263231,490,2014-06-19 11:10:00
526.1,526.1,526.1,526.1,5261,10,2014-06-19 12:50:00
528.0,528.1,528.1,528.0,73921,140,2014-06-19 16:10:00
525.1,525.0,525.1,525.0,26254,50,2014-06-23 14:20:00
549.9,550.0,550.0,549.9,32999,60,2014-06-23 17:00:00
550.0,555.0,555.0,550.0,55225,100,2014-06-23 17:20:00
555.0,555.0,555.0,555.0,61050,110,2014-06-23 17:30:00
550.0,550.0,550.0,550.0,22000,40,2014-06-23 18:10:00
530.1,530.0,530.1,530.0,196102,370,2014-06-24 16:10:00
530.2,530.2,530.2,530.2,10604,20,2014-06-24 17:10:00
513.0,513.0,513.0,513.0,10260,20,2014-06-26 10:00:00
513.1,510.0,513.1,510.0,46092,90,2014-06-27 12:30:00
539.7,539.7,539.7,539.7,5397,10,2014-06-27 18:30:00
534.9,534.9,534.9,534.9,5349,10,2014-07-02 15:20:00
530.5,533.2,533.2,530.5,37162,70,2014-07-02 16:40:00
530.0,530.0,530.0,530.0,153700,290,2014-07-04 10:30:00
559.5,559.5,559.5,559.5,5595,10,2014-07-04 16:40:00
552.4,504.0,552.4,504.0,108041,210,2014-07-04 17:00:00
528.9,528.9,528.9,528.9,5289,10,2014-07-04 17:50:00
510.5,510.5,510.5,510.5,5105,10,2014-07-04 18:10:00
528.2,528.2,528.2,528.2,5282,10,2014-07-04 18:30:00
510.1,510.1,510.1,510.1,5101,10,2014-07-08 14:40:00
525.0,525.0,525.0,525.0,5250,10,2014-07-08 15:50:00
520.9,520.9,520.9,520.9,5209,10,2014-07-08 18:20:00
529.9,530.0,530.0,529.9,37096,70,2014-07-15 15:30:00
529.8,530.0,530.0,529.8,58292,110,2014-07-15 15:50:00
517.9,517.9,517.9,517.9,5179,10,2014-07-15 17:00:00
519.0,519.0,519.0,519.0,5190,10,2014-07-15 17:20:00
539.7,569.0,569.0,539.7,675743,1210,2014-07-16 12:20:00
569.0,557.2,569.0,557.2,22524,40,2014-07-16 12:30:00
557.2,560.0,560.0,557.2,313434,560,2014-07-16 15:00:00
560.0,560.0,560.0,560.0,11200,20,2014-07-16 15:40:00
560.0,560.0,560.0,560.0,11200,20,2014-07-16 16:00:00
560.0,560.0,560.0,560.0,140000,250,2014-07-17 10:00:00
