Open,Close,High,Low,Value,Volume,Date
2.36,2.3775,2.6,2.3305,28882902.9,11853700,2023-12-28 16:10:00
2.37,2.43,2.498,2.354,9597758.850000003,3970600,2023-12-28 16:20:00
2.434,2.3755,2.4395,2.3555,6307008.199999999,2642200,2023-12-28 16:30:00
2.375,2.34,2.3795,2.335,3755127.8,1595000,2023-12-28 16:40:00
2.3385,2.346,2.346,2.314,1448790.1500000001,621500,2023-12-28 16:50:00
2.346,2.315,2.3485,2.315,1387502.1999999997,595200,2023-12-28 17:00:00
2.325,2.3405,2.355,2.314,2094351.4,896700,2023-12-28 17:10:00
2.335,2.3335,2.343,2.32,615969.85,264700,2023-12-28 17:20:00
2.335,2.3435,2.3495,2.328,435924.6,186300,2023-12-28 17:30:00
2.3385,2.3675,2.3695,2.3285,2680954.1500000004,1140600,2023-12-28 17:40:00
2.3675,2.3515,2.37,2.351,1816584.5499999998,768200,2023-12-28 17:50:00
2.3635,2.3595,2.3675,2.351,762766.4,323500,2023-12-28 18:00:00
2.359,2.43,2.43,2.351,2364041.6999999997,995900,2023-12-28 18:10:00
2.4285,2.4585,2.4755,2.36,2773802.35,1145700,2023-12-28 18:20:00
2.457,2.39,2.4585,2.37,1078788.4,449600,2023-12-28 18:30:00
2.37,2.37,2.37,2.37,119211.0,50300,2023-12-28 18:40:00
2.349,2.349,2.349,2.349,128960.09999999999,54900,2023-12-29 09:50:00
2.3495,2.366,2.3775,2.3495,1650899.6,700400,2023-12-29 10:00:00
2.366,2.357,2.366,2.353,324930.7,138000,2023-12-29 10:10:00
2.357,2.353,2.357,2.353,492786.0499999999,209400,2023-12-29 10:20:00
2.353,2.3585,2.37,2.3435,1342545.85,569700,2023-12-29 10:30:00
2.3605,2.403,2.44,2.3575,3971768.3499999996,1657300,2023-12-29 10:40:00
2.403,2.476,2.5195,2.4,12183854.900000004,4906700,2023-12-29 10:50:00
2.475,2.459,2.481,2.4275,4380412.899999999,1785700,2023-12-29 11:00:00
2.459,2.416,2.459,2.4005,2661065.55,1098400,2023-12-29 11:10:00
2.4195,2.4415,2.4415,2.4145,1067943.55,439200,2023-12-29 11:20:00
2.4415,2.425,2.484,2.425,2378339.1,966700,2023-12-29 11:30:00
2.425,2.4495,2.4635,2.425,1057109.75,431400,2023-12-29 11:40:00
2.45,2.4395,2.4605,2.4395,1217292.4000000001,495600,2023-12-29 11:50:00
